id	策略ID	策略效果类型	君主等级	消耗，配 组合消耗.txt id	奖励 配 奖励.txt id	农场成熟减少时间	对方减兵					
13401044	1	1	44	13401044	13401044							
13401045	1	1	45	13401045	13401045							
13401046	1	1	46	13401046	13401046							
13401047	1	1	47	13401047	13401047							
13401048	1	1	48	13401048	13401048							
13401049	1	1	49	13401049	13401049							
13401050	1	1	50	13401050	13401050							
13401051	1	1	51	13401051	13401051							
13401052	1	1	52	13401052	13401052							
13401053	1	1	53	13401053	13401053							
13401054	1	1	54	13401054	13401054							
13401055	1	1	55	13401055	13401055							
13401056	1	1	56	13401056	13401056							
13401057	1	1	57	13401057	13401057							
13401058	1	1	58	13401058	13401058							
13401059	1	1	59	13401059	13401059							
13401060	1	1	60	13401060	13401060							
13401061	1	1	61	13401061	13401061							
13401062	1	1	62	13401062	13401062							
13401063	1	1	63	13401063	13401063							
13401064	1	1	64	13401064	13401064							
13401065	1	1	65	13401065	13401065							
13401066	1	1	66	13401066	13401066							
13401067	1	1	67	13401067	13401067							
13401068	1	1	68	13401068	13401068							
13401069	1	1	69	13401069	13401069							
13401070	1	1	70	13401070	13401070							
13401071	1	1	71	13401071	13401071							
13401072	1	1	72	13401072	13401072							
13401073	1	1	73	13401073	13401073							
13401074	1	1	74	13401074	13401074							
13401075	1	1	75	13401075	13401075							
13401076	1	1	76	13401076	13401076							
13401077	1	1	77	13401077	13401077							
13401078	1	1	78	13401078	13401078							
13401079	1	1	79	13401079	13401079							
13401080	1	1	80	13401080	13401080							
13401081	1	1	81	13401081	13401081							
13401082	1	1	82	13401082	13401082							
13401083	1	1	83	13401083	13401083							
13401084	1	1	84	13401084	13401084							
13401085	1	1	85	13401085	13401085							
13401086	1	1	86	13401086	13401086							
13401087	1	1	87	13401087	13401087							
13401088	1	1	88	13401088	13401088							
13401089	1	1	89	13401089	13401089							
13401090	1	1	90	13401090	13401090							
13401091	1	1	91	13401091	13401091							
13401092	1	1	92	13401092	13401092							
13401093	1	1	93	13401093	13401093							
13401094	1	1	94	13401094	13401094							
13401095	1	1	95	13401095	13401095							
13401096	1	1	96	13401096	13401096							
13401097	1	1	97	13401097	13401097							
13401098	1	1	98	13401098	13401098							
13401099	1	1	99	13401099	13401099							
13401100	1	1	100	13401100	13401100							
13402001	2	1	1	13402001	13402001							
13402002	2	1	2	13402002	13402002							
13402003	2	1	3	13402003	13402003							
13402004	2	1	4	13402004	13402004							
13402005	2	1	5	13402005	13402005							
13402006	2	1	6	13402006	13402006							
13402007	2	1	7	13402007	13402007							
13402008	2	1	8	13402008	13402008							
13402009	2	1	9	13402009	13402009							
13402010	2	1	10	13402010	13402010							
13402011	2	1	11	13402011	13402011							
13402012	2	1	12	13402012	13402012							
13402013	2	1	13	13402013	13402013							
13402014	2	1	14	13402014	13402014							
13402015	2	1	15	13402015	13402015							
13402016	2	1	16	13402016	13402016							
13402017	2	1	17	13402017	13402017							
13402018	2	1	18	13402018	13402018							
13402019	2	1	19	13402019	13402019							
13402020	2	1	20	13402020	13402020							
13402021	2	1	21	13402021	13402021							
13402022	2	1	22	13402022	13402022							
13402023	2	1	23	13402023	13402023							
13402024	2	1	24	13402024	13402024							
13402025	2	1	25	13402025	13402025							
13402026	2	1	26	13402026	13402026							
13402027	2	1	27	13402027	13402027							
13402028	2	1	28	13402028	13402028							
13402029	2	1	29	13402029	13402029							
13402030	2	1	30	13402030	13402030							
13402031	2	1	31	13402031	13402031							
13402032	2	1	32	13402032	13402032							
13402033	2	1	33	13402033	13402033							
13402034	2	1	34	13402034	13402034							
13402035	2	1	35	13402035	13402035							
13402036	2	1	36	13402036	13402036							
13402037	2	1	37	13402037	13402037							
13402038	2	1	38	13402038	13402038							
13402039	2	1	39	13402039	13402039							
13402040	2	1	40	13402040	13402040							
13402041	2	1	41	13402041	13402041							
13402042	2	1	42	13402042	13402042							
13402043	2	1	43	13402043	13402043							
13402044	2	1	44	13402044	13402044							
13402045	2	1	45	13402045	13402045							
13402046	2	1	46	13402046	13402046							
13402047	2	1	47	13402047	13402047							
13402048	2	1	48	13402048	13402048							
13402049	2	1	49	13402049	13402049							
13402050	2	1	50	13402050	13402050							
13402051	2	1	51	13402051	13402051							
13402052	2	1	52	13402052	13402052							
13402053	2	1	53	13402053	13402053							
13402054	2	1	54	13402054	13402054							
13402055	2	1	55	13402055	13402055							
13402056	2	1	56	13402056	13402056							
13402057	2	1	57	13402057	13402057							
13402058	2	1	58	13402058	13402058							
13402059	2	1	59	13402059	13402059							
13402060	2	1	60	13402060	13402060							
13402061	2	1	61	13402061	13402061							
13402062	2	1	62	13402062	13402062							
13402063	2	1	63	13402063	13402063							
13402064	2	1	64	13402064	13402064							
13402065	2	1	65	13402065	13402065							
13402066	2	1	66	13402066	13402066							
13402067	2	1	67	13402067	13402067							
13402068	2	1	68	13402068	13402068							
13402069	2	1	69	13402069	13402069							
13402070	2	1	70	13402070	13402070							
13402071	2	1	71	13402071	13402071							
13402072	2	1	72	13402072	13402072							
13402073	2	1	73	13402073	13402073							
13402074	2	1	74	13402074	13402074							
13402075	2	1	75	13402075	13402075							
13402076	2	1	76	13402076	13402076							
13402077	2	1	77	13402077	13402077							
13402078	2	1	78	13402078	13402078							
13402079	2	1	79	13402079	13402079							
13402080	2	1	80	13402080	13402080							
13402081	2	1	81	13402081	13402081							
13402082	2	1	82	13402082	13402082							
13402083	2	1	83	13402083	13402083							
13402084	2	1	84	13402084	13402084							
13402085	2	1	85	13402085	13402085							
13402086	2	1	86	13402086	13402086							
13402087	2	1	87	13402087	13402087							
13402088	2	1	88	13402088	13402088							
13402089	2	1	89	13402089	13402089							
13402090	2	1	90	13402090	13402090							
13402091	2	1	91	13402091	13402091							
13402092	2	1	92	13402092	13402092							
13402093	2	1	93	13402093	13402093							
13402094	2	1	94	13402094	13402094							
13402095	2	1	95	13402095	13402095							
13402096	2	1	96	13402096	13402096							
13402097	2	1	97	13402097	13402097							
13402098	2	1	98	13402098	13402098							
13402099	2	1	99	13402099	13402099							
13402100	2	1	100	13402100	13402100							
13403001	3	1	1	13403001	13403001							
13403002	3	1	2	13403002	13403002							
13403003	3	1	3	13403003	13403003							
13403004	3	1	4	13403004	13403004							
13403005	3	1	5	13403005	13403005							
13403006	3	1	6	13403006	13403006							
13403007	3	1	7	13403007	13403007							
13403008	3	1	8	13403008	13403008							
13403009	3	1	9	13403009	13403009							
13403010	3	1	10	13403010	13403010							
13403011	3	1	11	13403011	13403011							
13403012	3	1	12	13403012	13403012							
13403013	3	1	13	13403013	13403013							
13403014	3	1	14	13403014	13403014							
13403015	3	1	15	13403015	13403015							
13403016	3	1	16	13403016	13403016							
13403017	3	1	17	13403017	13403017							
13403018	3	1	18	13403018	13403018							
13403019	3	1	19	13403019	13403019							
13403020	3	1	20	13403020	13403020							
13403021	3	1	21	13403021	13403021							
13403022	3	1	22	13403022	13403022							
13403023	3	1	23	13403023	13403023							
13403024	3	1	24	13403024	13403024							
13403025	3	1	25	13403025	13403025							
13403026	3	1	26	13403026	13403026							
13403027	3	1	27	13403027	13403027							
13403028	3	1	28	13403028	13403028							
13403029	3	1	29	13403029	13403029							
13403030	3	1	30	13403030	13403030							
13403031	3	1	31	13403031	13403031							
13403032	3	1	32	13403032	13403032							
13403033	3	1	33	13403033	13403033							
13403034	3	1	34	13403034	13403034							
13403035	3	1	35	13403035	13403035							
13403036	3	1	36	13403036	13403036							
13403037	3	1	37	13403037	13403037							
13403038	3	1	38	13403038	13403038							
13403039	3	1	39	13403039	13403039							
13403040	3	1	40	13403040	13403040							
13403041	3	1	41	13403041	13403041							
13403042	3	1	42	13403042	13403042							
13403043	3	1	43	13403043	13403043							
13403044	3	1	44	13403044	13403044							
13403045	3	1	45	13403045	13403045							
13403046	3	1	46	13403046	13403046							
13403047	3	1	47	13403047	13403047							
13403048	3	1	48	13403048	13403048							
13403049	3	1	49	13403049	13403049							
13403050	3	1	50	13403050	13403050							
13403051	3	1	51	13403051	13403051							
13403052	3	1	52	13403052	13403052							
13403053	3	1	53	13403053	13403053							
13403054	3	1	54	13403054	13403054							
13403055	3	1	55	13403055	13403055							
13403056	3	1	56	13403056	13403056							
13403057	3	1	57	13403057	13403057							
13403058	3	1	58	13403058	13403058							
13403059	3	1	59	13403059	13403059							
13403060	3	1	60	13403060	13403060							
13403061	3	1	61	13403061	13403061							
13403062	3	1	62	13403062	13403062							
13403063	3	1	63	13403063	13403063							
13403064	3	1	64	13403064	13403064							
13403065	3	1	65	13403065	13403065							
13403066	3	1	66	13403066	13403066							
13403067	3	1	67	13403067	13403067							
13403068	3	1	68	13403068	13403068							
13403069	3	1	69	13403069	13403069							
13403070	3	1	70	13403070	13403070							
13403071	3	1	71	13403071	13403071							
13403072	3	1	72	13403072	13403072							
13403073	3	1	73	13403073	13403073							
13403074	3	1	74	13403074	13403074							
13403075	3	1	75	13403075	13403075							
13403076	3	1	76	13403076	13403076							
13403077	3	1	77	13403077	13403077							
13403078	3	1	78	13403078	13403078							
13403079	3	1	79	13403079	13403079							
13403080	3	1	80	13403080	13403080							
13403081	3	1	81	13403081	13403081							
13403082	3	1	82	13403082	13403082							
13403083	3	1	83	13403083	13403083							
13403084	3	1	84	13403084	13403084							
13403085	3	1	85	13403085	13403085							
13403086	3	1	86	13403086	13403086							
13403087	3	1	87	13403087	13403087							
13403088	3	1	88	13403088	13403088							
13403089	3	1	89	13403089	13403089							
13403090	3	1	90	13403090	13403090							
13403091	3	1	91	13403091	13403091							
13403092	3	1	92	13403092	13403092							
13403093	3	1	93	13403093	13403093							
13403094	3	1	94	13403094	13403094							
13403095	3	1	95	13403095	13403095							
13403096	3	1	96	13403096	13403096							
13403097	3	1	97	13403097	13403097							
13403098	3	1	98	13403098	13403098							
13403099	3	1	99	13403099	13403099							
13403100	3	1	100	13403100	13403100							
13404001	4	2	1	13404001	1432	30m						
13404002	4	2	2	13404002	1432	30m						
13404003	4	2	3	13404003	1432	30m						
13404004	4	2	4	13404004	1432	30m						
13404005	4	2	5	13404005	1432	30m						
13404006	4	2	6	13404006	1432	30m						
13404007	4	2	7	13404007	1432	30m						
13404008	4	2	8	13404008	1432	30m						
13404009	4	2	9	13404009	1432	30m						
13404010	4	2	10	13404010	1432	30m						
13404011	4	2	11	13404011	1432	30m						
13404012	4	2	12	13404012	1432	30m						
13404013	4	2	13	13404013	1432	30m						
13404014	4	2	14	13404014	1432	30m						
13404015	4	2	15	13404015	1432	30m						
13404016	4	2	16	13404016	1432	30m						
13404017	4	2	17	13404017	1432	30m						
13404018	4	2	18	13404018	1432	30m						
13404019	4	2	19	13404019	1432	30m						
13404020	4	2	20	13404020	1432	30m						
13404021	4	2	21	13404021	1432	30m						
13404022	4	2	22	13404022	1432	30m						
13404023	4	2	23	13404023	1432	30m						
13404024	4	2	24	13404024	1432	30m						
13404025	4	2	25	13404025	1432	30m						
13404026	4	2	26	13404026	1432	30m						
13404027	4	2	27	13404027	1432	30m						
13404028	4	2	28	13404028	1432	30m						
13404029	4	2	29	13404029	1432	30m						
13404030	4	2	30	13404030	1432	30m						
13404031	4	2	31	13404031	1432	30m						
13404032	4	2	32	13404032	1432	30m						
13404033	4	2	33	13404033	1432	30m						
13404034	4	2	34	13404034	1432	30m						
13404035	4	2	35	13404035	1432	30m						
13404036	4	2	36	13404036	1432	30m						
13404037	4	2	37	13404037	1432	30m						
13404038	4	2	38	13404038	1432	30m						
13404039	4	2	39	13404039	1432	30m						
13404040	4	2	40	13404040	1432	30m						
13404041	4	2	41	13404041	1432	30m						
13404042	4	2	42	13404042	1432	30m						
13404043	4	2	43	13404043	1432	30m						
13404044	4	2	44	13404044	1432	30m						
13404045	4	2	45	13404045	1432	30m						
13404046	4	2	46	13404046	1432	30m						
13404047	4	2	47	13404047	1432	30m						
13404048	4	2	48	13404048	1432	30m						
13404049	4	2	49	13404049	1432	30m						
13404050	4	2	50	13404050	1432	30m						
13404051	4	2	51	13404051	1432	30m						
13404052	4	2	52	13404052	1432	30m						
13404053	4	2	53	13404053	1432	30m						
13404054	4	2	54	13404054	1432	30m						
13404055	4	2	55	13404055	1432	30m						
13404056	4	2	56	13404056	1432	30m						
13404057	4	2	57	13404057	1432	30m						
13404058	4	2	58	13404058	1432	30m						
13404059	4	2	59	13404059	1432	30m						
13404060	4	2	60	13404060	1432	30m						
13404061	4	2	61	13404061	1432	30m						
13404062	4	2	62	13404062	1432	30m						
13404063	4	2	63	13404063	1432	30m						
13404064	4	2	64	13404064	1432	30m						
13404065	4	2	65	13404065	1432	30m						
13404066	4	2	66	13404066	1432	30m						
13404067	4	2	67	13404067	1432	30m						
13404068	4	2	68	13404068	1432	30m						
13404069	4	2	69	13404069	1432	30m						
13404070	4	2	70	13404070	1432	30m						
13404071	4	2	71	13404071	1432	30m						
13404072	4	2	72	13404072	1432	30m						
13404073	4	2	73	13404073	1432	30m						
13404074	4	2	74	13404074	1432	30m						
13404075	4	2	75	13404075	1432	30m						
13404076	4	2	76	13404076	1432	30m						
13404077	4	2	77	13404077	1432	30m						
13404078	4	2	78	13404078	1432	30m						
13404079	4	2	79	13404079	1432	30m						
13404080	4	2	80	13404080	1432	30m						
13404081	4	2	81	13404081	1432	30m						
13404082	4	2	82	13404082	1432	30m						
13404083	4	2	83	13404083	1432	30m						
13404084	4	2	84	13404084	1432	30m						
13404085	4	2	85	13404085	1432	30m						
13404086	4	2	86	13404086	1432	30m						
13404087	4	2	87	13404087	1432	30m						
13404088	4	2	88	13404088	1432	30m						
13404089	4	2	89	13404089	1432	30m						
13404090	4	2	90	13404090	1432	30m						
13404091	4	2	91	13404091	1432	30m						
13404092	4	2	92	13404092	1432	30m						
13404093	4	2	93	13404093	1432	30m						
13404094	4	2	94	13404094	1432	30m						
13404095	4	2	95	13404095	1432	30m						
13404096	4	2	96	13404096	1432	30m						
13404097	4	2	97	13404097	1432	30m						
13404098	4	2	98	13404098	1432	30m						
13404099	4	2	99	13404099	1432	30m						
13404100	4	2	100	13404100	1432	30m						
13405001	5	1	1	13405001	13405001							
13405002	5	1	2	13405002	13405002							
13405003	5	1	3	13405003	13405003							
13405004	5	1	4	13405004	13405004							
13405005	5	1	5	13405005	13405005							
13405006	5	1	6	13405006	13405006							
13405007	5	1	7	13405007	13405007							
13405008	5	1	8	13405008	13405008							
13405009	5	1	9	13405009	13405009							
13405010	5	1	10	13405010	13405010							
13405011	5	1	11	13405011	13405011							
13405012	5	1	12	13405012	13405012							
13405013	5	1	13	13405013	13405013							
13405014	5	1	14	13405014	13405014							
13405015	5	1	15	13405015	13405015							
13405016	5	1	16	13405016	13405016							
13405017	5	1	17	13405017	13405017							
13405018	5	1	18	13405018	13405018							
13405019	5	1	19	13405019	13405019							
13405020	5	1	20	13405020	13405020							
13405021	5	1	21	13405021	13405021							
13405022	5	1	22	13405022	13405022							
13405023	5	1	23	13405023	13405023							
13405024	5	1	24	13405024	13405024							
13405025	5	1	25	13405025	13405025							
13405026	5	1	26	13405026	13405026							
13405027	5	1	27	13405027	13405027							
13405028	5	1	28	13405028	13405028							
13405029	5	1	29	13405029	13405029							
13405030	5	1	30	13405030	13405030							
13405031	5	1	31	13405031	13405031							
13405032	5	1	32	13405032	13405032							
13405033	5	1	33	13405033	13405033							
13405034	5	1	34	13405034	13405034							
13405035	5	1	35	13405035	13405035							
13405036	5	1	36	13405036	13405036							
13405037	5	1	37	13405037	13405037							
13405038	5	1	38	13405038	13405038							
13405039	5	1	39	13405039	13405039							
13405040	5	1	40	13405040	13405040							
13405041	5	1	41	13405041	13405041							
13405042	5	1	42	13405042	13405042							
13405043	5	1	43	13405043	13405043							
13405044	5	1	44	13405044	13405044							
13405045	5	1	45	13405045	13405045							
13405046	5	1	46	13405046	13405046							
13405047	5	1	47	13405047	13405047							
13405048	5	1	48	13405048	13405048							
13405049	5	1	49	13405049	13405049							
13405050	5	1	50	13405050	13405050							
13405051	5	1	51	13405051	13405051							
13405052	5	1	52	13405052	13405052							
13405053	5	1	53	13405053	13405053							
13405054	5	1	54	13405054	13405054							
13405055	5	1	55	13405055	13405055							
13405056	5	1	56	13405056	13405056							
13405057	5	1	57	13405057	13405057							
13405058	5	1	58	13405058	13405058							
13405059	5	1	59	13405059	13405059							
13405060	5	1	60	13405060	13405060							
13405061	5	1	61	13405061	13405061							
13405062	5	1	62	13405062	13405062							
13405063	5	1	63	13405063	13405063							
13405064	5	1	64	13405064	13405064							
13405065	5	1	65	13405065	13405065							
13405066	5	1	66	13405066	13405066							
13405067	5	1	67	13405067	13405067							
13405068	5	1	68	13405068	13405068							
13405069	5	1	69	13405069	13405069							
13405070	5	1	70	13405070	13405070							
13405071	5	1	71	13405071	13405071							
13405072	5	1	72	13405072	13405072							
13405073	5	1	73	13405073	13405073							
13405074	5	1	74	13405074	13405074							
13405075	5	1	75	13405075	13405075							
13405076	5	1	76	13405076	13405076							
13405077	5	1	77	13405077	13405077							
13405078	5	1	78	13405078	13405078							
13405079	5	1	79	13405079	13405079							
13405080	5	1	80	13405080	13405080							
13405081	5	1	81	13405081	13405081							
13405082	5	1	82	13405082	13405082							
13405083	5	1	83	13405083	13405083							
13405084	5	1	84	13405084	13405084							
13405085	5	1	85	13405085	13405085							
13405086	5	1	86	13405086	13405086							
13405087	5	1	87	13405087	13405087							
13405088	5	1	88	13405088	13405088							
13405089	5	1	89	13405089	13405089							
13405090	5	1	90	13405090	13405090							
13405091	5	1	91	13405091	13405091							
13405092	5	1	92	13405092	13405092							
13405093	5	1	93	13405093	13405093							
13405094	5	1	94	13405094	13405094							
13405095	5	1	95	13405095	13405095							
13405096	5	1	96	13405096	13405096							
13405097	5	1	97	13405097	13405097							
13405098	5	1	98	13405098	13405098							
13405099	5	1	99	13405099	13405099							
13405100	5	1	100	13405100	13405100							
13406001	6	3	1	1432	1432							
13406002	6	3	2	1432	1432							
13406003	6	3	3	1432	1432							
13406004	6	3	4	1432	1432							
13406005	6	3	5	1432	1432							
13406006	6	3	6	1432	1432							
13406007	6	3	7	1432	1432							
13406008	6	3	8	1432	1432							
13406009	6	3	9	1432	1432							
13406010	6	3	10	1432	1432							
13406011	6	3	11	1432	1432							
13406012	6	3	12	1432	1432							
13406013	6	3	13	1432	1432							
13406014	6	3	14	1432	1432							
13406015	6	3	15	1432	1432							
13406016	6	3	16	1432	1432							
13406017	6	3	17	1432	1432							
13406018	6	3	18	1432	1432							
13406019	6	3	19	1432	1432							
13406020	6	3	20	1432	1432							
13406021	6	3	21	1432	1432							
13406022	6	3	22	1432	1432							
13406023	6	3	23	1432	1432							
13406024	6	3	24	1432	1432							
13406025	6	3	25	1432	1432							
13406026	6	3	26	1432	1432							
13406027	6	3	27	1432	1432							
13406028	6	3	28	1432	1432							
13406029	6	3	29	1432	1432							
13406030	6	3	30	1432	1432							
13406031	6	3	31	1432	1432							
13406032	6	3	32	1432	1432							
13406033	6	3	33	1432	1432							
13406034	6	3	34	1432	1432							
13406035	6	3	35	1432	1432							
13406036	6	3	36	1432	1432							
13406037	6	3	37	1432	1432							
13406038	6	3	38	1432	1432							
13406039	6	3	39	1432	1432							
13406040	6	3	40	1432	1432							
13406041	6	3	41	1432	1432							
13406042	6	3	42	1432	1432							
13406043	6	3	43	1432	1432							
13406044	6	3	44	1432	1432							
13406045	6	3	45	1432	1432							
13406046	6	3	46	1432	1432							
13406047	6	3	47	1432	1432							
13406048	6	3	48	1432	1432							
13406049	6	3	49	1432	1432							
13406050	6	3	50	1432	1432							
13406051	6	3	51	1432	1432							
13406052	6	3	52	1432	1432							
13406053	6	3	53	1432	1432							
13406054	6	3	54	1432	1432							
13406055	6	3	55	1432	1432							
13406056	6	3	56	1432	1432							
13406057	6	3	57	1432	1432							
13406058	6	3	58	1432	1432							
13406059	6	3	59	1432	1432							
13406060	6	3	60	1432	1432							
13406061	6	3	61	1432	1432							
13406062	6	3	62	1432	1432							
13406063	6	3	63	1432	1432							
13406064	6	3	64	1432	1432							
13406065	6	3	65	1432	1432							
13406066	6	3	66	1432	1432							
13406067	6	3	67	1432	1432							
13406068	6	3	68	1432	1432							
13406069	6	3	69	1432	1432							
13406070	6	3	70	1432	1432							
13406071	6	3	71	1432	1432							
13406072	6	3	72	1432	1432							
13406073	6	3	73	1432	1432							
13406074	6	3	74	1432	1432							
13406075	6	3	75	1432	1432							
13406076	6	3	76	1432	1432							
13406077	6	3	77	1432	1432							
13406078	6	3	78	1432	1432							
13406079	6	3	79	1432	1432							
13406080	6	3	80	1432	1432							
13406081	6	3	81	1432	1432							
13406082	6	3	82	1432	1432							
13406083	6	3	83	1432	1432							
13406084	6	3	84	1432	1432							
13406085	6	3	85	1432	1432							
13406086	6	3	86	1432	1432							
13406087	6	3	87	1432	1432							
13406088	6	3	88	1432	1432							
13406089	6	3	89	1432	1432							
13406090	6	3	90	1432	1432							
13406091	6	3	91	1432	1432							
13406092	6	3	92	1432	1432							
13406093	6	3	93	1432	1432							
13406094	6	3	94	1432	1432							
13406095	6	3	95	1432	1432							
13406096	6	3	96	1432	1432							
13406097	6	3	97	1432	1432							
13406098	6	3	98	1432	1432							
13406099	6	3	99	1432	1432							
13406100	6	3	100	1432	1432							
13407001	7	6	1	1432	1432							
13407002	7	6	2	1432	1432							
13407003	7	6	3	1432	1432							
13407004	7	6	4	1432	1432							
13407005	7	6	5	1432	1432							
13407006	7	6	6	1432	1432							
13407007	7	6	7	1432	1432							
13407008	7	6	8	1432	1432							
13407009	7	6	9	1432	1432							
13407010	7	6	10	1432	1432							
13407011	7	6	11	1432	1432							
13407012	7	6	12	1432	1432							
13407013	7	6	13	1432	1432							
13407014	7	6	14	1432	1432							
13407015	7	6	15	1432	1432							
13407016	7	6	16	1432	1432							
13407017	7	6	17	1432	1432							
13407018	7	6	18	1432	1432							
13407019	7	6	19	1432	1432							
13407020	7	6	20	1432	1432							
13407021	7	6	21	1432	1432							
13407022	7	6	22	1432	1432							
13407023	7	6	23	1432	1432							
13407024	7	6	24	1432	1432							
13407025	7	6	25	1432	1432							
13407026	7	6	26	1432	1432							
13407027	7	6	27	1432	1432							
13407028	7	6	28	1432	1432							
13407029	7	6	29	1432	1432							
13407030	7	6	30	1432	1432							
13407031	7	6	31	1432	1432							
13407032	7	6	32	1432	1432							
13407033	7	6	33	1432	1432							
13407034	7	6	34	1432	1432							
13407035	7	6	35	1432	1432							
13407036	7	6	36	1432	1432							
13407037	7	6	37	1432	1432							
13407038	7	6	38	1432	1432							
13407039	7	6	39	1432	1432							
13407040	7	6	40	1432	1432							
13407041	7	6	41	1432	1432							
13407042	7	6	42	1432	1432							
13407043	7	6	43	1432	1432							
13407044	7	6	44	1432	1432							
13407045	7	6	45	1432	1432							
13407046	7	6	46	1432	1432							
13407047	7	6	47	1432	1432							
13407048	7	6	48	1432	1432							
13407049	7	6	49	1432	1432							
13407050	7	6	50	1432	1432							
13407051	7	6	51	1432	1432							
13407052	7	6	52	1432	1432							
13407053	7	6	53	1432	1432							
13407054	7	6	54	1432	1432							
13407055	7	6	55	1432	1432							
13407056	7	6	56	1432	1432							
13407057	7	6	57	1432	1432							
13407058	7	6	58	1432	1432							
13407059	7	6	59	1432	1432							
13407060	7	6	60	1432	1432							
13407061	7	6	61	1432	1432							
13407062	7	6	62	1432	1432							
13407063	7	6	63	1432	1432							
13407064	7	6	64	1432	1432							
13407065	7	6	65	1432	1432							
13407066	7	6	66	1432	1432							
13407067	7	6	67	1432	1432							
13407068	7	6	68	1432	1432							
13407069	7	6	69	1432	1432							
13407070	7	6	70	1432	1432							
13407071	7	6	71	1432	1432							
13407072	7	6	72	1432	1432							
13407073	7	6	73	1432	1432							
13407074	7	6	74	1432	1432							
13407075	7	6	75	1432	1432							
13407076	7	6	76	1432	1432							
13407077	7	6	77	1432	1432							
13407078	7	6	78	1432	1432							
13407079	7	6	79	1432	1432							
13407080	7	6	80	1432	1432							
13407081	7	6	81	1432	1432							
13407082	7	6	82	1432	1432							
13407083	7	6	83	1432	1432							
13407084	7	6	84	1432	1432							
13407085	7	6	85	1432	1432							
13407086	7	6	86	1432	1432							
13407087	7	6	87	1432	1432							
13407088	7	6	88	1432	1432							
13407089	7	6	89	1432	1432							
13407090	7	6	90	1432	1432							
13407091	7	6	91	1432	1432							
13407092	7	6	92	1432	1432							
13407093	7	6	93	1432	1432							
13407094	7	6	94	1432	1432							
13407095	7	6	95	1432	1432							
13407096	7	6	96	1432	1432							
13407097	7	6	97	1432	1432							
13407098	7	6	98	1432	1432							
13407099	7	6	99	1432	1432							
13407100	7	6	100	1432	1432							
