武将id	稀有度	名字	图标		描述	默认职业，对应race.txt	在已经有该名士的情况下，钓鱼再获得该名士是获得的奖励，配置 prize.txt中的id	自动解锁技能数量	获得途径		钓鱼可获得	语音	普攻	章节获得(作废)	初始怒气											
17	1	东施	东施	17	车兵良将-东施：效颦莫笑东村女，头白溪边尚浣纱	4	13301017	1	20209		1	40120	13110003		276			伍子胥	3	3						
18	2	夏姬	夏姬	18	弓兵名将-夏姬：螓首蛾眉，巧笑倩兮，美目盼兮	3	13301018	1	20806	20309	1	40110	13110004		222			芈月	3	3						
19	3	乐毅	乐毅	19	弓兵神将-乐毅：剧辛乐毅感恩分，输肝剖胆效英才	3	13301019	1	20709		1	40240	13110004		235			张仪	3	3						
20	3	田单	田单	20	骑兵神将-田单：田单一即墨，扫敌如风旋	2	13301020	1			1	40250	13110002		302			乐毅	3	3						
21	2	赵奢	赵奢	21	弓兵名将-赵奢：满谓将门还出将，不知有子误长平	3	13301021	1			1	40050	13110004		222			夏姬	3	2						
22	3	项燕	项燕	22	车兵神将-项燕：醉卧沙场君莫笑，古来征战几人回	4	13301022	1	20103		1		13110003		302			庞涓	3	2						
23	3	孙膑	孙膑	23	车兵神将-孙膑：孙膑学艺，才高被忌	4	13301023	1			1	40160	13110003		302			赵奢	3	2						
24	2	乐羊	乐羊	24	骑兵名将-乐羊：盈箧谤书能寝默，中山不是乐羊功	2	13301024	1	20603	21003	1	40260	13110002		289			小七	3	1						
25	3	蒙恬	蒙恬	25	骑兵神将-蒙恬：绝漠功虽大，长城怨亦深	2	13301025	1			1		13110002		302			屈原	4	3						
26	2	商鞅	商鞅	26	车兵名将-商鞅：治世不一道，便国不法古	4	13301026	1	20706	20409	1		13110003		289			孙膑	4	3						
27	3	信陵君	信陵君	27	车兵神将-信陵君：一心扶赵魏，百战胜赢秦	4	13301027	1	21009		1		13110003		302			信陵君	4	3						
28	3	芈月	芈月	28	步兵神将-芈月：美人自古如名将，不许人间见白头	1	13301028	1			1		13110001		302			范雎	4	3						
29	3	西施	西施	29	弓兵神将-西施：艳色天下重，西施宁久微	3	13301029	1			1		13110004		235			商鞅	4	2						
30	3	韩非	韩非	30	器兵神将-韩非：虚负凌云万丈才，一生襟抱未曾开	5	13301030	1			1		13110005		235			苏秦	4	2						
31	3	鬼谷子	鬼谷子	31	器兵神将-鬼谷子：小人谋身，君子谋国，大丈夫谋天下	5	13301031	1			1		13110005		235			平原君	4	1						
32	3	白起	白起	32	骑兵神将-白起：烈烈桓桓，时维武安	2	13301032	1			1		13110002		302			东施	4	1						
33	3	王翦	王翦	33	骑兵神将-王翦：将军料敌元非怯，能使君王促驾来	2	13301033	1			1		13110002		302			西施	5	3						
34	3	廉颇	廉颇	34	步兵神将-廉颇：一闻公言，肉袒负荆	1	13301034	1			1		13110001		302			鬼谷子	5	3						
35	3	李牧	李牧	35	器兵神将-李牧：李牧今不在，边人饲豺虎	5	13301035	1	20809		1		13110005		235			李牧	5	3						
36	3	吴起	吴起	36	步兵神将-吴起：施令而下不敢犯，所在而寇不敢敌	1	13301036	1	20909		1		13110001		302			韩非	5	3						
37	2	蔺相如	蔺相如	37	步兵名将-蔺相如：不畏秦强畏廉斗，古来只有蔺相如	1	13301037	1	20306		1		13110001		289			孟尝君	5	2						
38	3	范雎	范雎	38	车兵神将-范雎：范雎相秦倾九州，一言立断魏齐头	4	13301038	1			1		13110003		302			鲁班	5	2						
39	1	小七	小七	98	弓兵良将-小七：誓扫匈奴不顾身，五千貂锦丧胡尘	3	13301039	1	20203		1		13110004		209			郑袖	5	2						
40	2	李信	李信	40	步兵名将-李信：少年勇壮起关中，荡燕伐齐立九功	1	13301040	1	20206		1		13110001		289			项燕	5	1						
