Id	名字	图标		1男0女	职业	普攻	技能					初始怒气					
10504010	镇守将领	wujiang25	127	1	XIE	13110005	13100101										8
10505010	镇守将领	wujiang22	105	1	GONG	13110004	13100102										16
10501011	镇守将领	wujiang3	122	1	QI	13110002	13100205										10
10502011	镇守将领	wujiang7	121	1	GONG	13110004	13100102										15
10503011	镇守将领	wujiang4	110	1	CHE	13110003	13100207										14
10504011	镇守将领	wujiang21	109	1	BU	13110001	13100203										21
10505011	镇守将领	wujiang26	118	1	BU	13110001	13100203										8
10501012	镇守将领	wujiang4	110	1	CHE	13110003	13100207										12
10502012	镇守将领	wujiang27	102	1	GONG	13110004	13100102										4
10503012	镇守将领	wujiang6	115	1	BU	13110001	13100203										21
10504012	镇守将领	wujiang21	109	1	BU	13110001	13100203										10
10505012	镇守将领	wujiang5	128	1	XIE	13110005	13100101										20
10501013	镇守将领	wujiang26	118	1	BU	13110001	13100203										14
10502013	镇守将领	wujiang21	109	1	BU	13110001	13100203										3
10503013	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10504013	镇守将领	wujiang9	114	0	CHE	13110003	13100207										19
10505013	镇守将领	wujiang3	122	1	QI	13110002	13100205										21
10501014	镇守将领	wujiang18	101	0	QI	13110002	13100205										20
10502014	镇守将领	wujiang29	119	0	CHE	13110003	13100207										24
10503014	镇守将领	wujiang18	101	0	QI	13110002	13100205										10
10504014	镇守将领	wujiang27	102	1	GONG	13110004	13100102										23
10505014	镇守将领	wujiang22	105	1	GONG	13110004	13100102										20
10501015	镇守将领	wujiang25	127	1	XIE	13110005	13100101										16
10502015	镇守将领	wujiang10	111	0	XIE	13110005	13100101										6
10503015	镇守将领	wujiang3	122	1	QI	13110002	13100205										21
10504015	镇守将领	wujiang25	127	1	XIE	13110005	13100101										14
10505015	镇守将领	wujiang29	119	0	CHE	13110003	13100207										18
10501016	镇守将领	wujiang1	103	1	BU	13110001	13100203										4
10502016	镇守将领	wujiang9	114	0	CHE	13110003	13100207										12
10503016	镇守将领	wujiang24	120	1	CHE	13110003	13100207										8
10504016	镇守将领	wujiang20	106	0	XIE	13110005	13100101										13
10505016	镇守将领	wujiang28	126	0	QI	13110002	13100205										15
10501017	镇守将领	wujiang23	112	0	QI	13110002	13100205										4
10502017	镇守将领	wujiang2	123	1	GONG	13110004	13100102										10
10503017	镇守将领	wujiang29	119	0	CHE	13110003	13100207										3
10504017	镇守将领	wujiang6	115	1	BU	13110001	13100203										22
10505017	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10501018	镇守将领	wujiang25	127	1	XIE	13110005	13100101										23
10502018	镇守将领	wujiang22	105	1	GONG	13110004	13100102										17
10503018	镇守将领	wujiang7	121	1	GONG	13110004	13100102										10
10504018	镇守将领	wujiang22	105	1	GONG	13110004	13100102										22
10505018	镇守将领	wujiang28	126	0	QI	13110002	13100205										17
10501019	镇守将领	wujiang26	118	1	BU	13110001	13100203										4
10502019	镇守将领	wujiang28	126	0	QI	13110002	13100205										4
10503019	镇守将领	wujiang10	111	0	XIE	13110005	13100101										16
10504019	镇守将领	wujiang7	121	1	GONG	13110004	13100102										17
10505019	镇守将领	wujiang20	106	0	XIE	13110005	13100101										19
10501020	镇守将领	wujiang5	128	1	XIE	13110005	13100101										11
10502020	镇守将领	wujiang21	109	1	BU	13110001	13100203										24
10503020	镇守将领	wujiang7	121	1	GONG	13110004	13100102										16
10504020	镇守将领	wujiang10	111	0	XIE	13110005	13100101										6
10505020	镇守将领	wujiang16	113	0	BU	13110001	13100203										21
10501021	镇守将领	wujiang29	119	0	CHE	13110003	13100207										7
10502021	镇守将领	wujiang18	101	0	QI	13110002	13100205										23
10503021	镇守将领	wujiang6	115	1	BU	13110001	13100203										17
10504021	镇守将领	wujiang27	102	1	GONG	13110004	13100102										18
10505021	镇守将领	wujiang25	127	1	XIE	13110005	13100101										3
10501022	镇守将领	wujiang8	104	0	QI	13110002	13100205										5
10502022	镇守将领	wujiang22	105	1	GONG	13110004	13100102										6
10503022	镇守将领	wujiang26	118	1	BU	13110001	13100203										4
10504022	镇守将领	wujiang8	104	0	QI	13110002	13100205										12
10505022	镇守将领	wujiang18	101	0	QI	13110002	13100205										23
10501023	镇守将领	wujiang23	112	0	QI	13110002	13100205										18
10502023	镇守将领	wujiang8	104	0	QI	13110002	13100205										15
10503023	镇守将领	wujiang21	109	1	BU	13110001	13100203										14
10504023	镇守将领	wujiang18	101	0	QI	13110002	13100205										21
10505023	镇守将领	wujiang2	123	1	GONG	13110004	13100102										10
10501024	镇守将领	wujiang28	126	0	QI	13110002	13100205										7
10502024	镇守将领	wujiang21	109	1	BU	13110001	13100203										8
10503024	镇守将领	wujiang7	121	1	GONG	13110004	13100102										3
10504024	镇守将领	wujiang25	127	1	XIE	13110005	13100101										1
10505024	镇守将领	wujiang6	115	1	BU	13110001	13100203										13
10501025	镇守将领	wujiang25	127	1	XIE	13110005	13100101										24
10502025	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10503025	镇守将领	wujiang22	105	1	GONG	13110004	13100102										5
10504025	镇守将领	wujiang9	114	0	CHE	13110003	13100207										4
10505025	镇守将领	wujiang8	104	0	QI	13110002	13100205										8
10501026	镇守将领	wujiang29	119	0	CHE	13110003	13100207										24
10502026	镇守将领	wujiang4	110	1	CHE	13110003	13100207										4
10503026	镇守将领	wujiang22	105	1	GONG	13110004	13100102										23
10504026	镇守将领	wujiang1	103	1	BU	13110001	13100203										10
10505026	镇守将领	wujiang16	113	0	BU	13110001	13100203										14
10501027	镇守将领	wujiang29	119	0	CHE	13110003	13100207										1
10502027	镇守将领	wujiang5	128	1	XIE	13110005	13100101										12
10503027	镇守将领	wujiang2	123	1	GONG	13110004	13100102										18
10504027	镇守将领	wujiang27	102	1	GONG	13110004	13100102										23
10505027	镇守将领	wujiang20	106	0	XIE	13110005	13100101										19
10501028	镇守将领	wujiang8	104	0	QI	13110002	13100205										21
10502028	镇守将领	wujiang23	112	0	QI	13110002	13100205										16
10503028	镇守将领	wujiang4	110	1	CHE	13110003	13100207										17
10504028	镇守将领	wujiang16	113	0	BU	13110001	13100203										18
10505028	镇守将领	wujiang5	128	1	XIE	13110005	13100101										3
10501029	镇守将领	wujiang27	102	1	GONG	13110004	13100102										1
10502029	镇守将领	wujiang27	102	1	GONG	13110004	13100102										10
10503029	镇守将领	wujiang19	107	0	CHE	13110003	13100207										12
10504029	镇守将领	wujiang6	115	1	BU	13110001	13100203										21
10505029	镇守将领	wujiang4	110	1	CHE	13110003	13100207										6
10501030	镇守将领	wujiang10	111	0	XIE	13110005	13100101										19
10502030	镇守将领	wujiang27	102	1	GONG	13110004	13100102										15
10503030	镇守将领	wujiang16	113	0	BU	13110001	13100203										24
10504030	镇守将领	wujiang9	114	0	CHE	13110003	13100207										22
10505030	镇守将领	wujiang6	115	1	BU	13110001	13100203										12
10501031	镇守将领	wujiang22	105	1	GONG	13110004	13100102										4
10502031	镇守将领	wujiang26	118	1	BU	13110001	13100203										13
10503031	镇守将领	wujiang7	121	1	GONG	13110004	13100102										17
10504031	镇守将领	wujiang22	105	1	GONG	13110004	13100102										14
10505031	镇守将领	wujiang24	120	1	CHE	13110003	13100207										6
10501032	镇守将领	wujiang2	123	1	GONG	13110004	13100102										9
10502032	镇守将领	wujiang26	118	1	BU	13110001	13100203										18
10503032	镇守将领	wujiang24	120	1	CHE	13110003	13100207										3
10504032	镇守将领	wujiang4	110	1	CHE	13110003	13100207										16
10505032	镇守将领	wujiang10	111	0	XIE	13110005	13100101										14
10501033	镇守将领	wujiang25	127	1	XIE	13110005	13100101										6
10502033	镇守将领	wujiang28	126	0	QI	13110002	13100205										9
10503033	镇守将领	wujiang28	126	0	QI	13110002	13100205										24
10504033	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10505033	镇守将领	wujiang6	115	1	BU	13110001	13100203										24
10501034	镇守将领	wujiang7	121	1	GONG	13110004	13100102										22
10502034	镇守将领	wujiang8	104	0	QI	13110002	13100205										20
10503034	镇守将领	wujiang5	128	1	XIE	13110005	13100101										16
10504034	镇守将领	wujiang6	115	1	BU	13110001	13100203										15
10505034	镇守将领	wujiang18	101	0	QI	13110002	13100205										7
10501035	镇守将领	wujiang24	120	1	CHE	13110003	13100207										1
10502035	镇守将领	wujiang28	126	0	QI	13110002	13100205										17
10503035	镇守将领	wujiang4	110	1	CHE	13110003	13100207										3
10504035	镇守将领	wujiang17	108	0	GONG	13110004	13100102										5
10505035	镇守将领	wujiang3	122	1	QI	13110002	13100205										20
10501036	镇守将领	wujiang8	104	0	QI	13110002	13100205										11
10502036	镇守将领	wujiang24	120	1	CHE	13110003	13100207										2
10503036	镇守将领	wujiang7	121	1	GONG	13110004	13100102										16
10504036	镇守将领	wujiang17	108	0	GONG	13110004	13100102										12
10505036	镇守将领	wujiang26	118	1	BU	13110001	13100203										20
10501037	镇守将领	wujiang20	106	0	XIE	13110005	13100101										14
10502037	镇守将领	wujiang3	122	1	QI	13110002	13100205										23
10503037	镇守将领	wujiang23	112	0	QI	13110002	13100205										11
10504037	镇守将领	wujiang21	109	1	BU	13110001	13100203										6
10505037	镇守将领	wujiang3	122	1	QI	13110002	13100205										4
10501038	镇守将领	wujiang6	115	1	BU	13110001	13100203										12
10502038	镇守将领	wujiang20	106	0	XIE	13110005	13100101										5
10503038	镇守将领	wujiang22	105	1	GONG	13110004	13100102										10
10504038	镇守将领	wujiang7	121	1	GONG	13110004	13100102										3
10505038	镇守将领	wujiang24	120	1	CHE	13110003	13100207										13
10501039	镇守将领	wujiang4	110	1	CHE	13110003	13100207										16
10502039	镇守将领	wujiang5	128	1	XIE	13110005	13100101										20
10503039	镇守将领	wujiang3	122	1	QI	13110002	13100205										5
10504039	镇守将领	wujiang8	104	0	QI	13110002	13100205										12
10505039	镇守将领	wujiang8	104	0	QI	13110002	13100205										1
10501040	镇守将领	wujiang16	113	0	BU	13110001	13100203										11
10502040	镇守将领	wujiang25	127	1	XIE	13110005	13100101										7
10503040	镇守将领	wujiang17	108	0	GONG	13110004	13100102										16
10504040	镇守将领	wujiang3	122	1	QI	13110002	13100205										7
10505040	镇守将领	wujiang2	123	1	GONG	13110004	13100102										11
10501041	镇守将领	wujiang8	104	0	QI	13110002	13100205										2
10502041	镇守将领	wujiang4	110	1	CHE	13110003	13100207										22
10503041	镇守将领	wujiang29	119	0	CHE	13110003	13100207										1
10504041	镇守将领	wujiang8	104	0	QI	13110002	13100205										4
10505041	镇守将领	wujiang23	112	0	QI	13110002	13100205										21
10501042	镇守将领	wujiang2	123	1	GONG	13110004	13100102										21
10502042	镇守将领	wujiang4	110	1	CHE	13110003	13100207										15
10503042	镇守将领	wujiang10	111	0	XIE	13110005	13100101										23
10504042	镇守将领	wujiang9	114	0	CHE	13110003	13100207										24
10505042	镇守将领	wujiang1	103	1	BU	13110001	13100203										9
10501043	镇守将领	wujiang9	114	0	CHE	13110003	13100207										8
10502043	镇守将领	wujiang4	110	1	CHE	13110003	13100207										10
10503043	镇守将领	wujiang28	126	0	QI	13110002	13100205										8
10504043	镇守将领	wujiang10	111	0	XIE	13110005	13100101										20
10505043	镇守将领	wujiang1	103	1	BU	13110001	13100203										14
10501044	镇守将领	wujiang22	105	1	GONG	13110004	13100102										19
10502044	镇守将领	wujiang10	111	0	XIE	13110005	13100101										8
10503044	镇守将领	wujiang27	102	1	GONG	13110004	13100102										23
10504044	镇守将领	wujiang19	107	0	CHE	13110003	13100207										19
10505044	镇守将领	wujiang17	108	0	GONG	13110004	13100102										4
10501045	镇守将领	wujiang26	118	1	BU	13110001	13100203										16
10502045	镇守将领	wujiang16	113	0	BU	13110001	13100203										15
10503045	镇守将领	wujiang23	112	0	QI	13110002	13100205										22
10504045	镇守将领	wujiang28	126	0	QI	13110002	13100205										11
10505045	镇守将领	wujiang28	126	0	QI	13110002	13100205										17
10501046	镇守将领	wujiang1	103	1	BU	13110001	13100203										22
10502046	镇守将领	wujiang24	120	1	CHE	13110003	13100207										5
10503046	镇守将领	wujiang27	102	1	GONG	13110004	13100102										12
10504046	镇守将领	wujiang29	119	0	CHE	13110003	13100207										10
10505046	镇守将领	wujiang16	113	0	BU	13110001	13100203										24
10501047	镇守将领	wujiang10	111	0	XIE	13110005	13100101										18
10502047	镇守将领	wujiang7	121	1	GONG	13110004	13100102										16
10503047	镇守将领	wujiang2	123	1	GONG	13110004	13100102										19
10504047	镇守将领	wujiang25	127	1	XIE	13110005	13100101										19
10505047	镇守将领	wujiang8	104	0	QI	13110002	13100205										16
10501048	镇守将领	wujiang3	122	1	QI	13110002	13100205										21
10502048	镇守将领	wujiang1	103	1	BU	13110001	13100203										14
10503048	镇守将领	wujiang25	127	1	XIE	13110005	13100101										9
10504048	镇守将领	wujiang29	119	0	CHE	13110003	13100207										2
10505048	镇守将领	wujiang2	123	1	GONG	13110004	13100102										5
10501049	镇守将领	wujiang8	104	0	QI	13110002	13100205										24
10502049	镇守将领	wujiang20	106	0	XIE	13110005	13100101										9
10503049	镇守将领	wujiang9	114	0	CHE	13110003	13100207										2
10504049	镇守将领	wujiang6	115	1	BU	13110001	13100203										14
10505049	镇守将领	wujiang27	102	1	GONG	13110004	13100102										20
10501050	镇守将领	wujiang18	101	0	QI	13110002	13100205										20
10502050	镇守将领	wujiang5	128	1	XIE	13110005	13100101										23
10503050	镇守将领	wujiang9	114	0	CHE	13110003	13100207										22
10504050	镇守将领	wujiang28	126	0	QI	13110002	13100205										10
10505050	镇守将领	wujiang25	127	1	XIE	13110005	13100101										5
10501051	镇守将领	wujiang29	119	0	CHE	13110003	13100207										9
10502051	镇守将领	wujiang21	109	1	BU	13110001	13100203										13
10503051	镇守将领	wujiang2	123	1	GONG	13110004	13100102										21
10504051	镇守将领	wujiang8	104	0	QI	13110002	13100205										23
10505051	镇守将领	wujiang5	128	1	XIE	13110005	13100101										21
10501052	镇守将领	wujiang7	121	1	GONG	13110004	13100102										15
10502052	镇守将领	wujiang18	101	0	QI	13110002	13100205										19
10503052	镇守将领	wujiang6	115	1	BU	13110001	13100203										15
10504052	镇守将领	wujiang3	122	1	QI	13110002	13100205										20
10505052	镇守将领	wujiang4	110	1	CHE	13110003	13100207										20
10501053	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10502053	镇守将领	wujiang8	104	0	QI	13110002	13100205										14
10503053	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10504053	镇守将领	wujiang21	109	1	BU	13110001	13100203										19
10505053	镇守将领	wujiang21	109	1	BU	13110001	13100203										9
10501054	镇守将领	wujiang23	112	0	QI	13110002	13100205										4
10502054	镇守将领	wujiang19	107	0	CHE	13110003	13100207										9
10503054	镇守将领	wujiang25	127	1	XIE	13110005	13100101										22
10504054	镇守将领	wujiang20	106	0	XIE	13110005	13100101										17
10505054	镇守将领	wujiang17	108	0	GONG	13110004	13100102										14
10501055	镇守将领	wujiang27	102	1	GONG	13110004	13100102										21
10502055	镇守将领	wujiang6	115	1	BU	13110001	13100203										23
10503055	镇守将领	wujiang28	126	0	QI	13110002	13100205										15
10504055	镇守将领	wujiang5	128	1	XIE	13110005	13100101										20
10505055	镇守将领	wujiang29	119	0	CHE	13110003	13100207										23
10501056	镇守将领	wujiang4	110	1	CHE	13110003	13100207										16
10502056	镇守将领	wujiang3	122	1	QI	13110002	13100205										1
10503056	镇守将领	wujiang5	128	1	XIE	13110005	13100101										9
10504056	镇守将领	wujiang19	107	0	CHE	13110003	13100207										11
10505056	镇守将领	wujiang24	120	1	CHE	13110003	13100207										16
10501057	镇守将领	wujiang8	104	0	QI	13110002	13100205										4
10502057	镇守将领	wujiang25	127	1	XIE	13110005	13100101										1
10503057	镇守将领	wujiang16	113	0	BU	13110001	13100203										19
10504057	镇守将领	wujiang29	119	0	CHE	13110003	13100207										4
10505057	镇守将领	wujiang27	102	1	GONG	13110004	13100102										24
10501058	镇守将领	wujiang7	121	1	GONG	13110004	13100102										10
10502058	镇守将领	wujiang25	127	1	XIE	13110005	13100101										4
10503058	镇守将领	wujiang24	120	1	CHE	13110003	13100207										23
10504058	镇守将领	wujiang21	109	1	BU	13110001	13100203										24
10505058	镇守将领	wujiang2	123	1	GONG	13110004	13100102										20
10501059	镇守将领	wujiang4	110	1	CHE	13110003	13100207										21
10502059	镇守将领	wujiang26	118	1	BU	13110001	13100203										24
10503059	镇守将领	wujiang16	113	0	BU	13110001	13100203										5
10504059	镇守将领	wujiang25	127	1	XIE	13110005	13100101										24
10505059	镇守将领	wujiang24	120	1	CHE	13110003	13100207										14
10501060	镇守将领	wujiang25	127	1	XIE	13110005	13100101										5
10502060	镇守将领	wujiang21	109	1	BU	13110001	13100203										24
10503060	镇守将领	wujiang27	102	1	GONG	13110004	13100102										21
10504060	镇守将领	wujiang25	127	1	XIE	13110005	13100101										24
10505060	镇守将领	wujiang18	101	0	QI	13110002	13100205										2
10501061	镇守将领	wujiang20	106	0	XIE	13110005	13100101										13
10502061	镇守将领	wujiang8	104	0	QI	13110002	13100205										12
10503061	镇守将领	wujiang24	120	1	CHE	13110003	13100207										9
10504061	镇守将领	wujiang4	110	1	CHE	13110003	13100207										23
10505061	镇守将领	wujiang29	119	0	CHE	13110003	13100207										14
10501062	镇守将领	wujiang7	121	1	GONG	13110004	13100102										10
10502062	镇守将领	wujiang1	103	1	BU	13110001	13100203										14
10503062	镇守将领	wujiang18	101	0	QI	13110002	13100205										16
10504062	镇守将领	wujiang24	120	1	CHE	13110003	13100207										2
10505062	镇守将领	wujiang5	128	1	XIE	13110005	13100101										3
10501063	镇守将领	wujiang16	113	0	BU	13110001	13100203										19
10502063	镇守将领	wujiang24	120	1	CHE	13110003	13100207										15
10503063	镇守将领	wujiang20	106	0	XIE	13110005	13100101										5
10504063	镇守将领	wujiang23	112	0	QI	13110002	13100205										4
10505063	镇守将领	wujiang24	120	1	CHE	13110003	13100207										21
10501064	镇守将领	wujiang19	107	0	CHE	13110003	13100207										5
10502064	镇守将领	wujiang3	122	1	QI	13110002	13100205										2
10503064	镇守将领	wujiang25	127	1	XIE	13110005	13100101										22
10504064	镇守将领	wujiang27	102	1	GONG	13110004	13100102										17
10505064	镇守将领	wujiang4	110	1	CHE	13110003	13100207										9
10501065	镇守将领	wujiang1	103	1	BU	13110001	13100203										8
10502065	镇守将领	wujiang7	121	1	GONG	13110004	13100102										17
10503065	镇守将领	wujiang28	126	0	QI	13110002	13100205										10
10504065	镇守将领	wujiang17	108	0	GONG	13110004	13100102										11
10505065	镇守将领	wujiang2	123	1	GONG	13110004	13100102										14
10501066	镇守将领	wujiang26	118	1	BU	13110001	13100203										24
10502066	镇守将领	wujiang23	112	0	QI	13110002	13100205										24
10503066	镇守将领	wujiang1	103	1	BU	13110001	13100203										6
10504066	镇守将领	wujiang20	106	0	XIE	13110005	13100101										24
10505066	镇守将领	wujiang28	126	0	QI	13110002	13100205										19
10501067	镇守将领	wujiang25	127	1	XIE	13110005	13100101										1
10502067	镇守将领	wujiang4	110	1	CHE	13110003	13100207										16
10503067	镇守将领	wujiang8	104	0	QI	13110002	13100205										17
10504067	镇守将领	wujiang10	111	0	XIE	13110005	13100101										21
10505067	镇守将领	wujiang19	107	0	CHE	13110003	13100207										8
10501068	镇守将领	wujiang16	113	0	BU	13110001	13100203										9
10502068	镇守将领	wujiang26	118	1	BU	13110001	13100203										15
10503068	镇守将领	wujiang9	114	0	CHE	13110003	13100207										20
10504068	镇守将领	wujiang9	114	0	CHE	13110003	13100207										4
10505068	镇守将领	wujiang24	120	1	CHE	13110003	13100207										23
10501069	镇守将领	wujiang22	105	1	GONG	13110004	13100102										23
10502069	镇守将领	wujiang20	106	0	XIE	13110005	13100101										11
10503069	镇守将领	wujiang29	119	0	CHE	13110003	13100207										14
10504069	镇守将领	wujiang28	126	0	QI	13110002	13100205										12
10505069	镇守将领	wujiang20	106	0	XIE	13110005	13100101										8
10501070	镇守将领	wujiang28	126	0	QI	13110002	13100205										4
10502070	镇守将领	wujiang25	127	1	XIE	13110005	13100101										7
10503070	镇守将领	wujiang19	107	0	CHE	13110003	13100207										21
10504070	镇守将领	wujiang9	114	0	CHE	13110003	13100207										12
10505070	镇守将领	wujiang26	118	1	BU	13110001	13100203										21
10501071	镇守将领	wujiang1	103	1	BU	13110001	13100203										21
10502071	镇守将领	wujiang3	122	1	QI	13110002	13100205										2
10503071	镇守将领	wujiang26	118	1	BU	13110001	13100203										11
10504071	镇守将领	wujiang27	102	1	GONG	13110004	13100102										24
10505071	镇守将领	wujiang5	128	1	XIE	13110005	13100101										3
10501072	镇守将领	wujiang4	110	1	CHE	13110003	13100207										16
10502072	镇守将领	wujiang17	108	0	GONG	13110004	13100102										6
10503072	镇守将领	wujiang2	123	1	GONG	13110004	13100102										2
10504072	镇守将领	wujiang5	128	1	XIE	13110005	13100101										13
10505072	镇守将领	wujiang18	101	0	QI	13110002	13100205										24
10501073	镇守将领	wujiang23	112	0	QI	13110002	13100205										10
10502073	镇守将领	wujiang8	104	0	QI	13110002	13100205										13
10503073	镇守将领	wujiang6	115	1	BU	13110001	13100203										4
10504073	镇守将领	wujiang6	115	1	BU	13110001	13100203										8
10505073	镇守将领	wujiang17	108	0	GONG	13110004	13100102										9
10501074	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10502074	镇守将领	wujiang23	112	0	QI	13110002	13100205										8
10503074	镇守将领	wujiang1	103	1	BU	13110001	13100203										5
10504074	镇守将领	wujiang1	103	1	BU	13110001	13100203										6
10505074	镇守将领	wujiang8	104	0	QI	13110002	13100205										13
10501075	镇守将领	wujiang25	127	1	XIE	13110005	13100101										7
10502075	镇守将领	wujiang1	103	1	BU	13110001	13100203										1
10503075	镇守将领	wujiang10	111	0	XIE	13110005	13100101										14
10504075	镇守将领	wujiang23	112	0	QI	13110002	13100205										23
10505075	镇守将领	wujiang17	108	0	GONG	13110004	13100102										3
10501076	镇守将领	wujiang6	115	1	BU	13110001	13100203										22
