不要改	旧中文	旧翻译	新中文	新翻译
s.文字/广播-txt-text-FishCaptainSoul	恭喜[color=#FFD633]{{self_click}}[/color]钓鱼时获得[color=#FFD633]{{text}}级[/color]武将[color=#FFD633]{{captain}}[/color]，战力更上一层楼		恭喜[color=#FFD633]{{self}}[/color]钓鱼时获得[color=#FFD633]{{text}}级[/color]武将[color=#FFD633]{{captain}}[/color]，战力更上一层楼	
s.文字/广播-txt-text-FishEquip	恭喜[color=#FFD633]{{self_click}}[/color]钓鱼时获得{{equip_click}}，战力大幅提升		恭喜[color=#FFD633]{{self}}[/color]钓鱼时获得{{equip}}，战力大幅提升	
s.文字/广播-txt-text-FishGem	恭喜[color=#FFD633]{{self_click}}[/color]钓鱼时获得[color=#FF3333]{{num}}级宝石[/color]战力突破了天际		恭喜[color=#FFD633]{{self}}[/color]钓鱼时获得[color=#FF3333]{{num}}级宝石[/color]战力突破了天际	
s.文字/广播-txt-text-GemGet	恭喜[color=#FFD633]{{self_click}}[/color]获得[color=#FF3333]{{num}}级宝石[/color]战力突破了天际		恭喜[color=#FFD633]{{self}}[/color]获得[color=#FF3333]{{num}}级宝石[/color]战力突破了天际	
s.文字/广播-txt-text-GuildChangeCountry	[color=#FFD633]{{guild_click}}[/color]已从[color=#FFD633]{{text}}国[/color]转到[color=#FFD633]{{country}}国[/color]		[color=#FFD633]{{guild}}[/color]已从[color=#FFD633]{{text}}国[/color]转到[color=#FFD633]{{country}}国[/color]	
s.文字/广播-txt-text-GuildChangeFlag	[color=#FFD633]{{text}}[/color]已更改旗号为[color=#FFD633]{{guild_click}}[/color]		[color=#FFD633]{{text}}[/color]已更改旗号为[color=#FFD633]{{guild}}[/color]	
s.文字/广播-txt-text-GuildChangeName	[color=#FFD633]{{text}}[/color]已改名为[color=#FFD633]{{guild_click}}[/color]		[color=#FFD633]{{text}}[/color]已改名为[color=#FFD633]{{guild}}[/color]	
s.文字/广播-txt-text-GuildCreate	歃血为盟，群英聚首，联盟[color=#FFD633]{{guild_click}}[/color]在[color=#FFD633]{{name}}[/color]的带领下，开创于乱世之中		歃血为盟，群英聚首，联盟[color=#FFD633]{{guild}}[/color]在[color=#FFD633]{{name}}[/color]的带领下，开创于乱世之中	
s.文字/广播-txt-text-GuildLevel	励精图治，广纳英才，联盟[color=#FFD633]{{guild_click}}[/color]成功提升至[color=#FFD633]{{num}}级[/color]		励精图治，广纳英才，联盟[color=#FFD633]{{guild}}[/color]成功提升至[color=#FFD633]{{num}}级[/color]	
s.文字/广播-txt-text-GuildTanHe	[color=#FFD633]{{guild_click}}[/color]已弹劾不称职的旧盟主，新盟主[color=#FFD633]{{name}}[/color]将带领联盟走向新的时代		[color=#FFD633]{{guild}}[/color]已弹劾不称职的旧盟主，新盟主[color=#FFD633]{{name}}[/color]将带领联盟走向新的时代	
s.文字/广播-txt-text-HeroLevel	普天同庆！恭喜[color=#FFD633]{{self_click}}[/color]达到[color=#FFD633]{{num}}[/color]级		普天同庆！恭喜[color=#FFD633]{{self}}[/color]达到[color=#FFD633]{{num}}[/color]级	
s.文字/广播-txt-text-JiuGuanBaoJi	[color=#FFD633]{{self_click}}[/color]福星高照于驿站获得暴击[color=#FFD633]{{num}}倍[/color]数量强化符		[color=#FFD633]{{self}}[/color]福星高照于驿站获得暴击[color=#FFD633]{{num}}倍[/color]数量强化符	
s.文字/广播-txt-text-JiuGuanQingJiao	恭喜[color=#FFD633]{{self_click}}[/color]于驿站被[color=#FFD633]{{npc}}[/color]授予大量强化符		恭喜[color=#FFD633]{{self}}[/color]于驿站被[color=#FFD633]{{npc}}[/color]授予大量强化符	
s.文字/广播-txt-text-McWarAtkWin	恭喜联盟[color=#FFD633]{{guild_click}}[/color]浴血奋战，成功占领[color=#FFD633]{{mingc}}[/color]		恭喜联盟[color=#FFD633]{{guild}}[/color]浴血奋战，成功占领[color=#FFD633]{{mingc}}[/color]	
s.文字/广播-txt-text-MixEquip	恭喜[color=#FFD633]{{self_click}}[/color]首次合成{{equip_click}}，战力大幅提升		恭喜[color=#FFD633]{{self}}[/color]首次合成{{equip}}，战力大幅提升	
s.文字/广播-txt-text-NpcMonsterSucc	恭喜[color=#FFD633]{{self_click}}[/color]首次战胜[color=#FFD633]{{num}}级流寇[/color]获得玄冥装备碎片		恭喜[color=#FFD633]{{self}}[/color]首次战胜[color=#FFD633]{{num}}级流寇[/color]获得玄冥装备碎片	
s.文字/广播-txt-text-TaozLevel	恭喜[color=#FFD633]{{self_click}}[/color]首次装备套装达到[color=#FFD633]{{num}}星[/color]		恭喜[color=#FFD633]{{self}}[/color]首次装备套装达到[color=#FFD633]{{num}}星[/color]	
s.文字/广播-txt-text-TaskBwzlPrize	恭喜[color=#FFD633]{{self_click}}[/color]完成全部霸王之路任务，获得[color=#FFD633]神将[/color][color=#FFD633]鬼谷子[/color]		恭喜[color=#FFD633]{{self}}[/color]完成全部霸王之路任务，获得[color=#FFD633]神将[/color][color=#FFD633]鬼谷子[/color]	
s.文字/广播-txt-text-TaskChengJiuLevel	恭喜[color=#FFD633]{{self_click}}[/color]累积[color=#FFD633]{{num}}个[/color]成就总星数获得丰厚奖励		恭喜[color=#FFD633]{{self}}[/color]累积[color=#FFD633]{{num}}个[/color]成就总星数获得丰厚奖励	
s.文字/广播-txt-text-Title	恭喜[color=#FFD633]{{self_click}}[/color]励精图治，获得爵位[color=#FFD633]{{text}}[/color]		恭喜[color=#FFD633]{{self}}[/color]励精图治，获得爵位[color=#FFD633]{{text}}[/color]	
s.文字/广播-txt-text-TowerFloor	恭喜[color=#FFD633]{{self_click}}[/color]首次通关千机楼[color=#FFD633]{{num}}层[/color]		恭喜[color=#FFD633]{{self}}[/color]首次通关千机楼[color=#FFD633]{{num}}层[/color]	
s.文字/广播-txt-text-TowerPrizeEquip	恭喜[color=#FFD633]{{self_click}}[/color]首次于千机楼获得{{equip_click}}		恭喜[color=#FFD633]{{self}}[/color]首次于千机楼获得{{equip}}	
s.文字/广播-txt-text-XiongNuSucc	恭喜[color=#FFD633]{{guild_click}}[/color]众志成城，成功抗击匈奴[color=#FFD633]{{text}}[/color]，获得[color=#FFD633]{{score}}[/color]评价		恭喜[color=#FFD633]{{guild}}[/color]众志成城，成功抗击匈奴[color=#FFD633]{{text}}[/color]，获得[color=#FFD633]{{score}}[/color]评价	
s.文字/广播-txt-text-ZhanJiangZhangJieComplete	恭喜[color=#FFD633]{{self_click}}[/color]麾下武将通关单刀赴会-{{text}}，提升大量成长值		恭喜[color=#FFD633]{{self}}[/color]麾下武将通关单刀赴会-{{text}}，提升大量成长值	
s.文字/广播-txt-text-ZhenBaoGeBaoJi	[color=#FFD633]{{self_click}}[/color]福星高照于珍宝阁获得暴击[color=#FFD633]{{num}}倍[/color]数量道具		[color=#FFD633]{{self}}[/color]福星高照于珍宝阁获得暴击[color=#FFD633]{{num}}倍[/color]数量道具	
s.文字/文本-txt-text-BannerBaseFail			[color=#79B3F3]您[/color]的主城受到[color=#E7566B]{{attacker}}[/color]的进攻，防守失败。	
s.文字/文本-txt-text-BannerBaseSuccess			[color=#79B3F3]您[/color]的主城受到[color=#E7566B]{{attacker}}[/color]的攻击，防守胜利。	
s.文字/文本-txt-text-BannerTroopFail			队伍{{troop_index}}受到了{{attacker}}的攻击，战斗失败。	
s.文字/文本-txt-text-BannerTroopSuccess			队伍{{troop_index}}受到了{{attacker}}的攻击，战斗胜利。	
s.文字/文本-txt-text-GuildGongfangBuildComplete			联盟工坊修建成功！	
s.文字/文本-txt-text-GuildGongfangBuildTimeAdd			[color=#E7566B]{{name}}[/color]破坏了联盟工坊，修建时间增加{{num}}分钟！	
s.文字/文本-txt-text-GuildGongfangBuildTimeReduce			盟友[color=#79B3F3]{{name}}[/color]加速了修建，修建时间减少{{num}}分钟！	
s.文字/文本-txt-text-GuildGongfangBuilding	{{guild_class_level}}[color=#79B3F3]{{name}}[/color]放置了联盟工坊，开始修建中！		{{class_name}}[color=#79B3F3]{{name}}[/color]放置了联盟工坊，开始修建中！	
s.文字/文本-txt-text-GuildGongfangEfficiencyAdd			盟友[color=#79B3F3]{{name}}[/color]参与了联盟工坊生产，工坊效率增加{{num}}。	
s.文字/文本-txt-text-GuildGongfangEfficiencyReduce			[color=#E7566B]{{name}}[/color]破坏了联盟工坊，工坊效率减少{{num}}。	
s.文字/文本-txt-text-GuildGongfangPrizeSend			生产次数达到需求，所有盟友获得1个工坊奖励！	
s.文字/文本-txt-text-GuildPleaseHelpMe			我的城池遭到了敌人的攻击，请求支援	
s.文字/文本-txt-text-GuildSayHi	在下初入联盟，希望与诸位共创霸业。		在下初入联盟，愿与诸位共创霸业	
s.文字/文本-txt-text-GuildWorkshopBuildShow			已帮联盟工坊修建加速{{num}}分钟	
s.文字/文本-txt-text-GuildWorkshopCompletedChat			联盟工坊竣工了！大家快来生产吧！	
s.文字/文本-txt-text-GuildWorkshopCreatedChat			我们正在修建联盟工坊！大家快来加速吧！	
s.文字/文本-txt-text-GuildWorkshopPrizeShow			已领取当前联盟工坊奖励！	
s.文字/文本-txt-text-GuildWorkshopProdShow			已帮联盟工坊生产1次	
s.文字/文本-txt-text-MRDRAttBroken4a	进攻方主城流亡，掠夺结束		进攻方主城流亡，破坏结束	
s.文字/文本-txt-text-MRDRAttBroken4d	进攻方主城流亡，掠夺结束		进攻方主城流亡，破坏结束	
s.文字/文本-txt-text-MRDRAttMoveBase4a	进攻方迁城，掠夺结束		进攻方迁城，破坏结束	
s.文字/文本-txt-text-MRDRAttMoveBase4d	进攻方迁城，掠夺结束		进攻方迁城，破坏结束	
s.文字/文本-txt-text-MRDRBroken4a	防守方主城流亡，掠夺结束		防守方主城流亡，破坏结束	
s.文字/文本-txt-text-MRDRBroken4d	防守方主城流亡，掠夺结束		防守方主城流亡，破坏结束	
s.文字/文本-txt-text-MRDRExpelled4a	进攻方被驱逐，掠夺结束		进攻方被驱逐，破坏结束	
s.文字/文本-txt-text-MRDRExpelled4d	进攻方被驱逐，掠夺结束		进攻方被驱逐，破坏结束	
s.文字/文本-txt-text-MRDRFinished4a	掠夺时间已到，掠夺结束		时间已到，破坏结束	
s.文字/文本-txt-text-MRDRFinished4d	掠夺时间已到，掠夺结束		破坏时间已到，破坏结束	
s.文字/文本-txt-text-MRDRMian4a	防守方开启免战，掠夺结束		防守方开启免战，破坏结束	
s.文字/文本-txt-text-MRDRMian4d	防守方开启免战，掠夺结束		防守方开启免战，破坏结束	
s.文字/文本-txt-text-MRDRMoveBase4a	防守方迁城，掠夺结束		防守方迁城，破坏结束	
s.文字/文本-txt-text-MRDRMoveBase4d	防守方迁城，掠夺结束		防守方迁城，破坏结束	
s.文字/文本-txt-text-MRDRProtected4a	防守方今日繁荣度损失已达上限，掠夺结束		防守方今日繁荣度损失已达上限，破坏结束	
s.文字/文本-txt-text-MRDRProtected4d	防守方今日繁荣度损失已达上限，掠夺结束		防守方今日繁荣度损失已达上限，破坏结束	
s.文字/文本-txt-text-MRDRRecall4a	进攻方主动召回，掠夺结束		进攻方主动召回，破坏结束	
s.文字/文本-txt-text-MRDRRecall4d	进攻方主动召回，掠夺结束		进攻方主动召回，破坏结束	
s.文字/文本-txt-text-MailAddHateDesc	仇恨度增加		反击度增加	
s.文字/文本-txt-text-MailLostProsperityDesc			损失繁荣度	
s.文字/文本-txt-text-MailReduceProsperityDesc			摧毁繁荣度	
s.文字/文本-txt-text-MailReportLoserDesc			战败损失	
s.文字/文本-txt-text-MailReportWinnerDesc			战胜获得	
s.文字/文本-txt-text-McWarAtkFail			攻击失败：你攻击了{{building}}，被{{hero}}击败	
s.文字/文本-txt-text-McWarChatEnemyAtkBuildingDestroy			[color=#E7566B]攻方阵营[/color]{{building}}被摧毁！	
s.文字/文本-txt-text-McWarChatEnemyDefBuildingDestroy			[color=#E7566B]守方阵营[/color]{{building}}被摧毁！	
s.文字/文本-txt-text-McWarChatOurAtkBuildingDestroy			[color=#79B3F3]攻方阵营[/color]{{building}}被摧毁！	
s.文字/文本-txt-text-McWarChatOurDefBuildingDestroy			[color=#79B3F3]守方阵营[/color]{{building}}被摧毁！	
s.文字/文本-txt-text-McWarDefFail			防守失败：你防守了 {{building}}，被 {{hero}}击败。	
s.文字/文本-txt-text-McWarReliveSucc			您的队伍已经完成补兵，可以行动了。	
s.文字/文本-txt-text-MiscHelpGuildMember			{{member_name}}已帮您减少休息时间{{reduce_minute}}分钟	
s.文字/文本-txt-text-MultiMonsterPrizeCount			{{count}}倍次数收益	
s.文字/文本-txt-text-MysticAlly			神秘盟友	
s.文字/文本-txt-text-RealmAssemblyArrived			{{troop_index}}队到达集结地，等待集结出发	
s.文字/文本-txt-text-RealmAssemblyBackTimeout			{{troop_index}}队没有赶到集结地，开始返回	
s.文字/文本-txt-text-RealmAssemblyCanceled			{{hero}}解散了本次集结，队伍{{troop_index}}开始返回。	
s.文字/文本-txt-text-RealmAssemblyMemberCountNotEnough			本次集结没有成员参与，集结已解散	
s.文字/文本-txt-text-RealmAssemblyMemberDestroy			由于集结中成员主城发生迁移，本次集结被强制解散。	
s.文字/文本-txt-text-RealmAssemblyStart			集结队伍开始出发	
s.文字/文本-txt-text-RealmAssemblyTargetDestroy			集结目标状态发生改变，本次集结被强制解散。	
s.文字/文本-txt-text-RealmAssistArrivedBack			{{troop_index}}队开始返回	
s.文字/文本-txt-text-RealmAssistArrivedStay			{{troop_index}}队开始驻守	
s.文字/文本-txt-text-RealmAssistDefFail			{{troop_index}}队战斗失败	
s.文字/文本-txt-text-RealmAssistDefSuccess			{{troop_index}}队战斗胜利	
s.文字/文本-txt-text-RealmAssistFail			{{troop_index}}队战斗失败，队伍已返回主城	
s.文字/文本-txt-text-RealmAssistSuccess			{{troop_index}}队战斗胜利，开始驻守	
s.文字/文本-txt-text-RealmExpelledFail			{{troop_index}}队战斗失败	
s.文字/文本-txt-text-RealmExpelledSuccess			{{troop_index}}队战斗胜利	
s.文字/文本-txt-text-RealmInvadeFail			{{troop_index}}队战斗失败，队伍已返回主城	
s.文字/文本-txt-text-RealmInvadeFinished			{{troop_index}}队开始返回	
s.文字/文本-txt-text-RealmInvadeSuccess	{{troop_index}}队战斗胜利，开始掠夺		{{troop_index}}队战斗胜利，开始破坏	
s.文字/文本-txt-text-RealmInvadeSuccessBack			{{troop_index}}队战斗胜利，开始返回	
s.文字/文本-txt-text-RealmInvadeTargetLost			{{troop_index}}队的目标已不存在，队伍返回中	
s.文字/文本-txt-text-RealmMonsterInvasion	{{monster}}对你的仇恨度已满，即将对你发起入侵，请注意防守。		{{monster}}的反击度已满，即将对你发起入侵，请注意防守。	
s.文字/文本-txt-text-RealmTroopBacked			{{troop_index}}队已返回主城	
s.文字/文本-txt-text-RealmTroopBaozRepatriate	{{troop_index}}队被遣返		{{troop_index}}队被{{killer}}遣返，队伍开始返回	
s.文字/文本-txt-text-RealmTroopRecall			{{troop_index}}队开始返回	
s.文字/文本-txt-text-RealmTroopRepatriate			{{troop_index}}队开始返回	
s.文字/文本-txt-text-RealmTroopSpeedUp			{{troop_index}}队行军加速	
s.文字/文本-txt-text-SysChatFriendAdded	你已将{{hero_name}}加为好友，开始聊天吧		你已将[color=#ffeb8f]{{hero_name}}[/color]加为好友，开始聊天吧	
s.文字/文本-txt-text-SysChatSenderName			系统消息	
s.文字/文本-txt-text-XiongNuResistBroadcast			匈奴大营免战结束，联盟所有成员可以在10分钟内前往反击匈奴大营！	
s.文字/邮件-txt-desc-AssemblyAdaFail			战败损失	
s.文字/邮件-txt-desc-AssemblyAdaSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblyAddFail			战败损失	
s.文字/邮件-txt-desc-AssemblyAddSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblyAsaFail			战败损失	
s.文字/邮件-txt-desc-AssemblyAsdFail			战败损失	
s.文字/邮件-txt-desc-AssemblyAsdSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblyAssFail			战败损失	
s.文字/邮件-txt-desc-AssemblyAssSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblyDoneAttacker			获得	
s.文字/邮件-txt-desc-AssemblyDoneDefenser			损失	
s.文字/邮件-txt-desc-AssemblyExpelAttackerFail			战败损失	
s.文字/邮件-txt-desc-AssemblyExpelAttackerSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblyExpelDefenserFail			战败损失	
s.文字/邮件-txt-desc-AssemblyExpelDefenserSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblySaaFail			战败损失	
s.文字/邮件-txt-desc-AssemblySaaSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblySadFail			战败损失	
s.文字/邮件-txt-desc-AssemblySadSuccess			战胜获得	
s.文字/邮件-txt-desc-AssemblySasFail			战败损失	
s.文字/邮件-txt-desc-AssemblySasSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportAdaFail			战败损失	
s.文字/邮件-txt-desc-ReportAdaSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportAddFail			战败损失	
s.文字/邮件-txt-desc-ReportAddSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportAsaFail			战败损失	
s.文字/邮件-txt-desc-ReportAsaSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportAsdFail			战败损失	
s.文字/邮件-txt-desc-ReportAsdSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportAssFail			战败损失	
s.文字/邮件-txt-desc-ReportAssSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportBaozRepatriateMoving			获得	
s.文字/邮件-txt-desc-ReportBaozRepatriateRobber			获得	
s.文字/邮件-txt-desc-ReportDoneAttacker	收益		获得	
s.文字/邮件-txt-desc-ReportDoneBaoz			获得	
s.文字/邮件-txt-desc-ReportDoneBaozBack	掠夺上限		探索上限	
s.文字/邮件-txt-desc-ReportDoneDefenser			损失	
s.文字/邮件-txt-desc-ReportExpelAttackerFail			战败损失	
s.文字/邮件-txt-desc-ReportExpelAttackerSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportExpelDefenserFail			战败损失	
s.文字/邮件-txt-desc-ReportExpelDefenserSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportSaaFail			战败损失	
s.文字/邮件-txt-desc-ReportSaaSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportSadFail			战败损失	
s.文字/邮件-txt-desc-ReportSadSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportSasFail			战败损失	
s.文字/邮件-txt-desc-ReportSasSuccess			战胜获得	
s.文字/邮件-txt-desc-ReportWatchAttacker	瞭望		侦查	
s.文字/邮件-txt-desc-ReportWatchDefenser	被瞭望		被侦查	
s.文字/邮件-txt-sub_title-GuildFirstJoin			恭喜您加入联盟，获得200点券奖励！	
s.文字/邮件-txt-sub_title-ReportAdaFail	[color=#79B3F3]您[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗失败。		[color=#6Baaf0]您[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗失败。	
s.文字/邮件-txt-sub_title-ReportAdaSuccess	[color=#79B3F3]您[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗胜利。		[color=#6Baaf0]您[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利。	
s.文字/邮件-txt-sub_title-ReportAddFail	[color=#79B3F3]您[/color]的主城受到[color=#E7566B]{{attacker}}[/color]的进攻，防守失败。		[color=#6Baaf0]您[/color]的主城受到[color=#ff304e]{{attacker}}[/color]的进攻，防守失败。	
s.文字/邮件-txt-sub_title-ReportAddSuccess	[color=#79B3F3]您[/color]的主城受到[color=#E7566B]{{attacker}}[/color]的攻击，防守胜利。		[color=#6Baaf0]您[/color]的主城受到[color=#ff304e]{{attacker}}[/color]的攻击，防守胜利。	
s.文字/邮件-txt-sub_title-ReportAsaFail	[color=#79B3F3]您[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗失败。		[color=#6Baaf0]您[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗失败。	
s.文字/邮件-txt-sub_title-ReportAsaSuccess	[color=#79B3F3]您[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗胜利。		[color=#6Baaf0]您[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利。	
s.文字/邮件-txt-sub_title-ReportAsdFail	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]您[/color]的主城，未能抵御[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，未能抵御[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-sub_title-ReportAsdSuccess	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]您[/color]的主城，成功抵御了[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，成功抵御了[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-sub_title-ReportAssFail	[color=#79B3F3]您[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，未能抵御[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能抵御[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-sub_title-ReportAssSuccess	[color=#79B3F3]您[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，成功抵御了[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功抵御了[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-sub_title-ReportDoneAttacker	[color=#79B3F3]您[/color]在[color=#E7566B]{{defenser}}[/color]的主城持续破坏，{{reason}}。		[color=#6Baaf0]您[/color]在[color=#ff304e]{{defenser}}[/color]的主城持续破坏，{{reason}}。	
s.文字/邮件-txt-sub_title-ReportDoneBaoz	[color=#79B3F3]您[/color]探索了[color=#E7566B]{{defenser}}[/color]		[color=#6Baaf0]您[/color]探索了[color=#ff304e]{{defenser}}[/color]	
s.文字/邮件-txt-sub_title-ReportDoneBaozBack	由于目标殷墟已有4名其它君主正在掠夺，队伍{{num}}返回。		由于目标殷墟已有4名其它君主正在探索，队伍{{num}}返回。	
s.文字/邮件-txt-sub_title-ReportDoneDefenser	[color=#E7566B]{{attacker}}[/color]在[color=#79B3F3]您[/color]的主城持续破坏，{{reason}}。		[color=#ff304e]{{attacker}}[/color]在[color=#6Baaf0]您[/color]的主城持续破坏，{{reason}}。	
s.文字/邮件-txt-sub_title-ReportExpelAttackerFail	[color=#79B3F3]您[/color]的部队破坏[color=#E7566B]{{defenser}}[/color]的主城时被驱逐。		[color=#6Baaf0]您[/color]的部队破坏[color=#ff304e]{{defenser}}[/color]的主城时被驱逐。	
s.文字/邮件-txt-sub_title-ReportExpelAttackerSuccess	[color=#79B3F3]您[/color]的部队破坏[color=#E7566B]{{defenser}}[/color]主城时被攻击，战斗胜利。		[color=#6Baaf0]您[/color]的部队破坏[color=#ff304e]{{defenser}}[/color]主城时被攻击，战斗胜利。	
s.文字/邮件-txt-sub_title-ReportExpelDefenserFail	战斗失败。[color=#79B3F3]您[/color]未能驱逐[color=#E7566B]{{attacker}}[/color]的部队。		战斗失败。[color=#6Baaf0]您[/color]未能驱逐[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportExpelDefenserSuccess	战斗胜利！[color=#79B3F3]您[/color]成功驱逐了[color=#E7566B]{{attacker}}[/color]的部队。		战斗胜利！[color=#6Baaf0]您[/color]成功驱逐了[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportSaaFail	[color=#E7566B]{{assister}}[/color]援助了[color=#E7566B]{{defenser}}[/color]的主城，驱逐了[color=#79B3F3]您[/color]的部队。		[color=#ff304e]{{assister}}[/color]援助了[color=#ff304e]{{defenser}}[/color]的主城，驱逐了[color=#6Baaf0]您[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportSaaSuccess	[color=#E7566B]{{assister}}[/color]援助了[color=#E7566B]{{defenser}}[/color]的主城未能驱逐[color=#79B3F3]您[/color]的部队。		[color=#ff304e]{{assister}}[/color]援助了[color=#ff304e]{{defenser}}[/color]的主城未能驱逐[color=#6Baaf0]您[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportSadFail	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]您[/color]的主城，未能驱逐[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，未能驱逐[color=#ff304e]{{attacker}}[/color]的部队。	
