key值	value值
SoldierCapcity	带兵
BuildingName2	官府
BuildingName3	仓库
BuildingName4	酒馆
BuildingName5	军营
BuildingName6	城墙
BuildingName7	书院
BuildingName8	外使院
BuildingName9	铁匠铺
BuildingName10	修炼馆
BuildingName12	农场
BuildingName13	千重楼
BuildingName14	鱼塘
Academy1	内政科技
Academy11	步兵科技
Academy12	骑兵科技
Academy13	弓兵科技
Academy14	车兵科技
Academy15	械兵科技
ServerMy	我的服务器
ServerSubarea	%d-%d区
Upgrade	升级
ChaKan	查看
YanQing	宴请
XunLian	训练
ShouCheng	守城
KeJi	科技
LianMeng	联盟
XiuLian	修炼
RongLian	熔炼
JinJie	进阶
Tower	重楼挑战
Backroom	重楼密室
DuanZao	锻造
HeCheng	合成
JinJie	进阶
ChangeRace	转职
GeneralRebirth	转生
CopperMine	铜矿
StonePit	采石场
Cropland	农田
Sawmill	伐木场
Harvest	收获
Plow	犁地
Rebuild_1	改建
Enter	进入
Move	移动
MonarchInfo	君主信息
Invasion	出征
Help	援助
ReBuild_2	重建
NewSoldierCondition	训练新兵消耗条件
WoundedSoldierCondition	治疗伤兵消耗条件
AddDes	增加%d人/小时
SoldiersAreFull	士兵已满
NewSoldiersAreFull	新兵已满
WoundedSoldiersAreFull	伤兵已满
LevelDesc	第%d阶
RecruitSuccess	新兵已招募
HealSuccess	伤兵已治疗
TrainAmount	训练:%d
TreatAmount	治疗:%d
TargetName	[敌方]
GeneralCount	武将库%d/%d
GeneralCountLimit	"(君主等级达到%d级,可携带%d个武将)"
GeneralCountLimit_1	(武将达到招募上限)
GrowUp	成长:%d
IntensifyDesc	增加%d点属性
RenameSucc	武将改名成功。
UseItemToChangeRace	是否消耗一个转职卡将本武将转职？武将转职后将进入%d时间的转职冷却。
UseYuanBaoToChangeRace	是否消耗%d元宝将本武将转职？武将转职后将进入%d时间的转职冷却。
ChangeRaceSuccess	恭喜！武将转职成功。
GeneralOutSide	武将回到城中才可转职。
GeneralConfirmToRebirth	转生将使武将成长增加，武将回到1级，等级成长获得的属性归0
GeneralRebirthLevelLimit	武将达到%d级开启下一次转生。
GeneralAddFull	加满
UseYuanbaoToRebirth	是否消耗%d元宝加满转生能量？
GeneralRebirthMax	已转生至最高。
RebirthLevelName0	零转
RebirthLevelName1	一转
RebirthLevelName2	二转
RebirthLevelName3	三转
RebirthLevelName4	四转
RebirthLevelName5	五转
RestraintRace	克制兵种：对%s生效
FettersPrize	羁绊礼包：
CollectPrize	领取
CaptainSoulQualityName1	良将
CaptainSoulQualityName2	骁将
CaptainSoulQualityName3	名将
CaptainSoulQualityName4	神将
CaptainSoulLevel1	C
CaptainSoulLevel2	B
CaptainSoulLevel3	A
CaptainSoulLevel4	S
TechnologyUpgradeCost	升级%s消耗列表
LordsCoord	"(%d,%d)"
LordsFirstTimeForFree	首次免费
ChangeNameCost	%d元宝
RaidingCapacity	军队负载：
EquipCount	装备：%d/%d
ItemUseDefault	使用
ItemUseBaseMove	迁城
ItemUseEquip	前往装备
ItemUseMelting	熔炼
TavernTips	每小时增加1次
TavernFull	已满
GrowthValue	成长值
NoneOfGeneral	还没获得任何武将。
MySituation	我的军情
AllyBeRobbedSituation	盟友正在被采集的军情
AllySituation	联盟军情
AllyAssistSituation	正在支援的盟友
OnTheMarch	行军中
Plundering	采集中
Stationed	驻扎中
InTheBack	返回中
CaptainInfo	%s %s级 兵力值:%s/%s
EquipType1	武器
EquipType2	头盔
EquipType3	铠甲
EquipType4	饰品
EquipType5	护腿
Unwield	卸下装备
ReplaceEquip	替换装备
Collect	收藏
NotCollect	不收藏
PerHourExp	%d经验/小时
AlreadySpeedup	已提速
UseSpeedupPropSuccess	疲劳时间减少%d分钟
AllFetigueTimeIsCleared	疲劳时间全部清除
UseSpeedupPropHint	您使用的道具效果远大于剩余疲劳时间。
UseYuanBaoHint	使用%d元宝立即完成
EquipHave	已拥有: %s件
ForgeRemainCount	剩余锻造次数:%s
ForgeUnlockCondition	铁匠铺等级达到%s级开启。
NoEquipToForge	尚未拥有该装备
ForgeCountNotEnough	剩余锻造次数不足。
SelectEquipFist	请先选择一件装备。
FragmentCombineAttriAdd	攻击: +%s      体力: +%s
FragmentCombineConsume	消耗碎片:%s
FragementNotEnough	没有获得过任何套装碎片。
FragementCount	%s碎片:%d
FragmentCombineConfirm	请确认是否进行合成。
FragmentCombineSuccess	合成成功
