id	建筑类型					所需主城等级	odd-q	even col	1表示不与其他人冲突的地块（中心点以及周围一圈使用）	直偶数偏移规则，http://b.lightpaw.com/t/topic/36
54	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	-4	-1		
55	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	-4	0		
56	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	-4	1		
57	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	0	4		
58	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	4	1		
59	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	4	0		
60	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	4	-1		
61	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		12	0	-4		
62	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	3	-4		
63	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	4	-3		
64	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	5	-3		
65	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	5	-2		
66	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	5	-1		
67	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	-3	3		
68	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	-4	3		
69	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	-5	2		
70	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	-5	1		
71	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		13	-5	0		
72	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	-5	-1		
73	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	-5	-2		
74	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	-5	-3		
75	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	-4	-3		
76	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	-3	-4		
77	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	5	0		
78	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	5	1		
79	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	5	2		
80	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	4	3		
81	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		14	3	3		
82	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	2	4		
83	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	1	4		
84	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	0	5		
85	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	-1	4		
86	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	-2	4		
87	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	-2	-4		
88	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	-1	-5		
89	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	0	-5		
90	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	1	-5		
91	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		15	2	-4		
