Id	未解锁时的图标，配置icon.txt 中的id	解锁时的图标，配置icon.txt 中的id	建筑类型，配置    SI_TU_FU = 30; // 司徒府    ZHU_BI_CHANG = 31; // 铸币厂    CAI_SHI_CHANGE = 32; // 采石场    JI_XIA_XUE_GONG = 33; // 稷下学宫    LU_BAN_GONG_FANG = 34; // 鲁班工坊    SI_MA_FU = 40; // 司马府    SHEN_SHE_YING = 41; // 神射营    HU_BEN_YING = 42; // 虎贲营    CHENG_FANG_JI_GUAN = 43; // 城防机关    YU_BEI_BING_SUO = 44; // 预备兵所	等级	建筑总体描述
88	城防机关	城防机关	CHENG_FANG_JI_GUAN	38	每小时修炼经验[color=#2cd230]+%d%%[/color]
89	城防机关	城防机关	CHENG_FANG_JI_GUAN	39	每小时修炼经验[color=#2cd230]+%d%%[/color]
90	城防机关	城防机关	CHENG_FANG_JI_GUAN	40	每小时修炼经验[color=#2cd230]+%d%%[/color]
91	城防机关	城防机关	CHENG_FANG_JI_GUAN	41	每小时修炼经验[color=#2cd230]+%d%%[/color]
92	城防机关	城防机关	CHENG_FANG_JI_GUAN	42	每小时修炼经验[color=#2cd230]+%d%%[/color]
93	城防机关	城防机关	CHENG_FANG_JI_GUAN	43	每小时修炼经验[color=#2cd230]+%d%%[/color]
94	城防机关	城防机关	CHENG_FANG_JI_GUAN	44	每小时修炼经验[color=#2cd230]+%d%%[/color]
95	城防机关	城防机关	CHENG_FANG_JI_GUAN	45	每小时修炼经验[color=#2cd230]+%d%%[/color]
96	城防机关	城防机关	CHENG_FANG_JI_GUAN	46	每小时修炼经验[color=#2cd230]+%d%%[/color]
97	城防机关	城防机关	CHENG_FANG_JI_GUAN	47	每小时修炼经验[color=#2cd230]+%d%%[/color]
98	城防机关	城防机关	CHENG_FANG_JI_GUAN	48	每小时修炼经验[color=#2cd230]+%d%%[/color]
99	城防机关	城防机关	CHENG_FANG_JI_GUAN	49	每小时修炼经验[color=#2cd230]+%d%%[/color]
100	城防机关	城防机关	CHENG_FANG_JI_GUAN	50	每小时修炼经验[color=#2cd230]+%d%%[/color]
					
101	预备兵所	预备兵所	YU_BEI_BING_SUO	1	每小时产兵[color=#2cd230]+%d[/color]
102	预备兵所	预备兵所	YU_BEI_BING_SUO	2	每小时产兵[color=#2cd230]+%d[/color]
103	预备兵所	预备兵所	YU_BEI_BING_SUO	3	每小时产兵[color=#2cd230]+%d[/color]
104	预备兵所	预备兵所	YU_BEI_BING_SUO	4	每小时产兵[color=#2cd230]+%d[/color]
105	预备兵所	预备兵所	YU_BEI_BING_SUO	5	每小时产兵[color=#2cd230]+%d[/color]
106	预备兵所	预备兵所	YU_BEI_BING_SUO	6	每小时产兵[color=#2cd230]+%d[/color]
107	预备兵所	预备兵所	YU_BEI_BING_SUO	7	每小时产兵[color=#2cd230]+%d[/color]
108	预备兵所	预备兵所	YU_BEI_BING_SUO	8	每小时产兵[color=#2cd230]+%d[/color]
109	预备兵所	预备兵所	YU_BEI_BING_SUO	9	每小时产兵[color=#2cd230]+%d[/color]
110	预备兵所	预备兵所	YU_BEI_BING_SUO	10	每小时产兵[color=#2cd230]+%d[/color]
111	预备兵所	预备兵所	YU_BEI_BING_SUO	11	每小时产兵[color=#2cd230]+%d[/color]
112	预备兵所	预备兵所	YU_BEI_BING_SUO	12	每小时产兵[color=#2cd230]+%d[/color]
113	预备兵所	预备兵所	YU_BEI_BING_SUO	13	每小时产兵[color=#2cd230]+%d[/color]
114	预备兵所	预备兵所	YU_BEI_BING_SUO	14	每小时产兵[color=#2cd230]+%d[/color]
115	预备兵所	预备兵所	YU_BEI_BING_SUO	15	每小时产兵[color=#2cd230]+%d[/color]
116	预备兵所	预备兵所	YU_BEI_BING_SUO	16	每小时产兵[color=#2cd230]+%d[/color]
117	预备兵所	预备兵所	YU_BEI_BING_SUO	17	每小时产兵[color=#2cd230]+%d[/color]
118	预备兵所	预备兵所	YU_BEI_BING_SUO	18	每小时产兵[color=#2cd230]+%d[/color]
119	预备兵所	预备兵所	YU_BEI_BING_SUO	19	每小时产兵[color=#2cd230]+%d[/color]
120	预备兵所	预备兵所	YU_BEI_BING_SUO	20	每小时产兵[color=#2cd230]+%d[/color]
121	预备兵所	预备兵所	YU_BEI_BING_SUO	21	每小时产兵[color=#2cd230]+%d[/color]
122	预备兵所	预备兵所	YU_BEI_BING_SUO	22	每小时产兵[color=#2cd230]+%d[/color]
123	预备兵所	预备兵所	YU_BEI_BING_SUO	23	每小时产兵[color=#2cd230]+%d[/color]
124	预备兵所	预备兵所	YU_BEI_BING_SUO	24	每小时产兵[color=#2cd230]+%d[/color]
125	预备兵所	预备兵所	YU_BEI_BING_SUO	25	每小时产兵[color=#2cd230]+%d[/color]
126	预备兵所	预备兵所	YU_BEI_BING_SUO	26	每小时产兵[color=#2cd230]+%d[/color]
127	预备兵所	预备兵所	YU_BEI_BING_SUO	27	每小时产兵[color=#2cd230]+%d[/color]
128	预备兵所	预备兵所	YU_BEI_BING_SUO	28	每小时产兵[color=#2cd230]+%d[/color]
129	预备兵所	预备兵所	YU_BEI_BING_SUO	29	每小时产兵[color=#2cd230]+%d[/color]
130	预备兵所	预备兵所	YU_BEI_BING_SUO	30	每小时产兵[color=#2cd230]+%d[/color]
131	预备兵所	预备兵所	YU_BEI_BING_SUO	31	每小时产兵[color=#2cd230]+%d[/color]
132	预备兵所	预备兵所	YU_BEI_BING_SUO	32	每小时产兵[color=#2cd230]+%d[/color]
133	预备兵所	预备兵所	YU_BEI_BING_SUO	33	每小时产兵[color=#2cd230]+%d[/color]
134	预备兵所	预备兵所	YU_BEI_BING_SUO	34	每小时产兵[color=#2cd230]+%d[/color]
135	预备兵所	预备兵所	YU_BEI_BING_SUO	35	每小时产兵[color=#2cd230]+%d[/color]
136	预备兵所	预备兵所	YU_BEI_BING_SUO	36	每小时产兵[color=#2cd230]+%d[/color]
137	预备兵所	预备兵所	YU_BEI_BING_SUO	37	每小时产兵[color=#2cd230]+%d[/color]
138	预备兵所	预备兵所	YU_BEI_BING_SUO	38	每小时产兵[color=#2cd230]+%d[/color]
139	预备兵所	预备兵所	YU_BEI_BING_SUO	39	每小时产兵[color=#2cd230]+%d[/color]
140	预备兵所	预备兵所	YU_BEI_BING_SUO	40	每小时产兵[color=#2cd230]+%d[/color]
141	预备兵所	预备兵所	YU_BEI_BING_SUO	41	每小时产兵[color=#2cd230]+%d[/color]
142	预备兵所	预备兵所	YU_BEI_BING_SUO	42	每小时产兵[color=#2cd230]+%d[/color]
143	预备兵所	预备兵所	YU_BEI_BING_SUO	43	每小时产兵[color=#2cd230]+%d[/color]
144	预备兵所	预备兵所	YU_BEI_BING_SUO	44	每小时产兵[color=#2cd230]+%d[/color]
145	预备兵所	预备兵所	YU_BEI_BING_SUO	45	每小时产兵[color=#2cd230]+%d[/color]
146	预备兵所	预备兵所	YU_BEI_BING_SUO	46	每小时产兵[color=#2cd230]+%d[/color]
147	预备兵所	预备兵所	YU_BEI_BING_SUO	47	每小时产兵[color=#2cd230]+%d[/color]
148	预备兵所	预备兵所	YU_BEI_BING_SUO	48	每小时产兵[color=#2cd230]+%d[/color]
149	预备兵所	预备兵所	YU_BEI_BING_SUO	49	每小时产兵[color=#2cd230]+%d[/color]
150	预备兵所	预备兵所	YU_BEI_BING_SUO	50	每小时产兵[color=#2cd230]+%d[/color]
					
151	神射营	神射营	SHEN_SHE_YING	1	弓、器增伤[color=#2cd230]+%.2f%%[/color]
152	神射营	神射营	SHEN_SHE_YING	2	弓、器增伤[color=#2cd230]+%.2f%%[/color]
153	神射营	神射营	SHEN_SHE_YING	3	弓、器增伤[color=#2cd230]+%.2f%%[/color]
154	神射营	神射营	SHEN_SHE_YING	4	弓、器增伤[color=#2cd230]+%.2f%%[/color]
155	神射营	神射营	SHEN_SHE_YING	5	弓、器增伤[color=#2cd230]+%.2f%%[/color]
156	神射营	神射营	SHEN_SHE_YING	6	弓、器增伤[color=#2cd230]+%.2f%%[/color]
157	神射营	神射营	SHEN_SHE_YING	7	弓、器增伤[color=#2cd230]+%.2f%%[/color]
158	神射营	神射营	SHEN_SHE_YING	8	弓、器增伤[color=#2cd230]+%.2f%%[/color]
159	神射营	神射营	SHEN_SHE_YING	9	弓、器增伤[color=#2cd230]+%.2f%%[/color]
160	神射营	神射营	SHEN_SHE_YING	10	弓、器增伤[color=#2cd230]+%.2f%%[/color]
161	神射营	神射营	SHEN_SHE_YING	11	弓、器增伤[color=#2cd230]+%.2f%%[/color]
162	神射营	神射营	SHEN_SHE_YING	12	弓、器增伤[color=#2cd230]+%.2f%%[/color]
163	神射营	神射营	SHEN_SHE_YING	13	弓、器增伤[color=#2cd230]+%.2f%%[/color]
164	神射营	神射营	SHEN_SHE_YING	14	弓、器增伤[color=#2cd230]+%.2f%%[/color]
165	神射营	神射营	SHEN_SHE_YING	15	弓、器增伤[color=#2cd230]+%.2f%%[/color]
166	神射营	神射营	SHEN_SHE_YING	16	弓、器增伤[color=#2cd230]+%.2f%%[/color]
167	神射营	神射营	SHEN_SHE_YING	17	弓、器增伤[color=#2cd230]+%.2f%%[/color]
168	神射营	神射营	SHEN_SHE_YING	18	弓、器增伤[color=#2cd230]+%.2f%%[/color]
169	神射营	神射营	SHEN_SHE_YING	19	弓、器增伤[color=#2cd230]+%.2f%%[/color]
170	神射营	神射营	SHEN_SHE_YING	20	弓、器增伤[color=#2cd230]+%.2f%%[/color]
171	神射营	神射营	SHEN_SHE_YING	21	弓、器增伤[color=#2cd230]+%.2f%%[/color]
172	神射营	神射营	SHEN_SHE_YING	22	弓、器增伤[color=#2cd230]+%.2f%%[/color]
173	神射营	神射营	SHEN_SHE_YING	23	弓、器增伤[color=#2cd230]+%.2f%%[/color]
174	神射营	神射营	SHEN_SHE_YING	24	弓、器增伤[color=#2cd230]+%.2f%%[/color]
175	神射营	神射营	SHEN_SHE_YING	25	弓、器增伤[color=#2cd230]+%.2f%%[/color]
176	神射营	神射营	SHEN_SHE_YING	26	弓、器增伤[color=#2cd230]+%.2f%%[/color]
177	神射营	神射营	SHEN_SHE_YING	27	弓、器增伤[color=#2cd230]+%.2f%%[/color]
178	神射营	神射营	SHEN_SHE_YING	28	弓、器增伤[color=#2cd230]+%.2f%%[/color]
179	神射营	神射营	SHEN_SHE_YING	29	弓、器增伤[color=#2cd230]+%.2f%%[/color]
180	神射营	神射营	SHEN_SHE_YING	30	弓、器增伤[color=#2cd230]+%.2f%%[/color]
181	神射营	神射营	SHEN_SHE_YING	31	弓、器增伤[color=#2cd230]+%.2f%%[/color]
182	神射营	神射营	SHEN_SHE_YING	32	弓、器增伤[color=#2cd230]+%.2f%%[/color]
183	神射营	神射营	SHEN_SHE_YING	33	弓、器增伤[color=#2cd230]+%.2f%%[/color]
184	神射营	神射营	SHEN_SHE_YING	34	弓、器增伤[color=#2cd230]+%.2f%%[/color]
185	神射营	神射营	SHEN_SHE_YING	35	弓、器增伤[color=#2cd230]+%.2f%%[/color]
186	神射营	神射营	SHEN_SHE_YING	36	弓、器增伤[color=#2cd230]+%.2f%%[/color]
187	神射营	神射营	SHEN_SHE_YING	37	弓、器增伤[color=#2cd230]+%.2f%%[/color]
188	神射营	神射营	SHEN_SHE_YING	38	弓、器增伤[color=#2cd230]+%.2f%%[/color]
189	神射营	神射营	SHEN_SHE_YING	39	弓、器增伤[color=#2cd230]+%.2f%%[/color]
190	神射营	神射营	SHEN_SHE_YING	40	弓、器增伤[color=#2cd230]+%.2f%%[/color]
191	神射营	神射营	SHEN_SHE_YING	41	弓、器增伤[color=#2cd230]+%.2f%%[/color]
192	神射营	神射营	SHEN_SHE_YING	42	弓、器增伤[color=#2cd230]+%.2f%%[/color]
193	神射营	神射营	SHEN_SHE_YING	43	弓、器增伤[color=#2cd230]+%.2f%%[/color]
194	神射营	神射营	SHEN_SHE_YING	44	弓、器增伤[color=#2cd230]+%.2f%%[/color]
195	神射营	神射营	SHEN_SHE_YING	45	弓、器增伤[color=#2cd230]+%.2f%%[/color]
196	神射营	神射营	SHEN_SHE_YING	46	弓、器增伤[color=#2cd230]+%.2f%%[/color]
197	神射营	神射营	SHEN_SHE_YING	47	弓、器增伤[color=#2cd230]+%.2f%%[/color]
198	神射营	神射营	SHEN_SHE_YING	48	弓、器增伤[color=#2cd230]+%.2f%%[/color]
199	神射营	神射营	SHEN_SHE_YING	49	弓、器增伤[color=#2cd230]+%.2f%%[/color]
200	神射营	神射营	SHEN_SHE_YING	50	弓、器增伤[color=#2cd230]+%.2f%%[/color]
					
201	神射营	神射营	SHEN_SHE_YING	1	弓、器增伤[color=#2cd230]+%.2f%%[/color]
202	神射营	神射营	SHEN_SHE_YING	2	弓、器增伤[color=#2cd230]+%.2f%%[/color]
203	神射营	神射营	SHEN_SHE_YING	3	弓、器增伤[color=#2cd230]+%.2f%%[/color]
204	神射营	神射营	SHEN_SHE_YING	4	弓、器增伤[color=#2cd230]+%.2f%%[/color]
205	神射营	神射营	SHEN_SHE_YING	5	弓、器增伤[color=#2cd230]+%.2f%%[/color]
206	神射营	神射营	SHEN_SHE_YING	6	弓、器增伤[color=#2cd230]+%.2f%%[/color]
207	神射营	神射营	SHEN_SHE_YING	7	弓、器增伤[color=#2cd230]+%.2f%%[/color]
208	神射营	神射营	SHEN_SHE_YING	8	弓、器增伤[color=#2cd230]+%.2f%%[/color]
209	神射营	神射营	SHEN_SHE_YING	9	弓、器增伤[color=#2cd230]+%.2f%%[/color]
210	神射营	神射营	SHEN_SHE_YING	10	弓、器增伤[color=#2cd230]+%.2f%%[/color]
211	神射营	神射营	SHEN_SHE_YING	11	弓、器增伤[color=#2cd230]+%.2f%%[/color]
212	神射营	神射营	SHEN_SHE_YING	12	弓、器增伤[color=#2cd230]+%.2f%%[/color]
213	神射营	神射营	SHEN_SHE_YING	13	弓、器增伤[color=#2cd230]+%.2f%%[/color]
214	神射营	神射营	SHEN_SHE_YING	14	弓、器增伤[color=#2cd230]+%.2f%%[/color]
215	神射营	神射营	SHEN_SHE_YING	15	弓、器增伤[color=#2cd230]+%.2f%%[/color]
216	神射营	神射营	SHEN_SHE_YING	16	弓、器增伤[color=#2cd230]+%.2f%%[/color]
217	神射营	神射营	SHEN_SHE_YING	17	弓、器增伤[color=#2cd230]+%.2f%%[/color]
218	神射营	神射营	SHEN_SHE_YING	18	弓、器增伤[color=#2cd230]+%.2f%%[/color]
219	神射营	神射营	SHEN_SHE_YING	19	弓、器增伤[color=#2cd230]+%.2f%%[/color]
220	神射营	神射营	SHEN_SHE_YING	20	弓、器增伤[color=#2cd230]+%.2f%%[/color]
221	神射营	神射营	SHEN_SHE_YING	21	弓、器增伤[color=#2cd230]+%.2f%%[/color]
222	神射营	神射营	SHEN_SHE_YING	22	弓、器增伤[color=#2cd230]+%.2f%%[/color]
223	神射营	神射营	SHEN_SHE_YING	23	弓、器增伤[color=#2cd230]+%.2f%%[/color]
224	神射营	神射营	SHEN_SHE_YING	24	弓、器增伤[color=#2cd230]+%.2f%%[/color]
225	神射营	神射营	SHEN_SHE_YING	25	弓、器增伤[color=#2cd230]+%.2f%%[/color]
226	神射营	神射营	SHEN_SHE_YING	26	弓、器增伤[color=#2cd230]+%.2f%%[/color]
227	神射营	神射营	SHEN_SHE_YING	27	弓、器增伤[color=#2cd230]+%.2f%%[/color]
228	神射营	神射营	SHEN_SHE_YING	28	弓、器增伤[color=#2cd230]+%.2f%%[/color]
229	神射营	神射营	SHEN_SHE_YING	29	弓、器增伤[color=#2cd230]+%.2f%%[/color]
230	神射营	神射营	SHEN_SHE_YING	30	弓、器增伤[color=#2cd230]+%.2f%%[/color]
231	神射营	神射营	SHEN_SHE_YING	31	弓、器增伤[color=#2cd230]+%.2f%%[/color]
232	神射营	神射营	SHEN_SHE_YING	32	弓、器增伤[color=#2cd230]+%.2f%%[/color]
233	神射营	神射营	SHEN_SHE_YING	33	弓、器增伤[color=#2cd230]+%.2f%%[/color]
234	神射营	神射营	SHEN_SHE_YING	34	弓、器增伤[color=#2cd230]+%.2f%%[/color]
235	神射营	神射营	SHEN_SHE_YING	35	弓、器增伤[color=#2cd230]+%.2f%%[/color]
236	神射营	神射营	SHEN_SHE_YING	36	弓、器增伤[color=#2cd230]+%.2f%%[/color]
237	神射营	神射营	SHEN_SHE_YING	37	弓、器增伤[color=#2cd230]+%.2f%%[/color]
238	神射营	神射营	SHEN_SHE_YING	38	弓、器增伤[color=#2cd230]+%.2f%%[/color]
239	神射营	神射营	SHEN_SHE_YING	39	弓、器增伤[color=#2cd230]+%.2f%%[/color]
240	神射营	神射营	SHEN_SHE_YING	40	弓、器增伤[color=#2cd230]+%.2f%%[/color]
241	神射营	神射营	SHEN_SHE_YING	41	弓、器增伤[color=#2cd230]+%.2f%%[/color]
242	神射营	神射营	SHEN_SHE_YING	42	弓、器增伤[color=#2cd230]+%.2f%%[/color]
243	神射营	神射营	SHEN_SHE_YING	43	弓、器增伤[color=#2cd230]+%.2f%%[/color]
244	神射营	神射营	SHEN_SHE_YING	44	弓、器增伤[color=#2cd230]+%.2f%%[/color]
245	神射营	神射营	SHEN_SHE_YING	45	弓、器增伤[color=#2cd230]+%.2f%%[/color]
246	神射营	神射营	SHEN_SHE_YING	46	弓、器增伤[color=#2cd230]+%.2f%%[/color]
247	神射营	神射营	SHEN_SHE_YING	47	弓、器增伤[color=#2cd230]+%.2f%%[/color]
248	神射营	神射营	SHEN_SHE_YING	48	弓、器增伤[color=#2cd230]+%.2f%%[/color]
249	神射营	神射营	SHEN_SHE_YING	49	弓、器增伤[color=#2cd230]+%.2f%%[/color]
250	神射营	神射营	SHEN_SHE_YING	50	弓、器增伤[color=#2cd230]+%.2f%%[/color]
					
251	虎贲营	虎贲营	HU_BEN_YING	1	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
252	虎贲营	虎贲营	HU_BEN_YING	2	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
253	虎贲营	虎贲营	HU_BEN_YING	3	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
254	虎贲营	虎贲营	HU_BEN_YING	4	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
255	虎贲营	虎贲营	HU_BEN_YING	5	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
256	虎贲营	虎贲营	HU_BEN_YING	6	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
257	虎贲营	虎贲营	HU_BEN_YING	7	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
258	虎贲营	虎贲营	HU_BEN_YING	8	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
