id	名字	描述	"标签页(填数字或者名字都可以)，11-tech_bu(11-15分别是bu,qi,gong,che,xie，步（骑弓车械）兵科技) 1-tech_neizheng(内政)"	序号（客户端界面上排第几个）从1开始	大图标	小图标	分组，相同类型的配置分组应该一样	等级	效果，关联效果表	前置建筑，多个使用分号分隔		前置科技，多个分号分隔				消耗	升级所需时间，s-秒 m-分钟 h-小时		大科技填1															
10004014	城防术	床弩攻击提升|1075|1335	1	4	ui://Academy/neizhengicon4	0	4	14	10004014	70027						10004014	17.37h											提升床弩攻击特效，前3回合发动特效时，必定杀死560个士兵			27	0.5	2.17	15.67
10004015	城防术	床弩攻击提升|1335|1595	1	4	ui://Academy/neizhengicon4	0	4	15	10004015	70029						10004015	30.32h											提升床弩攻击特效，前3回合发动特效时，必定杀死600个士兵			33	0.5	2.52	19.02
10004016	城防术	床弩攻击提升|1595|1901	1	4	ui://Academy/neizhengicon4	0	4	16	10004016	70031						10004016	65.36h											提升床弩攻击特效，前3回合发动特效时，必定杀死640个士兵			40	0.5	2.76	22.76
10004017	城防术	床弩攻击提升|1901|2271	1	4	ui://Academy/neizhengicon4	0	4	17	10004017	70033						10004017	127.22h											提升床弩攻击特效，前3回合发动特效时，必定杀死680个士兵			50	0.5	3.02	28.02
10004018	城防术	床弩攻击提升|2271|2641	1	4	ui://Academy/neizhengicon4	0	4	18	10004018	70035						10004018	163.08h											提升床弩攻击特效，前3回合发动特效时，必定杀死720个士兵			70	0.5	3.28	38.28
10004019	城防术	床弩攻击提升|2641|3011	1	4	ui://Academy/neizhengicon4	0	4	19	10004019	70037						10004019	198.76h											提升床弩攻击特效，前3回合发动特效时，必定杀死760个士兵			90	0.5	3.56	48.56
10004020	城防术	床弩攻击提升|3011|3571	1	4	ui://Academy/neizhengicon4	0	4	20	10004020	70039						10004020	234.65h											提升床弩攻击特效，前3回合发动特效时，必定杀死800个士兵			115	0.5	3.85	61.35
10004021	城防术	床弩攻击提升|3571|4321	1	4	ui://Academy/neizhengicon4	0	4	21	10004021	70041						10004021	282.95h														145	0.5	4.15	76.65
10004022	城防术	床弩攻击提升|4321|5146	1	4	ui://Academy/neizhengicon4	0	4	22	10004022	70043						10004022	343.66h														175	0.5	4.46	91.96
10004023	城防术	床弩攻击提升|5146|6046	1	4	ui://Academy/neizhengicon4	0	4	23	10004023	70045						10004023	404.58h														205	0.5	4.78	107.28
10004024	城防术	床弩攻击提升|6046|7046	1	4	ui://Academy/neizhengicon4	0	4	24	10004024	70047						10004024	465.32h														235	0.5	5.12	122.62
10004025	城防术	床弩攻击提升|7046	1	4	ui://Academy/neizhengicon4	0	4	25	10004025	70049						10004025	526.26h														265	0.5	5.46	137.96
																																		
10005001	建筑术	建造速度提升|30%|60%	1	5	ui://Academy/neizhengicon5	0	5	1	10005001	70006			10002001			10005001	1.23h		1									提升工匠效率10%			1.05	1	0.18	1.23
10005002	建筑术	建造速度提升|60%|90%	1	5	ui://Academy/neizhengicon5	0	5	2	10005002	70010		10001003				10005002	4.88h		1									提升工匠效率12%			4.5	1	0.38	4.88
10005003	建筑术	建造速度提升|90%|120%	1	5	ui://Academy/neizhengicon5	0	5	3	10005003	70015			10002005			10005003	12.73h		1									提升工匠效率14%			12	1	0.73	12.73
10005004	建筑术	建造速度提升|120%|150%	1	5	ui://Academy/neizhengicon5	0	5	4	10005004	70020		10001007				10005004	28.17h		1									提升工匠效率16%			23.25	1	1.17	24.42
10005005	建筑术	建造速度提升|150%|180%	1	5	ui://Academy/neizhengicon5	0	5	5	10005005	70025			10002009			10005005	67.86h		1									提升工匠效率18%			34.5	1	1.86	36.36
10005006	建筑术	建造速度提升|180%|210%	1	5	ui://Academy/neizhengicon5	0	5	6	10005006	70030		10001011				10005006	314.64h		1									提升工匠效率20%			54	1	2.64	56.64
10005007	建筑术	建造速度提升|210%|240%	1	5	ui://Academy/neizhengicon5	0	5	7	10005007	70035			10002013			10005007	1201.78h		1									提升工匠效率22%			105	1	3.28	108.28
10005008	建筑术	建造速度提升|240%|270%	1	5	ui://Academy/neizhengicon5	0	5	8	10005008	70040		10001015				10005008	1870h		1									提升工匠效率24%			195	1	4	199
10005009	建筑术	建造速度提升|270%|300%	1	5	ui://Academy/neizhengicon5	0	5	9	10005009	70045			10002017			10005009	3003.28h		1									提升工匠效率26%			307.5	1	4.78	312.28
10005010	建筑术	建造速度提升|300%	1	5	ui://Academy/neizhengicon5	0	5	10	10005010	70050		10001019				10005010	4138.14h		1									提升工匠效率28%			420	1	5.64	425.64
																																		
10011001	近战攻击	近战兵种攻击提升|3|6	11	1	ui://Academy/junshiicon1	1	11	1	10011001	70001						10011001	0.19h											提升基础攻击10%			0.2	1	0.09	0.29
10011002	近战攻击	近战兵种攻击提升|6|12	11	1	ui://Academy/junshiicon1	1	11	2	10011002	70003						10011002	0.49h											提升基础攻击20%			0.5	1	0.14	0.64
10011003	近战攻击	近战兵种攻击提升|12|18	11	1	ui://Academy/junshiicon1	1	11	3	10011003	70005						10011003	0.9h											提升基础攻击30%			1	1	0.2	1.2
10011004	近战攻击	近战兵种攻击提升|18|27	11	1	ui://Academy/junshiicon1	1	11	4	10011004	70007						10011004	1.68h											提升基础攻击40%			1.8	1	0.28	2.08
10011005	近战攻击	近战兵种攻击提升|27|36	11	1	ui://Academy/junshiicon1	1	11	5	10011005	70009						10011005	2.78h											提升基础攻击50%			3	1	0.38	3.38
10011006	近战攻击	近战兵种攻击提升|36|48	11	1	ui://Academy/junshiicon1	1	11	6	10011006	70011						10011006	4.29h											提升基础攻击60%			4.6	1	0.49	5.09
10011007	近战攻击	近战兵种攻击提升|48|63	11	1	ui://Academy/junshiicon1	1	11	7	10011007	70013						10011007	6.22h											提升基础攻击70%			6.8	1	0.62	7.42
10011008	近战攻击	近战兵种攻击提升|63|81	11	1	ui://Academy/junshiicon1	1	11	8	10011008	70015						10011008	8.78h											提升基础攻击80%			9.5	1	0.78	10.28
10011009	近战攻击	近战兵种攻击提升|81|102	11	1	ui://Academy/junshiicon1	1	11	9	10011009	70017						10011009	11.96h											提升基础攻击90%			12.5	1	0.96	13.46
10011010	近战攻击	近战兵种攻击提升|102|126	11	1	ui://Academy/junshiicon1	1	11	10	10011010	70019						10011010	15.17h											提升基础攻击100%			15.5	1	1.17	16.67
10011011	近战攻击	近战兵种攻击提升|126|153	11	1	ui://Academy/junshiicon1	1	11	11	10011011	70021						10011011	23.4h											提升基础攻击110%			18.5	1	1.4	19.9
10011012	近战攻击	近战兵种攻击提升|153|183	11	1	ui://Academy/junshiicon1	1	11	12	10011012	70023						10011012	32.66h											提升基础攻击120%			21.5	1	1.66	23.16
10011013	近战攻击	近战兵种攻击提升|183|243	11	1	ui://Academy/junshiicon1	1	11	13	10011013	70025						10011013	45.96h											提升基础攻击130%			25	1	1.96	26.96
10011014	近战攻击	近战兵种攻击提升|243|351	11	1	ui://Academy/junshiicon1	1	11	14	10011014	70027						10011014	78.28h											提升基础攻击140%			30	1	2.28	32.28
10011015	近战攻击	近战兵种攻击提升|351|531	11	1	ui://Academy/junshiicon1	1	11	15	10011015	70029						10011015	141.64h											提升基础攻击150%			36	1	2.64	38.64
10011016	近战攻击	近战兵种攻击提升|531|783	11	1	ui://Academy/junshiicon1	1	11	16	10011016	70031						10011016	315.89h											提升基础攻击160%			45	1	2.89	47.89
10011017	近战攻击	近战兵种攻击提升|783|1173	11	1	ui://Academy/junshiicon1	1	11	17	10011017	70033						10011017	624.15h											提升基础攻击170%			60	1	3.15	63.15
10011018	近战攻击	近战兵种攻击提升|1173|1563	11	1	ui://Academy/junshiicon1	1	11	18	10011018	70035						10011018	802.42h											提升基础攻击180%			80	1	3.42	83.42
10011019	近战攻击	近战兵种攻击提升|1563|1953	11	1	ui://Academy/junshiicon1	1	11	19	10011019	70037						10011019	979.71h											提升基础攻击190%			100	1	3.71	103.71
10011020	近战攻击	近战兵种攻击提升|1953|2343	11	1	ui://Academy/junshiicon1	1	11	20	10011020	70039						10011020	1158h											提升基础攻击200%			130	1	4	134
10011021	近战攻击	近战兵种攻击提升|2343|2733	11	1	ui://Academy/junshiicon1	1	11	21	10011021	70041						10011021	1398.31h														160	1	4.31	164.31
10011022	近战攻击	近战兵种攻击提升|2733|3123	11	1	ui://Academy/junshiicon1	1	11	22	10011022	70043						10011022	1700.62h														190	1	4.62	194.62
10011023	近战攻击	近战兵种攻击提升|3123|3513	11	1	ui://Academy/junshiicon1	1	11	23	10011023	70045						10011023	2003.95h														220	1	4.95	224.95
10011024	近战攻击	近战兵种攻击提升|3513|3903	11	1	ui://Academy/junshiicon1	1	11	24	10011024	70047						10011024	2306.29h														250	1	5.29	255.29
10011025	近战攻击	近战兵种攻击提升|3903	11	1	ui://Academy/junshiicon1	1	11	25	10011025	70049						10011025	2609.64h														280	1	5.64	285.64
																																		
10012001	近战防御	近战兵种防御提升|7|14	11	2	ui://Academy/junshiicon1	2	12	1	10012001	70001						10012001	0.19h											提升基础防御10%			0.2	1	0.09	0.29
10012002	近战防御	近战兵种防御提升|14|28	11	2	ui://Academy/junshiicon1	2	12	2	10012002	70003						10012002	0.49h											提升基础防御20%			0.5	1	0.14	0.64
10012003	近战防御	近战兵种防御提升|28|42	11	2	ui://Academy/junshiicon1	2	12	3	10012003	70005						10012003	0.9h											提升基础防御30%			1	1	0.2	1.2
10012004	近战防御	近战兵种防御提升|42|63	11	2	ui://Academy/junshiicon1	2	12	4	10012004	70007						10012004	1.68h											提升基础防御40%			1.8	1	0.28	2.08
10012005	近战防御	近战兵种防御提升|63|84	11	2	ui://Academy/junshiicon1	2	12	5	10012005	70009						10012005	2.78h											提升基础防御50%			3	1	0.38	3.38
10012006	近战防御	近战兵种防御提升|84|112	11	2	ui://Academy/junshiicon1	2	12	6	10012006	70011						10012006	4.29h											提升基础防御60%			4.6	1	0.49	5.09
10012007	近战防御	近战兵种防御提升|112|147	11	2	ui://Academy/junshiicon1	2	12	7	10012007	70013						10012007	6.22h											提升基础防御70%			6.8	1	0.62	7.42
10012008	近战防御	近战兵种防御提升|147|189	11	2	ui://Academy/junshiicon1	2	12	8	10012008	70015						10012008	8.78h											提升基础防御80%			9.5	1	0.78	10.28
10012009	近战防御	近战兵种防御提升|189|238	11	2	ui://Academy/junshiicon1	2	12	9	10012009	70017						10012009	11.96h											提升基础防御90%			12.5	1	0.96	13.46
10012010	近战防御	近战兵种防御提升|238|294	11	2	ui://Academy/junshiicon1	2	12	10	10012010	70019						10012010	15.17h											提升基础防御100%			15.5	1	1.17	16.67
10012011	近战防御	近战兵种防御提升|294|357	11	2	ui://Academy/junshiicon1	2	12	11	10012011	70021						10012011	23.4h											提升基础防御110%			18.5	1	1.4	19.9
10012012	近战防御	近战兵种防御提升|357|427	11	2	ui://Academy/junshiicon1	2	12	12	10012012	70023						10012012	32.66h											提升基础防御120%			21.5	1	1.66	23.16
10012013	近战防御	近战兵种防御提升|427|567	11	2	ui://Academy/junshiicon1	2	12	13	10012013	70025						10012013	45.96h											提升基础防御130%			25	1	1.96	26.96
10012014	近战防御	近战兵种防御提升|567|819	11	2	ui://Academy/junshiicon1	2	12	14	10012014	70027						10012014	78.28h											提升基础防御140%			30	1	2.28	32.28
10012015	近战防御	近战兵种防御提升|819|1239	11	2	ui://Academy/junshiicon1	2	12	15	10012015	70029						10012015	141.64h											提升基础防御150%			36	1	2.64	38.64
10012016	近战防御	近战兵种防御提升|1239|1827	11	2	ui://Academy/junshiicon1	2	12	16	10012016	70031						10012016	315.89h											提升基础防御160%			45	1	2.89	47.89
10012017	近战防御	近战兵种防御提升|1827|2737	11	2	ui://Academy/junshiicon1	2	12	17	10012017	70033						10012017	624.15h											提升基础防御170%			60	1	3.15	63.15
10012018	近战防御	近战兵种防御提升|2737|3647	11	2	ui://Academy/junshiicon1	2	12	18	10012018	70035						10012018	802.42h											提升基础防御180%			80	1	3.42	83.42
10012019	近战防御	近战兵种防御提升|3647|4557	11	2	ui://Academy/junshiicon1	2	12	19	10012019	70037						10012019	979.71h											提升基础防御190%			100	1	3.71	103.71
10012020	近战防御	近战兵种防御提升|4557|5467	11	2	ui://Academy/junshiicon1	2	12	20	10012020	70039						10012020	1158h											提升基础防御200%			130	1	4	134
10012021	近战防御	近战兵种防御提升|5467|6377	11	2	ui://Academy/junshiicon1	2	12	21	10012021	70041						10012021	1398.31h														160	1	4.31	164.31
10012022	近战防御	近战兵种防御提升|6377|7287	11	2	ui://Academy/junshiicon1	2	12	22	10012022	70043						10012022	1700.62h														190	1	4.62	194.62
10012023	近战防御	近战兵种防御提升|7287|8197	11	2	ui://Academy/junshiicon1	2	12	23	10012023	70045						10012023	2003.95h														220	1	4.95	224.95
10012024	近战防御	近战兵种防御提升|8197|9107	11	2	ui://Academy/junshiicon1	2	12	24	10012024	70047						10012024	2306.29h														250	1	5.29	255.29
10012025	近战防御	近战兵种防御提升|9107	11	2	ui://Academy/junshiicon1	2	12	25	10012025	70049						10012025	2609.64h														280	1	5.64	285.64
																																		
10013001	近战体力	近战兵种体力提升|5|10	11	3	ui://Academy/junshiicon1	3	13	1	10013001	70001						10013001	0.19h											提升基础体力10%			0.2	1	0.09	0.29
10013002	近战体力	近战兵种体力提升|10|20	11	3	ui://Academy/junshiicon1	3	13	2	10013002	70003						10013002	0.49h											提升基础体力20%			0.5	1	0.14	0.64
10013003	近战体力	近战兵种体力提升|20|30	11	3	ui://Academy/junshiicon1	3	13	3	10013003	70005						10013003	0.9h											提升基础体力30%			1	1	0.2	1.2
10013004	近战体力	近战兵种体力提升|30|45	11	3	ui://Academy/junshiicon1	3	13	4	10013004	70007						10013004	1.68h											提升基础体力40%			1.8	1	0.28	2.08
10013005	近战体力	近战兵种体力提升|45|60	11	3	ui://Academy/junshiicon1	3	13	5	10013005	70009						10013005	2.78h											提升基础体力50%			3	1	0.38	3.38
10013006	近战体力	近战兵种体力提升|60|80	11	3	ui://Academy/junshiicon1	3	13	6	10013006	70011						10013006	4.29h											提升基础体力60%			4.6	1	0.49	5.09
10013007	近战体力	近战兵种体力提升|80|105	11	3	ui://Academy/junshiicon1	3	13	7	10013007	70013						10013007	6.22h											提升基础体力70%			6.8	1	0.62	7.42
10013008	近战体力	近战兵种体力提升|105|135	11	3	ui://Academy/junshiicon1	3	13	8	10013008	70015						10013008	8.78h											提升基础体力80%			9.5	1	0.78	10.28
