君主等级	升级经验	装备等级上限	将魂等级上限	武将等级上限	武将个数上限	武将修炼位上限	解锁步兵	骑兵	弓兵	车兵	器械	千重楼出战武将限制	策略个数上限	体力值上限	训练馆	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限		武将带兵量		队伍解锁个数	阵位解锁个数	阵位解锁
15	390	35	25	35	8	7	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4																		75		2	8	5
16	410	36	25	36	8	8	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4																80		2	8	5
17	430	37	25	37	9	8	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4																85		2	8	5
18	450	38	25	38	9	8	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4																90		2	8	5
19	470	39	25	39	10	8	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4																95		2	8	5
20	530	40	25	40	11	8	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4																100		2	8	5
21	550	41	25	41	12	8	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4																105		2	8	5
22	570	42	25	42	13	9	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4														110		2	9	5
23	590	43	25	43	14	9	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4														115		2	9	5
24	610	44	25	44	15	9	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4														120		2	9	5
25	630	45	25	45	15	9	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4														125		3	9	5
26	650	46	25	46	15	9	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4														130		3	9	5
27	670	47	25	47	15	10	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4												135		3	9	5
28	690	48	25	48	15	10	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4												140		3	9	5
29	710	49	25	49	15	10	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4												145		3	9	5
30	750	50	25	50	15	10	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4												150		3	9	5
31	770	51	25	51	15	10	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4												155		3	10	5
32	790	52	25	52	15	11	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4										160		3	10	5
33	810	53	25	53	15	11	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4										165		3	10	5
34	830	54	25	54	15	11	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4										170		3	10	5
35	850	55	25	55	15	11	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4										175		3	10	5
36	870	56	25	56	15	11	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4										180		3	10	5
37	890	57	25	57	15	12	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4								185		3	10	5
38	910	58	25	58	15	12	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4								190		3	10	5
39	930	59	25	59	15	12	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4								195		3	10	5
40	1200	60	25	60	15	12	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4								200		3	11	5
41	1500	61	25	61	15	12	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4								205		3	11	5
42	1800	62	25	62	15	13	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4						210		3	11	5
43	2100	63	25	63	15	13	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4						215		3	11	5
44	2400	64	25	64	15	13	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4						220		3	11	5
45	2700	65	25	65	15	13	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4						225		3	11	5
46	3000	66	25	66	15	13	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4						230		3	11	5
47	3300	67	25	67	15	14	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4				235		3	11	5
48	3600	68	25	68	15	14	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4				240		3	11	5
49	3900	69	25	69	15	14	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4				245		3	11	5
50	4500	70	25	70	15	14	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4				250		3	11	5
51	4800	71	25	71	15	14	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4				255		3	12	5
52	5100	72	25	72	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		260		3	12	5
53	5400	73	25	73	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		265		3	12	5
54	5700	74	25	74	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		270		3	12	5
55	6000	75	25	75	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		275		3	12	5
56	6300	76	25	76	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		280		3	12	5
57	6600	77	25	77	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		285		3	12	5
58	6900	78	25	78	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		290		3	12	5
59	7200	79	25	79	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		295		3	12	5
60	8200	80	25	80	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		300		3	12	5
61	8600	81	25	81	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		305		3	12	5
62	9000	82	25	82	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		310		3	13	5
63	9400	83	25	83	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		315		3	13	5
64	9800	84	25	84	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		320		3	13	5
65	10200	85	25	85	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		325		3	13	5
66	10600	86	25	86	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		330		3	13	5
67	11000	87	25	87	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		335		3	13	5
68	11400	88	25	88	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		340		3	13	5
69	11800	89	25	89	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		345		3	13	5
70	13000	90	25	90	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		350		3	13	5
71	13500	91	25	91	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		355		3	13	5
72	14000	92	25	92	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		360		3	13	5
73	14500	93	25	93	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		365		3	13	5
74	15000	94	25	94	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		370		3	14	5
75	15500	95	25	95	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		375		3	14	5
76	16000	96	25	96	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		380		3	14	5
77	16500	97	25	97	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		385		3	14	5
78	17000	98	25	98	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		390		3	14	5
79	17500	99	25	99	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		395		3	14	5
80	20000	100	25	100	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		400		3	14	5
81	21500	101	25	101	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		405		3	14	5
82	23000	102	25	102	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		410		3	14	5
83	24500	103	25	103	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		415		3	14	5
84	26000	104	25	104	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		420		3	14	5
85	27500	105	25	105	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		425		3	14	5
86	30000	106	25	106	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		430		3	14	5
87	40000	107	25	107	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		435		3	15	5
88	50000	108	25	108	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		440		3	15	5
89	60000	109	25	109	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		445		3	15	5
90	70000	110	25	110	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		450		3	15	5
91	73000	111	25	111	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		455		3	15	5
92	76000	112	25	112	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		460		3	15	5
93	79000	113	25	113	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		465		3	15	5
94	82000	114	25	114	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		470		3	15	5
95	85000	115	25	115	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		475		3	15	5
96	88000	116	25	116	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		480		3	15	5
97	91000	117	25	117	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		485		3	15	5
98	94000	118	25	118	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		490		3	15	5
99	97000	119	25	119	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		495		3	15	5
100	100000	120	25	120	15	15	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4		500		3	15	5
