"id,5-6位编码表示建筑，前1-2为表示建筑类型，后两位表示建筑等级"	名字	类型    GUAN_FU = 2; // 官府    CANG_KU = 3; // 仓库    JIU_GUAN = 4; // 酒馆    JUN_YING = 5; // 军营    CHENG_QIANG = 6; // 城墙    SHU_YUAN = 7; // 书院    WAI_SHI_YUAN = 8; // 外使院    TIE_JIANG_PU = 9; // 铁匠铺    XIU_LIAN_GUAN = 10; // 修炼馆    SHI_CHANG = 11; // 市场    XING_YING = 12; // 行营    GOLD_PRODUCER = 21; // 金币产出    FOOD_PRODUCER = 22; // 食物产出    WOOD_PRODUCER = 23; // 木头产出    STONE_PRODUCER = 24; // 石头产出    SI_TU_FU = 30; // 司徒府    ZHU_BI_CHANG = 31; // 铸币厂    CAI_SHI_CHANGE = 32; // 采石场    JI_XIA_XUE_GONG = 33; // 稷下学宫    LU_BAN_GONG_FANG = 34; // 鲁班工坊    SI_MA_FU = 40; // 司马府    SHEN_SHE_YING = 41; // 神射营    HU_BEN_YING = 42; // 虎贲营    CHENG_FANG_JI_GUAN = 43; // 城防机关    YU_BEI_BING_SUO = 44; // 预备兵所	等级	升级所需建筑队时间	繁荣度	君主经验	升级消耗的资源，关联Cost表	前置建筑	要求主城等级		effect，关联domestic/effect.txt表	建筑效果描述	建筑功能按钮图标	模型	建筑效果描述	解锁预览	升级预览											
20025	官府25	guan_fu	25	96.53h	4250	9	20025	60020	7		20025	建造速度提升|170%|180%;官府税收获得铜币和石料|9500|10000	官府征收图标	1006	建造速度提升[color=#ffea8a]170%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升170%（升级[color=#0cb93b]+10%[/color]） \n税收9500（升级[color=#0cb93b]+500[/color]）											27000
20026	官府26	guan_fu	26	115.64h	4550	9	20026	60021	7		20026	建造速度提升|180%|190%;官府税收获得铜币和石料|10000|10500	官府征收图标	1006	建造速度提升[color=#ffea8a]180%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升180%（升级[color=#0cb93b]+10%[/color]） \n税收10000（升级[color=#0cb93b]+500[/color]）											32000
20027	官府27	guan_fu	27	139.2h	4860	9	20027	60022	7		20027	建造速度提升|190%|200%;官府税收获得铜币和石料|10500|11000	官府征收图标	1006	建造速度提升[color=#ffea8a]190%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升190%（升级[color=#0cb93b]+10%[/color]） \n税收10500（升级[color=#0cb93b]+500[/color]）											37000
20028	官府28	guan_fu	28	168.07h	5180	10	20028		8		20028	建造速度提升|200%|210%;官府税收获得铜币和石料|11000|11500	官府征收图标	1007	建造速度提升[color=#ffea8a]200%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升200%（升级[color=#0cb93b]+10%[/color]） \n税收11000（升级[color=#0cb93b]+500[/color]）											42000
20029	官府29	guan_fu	29	250.64h	5510	10	20029	60024	8		20029	建造速度提升|210%|220%;官府税收获得铜币和石料|11500|12000	官府征收图标	1007	建造速度提升[color=#ffea8a]210%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升210%（升级[color=#0cb93b]+10%[/color]） \n税收11500（升级[color=#0cb93b]+500[/color]）											47000
20030	官府30	guan_fu	30	373.11h	5850	10	20030	60025	8		20030	建造速度提升|220%|230%;官府税收获得铜币和石料|12000|13000	官府征收图标	1007	建造速度提升[color=#ffea8a]220%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升220%（升级[color=#0cb93b]+10%[/color]） \n税收12000（升级[color=#0cb93b]+1000[/color]）											52000
20031	官府31	guan_fu	31	556.17h	6200	11	20031	60026	8		20031	建造速度提升|230%|240%;官府税收获得铜币和石料|13000|14000	官府征收图标	1007	建造速度提升[color=#ffea8a]230%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升230%（升级[color=#0cb93b]+10%[/color]） \n税收13000（升级[color=#0cb93b]+1000[/color]）											57000
20032	官府32	guan_fu	32	831.64h	6560	11	20032		9		20032	建造速度提升|240%|250%;官府税收获得铜币和石料|14000|15000	官府征收图标	1007	建造速度提升[color=#ffea8a]240%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升240%（升级[color=#0cb93b]+10%[/color]） \n税收14000（升级[color=#0cb93b]+1000[/color]）											62000
20033	官府33	guan_fu	33	1096.63h	6930	11	20033	60028	9		20033	建造速度提升|250%|260%;官府税收获得铜币和石料|15000|16000	官府征收图标	1007	建造速度提升[color=#ffea8a]250%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升250%（升级[color=#0cb93b]+10%[/color]） \n税收15000（升级[color=#0cb93b]+1000[/color]）											67000
20034	官府34	guan_fu	34	1252.42h	7310	12	20034	60029	9		20034	建造速度提升|260%|270%;官府税收获得铜币和石料|16000|17000	官府征收图标	1007	建造速度提升[color=#ffea8a]260%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升260%（升级[color=#0cb93b]+10%[/color]） \n税收16000（升级[color=#0cb93b]+1000[/color]）											72000
20035	官府35	guan_fu	35	1408.57h	7700	12	20035	60030	9		20035	建造速度提升|270%|280%;官府税收获得铜币和石料|17000|18000	官府征收图标	1007	建造速度提升[color=#ffea8a]270%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升270%（升级[color=#0cb93b]+10%[/color]） \n税收17000（升级[color=#0cb93b]+1000[/color]）											77000
20036	官府36	guan_fu	36	1564.39h	8100	12	20036		10		20036	建造速度提升|280%|290%;官府税收获得铜币和石料|18000|19000	官府征收图标	1007	建造速度提升[color=#ffea8a]280%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升280%（升级[color=#0cb93b]+10%[/color]） \n税收18000（升级[color=#0cb93b]+1000[/color]）											82000
20037	官府37	guan_fu	37	1720.21h	8510	13	20037	60032	10		20037	建造速度提升|290%|300%;官府税收获得铜币和石料|19000|20000	官府征收图标	1007	建造速度提升[color=#ffea8a]290%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升290%（升级[color=#0cb93b]+10%[/color]） \n税收19000（升级[color=#0cb93b]+1000[/color]）											87000
20038	官府38	guan_fu	38	1876.04h	8930	13	20038	60033	10		20038	建造速度提升|300%|310%;官府税收获得铜币和石料|20000|22000	官府征收图标	1007	建造速度提升[color=#ffea8a]300%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升300%（升级[color=#0cb93b]+10%[/color]） \n税收20000（升级[color=#0cb93b]+2000[/color]）											92000
20039	官府39	guan_fu	39	2031.88h	9360	13	20039		11		20039	建造速度提升|310%|320%;官府税收获得铜币和石料|22000|24000	官府征收图标	1007	建造速度提升[color=#ffea8a]310%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升310%（升级[color=#0cb93b]+10%[/color]） \n税收22000（升级[color=#0cb93b]+2000[/color]）											97000
20040	官府40	guan_fu	40	2190.23h	9800	14	20040	60035	11		20040	建造速度提升|320%|330%;官府税收获得铜币和石料|24000|26000	官府征收图标	1007	建造速度提升[color=#ffea8a]320%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升320%（升级[color=#0cb93b]+10%[/color]） \n税收24000（升级[color=#0cb93b]+2000[/color]）											102000
20041	官府41	guan_fu	41	2453.2h	10250	14	20041	60036	11		20041	建造速度提升|330%|340%;官府税收获得铜币和石料|26000|28000	官府征收图标	1007	建造速度提升[color=#ffea8a]330%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升330%（升级[color=#0cb93b]+10%[/color]） \n税收26000（升级[color=#0cb93b]+2000[/color]）											110000
20042	官府42	guan_fu	42	2718.27h	10710	14	20042		12		20042	建造速度提升|340%|350%;官府税收获得铜币和石料|28000|30000	官府征收图标	1007	建造速度提升[color=#ffea8a]340%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升340%（升级[color=#0cb93b]+10%[/color]） \n税收28000（升级[color=#0cb93b]+2000[/color]）											120000
20043	官府43	guan_fu	43	2983.35h	11180	15	20043	60038	12		20043	建造速度提升|350%|360%;官府税收获得铜币和石料|30000|32000	官府征收图标	1007	建造速度提升[color=#ffea8a]350%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升350%（升级[color=#0cb93b]+10%[/color]） \n税收30000（升级[color=#0cb93b]+2000[/color]）											130000
20044	官府44	guan_fu	44	3248.44h	11660	15	20044	60039	12		20044	建造速度提升|360%|370%;官府税收获得铜币和石料|32000|34000	官府征收图标	1007	建造速度提升[color=#ffea8a]360%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升360%（升级[color=#0cb93b]+10%[/color]） \n税收32000（升级[color=#0cb93b]+2000[/color]）											140000
20045	官府45	guan_fu	45	3513.98h	12160	15	20045		13		20045	建造速度提升|370%|380%;官府税收获得铜币和石料|34000|36000	官府征收图标	1007	建造速度提升[color=#ffea8a]370%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升370%（升级[color=#0cb93b]+10%[/color]） \n税收34000（升级[color=#0cb93b]+2000[/color]）											150000
20046	官府46	guan_fu	46	3779.1h	12680	16	20046	60041	13		20046	建造速度提升|380%|390%;官府税收获得铜币和石料|36000|38000	官府征收图标	1007	建造速度提升[color=#ffea8a]380%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升380%（升级[color=#0cb93b]+10%[/color]） \n税收36000（升级[color=#0cb93b]+2000[/color]）											160000
20047	官府47	guan_fu	47	4044.22h	13220	16	20047	60042	13		20047	建造速度提升|390%|400%;官府税收获得铜币和石料|38000|40000	官府征收图标	1007	建造速度提升[color=#ffea8a]390%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升390%（升级[color=#0cb93b]+10%[/color]） \n税收38000（升级[color=#0cb93b]+2000[/color]）											170000
20048	官府48	guan_fu	48	4309.36h	13780	16	20048		14		20048	建造速度提升|400%|410%;官府税收获得铜币和石料|40000|42000	官府征收图标	1007	建造速度提升[color=#ffea8a]400%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升400%（升级[color=#0cb93b]+10%[/color]） \n税收40000（升级[color=#0cb93b]+2000[/color]）											180000
20049	官府49	guan_fu	49	4574.5h	14370	17	20049	60044	14		20049	建造速度提升|410%|420%;官府税收获得铜币和石料|42000|44000	官府征收图标	1007	建造速度提升[color=#ffea8a]410%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升410%（升级[color=#0cb93b]+10%[/color]） \n税收42000（升级[color=#0cb93b]+2000[/color]）											190000
20050	官府50	guan_fu	50	4840.13h	15000	17	20050	60045	14		20050	建造速度提升|420%;官府税收获得铜币和石料|44000	官府征收图标	1007	建造速度提升[color=#ffea8a]420%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升420%\n税收44000											200000
																												
30001	仓库1	CANG_KU	1		50	1	30001	20001			30001	每种资源容量+|150万|200万	仓库雕刻图标	2001	每种资源容量+[color=#ffea8a]150万		[color=#ffea8a]储存资源[/color]\n每种资源容量+150万（升级[color=#0cb93b]+50万[/color]）											
30002	仓库2	CANG_KU	2	0.005h	110	1	30002	20002			30002	每种资源容量+|200万|250万	仓库雕刻图标	2001	每种资源容量+[color=#ffea8a]200万		[color=#ffea8a]储存资源[/color]\n每种资源容量+200万（升级[color=#0cb93b]+50万[/color]）											
30003	仓库3	CANG_KU	3	0.006h	180	1	30003	20003			30003	每种资源容量+|250万|300万	仓库雕刻图标	2001	每种资源容量+[color=#ffea8a]250万		[color=#ffea8a]储存资源[/color]\n每种资源容量+250万（升级[color=#0cb93b]+50万[/color]）											
30004	仓库4	CANG_KU	4	0.007h	260	2	30004	20004			30004	每种资源容量+|300万|350万	仓库雕刻图标	2001	每种资源容量+[color=#ffea8a]300万		[color=#ffea8a]储存资源[/color]\n每种资源容量+300万（升级[color=#0cb93b]+50万[/color]）											
30005	仓库5	CANG_KU	5	0.008h	350	2	30005	20005			30005	每种资源容量+|350万|400万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]350万		[color=#ffea8a]储存资源[/color]\n每种资源容量+350万（升级[color=#0cb93b]+50万[/color]）											
30006	仓库6	CANG_KU	6	0.009h	450	2	30006	20006			30006	每种资源容量+|400万|450万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]400万		[color=#ffea8a]储存资源[/color]\n每种资源容量+400万（升级[color=#0cb93b]+50万[/color]）											
30007	仓库7	CANG_KU	7	0.01h	560	3	30007	20007			30007	每种资源容量+|450万|500万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]450万		[color=#ffea8a]储存资源[/color]\n每种资源容量+450万（升级[color=#0cb93b]+50万[/color]）											
30008	仓库8	CANG_KU	8	0.12h	680	3	30008	20008			30008	每种资源容量+|500万|550万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]500万		[color=#ffea8a]储存资源[/color]\n每种资源容量+500万（升级[color=#0cb93b]+50万[/color]）											
30009	仓库9	CANG_KU	9	0.25h	810	3	30009	20009			30009	每种资源容量+|550万|600万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]550万		[color=#ffea8a]储存资源[/color]\n每种资源容量+550万（升级[color=#0cb93b]+50万[/color]）											
30010	仓库10	CANG_KU	10	0.4h	950	4	30010	20010			30010	每种资源容量+|600万|700万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]600万		[color=#ffea8a]储存资源[/color]\n每种资源容量+600万（升级[color=#0cb93b]+100万[/color]）											
30011	仓库11	CANG_KU	11	0.55h	1100	4	30011	20011			30011	每种资源容量+|700万|800万	仓库雕刻图标	2002	每种资源容量+[color=#ffea8a]700万		[color=#ffea8a]储存资源[/color]\n每种资源容量+700万（升级[color=#0cb93b]+100万[/color]）											
30012	仓库12	CANG_KU	12	0.87h	1260	4	30012	20012			30012	每种资源容量+|800万|900万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]800万		[color=#ffea8a]储存资源[/color]\n每种资源容量+800万（升级[color=#0cb93b]+100万[/color]）											
30013	仓库13	CANG_KU	13	1.09h	1430	5	30013	20013			30013	每种资源容量+|900万|1000万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]900万		[color=#ffea8a]储存资源[/color]\n每种资源容量+900万（升级[color=#0cb93b]+100万[/color]）											
30014	仓库14	CANG_KU	14	1.24h	1610	5	30014	20014			30014	每种资源容量+|1000万|1100万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1000万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1000万（升级[color=#0cb93b]+100万[/color]）											
30015	仓库15	CANG_KU	15	1.7h	1800	5	30015	20015			30015	每种资源容量+|1100万|1200万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1100万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1100万（升级[color=#0cb93b]+100万[/color]）											
30016	仓库16	CANG_KU	16	1.97h	2000	6	30016	20016			30016	每种资源容量+|1200万|1300万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1200万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1200万（升级[color=#0cb93b]+100万[/color]）											
30017	仓库17	CANG_KU	17	2.34h	2210	6	30017	20017			30017	每种资源容量+|1300万|1400万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1300万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1300万（升级[color=#0cb93b]+100万[/color]）											
30018	仓库18	CANG_KU	18	2.62h	2430	6	30018	20018			30018	每种资源容量+|1400万|1500万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1400万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1400万（升级[color=#0cb93b]+100万[/color]）											
30019	仓库19	CANG_KU	19	3.1h	2660	7	30019	20019			30019	每种资源容量+|1500万|1700万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1500万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1500万（升级[color=#0cb93b]+200万[/color]）											
30020	仓库20	CANG_KU	20	4.25h	2900	7	30020	20020			30020	每种资源容量+|1700万|1900万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1700万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1700万（升级[color=#0cb93b]+200万[/color]）											
30021	仓库21	CANG_KU	21	4.97h	3150	7	30021	20021			30021	每种资源容量+|1900万|2100万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]1900万		[color=#ffea8a]储存资源[/color]\n每种资源容量+1900万（升级[color=#0cb93b]+200万[/color]）											
30022	仓库22	CANG_KU	22	5.53h	3410	8	30022	20022			30022	每种资源容量+|2100万|2300万	仓库雕刻图标	2003	每种资源容量+[color=#ffea8a]2100万		[color=#ffea8a]储存资源[/color]\n每种资源容量+2100万（升级[color=#0cb93b]+200万[/color]）											
