id	名称	仓库金币容量	粮食	木材	石料	仓库保护容量		产出资源类型	资源产出量，每小时	资源点存储上限		军营士兵容量	军营士兵产量，每小时	军营强征士兵数	新兵产量，每小时	新兵最大容量	伤兵容量	增加招募的士兵数量		远程兵种加的属性	近战兵种加的属性		兵种	兵种	兵种	兵种属性	士兵负载	给所有兵种加的属性		修炼馆产出基数，每小时	修炼馆容量基数	修炼馆每小时产出经验	修炼馆加成系数		减少建筑cd，填0.1表示减少10%的cd	减少科技cd，填0.1表示减少10%的cd	建筑队疲劳时间	科技队疲劳时间		行营繁荣度上限	行营抢修值上限		主城城墙固定伤害	主城城墙属性	行营城墙固定伤害	行营城墙属性		求助减少CD	求助最大被帮助次数	联盟捐献次数		农场产出资源类型	农场产出加成，千分比		官府税收，金币	粮食	木材	石料		驻守附加属性	协防附加属性	镜像驻守附加属性		建筑消耗减少	科技消耗减少		建筑	科技	修炼	农铜	农石	税铜	税石	
80001	外使院1																																															45s	5																									
80002	外使院2																																															50s	6																									
80003	外使院3																																															55s	7																									
80004	外使院4																																															60s	7																									
80005	外使院5																																															65s	8																									
80006	外使院6																																															70s	8																									
80007	外使院7																																															75s	9																									
80008	外使院8																																															80s	9																									
80009	外使院9																																															85s	10																									
80010	外使院10																																															90s	10																									
80011	外使院11																																															95s	11																									
80012	外使院12																																															100s	11																									
80013	外使院13																																															105s	12																									
80014	外使院14																																															110s	12																									
80015	外使院15																																															115s	13																									
80016	外使院16																																															120s	13																									
80017	外使院17																																															125s	14																									
80018	外使院18																																															130s	14																									
80019	外使院19																																															135s	15																									
80020	外使院20																																															140s	15																									
80021	外使院21																																															145s	16																									
80022	外使院22																																															150s	16																									
80023	外使院23																																															155s	17																									
80024	外使院24																																															160s	17																									
80025	外使院25																																															165s	18																									
80026	外使院26																																															170s	18																									
80027	外使院27																																															175s	19																									
80028	外使院28																																															180s	19																									
80029	外使院29																																															185s	20																									
80030	外使院30																																															190s	20																									
80031	外使院31																																															195s	20																									
80032	外使院32																																															200s	20																									
80033	外使院33																																															205s	20																									
80034	外使院34																																															210s	20																									
80035	外使院35																																															215s	20																									
80036	外使院36																																															220s	20																									
80037	外使院37																																															225s	20																									
80038	外使院38																																															230s	20																									
80039	外使院39																																															235s	20																									
80040	外使院40																																															240s	20																									
80041	外使院41																																															245s	20																									
80042	外使院42																																															250s	20																									
80043	外使院43																																															255s	20																									
80044	外使院44																																															260s	20																									
80045	外使院45																																															265s	20																									
80046	外使院46																																															270s	20																									
80047	外使院47																																															275s	20																									
80048	外使院48																																															280s	20																									
80049	外使院49																																															285s	20																									
80050	外使院50																																															290s	20																									
																																																																										
100001	修炼馆1																													10	800	100																																										
100002	修炼馆2																													20	960	120																																										
100003	修炼馆3																													30	1120	140																																										
100004	修炼馆4																													40	1280	160																																										
100005	修炼馆5																													50	1440	180																																										
100006	修炼馆6																													60	1600	200																																										
100007	修炼馆7																													70	1760	220																																										
100008	修炼馆8																													80	1920	240																																										
100009	修炼馆9																													90	2080	260																																										
100010	修炼馆10																													100	2240	280																																										
100011	修炼馆11																													110	2400	300																																										
100012	修炼馆12																													120	2560	320																																										
100013	修炼馆13																													130	2720	340																																										
100014	修炼馆14																													140	2880	360																																										
100015	修炼馆15																													150	3040	380																																										
100016	修炼馆16																													160	3200	400																																										
100017	修炼馆17																													170	3360	420																																										
100018	修炼馆18																													180	3520	440																																										
100019	修炼馆19																													190	3680	460																																										
100020	修炼馆20																													200	3840	480																																										
100021	修炼馆21																													210	4000	500																																										
100022	修炼馆22																													220	4160	520																																										
100023	修炼馆23																													230	4320	540																																										
100024	修炼馆24																													240	4480	560																																										
100025	修炼馆25																													250	4800	600																																										
100026	修炼馆26																													260	5120	640																																										
100027	修炼馆27																													270	5440	680																																										
100028	修炼馆28																													280	5760	720																																										
100029	修炼馆29																													290	6080	760																																										
100030	修炼馆30																													300	6400	800																																										
100031	修炼馆31																													310	6720	840																																										
100032	修炼馆32																													320	7040	880																																										
100033	修炼馆33																													330	7360	920																																										
100034	修炼馆34																													340	7680	960																																										
100035	修炼馆35																													350	8000	1000																																										
100036	修炼馆36																													360	8320	1040																																										
100037	修炼馆37																													370	8640	1080																																										
100038	修炼馆38																													380	8960	1120																																										
100039	修炼馆39																													390	9280	1160																																										
100040	修炼馆40																													400	9600	1200																																										
100041	修炼馆41																													410	9920	1240																																										
100042	修炼馆42																													420	10240	1280																																										
100043	修炼馆43																													430	10560	1320																																										
100044	修炼馆44																													440	10880	1360																																										
100045	修炼馆45																													450	11200	1400																																										
100046	修炼馆46																													460	11520	1440																																										
100047	修炼馆47																													470	11840	1480																																										
100048	修炼馆48																													480	12160	1520																																										
100049	修炼馆49																													490	12480	1560																																										
100050	修炼馆50																													500	12800	1600																																										
																																																																										
300001	司徒府1																																																						100%	1%	1%	100%																
300002	司徒府2																																																						130%	1%	1%	130%																
300003	司徒府3																																																						160%	1%	1%	160%																
300004	司徒府4																																																						190%	1%	1%	190%																
300005	司徒府5																																																						220%	1%	1%	220%																
300006	司徒府6																																																						250%	1%	1%	250%																
300007	司徒府7																																																						280%	1%	1%	280%																
300008	司徒府8																																																						310%	1%	1%	310%																
300009	司徒府9																																																						340%	1%	1%	340%																
300010	司徒府10																																																						370%	1%	1%	370%																
300011	司徒府11																																																						400%	1%	1%	400%																
300012	司徒府12																																																						430%	1%	1%	430%																
300013	司徒府13																																																						460%	1%	1%	460%																
300014	司徒府14																																																						490%	1%	1%	490%																
300015	司徒府15																																																						520%	1%	1%	520%																
300016	司徒府16																																																						550%	1%	1%	550%																
300017	司徒府17																																																						580%	1%	1%	580%																
300018	司徒府18																																																						610%	1%	1%	610%																
300019	司徒府19																																																						640%	1%	1%	640%																
300020	司徒府20																																																						670%	1%	1%	670%																
300021	司徒府21																																																						700%	1%	1%	700%																
300022	司徒府22																																																						730%	1%	1%	730%																
300023	司徒府23																																																						760%	1%	1%	760%																
300024	司徒府24																																																						790%	1%	1%	790%																
300025	司徒府25																																																						820%	1%	1%	820%																
300026	司徒府26																																																						850%	1%	1%	850%																
300027	司徒府27																																																						880%	1%	1%	880%																
300028	司徒府28																																																						910%	1%	1%	910%																
300029	司徒府29																																																						940%	1%	1%	940%																
300030	司徒府30																																																						970%	1%	1%	970%																
300031	司徒府31																																																						1000%	1%	1%	1000%																
300032	司徒府32																																																						1030%	1%	1%	1030%																
300033	司徒府33																																																						1060%	1%	1%	1060%																
300034	司徒府34																																																						1090%	1%	1%	1090%																
300035	司徒府35																																																						1120%	1%	1%	1120%																
300036	司徒府36																																																						1150%	1%	1%	1150%																
300037	司徒府37																																																						1180%	1%	1%	1180%																
300038	司徒府38																																																						1210%	1%	1%	1210%																
300039	司徒府39																																																						1240%	1%	1%	1240%																
300040	司徒府40																																																						1270%	1%	1%	1270%																
300041	司徒府41																																																						1300%	1%	1%	1300%																
300042	司徒府42																																																						1330%	1%	1%	1330%																
300043	司徒府43																																																						1360%	1%	1%	1360%																
300044	司徒府44																																																						1390%	1%	1%	1390%																
300045	司徒府45																																																						1420%	1%	1%	1420%																
300046	司徒府46																																																						1450%	1%	1%	1450%																
300047	司徒府47																																																						1480%	1%	1%	1480%																
300048	司徒府48																																																						1510%	1%	1%	1510%																
300049	司徒府49																																																						1540%	1%	1%	1540%																
300050	司徒府50																																																						1570%	1%	1%	1570%																
																																																																										
340001	库府1	100000	100000	100000	100000																																																																					
340002	库府2	200000	200000	200000	200000																																																																					
340003	库府3	300000	300000	300000	300000																																																																					
