任务序号，从1开始连续配置	1	任务内容	任务图标	任务目标	奖励	成就类型，做完A做B，成就类型一致	做完这个成就任务，下一个成就任务，0表示做完该任务没有下一个成就任务了	星数，从1开始	总共的星数，用来计算总共多少星，从1开始	任务品质 	排序	
60602	军事外城2	讲武堂等级提升到10级	ui://Library/Image_FunctionIcon_UniteCity	60602	60602	6	60603	2	2	1	7	
60603	军事外城3	虎贲营等级提升到15级	ui://Library/Image_FunctionIcon_UniteCity	60603	60603	6	60604	3	3	1	7	
60604	军事外城4	神射营等级提升到20级	ui://Library/Image_FunctionIcon_UniteCity	60604	60604	6	60605	4	4	2	7	
60605	军事外城5	司马府等级提升到25级	ui://Library/Image_FunctionIcon_UniteCity	60605	60605	6	60606	5	5	2	7	
60606	军事外城6	预备兵所提升到30级	ui://Library/Image_FunctionIcon_UniteCity	60606	60606	6	60607	1	6	2	7	
60607	军事外城7	讲武堂等级提升到35级	ui://Library/Image_FunctionIcon_UniteCity	60607	60607	6	60608	2	7	3	7	
60608	军事外城8	虎贲营等级提升到40级	ui://Library/Image_FunctionIcon_UniteCity	60608	60608	6	60609	3	8	3	7	
60609	军事外城9	神射营等级提升到45级	ui://Library/Image_FunctionIcon_UniteCity	60609	60609	6	60610	4	9	3	7	
60610	军事外城10	司马府等级提升到50级	ui://Library/Image_FunctionIcon_UniteCity	60610	60610	6	0	5	10	3	7	
												
60611	经济外城1	城防营等级提升到5级	ui://Library/Image_FunctionIcon_UniteCity	60611	60611	27	60612	1	1	1	27	
60612	经济外城2	匠工所等级提升到10级	ui://Library/Image_FunctionIcon_UniteCity	60612	60612	27	60613	2	2	1	27	
60613	经济外城3	采石场等级提升到15级	ui://Library/Image_FunctionIcon_UniteCity	60613	60613	27	60614	3	3	1	27	
60614	经济外城4	铸币厂等级提升到20级	ui://Library/Image_FunctionIcon_UniteCity	60614	60614	27	60615	4	4	2	27	
60615	经济外城5	司徒府等级提升到25级	ui://Library/Image_FunctionIcon_UniteCity	60615	60615	27	60616	5	5	2	27	
60616	经济外城6	城防营等级提升到30级	ui://Library/Image_FunctionIcon_UniteCity	60616	60616	27	60617	1	6	2	27	
60617	经济外城7	匠工所等级提升到35级	ui://Library/Image_FunctionIcon_UniteCity	60617	60617	27	60618	2	7	3	27	
60618	经济外城8	采石场等级提升到40级	ui://Library/Image_FunctionIcon_UniteCity	60618	60618	27	60619	3	8	3	27	
60619	经济外城9	铸币厂等级提升到45级	ui://Library/Image_FunctionIcon_UniteCity	60619	60619	27	60620	4	9	3	27	
60620	经济外城10	司徒府等级提升到50级	ui://Library/Image_FunctionIcon_UniteCity	60620	60620	27	0	5	10	3	27	
												
60701	骁勇善战1	武将升到15级	ui://Library/Image_FunctionIcon_General_GrowUp	60701	60701	7	60702	1	1	1	8	
60702	骁勇善战2	武将升到20级	ui://Library/Image_FunctionIcon_General_GrowUp	60702	60702	7	60703	2	2	1	8	
60703	骁勇善战3	武将升到30级	ui://Library/Image_FunctionIcon_General_GrowUp	60703	60703	7	60704	3	3	1	8	
60704	骁勇善战4	武将升到40级	ui://Library/Image_FunctionIcon_General_GrowUp	60704	60704	7	60705	4	4	2	8	
60705	骁勇善战5	武将升到50级	ui://Library/Image_FunctionIcon_General_GrowUp	60705	60705	7	60706	5	5	2	8	
60706	勇冠三军1	武将升到60级	ui://Library/Image_FunctionIcon_General_GrowUp	60706	60706	7	60707	1	6	2	8	
60707	勇冠三军2	武将升到1转40级	ui://Library/Image_FunctionIcon_General_GrowUp	60707	60707	7	60708	2	7	3	8	
60708	勇冠三军3	武将升到1转80级	ui://Library/Image_FunctionIcon_General_GrowUp	60708	60708	7	60709	3	8	3	8	
60709	勇冠三军4	武将升到2转50级	ui://Library/Image_FunctionIcon_General_GrowUp	60709	60709	7	60710	4	9	3	8	
60710	勇冠三军5	武将升到2转100级	ui://Library/Image_FunctionIcon_General_GrowUp	60710	60710	7	0	5	10	3	8	
												
60801	锐不可当1	3个武将成长达到9	ui://Library/Image_FunctionIcon_General_ReLife	60801	60801	8	60802	1	1	1	9	
60802	锐不可当2	5个武将成长达到9	ui://Library/Image_FunctionIcon_General_ReLife	60802	60802	8	60803	2	2	1	9	
60803	锐不可当3	1个武将成长达到16	ui://Library/Image_FunctionIcon_General_ReLife	60803	60803	8	60804	3	3	1	9	
60804	锐不可当4	3个武将成长达到16	ui://Library/Image_FunctionIcon_General_ReLife	60804	60804	8	60805	4	4	2	9	
60805	锐不可当5	5个武将成长达到16	ui://Library/Image_FunctionIcon_General_ReLife	60805	60805	8	60806	5	5	2	9	
60806	当世人杰1	1个武将成长达到27	ui://Library/Image_FunctionIcon_General_ReLife	60806	60806	8	60807	1	6	2	9	
60807	当世人杰2	3个武将成长达到27	ui://Library/Image_FunctionIcon_General_ReLife	60807	60807	8	60808	2	7	3	9	
60808	当世人杰3	5个武将成长达到27	ui://Library/Image_FunctionIcon_General_ReLife	60808	60808	8	60809	3	8	3	9	
60809	当世人杰4	1个武将成长达到35	ui://Library/Image_FunctionIcon_General_ReLife	60809	60809	8	60810	4	9	3	9	
60810	当世人杰5	3个武将成长达到35	ui://Library/Image_FunctionIcon_General_ReLife	60810	60810	8	0	5	10	3	9	
												
60901	百炼成钢1	1件装备升星到半星	ui://Library/Image_FunctionIcon_Online	60901	60901	9	60902	1	1	1	10	
60902	百炼成钢2	1件装备升星到1星	ui://Library/Image_FunctionIcon_Online	60902	60902	9	60903	2	2	1	10	
60903	百炼成钢3	1件装备升星到1星半	ui://Library/Image_FunctionIcon_Online	60903	60903	9	60904	3	3	1	10	
60904	百炼成钢4	1件装备升星到2星	ui://Library/Image_FunctionIcon_Online	60904	60904	9	60905	4	4	2	10	
60905	百炼成钢5	1件装备升星到2星半	ui://Library/Image_FunctionIcon_Online	60905	60905	9	60906	5	5	2	10	
60906	神兵利器1	1件装备升星到3星	ui://Library/Image_FunctionIcon_Online	60906	60906	9	60907	1	6	2	10	
60907	神兵利器2	1件装备升星到3星半	ui://Library/Image_FunctionIcon_Online	60907	60907	9	60908	2	7	3	10	
60908	神兵利器3	1件装备升星到4星	ui://Library/Image_FunctionIcon_Online	60908	60908	9	60909	3	8	3	10	
60909	神兵利器4	1件装备升星到4星半	ui://Library/Image_FunctionIcon_Online	60909	60909	9	60910	4	9	3	10	
60910	神兵利器5	1件装备升星到5星	ui://Library/Image_FunctionIcon_Online	60910	60910	9	0	5	10	3	10	
												
61001	风雨同舟1	帮助盟友加速10次	ui://Library/Image_FunctionIcon_Alliance_Help	61001	61001	10	61002	1	1	1	11	
61002	风雨同舟2	帮助盟友加速50次	ui://Library/Image_FunctionIcon_Alliance_Help	61002	61002	10	61003	2	2	1	11	
61003	风雨同舟3	帮助盟友加速150次	ui://Library/Image_FunctionIcon_Alliance_Help	61003	61003	10	61004	3	3	1	11	
61004	风雨同舟4	帮助盟友加速300次	ui://Library/Image_FunctionIcon_Alliance_Help	61004	61004	10	61005	4	4	2	11	
61005	风雨同舟5	帮助盟友加速500次	ui://Library/Image_FunctionIcon_Alliance_Help	61005	61005	10	61006	5	5	2	11	
61006	同舟共济1	帮助盟友加速800次	ui://Library/Image_FunctionIcon_Alliance_Help	61006	61006	10	61007	1	6	2	11	
61007	同舟共济2	帮助盟友加速1500次	ui://Library/Image_FunctionIcon_Alliance_Help	61007	61007	10	61008	2	7	3	11	
61008	同舟共济3	帮助盟友加速3000次	ui://Library/Image_FunctionIcon_Alliance_Help	61008	61008	10	61009	3	8	3	11	
61009	同舟共济4	帮助盟友加速5000次	ui://Library/Image_FunctionIcon_Alliance_Help	61009	61009	10	61010	4	9	3	11	
61010	同舟共济5	帮助盟友加速1万次	ui://Library/Image_FunctionIcon_Alliance_Help	61010	61010	10	0	5	10	3	11	
												
61101	南征北战1	军衔晋升为步兵	ui://Library/Image_FunctionIcon_Honor	61101	61101	11	61102	1	1	1	12	
61102	南征北战2	军衔晋升为骑士	ui://Library/Image_FunctionIcon_Honor	61102	61102	11	61103	2	2	1	12	
61103	南征北战3	军衔晋升为禁卫	ui://Library/Image_FunctionIcon_Honor	61103	61103	11	61104	3	3	2	12	
61104	南征北战4	军衔晋升为先锋	ui://Library/Image_FunctionIcon_Honor	61104	61104	11	61105	4	4	2	12	
61105	南征北战5	军衔晋升为将军	ui://Library/Image_FunctionIcon_Honor	61105	61105	11	0	5	5	3	12	
												
61201	登堂入室1	战胜千机楼10层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61201	61201	12	61202	1	1	1	13	
61202	登堂入室2	战胜千机楼20层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61202	61202	12	61203	2	2	1	13	
61203	登堂入室3	战胜千机楼30层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61203	61203	12	61204	3	3	1	13	
61204	登堂入室4	战胜千机楼40层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61204	61204	12	61205	4	4	2	13	
61205	登堂入室5	战胜千机楼50层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61205	61205	12	61206	5	5	2	13	
61206	渐入佳境1	战胜千机楼60层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61206	61206	12	61207	1	6	2	13	
61207	渐入佳境2	战胜千机楼70层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61207	61207	12	61208	2	7	3	13	
61208	渐入佳境3	战胜千机楼80层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61208	61208	12	61209	3	8	3	13	
61209	渐入佳境4	战胜千机楼90层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61209	61209	12	61210	4	9	3	13	
61210	渐入佳境5	战胜千机楼100层守卫	ui://Library/Image_FunctionIcon_Room1000Tower	61210	61210	12	0	5	10	3	13	
												
61401	悉心培育1	照顾摇钱树5次	ui://Library/Image_FunctionIcon_MoneyTree	61401	61401	14	61402	1	1	1	14	5
61402	悉心培育2	照顾摇钱树50次	ui://Library/Image_FunctionIcon_MoneyTree	61402	61402	14	61403	2	2	1	14	15
61403	悉心培育3	照顾摇钱树100次	ui://Library/Image_FunctionIcon_MoneyTree	61403	61403	14	61404	3	3	1	14	25
61404	悉心培育4	照顾摇钱树200次	ui://Library/Image_FunctionIcon_MoneyTree	61404	61404	14	61405	4	4	2	14	50
61405	悉心培育5	照顾摇钱树500次	ui://Library/Image_FunctionIcon_MoneyTree	61405	61405	14	61406	5	5	2	14	100
61406	生财之道1	照顾摇钱树1000次	ui://Library/Image_FunctionIcon_MoneyTree	61406	61406	14	61407	1	6	2	14	200
61407	生财之道2	照顾摇钱树3000次	ui://Library/Image_FunctionIcon_MoneyTree	61407	61407	14	61408	2	7	3	14	300
61408	生财之道3	照顾摇钱树5000次	ui://Library/Image_FunctionIcon_MoneyTree	61408	61408	14	61409	3	8	3	14	500
61409	生财之道4	照顾摇钱树7000次	ui://Library/Image_FunctionIcon_MoneyTree	61409	61409	14	61410	4	9	3	14	700
61410	生财之道5	照顾摇钱树10000次	ui://Library/Image_FunctionIcon_MoneyTree	61410	61410	14	0	5	10	3	14	1000
												
61501	学富五车1	累积答对题目25道	ui://Library/Image_FunctionIcon_Alliance_Donate	61501	61501	15	61502	1	1	1	15	
61502	学富五车2	累积答对题目75道	ui://Library/Image_FunctionIcon_Alliance_Donate	61502	61502	15	61503	2	2	1	15	
61503	学富五车3	累积答对题目125道	ui://Library/Image_FunctionIcon_Alliance_Donate	61503	61503	15	61504	3	3	1	15	
61504	学富五车4	累积答对题目175道	ui://Library/Image_FunctionIcon_Alliance_Donate	61504	61504	15	61505	4	4	2	15	
61505	学富五车5	累积答对题目350道	ui://Library/Image_FunctionIcon_Alliance_Donate	61505	61505	15	61506	5	5	2	15	
61506	学富五车6	累积答对题目750道	ui://Library/Image_FunctionIcon_Alliance_Donate	61506	61506	15	61507	1	6	2	15	
61507	学富五车7	累积答对题目1500道	ui://Library/Image_FunctionIcon_Alliance_Donate	61507	61507	15	61508	2	7	3	15	
61508	学富五车8	累积答对题目2250道	ui://Library/Image_FunctionIcon_Alliance_Donate	61508	61508	15	61509	3	8	3	15	
61509	学富五车9	累积答对题目3750道	ui://Library/Image_FunctionIcon_Alliance_Donate	61509	61509	15	61510	4	9	3	15	
61510	学富五车10	累积答对题目7500道	ui://Library/Image_FunctionIcon_Alliance_Donate	61510	61510	15	0	5	10	3	15	
												
61601	力战四方1	攻城消灭士兵1000	ui://Library/Image_FunctionIcon_Area_NpcCity	61601	61601	16	61602	1	1	1	16	
61602	力战四方2	攻城消灭士兵5000	ui://Library/Image_FunctionIcon_Area_NpcCity	61602	61602	16	61603	2	2	1	16	
61603	力战四方3	攻城消灭士兵1万	ui://Library/Image_FunctionIcon_Area_NpcCity	61603	61603	16	61604	3	3	1	16	
61604	力战四方4	攻城消灭士兵5万	ui://Library/Image_FunctionIcon_Area_NpcCity	61604	61604	16	61605	4	4	2	16	
61605	力战四方5	攻城消灭士兵10万	ui://Library/Image_FunctionIcon_Area_NpcCity	61605	61605	16	61606	5	5	2	16	
61606	攻城略地1	攻城消灭士兵50万	ui://Library/Image_FunctionIcon_Area_NpcCity	61606	61606	16	61607	1	6	2	16	
61607	攻城略地2	攻城消灭士兵100万	ui://Library/Image_FunctionIcon_Area_NpcCity	61607	61607	16	61608	2	7	3	16	
61608	攻城略地3	攻城消灭士兵500万	ui://Library/Image_FunctionIcon_Area_NpcCity	61608	61608	16	61609	3	8	3	16	
61609	攻城略地4	攻城消灭士兵1000万	ui://Library/Image_FunctionIcon_Area_NpcCity	61609	61609	16	61610	4	9	3	16	
61610	攻城略地5	攻城消灭士兵5000万	ui://Library/Image_FunctionIcon_Area_NpcCity	61610	61610	16	0	5	10	3	16	
												
61701	助人为乐1	援助消灭士兵1000	ui://Library/Image_FunctionIcon_Equip	61701	61701	17	61702	1	1	1	17	
61702	助人为乐2	援助消灭士兵5000	ui://Library/Image_FunctionIcon_Equip	61702	61702	17	61703	2	2	1	17	
61703	助人为乐3	援助消灭士兵1万	ui://Library/Image_FunctionIcon_Equip	61703	61703	17	61704	3	3	1	17	
61704	助人为乐4	援助消灭士兵5万	ui://Library/Image_FunctionIcon_Equip	61704	61704	17	61705	4	4	2	17	
61705	助人为乐5	援助消灭士兵10万	ui://Library/Image_FunctionIcon_Equip	61705	61705	17	61706	5	5	2	17	
61706	其利断金1	援助消灭方士兵50万	ui://Library/Image_FunctionIcon_Equip	61706	61706	17	61707	1	6	2	17	
61707	其利断金2	援助消灭士兵100万	ui://Library/Image_FunctionIcon_Equip	61707	61707	17	61708	2	7	3	17	
61708	其利断金3	援助消灭士兵500万	ui://Library/Image_FunctionIcon_Equip	61708	61708	17	61709	3	8	3	17	
61709	其利断金4	援助消灭士兵1000万	ui://Library/Image_FunctionIcon_Equip	61709	61709	17	61710	4	9	3	17	
61710	其利断金5	援助消灭士兵5000万	ui://Library/Image_FunctionIcon_Equip	61710	61710	17	0	5	10	3	17	
												
61801	武将封官1	册封1个校尉	ui://Library/Image_FunctionIcon_General_ReLife	61801	61801	18	61802	1	1	1	18	
61802	武将封官2	册封1个裨将军	ui://Library/Image_FunctionIcon_General_ReLife	61802	61802	18	61803	2	2	1	18	
61803	武将封官3	册封1个偏将军	ui://Library/Image_FunctionIcon_General_ReLife	61803	61803	18	61804	3	3	1	18	
61804	武将封官4	册封1个牙门将军	ui://Library/Image_FunctionIcon_General_ReLife	61804	61804	18	61805	4	4	2	18	
61805	武将封官5	册封1个中郎将军	ui://Library/Image_FunctionIcon_General_ReLife	61805	61805	18	61806	5	5	2	18	
61806	武将封官6	册封1个司马	ui://Library/Image_FunctionIcon_General_ReLife	61806	61806	18	61807	1	6	2	18	
61807	武将封官7	册封1个车骑将军	ui://Library/Image_FunctionIcon_General_ReLife	61807	61807	18	0	2	7	3	18	
												
61901	名士列传1	通关名士列传第1章	ui://Library/Image_FunctionIcon_General_ReLife	61901	61901	19	61902	1	1	1	19	
61902	名士列传2	通关名士列传第2章	ui://Library/Image_FunctionIcon_General_ReLife	61902	61902	19	61903	2	2	1	19	
61903	名士列传3	通关名士列传第3章	ui://Library/Image_FunctionIcon_General_ReLife	61903	61903	19	61904	3	3	1	19	
61904	名士列传4	通关名士列传第4章	ui://Library/Image_FunctionIcon_General_ReLife	61904	61904	19	61905	4	4	2	19	
61905	名士列传5	通关名士列传第5章	ui://Library/Image_FunctionIcon_General_ReLife	61905	61905	19	61906	5	5	2	19	
61906	名士列传6	通关名士列传第6章	ui://Library/Image_FunctionIcon_General_ReLife	61906	61906	19	61907	1	6	2	19	
61907	名士列传7	通关名士列传第7章	ui://Library/Image_FunctionIcon_General_ReLife	61907	61907	19	61908	2	7	3	19	
61908	名士列传8	通关名士列传第8章	ui://Library/Image_FunctionIcon_General_ReLife	61908	61908	19	61909	3	8	3	19	
61909	名士列传9	通关名士列传第9章	ui://Library/Image_FunctionIcon_General_ReLife	61909	61909	19	61910	4	9	3	19	
61910	名士列传10	通关名士列传第10章	ui://Library/Image_FunctionIcon_General_ReLife	61910	61910	19	0	5	10	3	19	
												
62001	珠玉满堂1	拥有3级宝石	ui://Library/Image_FunctionIcon_Treasure	62001	62001	20	62002	1	1	1	20	
62002	珠玉满堂2	拥有4级宝石	ui://Library/Image_FunctionIcon_Treasure	62002	62002	20	62003	2	2	1	20	
62003	珠玉满堂3	拥有5级宝石	ui://Library/Image_FunctionIcon_Treasure	62003	62003	20	62004	3	3	2	20	
62004	珠玉满堂4	拥有6级宝石	ui://Library/Image_FunctionIcon_Treasure	62004	62004	20	62005	4	4	2	20	
62005	珠玉满堂5	拥有7级宝石	ui://Library/Image_FunctionIcon_Treasure	62005	62005	20	0	5	5	3	20	
												
62101	左右逢源1	拥有1个好友	ui://Library/Image_FunctionIcon_Team	62101	62101	21	62102	1	1	1	21	
