Id	任务类型	任务参数			完成时更新进度		说明		
60103	TASK_TARGET_ACCUM_GUILD_DONATE	20					联盟捐献20次。		
60104	TASK_TARGET_ACCUM_GUILD_DONATE	50					联盟捐献50次。		
60105	TASK_TARGET_ACCUM_GUILD_DONATE	100					联盟捐献100次。		
60106	TASK_TARGET_ACCUM_GUILD_DONATE	200					联盟捐献200次。		
60107	TASK_TARGET_ACCUM_GUILD_DONATE	300					联盟捐献300次。		
60108	TASK_TARGET_ACCUM_GUILD_DONATE	500					联盟捐献500次。		
60109	TASK_TARGET_ACCUM_GUILD_DONATE	700					联盟捐献700次。		
60110	TASK_TARGET_ACCUM_GUILD_DONATE	1000					联盟捐献1000次。		
									
60201	TASK_TARGET_FARM_HARVEST	500000	1				累积获得铜币500000。		
60202	TASK_TARGET_FARM_HARVEST	1000000	1				累积获得铜币1000000。		
60203	TASK_TARGET_FARM_HARVEST	2000000	1				累积获得铜币2000000。		
60204	TASK_TARGET_FARM_HARVEST	6000000	1				累积获得铜币6000000。		
60205	TASK_TARGET_FARM_HARVEST	15000000	1				累积获得铜币15000000。		
60206	TASK_TARGET_FARM_HARVEST	39000000	1				累积获得铜币39000000。		
60207	TASK_TARGET_FARM_HARVEST	190000000	1				累积获得铜币190000000。		
60208	TASK_TARGET_FARM_HARVEST	350000000	1				累积获得铜币350000000。		
60209	TASK_TARGET_FARM_HARVEST	540000000	1				累积获得铜币540000000。		
60210	TASK_TARGET_FARM_HARVEST	2500000000	1				累积获得铜币2500000000。		
									
60301	TASK_TARGET_FARM_HARVEST	500000	4				累积获得石料500000。		
60302	TASK_TARGET_FARM_HARVEST	1000000	4				累积获得石料1000000。		
60303	TASK_TARGET_FARM_HARVEST	2000000	4				累积获得石料2000000。		
60304	TASK_TARGET_FARM_HARVEST	6000000	4				累积获得石料6000000。		
60305	TASK_TARGET_FARM_HARVEST	15000000	4				累积获得石料15000000。		
60306	TASK_TARGET_FARM_HARVEST	39000000	4				累积获得石料39000000。		
60307	TASK_TARGET_FARM_HARVEST	190000000	4				累积获得石料190000000。		
60308	TASK_TARGET_FARM_HARVEST	350000000	4				累积获得石料350000000。		
60309	TASK_TARGET_FARM_HARVEST	540000000	4				累积获得石料540000000。		
60310	TASK_TARGET_FARM_HARVEST	2500000000	4				累积获得石料2500000000。		
									
60401	TASK_TARGET_TECH_LEVEL	10005001					将建筑术等级提升到1级。		
60402	TASK_TARGET_TECH_LEVEL	10005002					将建筑术等级提升到2级。		
60403	TASK_TARGET_TECH_LEVEL	10005003					将建筑术等级提升到3级。		
60404	TASK_TARGET_TECH_LEVEL	10005004					将建筑术等级提升到4级。		
60405	TASK_TARGET_TECH_LEVEL	10005005					将建筑术等级提升到5级。		
60406	TASK_TARGET_TECH_LEVEL	10005006					将建筑术等级提升到6级。		
60407	TASK_TARGET_TECH_LEVEL	10005007					将建筑术等级提升到7级。		
60408	TASK_TARGET_TECH_LEVEL	10005008					将建筑术等级提升到8级。		
60409	TASK_TARGET_TECH_LEVEL	10005009					将建筑术等级提升到9级。		
60410	TASK_TARGET_TECH_LEVEL	10005010					将建筑术等级提升到10级。		
									
60501	TASK_TARGET_SOLDIER_LEVEL	3					将士兵等阶提升到3阶。		
60502	TASK_TARGET_SOLDIER_LEVEL	4					将士兵等阶提升到4阶。		
60503	TASK_TARGET_SOLDIER_LEVEL	5					将士兵等阶提升到5阶。		
60504	TASK_TARGET_SOLDIER_LEVEL	7					将士兵等阶提升到7阶。		
60505	TASK_TARGET_SOLDIER_LEVEL	9					将士兵等阶提升到9阶。		
									
60601	4	5	YU_BEI_BING_SUO				将预备兵所等级提升到5级。		
60602	4	10	CHENG_FANG_JI_GUAN				将讲武堂等级提升到10级。		
60603	4	15	HU_BEN_YING				将虎贲营等级提升到15级。		
60604	4	20	SHEN_SHE_YING				将神射营等级提升到20级。		
60605	4	25	si_ma_fu				将司马府等级提升到25级。		
60606	4	30	YU_BEI_BING_SUO				将预备兵所等级提升到30级。		
60607	4	35	CHENG_FANG_JI_GUAN				将讲武堂等级提升到35级。		
60608	4	40	HU_BEN_YING				将虎贲营等级提升到40级。		
60609	4	45	SHEN_SHE_YING				将神射营等级提升到45级。		
60610	4	50	si_ma_fu				将司马府等级提升到50级。		
									
60611	4	5	LU_BAN_GONG_FANG				将城防营等级提升到5级。		
60612	4	10	JI_XIA_XUE_GONG				将匠工所等级提升到10级。		
60613	4	15	CAI_SHI_CHANGE				将采石场等级提升到15级。		
60614	4	20	ZHU_BI_CHANG				将铸币厂等级提升到20级。		
60615	4	25	si_tu_fu				将司徒府等级提升到25级。		
60616	4	30	LU_BAN_GONG_FANG				将城防营等级提升到30级。		
60617	4	35	JI_XIA_XUE_GONG				将匠工所等级提升到35级。		
60618	4	40	CAI_SHI_CHANGE				将采石场等级提升到40级。		
60619	4	45	ZHU_BI_CHANG				将铸币厂等级提升到45级。		
60620	4	50	si_tu_fu				将司徒府等级提升到50级。		
									
									
60701	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	15				将武将等级升到15级。		
60702	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	20				将武将等级升到20级。		
60703	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	30				将武将等级升到30级。		
60704	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	40				将武将等级升到40级。		
60705	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	50				将武将等级升到50级。		
60706	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	60				将武将等级升到60级。		
60707	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	40	1			将武将等级升到1转40级。		
60708	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	80	1			将武将等级升到1转80级。		
60709	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	50	2			将武将等级升到2转50级。		
60710	TASK_TARGET_CAPTAIN_LEVEL_COUNT	1	100	2			将武将等级升到2转100级。		
									
60801	TASK_TARGET_CAPTAIN_QUALITY_COUNT	3	3				3个武将成长达到9。		
60802	TASK_TARGET_CAPTAIN_QUALITY_COUNT	5	3				5个武将成长达到9。		
60803	TASK_TARGET_CAPTAIN_QUALITY_COUNT	1	4				1个武将成长达到16。		
60804	TASK_TARGET_CAPTAIN_QUALITY_COUNT	3	4				3个武将成长达到16。		
60805	TASK_TARGET_CAPTAIN_QUALITY_COUNT	5	4				5个武将成长达到16。		
60806	TASK_TARGET_CAPTAIN_QUALITY_COUNT	1	5				1个武将成长达到27。		
60807	TASK_TARGET_CAPTAIN_QUALITY_COUNT	3	5				3个武将成长达到27。		
60808	TASK_TARGET_CAPTAIN_QUALITY_COUNT	5	5				5个武将成长达到27。		
60809	TASK_TARGET_CAPTAIN_QUALITY_COUNT	1	6				1个武将成长达到35。		
60810	TASK_TARGET_CAPTAIN_QUALITY_COUNT	3	6				3个武将成长达到35。		
									
60901	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	1				1件装备升星到半星		
60902	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	2				1件装备升星到1星		
60903	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	3				1件装备升星到1星半		
60904	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	4				1件装备升星到2星		
60905	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	5				1件装备升星到2星半		
60906	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	6				1件装备升星到3星		
60907	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	7				1件装备升星到3星半		
60908	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	8				1件装备升星到4星		
60909	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	9				1件装备升星到4星半		
60910	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	1	10				1件装备升星到5星		
									
61001	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	10					帮助盟友加速10次。		
61002	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	50					帮助盟友加速50次。		
61003	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	150					帮助盟友加速150次。		
61004	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	300					帮助盟友加速300次。		
61005	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	500					帮助盟友加速500次。		
61006	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	800					帮助盟友加速800次。		
61007	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	1500					帮助盟友加速1500次。		
61008	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	3000					帮助盟友加速3000次。		
61009	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	5000					帮助盟友加速5000次。		
61010	TASK_TARGET_ACCUM_HELP_GUILD_MEMBER	10000					帮助盟友加速10000次。		
									
61101	TASK_TARGET_BAI_ZHAN_JUN_XIAN	2					百战千军军衔晋升为步兵。		
61102	TASK_TARGET_BAI_ZHAN_JUN_XIAN	3					百战千军军衔晋升为骑士。		
61103	TASK_TARGET_BAI_ZHAN_JUN_XIAN	4					百战千军军衔晋升为禁卫。		
61104	TASK_TARGET_BAI_ZHAN_JUN_XIAN	5					百战千军军衔晋升为先锋。		
61105	TASK_TARGET_BAI_ZHAN_JUN_XIAN	6					百战千军军衔晋升为将军。		
									
61201	15	10					战胜千重楼10层守卫。		
61202	15	20					战胜千重楼20层守卫。		
61203	15	30					战胜千重楼30层守卫。		
61204	15	40					战胜千重楼40层守卫。		
61205	15	50					战胜千重楼50层守卫。		
61206	15	60					战胜千重楼60层守卫。		
61207	15	70					战胜千重楼70层守卫。		
61208	15	80					战胜千重楼80层守卫。		
61209	15	90					战胜千重楼90层守卫。		
61210	15	100					战胜千重楼100层守卫。		
									
61301	TASK_TARGET_ACCUM_LOGIN_DAY	1					累积登录游戏1天。		
61302	TASK_TARGET_ACCUM_LOGIN_DAY	2					累积登录游戏2天。		
61303	TASK_TARGET_ACCUM_LOGIN_DAY	3					累积登录游戏4天。		
61304	TASK_TARGET_ACCUM_LOGIN_DAY	4					累积登录游戏7天。		
61305	TASK_TARGET_ACCUM_LOGIN_DAY	5					累积登录游戏14天。		
61306	TASK_TARGET_ACCUM_LOGIN_DAY	6					累积登录游戏30天。		
61307	TASK_TARGET_ACCUM_LOGIN_DAY	7					累积登录游戏60天。		
61308	TASK_TARGET_ACCUM_LOGIN_DAY	8					累积登录游戏90天。		
61309	TASK_TARGET_ACCUM_LOGIN_DAY	9					累积登录游戏150天。		
61310	TASK_TARGET_ACCUM_LOGIN_DAY	10					累积登录游戏300天。		
61311	TASK_TARGET_ACCUM_LOGIN_DAY	11							
61312	TASK_TARGET_ACCUM_LOGIN_DAY	12							
61313	TASK_TARGET_ACCUM_LOGIN_DAY	13							
61314	TASK_TARGET_ACCUM_LOGIN_DAY	14							
61315	TASK_TARGET_ACCUM_LOGIN_DAY	15							
61316	TASK_TARGET_ACCUM_LOGIN_DAY	16							
61317	TASK_TARGET_ACCUM_LOGIN_DAY	17							
61318	TASK_TARGET_ACCUM_LOGIN_DAY	18							
61319	TASK_TARGET_ACCUM_LOGIN_DAY	19							
61320	TASK_TARGET_ACCUM_LOGIN_DAY	20							
61321	TASK_TARGET_ACCUM_LOGIN_DAY	21							
61322	TASK_TARGET_ACCUM_LOGIN_DAY	22							
61323	TASK_TARGET_ACCUM_LOGIN_DAY	23							
61324	TASK_TARGET_ACCUM_LOGIN_DAY	24							
61325	TASK_TARGET_ACCUM_LOGIN_DAY	25							
61326	TASK_TARGET_ACCUM_LOGIN_DAY	26							
61327	TASK_TARGET_ACCUM_LOGIN_DAY	27							
61328	TASK_TARGET_ACCUM_LOGIN_DAY	28							
61329	TASK_TARGET_ACCUM_LOGIN_DAY	29							
61330	TASK_TARGET_ACCUM_LOGIN_DAY	30							
									
									
									
									
61401	TASK_TARGET_TREASURY_TREE	5					累积照顾摇钱树5次。		
61402	TASK_TARGET_TREASURY_TREE	50					累积照顾摇钱树15次。		
61403	TASK_TARGET_TREASURY_TREE	100					累积照顾摇钱树25次。		
61404	TASK_TARGET_TREASURY_TREE	200					累积照顾摇钱树50次。		
61405	TASK_TARGET_TREASURY_TREE	500					累积照顾摇钱树100次。		
61406	TASK_TARGET_TREASURY_TREE	1000					累积照顾摇钱树200次。		
61407	TASK_TARGET_TREASURY_TREE	3000					累积照顾摇钱树300次。		
61408	TASK_TARGET_TREASURY_TREE	5000					累积照顾摇钱树500次。		
61409	TASK_TARGET_TREASURY_TREE	7000					累积照顾摇钱树700次。		
61410	TASK_TARGET_TREASURY_TREE	10000					累积照顾摇钱树1000次。		
									
61501	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	25					累积答对题目25道。		
61502	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	75					累积答对题目75道。		
61503	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	125					累积答对题目125道。		
61504	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	175					累积答对题目175道。		
61505	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	350					累积答对题目350道。		
61506	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	750					累积答对题目750道。		
61507	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	1500					累积答对题目1500道。		
61508	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	2250					累积答对题目2250道。		
61509	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	3750					累积答对题目3750道。		
61510	TASK_TARGET_ALL_RIGHT_QUESTION_AMOUNT	7500					累积答对题目7500道。		
									
61601	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	1000					攻城消灭敌方士兵1000。		
61602	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	5000					攻城消灭敌方士兵5000。		
61603	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	10000					攻城消灭敌方士兵10000。		
61604	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	50000					攻城消灭敌方士兵50000。		
61605	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	100000					攻城消灭敌方士兵100000。		
61606	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	500000					攻城消灭敌方士兵500000。		
61607	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	1000000					攻城消灭敌方士兵1000000。		
61608	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	5000000					攻城消灭敌方士兵5000000。		
61609	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	10000000					攻城消灭敌方士兵10000000。		
61610	TASK_TARGET_ACCUM_INVASE_KILL_SOLDIER	50000000					攻城消灭敌方士兵50000000。		
									
61701	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	1000					援助盟友消灭敌方士兵1000。		
61702	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	5000					援助盟友消灭敌方士兵5000。		
61703	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	10000					援助盟友消灭敌方士兵10000。		
61704	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	50000					援助盟友消灭敌方士兵50000。		
61705	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	100000					援助盟友消灭敌方士兵100000。		
61706	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	500000					援助盟友消灭敌方士兵500000。		
61707	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	1000000					援助盟友消灭敌方士兵1000000。		
61708	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	5000000					援助盟友消灭敌方士兵5000000。		
61709	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	10000000					援助盟友消灭敌方士兵10000000。		
61710	TASK_TARGET_ACCUM_ASSIST_KILL_SOLDIER	50000000					援助盟友消灭敌方士兵50000000。		
									
61801	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	1				册封1个校尉。		
61802	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	2				册封1个裨将军。		
61803	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	3				册封1个偏将军。		
61804	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	4				册封1个牙门将军。		
61805	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	5				册封1个中郎将军。		
61806	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	6				册封1个司马。		
61807	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	7				册封1个车骑将军。		
									
61901	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10106					通关将魂幻境第1章。		
61902	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10209					通关将魂幻境第2章。		
61903	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10309					通关将魂幻境第3章。		
61904	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10409					通关将魂幻境第4章。		
61905	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10509					通关将魂幻境第5章。		
61906	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10609					通关将魂幻境第6章。		
61907	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10709					通关将魂幻境第7章。		
61908	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10809					通关将魂幻境第8章。		
61909	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10909					通关将魂幻境第9章。		
61910	TASK_TARGET_HAS_CHALLENGE_DUNGEON	11009					通关将魂幻境第10章。		
									
62001	TASK_TARGET_GEM	1	3				拥有1级宝石。		
62002	TASK_TARGET_GEM	1	4				拥有2级宝石。		
62003	TASK_TARGET_GEM	1	5				拥有3级宝石。		
62004	TASK_TARGET_GEM	1	6				拥有4级宝石。		
62005	TASK_TARGET_GEM	1	7				拥有5级宝石。		
									
62101	TASK_TARGET_FRIEND_AMOUNT	1					拥有1个好友		
62102	TASK_TARGET_FRIEND_AMOUNT	5					拥有5个好友		
62103	TASK_TARGET_FRIEND_AMOUNT	10					拥有10个好友		
62104	TASK_TARGET_FRIEND_AMOUNT	20					拥有20个好友		
62105	TASK_TARGET_FRIEND_AMOUNT	30					拥有30个好友		
									
62201	TASK_TARGET_HELP_SECRET_TOWER	5					协助通关重楼密室5次。		
62202	TASK_TARGET_HELP_SECRET_TOWER	10					协助通关重楼密室10次。		
62203	TASK_TARGET_HELP_SECRET_TOWER	35					协助通关重楼密室35次。		
62204	TASK_TARGET_HELP_SECRET_TOWER	45					协助通关重楼密室45次。		
62205	TASK_TARGET_HELP_SECRET_TOWER	60					协助通关重楼密室60次。		
62206	TASK_TARGET_HELP_SECRET_TOWER	300					协助通关重楼密室300次。		
62207	TASK_TARGET_HELP_SECRET_TOWER	300					协助通关重楼密室300次。		
62208	TASK_TARGET_HELP_SECRET_TOWER	300					协助通关重楼密室300次。		
62209	TASK_TARGET_HELP_SECRET_TOWER	600					协助通关重楼密室600次。		
62210	TASK_TARGET_HELP_SECRET_TOWER	750					协助通关重楼密室750次。		
									
62301	TASK_TARGET_CAPTAIN_COUNT	1					拥有1个名士。		
62302	TASK_TARGET_CAPTAIN_COUNT	3					拥有3个名士。		
62303	TASK_TARGET_CAPTAIN_COUNT	5					拥有5个名士。		
62304	TASK_TARGET_CAPTAIN_COUNT	10					拥有10个名士。		
62305	TASK_TARGET_CAPTAIN_COUNT	15					拥有15个名士。		
62306	TASK_TARGET_CAPTAIN_COUNT	20					拥有20个名士。		
62307	TASK_TARGET_CAPTAIN_COUNT	25					拥有25个名士。		
62308	TASK_TARGET_CAPTAIN_COUNT	30					拥有30个名士。		
62309	TASK_TARGET_CAPTAIN_COUNT	35					拥有35个名士。		
