君主等级	类型	X	Y	Z		
41	11	270				
42	11	270				
43	11	280				
44	11	285				
45	11	295				
46	11	300				
47	11	350				
48	11	410				
49	11	435				
50	11	450				
51	11	455				
52	11	470				
53	11	480				
54	11	490				
55	11	490				
56	11	490				
57	11	490				
58	11	490				
59	11	490				
60	11	490				
61	11	490				
62	11	490				
63	11	490				
64	11	570				
65	11	570				
66	11	570				
67	11	570				
68	11	570				
69	11	570				
70	11	570				
71	11	625				
72	11	625				
73	11	625				
74	11	625				
75	11	625				
76	11	670				
77	11	670				
78	11	670				
79	11	670				
80	11	730				
81	11	730				
82	11	730				
83	11	730				
84	11	785				
85	11	785				
86	11	820				
87	11	820				
88	11	850				
89	11	885				
90	11	910				
91	11	940				
92	11	940				
93	11	970				
94	11	970				
95	11	970				
96	11	970				
97	11	970				
98	11	970				
99	11	970				
100	11	970				
						
2	10	30				
3	10	30				
4	10	30				
5	10	35				
6	10	35				
7	10	35				
8	10	35				
9	10	40				
10	10	40				
11	10	40				
12	10	40				
13	10	45				
14	10	45				
15	10	45				
16	10	45				
17	10	50				
18	10	50				
19	10	50				
20	10	50				
21	10	50				
22	10	50				
23	10	60				
24	10	60				
25	10	60				
26	10	70				
27	10	70				
28	10	70				
29	10	75				
30	10	75				
31	10	75				
32	10	80				
33	10	80				
34	10	80				
35	10	85				
36	10	85				
37	10	85				
38	10	90				
39	10	90				
40	10	90				
41	10	95				
42	10	95				
43	10	100				
44	10	105				
45	10	110				
46	10	115				
47	10	115				
48	10	120				
49	10	125				
50	10	130				
51	10	130				
52	10	135				
53	10	140				
54	10	140				
55	10	145				
56	10	145				
57	10	145				
58	10	145				
59	10	145				
60	10	145				
61	10	145				
62	10	145				
63	10	145				
64	10	175				
65	10	175				
66	10	175				
67	10	175				
68	10	175				
69	10	175				
70	10	175				
71	10	190				
72	10	190				
73	10	190				
74	10	190				
75	10	190				
76	10	200				
77	10	200				
78	10	200				
79	10	200				
80	10	210				
81	10	210				
82	10	210				
83	10	210				
84	10	220				
85	10	220				
86	10	230				
87	10	230				
88	10	240				
89	10	245				
90	10	255				
91	10	260				
92	10	260				
93	10	265				
94	10	265				
95	10	265				
96	10	265				
97	10	265				
98	10	265				
99	10	265				
100	10	265				
10	12	2				
11	12	2				
12	12	2				
13	12	2				
14	12	2				
15	12	3				
16	12	3				
17	12	3				
18	12	3				
19	12	3				
20	12	5				
21	12	5				
22	12	5				
23	12	5				
24	12	5				
25	12	7				
26	12	7				
27	12	7				
28	12	7				
29	12	7				
30	12	8				
31	12	8				
32	12	8				
33	12	8				
34	12	8				
35	12	10				
36	12	10				
37	12	10				
38	12	10				
39	12	10				
40	12	12				
41	12	12				
42	12	12				
43	12	12				
44	12	12				
45	12	13				
46	12	13				
47	12	13				
48	12	13				
49	12	13				
50	12	15				
51	12	15				
52	12	15				
53	12	15				
54	12	15				
55	12	17				
56	12	17				
57	12	17				
58	12	17				
59	12	17				
60	12	18				
61	12	18				
62	12	18				
63	12	18				
64	12	18				
65	12	20				
66	12	20				
67	12	20				
68	12	20				
69	12	20				
70	12	22				
71	12	22				
72	12	22				
73	12	22				
74	12	22				
75	12	23				
76	12	23				
77	12	23				
78	12	23				
79	12	23				
80	12	25				
81	12	25				
82	12	25				
83	12	25				
84	12	25				
85	12	27				
86	12	27				
87	12	27				
88	12	27				
89	12	27				
90	12	28				
91	12	28				
92	12	28				
93	12	28				
94	12	28				
95	12	30				
96	12	30				
97	12	30				
98	12	30				
99	12	30				
100	12	32				
						
						
29	14	4				
30	14	4				
31	14	4				
32	14	8				
33	14	8				
34	14	8				
35	14	15				
36	14	15				
37	14	15				
38	14	21				
39	14	21				
40	14	26				
41	14	29				
42	14	29				
43	14	33				
44	14	36				
45	14	43				
46	14	46				
47	14	49				
48	14	53				
49	14	56				
50	14	60				
51	14	62				
52	14	67				
53	14	70				
54	14	74				
55	14	75				
56	14	75				
57	14	75				
58	14	75				
59	14	75				
60	14	75				
61	14	75				
62	14	75				
63	14	75				
64	14	101				
65	14	101				
66	14	101				
67	14	101				
68	14	101				
69	14	101				
70	14	101				
71	14	115				
72	14	115				
73	14	115				
74	14	115				
75	14	115				
76	14	127				
77	14	127				
78	14	127				
79	14	127				
80	14	135				
81	14	135				
82	14	135				
83	14	135				
84	14	142				
85	14	142				
86	14	150				
87	14	150				
88	14	154				
89	14	158				
90	14	162				
91	14	167				
92	14	167				
93	14	171				
94	14	171				
95	14	171				
96	14	171				
97	14	171				
98	14	171				
99	14	171				
100	14	171				
15	15	90				
16	15	93				
17	15	96				
18	15	99				
19	15	204				
20	15	210				
21	15	252				
22	15	296				
23	15	342				
24	15	390				
25	15	440				
26	15	492				
27	15	546				
28	15	602				
29	15	660				
30	15	720				
31	15	782				
32	15	846				
33	15	912				
34	15	1029				
35	15	1150				
36	15	1224				
37	15	1248				
38	15	1325				
39	15	1350				
40	15	1375				
41	15	1400				
42	15	1425				
43	15	1450				
44	15	1475				
45	15	1500				
46	15	1525				
47	15	1550				
48	15	1575				
49	15	1600				
50	15	1625				
51	15	1650				
52	15	1675				
53	15	1700				
54	15	1725				
55	15	1750				
56	15	1775				
57	15	1800				
58	15	1825				
59	15	1850				
60	15	1875				
61	15	1900				
62	15	1925				
63	15	1950				
64	15	1975				
65	15	2000				
66	15	2025				
67	15	2050				
68	15	2075				
69	15	2100				
70	15	2125				
71	15	2150				
72	15	2175				
73	15	2200				
74	15	2225				
75	15	2250				
76	15	2275				
77	15	2300				
78	15	2325				
79	15	2350				
80	15	2375				
81	15	2400				
82	15	2425				
83	15	2450				
84	15	2475				
85	15	2500				
86	15	2525				
87	15	2550				
88	15	2575				
89	15	2600				
90	15	2625				
91	15	2650				
92	15	2675				
93	15	2700				
94	15	2725				
95	15	2750				
96	15	2775				
97	15	2800				
98	15	2825				
99	15	2850				
100	15	2875				
						
						
						
4	16	2				
5	16	4				
6	16	6				
7	16	8				
8	16	10				
9	16	12				
10	16	14				
11	16	17				
12	16	20				
13	16	23				
14	16	26				
15	16	29				
16	16	32				
17	16	35				
18	16	38				
19	16	38				
20	16	38				
21	16	38				
22	16	38				
23	16	47				
24	16	47				
25	16	47				
26	16	56				
27	16	56				
28	16	56				
29	16	56				
30	16	56				
31	16	56				
32	16	67				
33	16	67				
34	16	67				
35	16	76				
36	16	76				
37	16	76				
38	16	76				
39	16	76				
40	16	85				
41	16	85				
42	16	85				
43	16	94				
44	16	94				
45	16	105				
46	16	105				
47	16	105				
48	16	114				
49	16	114				
50	16	114				
51	16	114				
52	16	123				
53	16	123				
54	16	123				
55	16	123				
56	16	123				
57	16	123				
58	16	123				
59	16	123				
60	16	123				
61	16	123				
62	16	123				
63	16	123				
64	16	143				
65	16	143				
66	16	143				
67	16	143				
68	16	143				
69	16	143				
70	16	143				
71	16	143				
72	16	143				
73	16	143				
74	16	143				
75	16	143				
76	16	152				
77	16	152				
78	16	152				
79	16	152				
80	16	152				
81	16	152				
82	16	152				
83	16	152				
84	16	161				
85	16	161				
86	16	161				
87	16	161				
88	16	163				
89	16	163				
90	16	172				
91	16	172				
92	16	172				
93	16	172				
94	16	172				
95	16	172				
96	16	172				
97	16	172				
98	16	172				
99	16	172				
100	16	172				
						
						
						
						
						
						
7	17	6				
8	17	12				
9	17	18				
10	17	24				
11	17	30				
12	17	36				
13	17	42				
14	17	48				
15	17	54				
16	17	60				
17	17	66				
18	17	79				
19	17	79				
20	17	79				
21	17	79				
22	17	79				
23	17	83				
24	17	83				
25	17	83				
26	17	87				
27	17	87				
28	17	87				
29	17	91				
30	17	91				
31	17	91				
32	17	95				
33	17	95				
34	17	95				
35	17	99				
36	17	99				
37	17	99				
38	17	104				
39	17	104				
40	17	108				
41	17	112				
42	17	112				
43	17	116				
44	17	120				
45	17	125				
46	17	125				
47	17	126				
48	17	128				
49	17	131				
50	17	133				
51	17	134				
52	17	138				
53	17	140				
54	17	143				
55	17	152				
56	17	152				
57	17	152				
58	17	152				
59	17	152				
60	17	152				
61	17	152				
62	17	152				
63	17	152				
64	17	199				
65	17	199				
66	17	199				
67	17	199				
68	17	199				
69	17	199				
70	17	199				
71	17	200				
72	17	200				
73	17	200				
74	17	200				
75	17	200				
76	17	225				
77	17	225				
78	17	225				
79	17	225				
80	17	225				
81	17	225				
82	17	225				
83	17	225				
84	17	237				
85	17	237				
86	17	249				
87	17	249				
88	17	250				
89	17	275				
90	17	275				
91	17	275				
92	17	275				
93	17	284				
94	17	284				
95	17	284				
96	17	284				
97	17	284				
98	17	284				
99	17	284				
100	17	284				
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
18	18	25				
19	18	25				
20	18	25				
21	18	25				
22	18	25				
23	18	25				
24	18	25				
25	18	25				
26	18	25				
27	18	25				
28	18	25				
29	18	30				
30	18	30				
31	18	30				
32	18	30				
33	18	30				
34	18	30				
35	18	30				
36	18	30				
37	18	30				
38	18	35				
39	18	35				
40	18	35				
41	18	35				
42	18	35				
43	18	45				
44	18	45				
45	18	45				
46	18	45				
47	18	45				
48	18	45				
49	18	45				
50	18	45				
51	18	45				
52	18	45				
53	18	55				
54	18	55				
55	18	65				
56	18	65				
57	18	65				
58	18	65				
59	18	65				
60	18	65				
61	18	65				
62	18	65				
63	18	65				
64	18	75				
65	18	75				
66	18	75				
67	18	75				
68	18	75				
69	18	75				
70	18	75				
71	18	90				
72	18	90				
73	18	90				
74	18	90				
75	18	90				
76	18	100				
77	18	100				
78	18	100				
79	18	100				
80	18	100				
81	18	100				
82	18	100				
83	18	100				
84	18	110				
85	18	110				
86	18	110				
87	18	110				
88	18	110				
89	18	110				
90	18	115				
91	18	125				
92	18	125				
93	18	125				
94	18	125				
95	18	125				
96	18	125				
97	18	125				
98	18	125				
99	18	125				
100	18	125				
