id		掉落，可以不配置，不配置就是用后面的奖励	奖励，必需配置，前面配置了plunder，那么这里就是展示奖励	联盟奖励组，只要配了就会给
12820001		12820001	12820001	
12820002		12820002	12820002	
12820003		12820003	12820003	
12820004		12820004	12820004	
12820005		12820005	12820005	
12820006		12820006	12820006	
12820007		12820007	12820007	
12820008		12820008	12820008	
12820009		12820009	12820009	
12820010		12820010	12820010	
12820011		12820011	12820011	
12820012		12820012	12820012	
12820013		12820013	12820013	
12820014		12820014	12820014	
12820015		12820015	12820015	
12820016		12820016	12820016	
12820017		12820017	12820017	
12820018		12820018	12820018	
12830001		12830001	12830001	
12830002		12830002	12830002	
12830003		12830003	12830003	
12830004		12830004	12830004	
12830005		12830005	12830005	
12830006		12830006	12830006	
12830007		12830007	12830007	
12830008		12830008	12830008	
12830009		12830009	12830009	
12830010		12830010	12830010	
12830011		12830011	12830011	
12830012		12830012	12830012	
12830013		12830013	12830013	
12830014		12830014	12830014	
12830015		12830015	12830015	
12830016		12830016	12830016	
12830017		12830017	12830017	
12830018		12830018	12830018	
				
12890001		12890001	12890001	
12890002		12890002	12890002	
12890003		12890003	12890003	
12890004		12890004	12890004	
12890005		12890005	12890005	
12890006		12890006	12890006	
				
12880004		12880004	12880004	
				
800301	玄冥碎片		800301	
800302			800302	
800303			800303	
800304			800304	
800305			800305	
800306			800306	
800307			800307	
				
800461			800461	
800462			800462	
800463			800463	
800464			800464	
800465			800465	
800466			800466	
800467			800467	
				
80040	星神碎片	80040	80040	
300020	高迁碎片		300020	
				
523011	自选资源箱		523011	
523021			523021	
523031			523031	
523041			523041	
523051			523051	
				
523012			523012	
523022			523022	
523032			523032	
523042			523042	
523052			523052	
				
11705001			11705001	
11705002			11705002	
11705003			11705003	
11705004			11705004	
11705005			11705005	
11705006			11705006	
11705007			11705007	
11705008			11705008	
11705009			11705009	
11705010			11705010	
11705011			11705011	
11705012			11705012	
11706001			11706001	
11706002			11706002	
11706003			11706003	
11706004			11706004	
11706005			11706005	
11706006			11706006	
11706007			11706007	
11706008			11706008	
11706009			11706009	
11706010			11706010	
11706011			11706011	
11706012			11706012	
11707001			11707001	
11707002			11707002	
11707003			11707003	
11707004			11707004	
11707005			11707005	
11707006			11707006	
11707007			11707007	
11707008			11707008	
11707009			11707009	
11707010			11707010	
11707011			11707011	
11707012			11707012	
11708001			11708001	
11708002			11708002	
11708003			11708003	
11708004			11708004	
11708005			11708005	
11708006			11708006	
11708007			11708007	
11708008			11708008	
11708009			11708009	
11708010			11708010	
11708011			11708011	
11708012			11708012	
				
126120011			126120011	
126120021			126120021	
126120031			126120031	
126120041			126120041	
126120051			126120051	
126120061			126120061	
126120071			126120071	
126120081			126120081	
126120091			126120091	
126120101			126120101	
126120111			126120111	
126120121			126120121	
126120131			126120131	
126120141			126120141	
126120151			126120151	
126120161			126120161	
126120171			126120171	
126120181			126120181	
126120191			126120191	
126120201			126120201	
126120211			126120211	
126120221			126120221	
126120231			126120231	
126120241			126120241	
126120251			126120251	
126120261			126120261	
126120271			126120271	
126120281			126120281	
126120291			126120291	
126120301			126120301	
126120311			126120311	
126120321			126120321	
126120331			126120331	
126120341			126120341	
126120351			126120351	
126120361			126120361	
126120371			126120371	
126120381			126120381	
126120391			126120391	
126120401			126120401	
126120411			126120411	
126120421			126120421	
126120431			126120431	
126120441			126120441	
126120451			126120451	
126120461			126120461	
126120471			126120471	
126120481			126120481	
126120491			126120491	
126120501			126120501	
126120511			126120511	
126120521			126120521	
126120531			126120531	
126120541			126120541	
126120551			126120551	
126120561			126120561	
126120571			126120571	
126120581			126120581	
126120591			126120591	
126120601			126120601	
126120611			126120611	
126120621			126120621	
126120631			126120631	
126120641			126120641	
126120651			126120651	
126120661			126120661	
126120671			126120671	
126120681			126120681	
126120691			126120691	
126120701			126120701	
126120711			126120711	
126120721			126120721	
126120731			126120731	
126120741			126120741	
126120751			126120751	
126120761			126120761	
126120771			126120771	
126120781			126120781	
126120791			126120791	
126120801			126120801	
126120811			126120811	
126120821			126120821	
126120831			126120831	
126120841			126120841	
126120851			126120851	
126120861			126120861	
126120871			126120871	
126120881			126120881	
126120891			126120891	
126120901			126120901	
126120911			126120911	
126120921			126120921	
126120931			126120931	
126120941			126120941	
126120951			126120951	
126120961			126120961	
126120971			126120971	
126120981			126120981	
126120991			126120991	
126121001			126121001	
				
126130011			126130011	
126130021			126130021	
126130031			126130031	
126130041			126130041	
126130051			126130051	
126130061			126130061	
126130071			126130071	
126130081			126130081	
126130091			126130091	
126130101			126130101	
126130111			126130111	
126130121			126130121	
126130131			126130131	
126130141			126130141	
126130151			126130151	
126130161			126130161	
126130171			126130171	
126130181			126130181	
126130191			126130191	
126130201			126130201	
126130211			126130211	
126130221			126130221	
126130231			126130231	
126130241			126130241	
126130251			126130251	
126130261			126130261	
126130271			126130271	
126130281			126130281	
126130291			126130291	
126130301			126130301	
126130311			126130311	
126130321			126130321	
126130331			126130331	
126130341			126130341	
126130351			126130351	
126130361			126130361	
126130371			126130371	
126130381			126130381	
126130391			126130391	
126130401			126130401	
126130411			126130411	
126130421			126130421	
126130431			126130431	
126130441			126130441	
126130451			126130451	
126130461			126130461	
126130471			126130471	
126130481			126130481	
126130491			126130491	
126130501			126130501	
126130511			126130511	
126130521			126130521	
126130531			126130531	
126130541			126130541	
126130551			126130551	
126130561			126130561	
126130571			126130571	
126130581			126130581	
126130591			126130591	
126130601			126130601	
126130611			126130611	
126130621			126130621	
126130631			126130631	
126130641			126130641	
126130651			126130651	
126130661			126130661	
126130671			126130671	
126130681			126130681	
126130691			126130691	
126130701			126130701	
126130711			126130711	
126130721			126130721	
126130731			126130731	
126130741			126130741	
126130751			126130751	
126130761			126130761	
126130771			126130771	
126130781			126130781	
126130791			126130791	
126130801			126130801	
126130811			126130811	
126130821			126130821	
126130831			126130831	
126130841			126130841	
126130851			126130851	
126130861			126130861	
126130871			126130871	
126130881			126130881	
126130891			126130891	
126130901			126130901	
126130911			126130911	
126130921			126130921	
126130931			126130931	
126130941			126130941	
126130951			126130951	
126130961			126130961	
126130971			126130971	
126130981			126130981	
126130991			126130991	
126131001			126131001	
				
126150011			126150011	
126150021			126150021	
126150031			126150031	
126150041			126150041	
126150051			126150051	
126150061			126150061	
126150071			126150071	
126150081			126150081	
126150091			126150091	
126150101			126150101	
126150111			126150111	
126150121			126150121	
126150131			126150131	
126150141			126150141	
126150151			126150151	
126150161			126150161	
126150171			126150171	
126150181			126150181	
126150191			126150191	
126150201			126150201	
126150211			126150211	
126150221			126150221	
126150231			126150231	
126150241			126150241	
126150251			126150251	
126150261			126150261	
126150271			126150271	
126150281			126150281	
126150291			126150291	
126150301			126150301	
126150311			126150311	
126150321			126150321	
126150331			126150331	
126150341			126150341	
126150351			126150351	
126150361			126150361	
126150371			126150371	
126150381			126150381	
126150391			126150391	
126150401			126150401	
126150411			126150411	
126150421			126150421	
126150431			126150431	
126150441			126150441	
126150451			126150451	
126150461			126150461	
126150471			126150471	
126150481			126150481	
126150491			126150491	
126150501			126150501	
126150511			126150511	
126150521			126150521	
126150531			126150531	
126150541			126150541	
126150551			126150551	
126150561			126150561	
126150571			126150571	
126150581			126150581	
126150591			126150591	
126150601			126150601	
126150611			126150611	
126150621			126150621	
126150631			126150631	
126150641			126150641	
126150651			126150651	
126150661			126150661	
126150671			126150671	
126150681			126150681	
126150691			126150691	
126150701			126150701	
126150711			126150711	
126150721			126150721	
126150731			126150731	
126150741			126150741	
126150751			126150751	
126150761			126150761	
126150771			126150771	
126150781			126150781	
126150791			126150791	
126150801			126150801	
126150811			126150811	
126150821			126150821	
126150831			126150831	
126150841			126150841	
126150851			126150851	
126150861			126150861	
126150871			126150871	
126150881			126150881	
126150891			126150891	
126150901			126150901	
126150911			126150911	
126150921			126150921	
126150931			126150931	
126150941			126150941	
126150951			126150951	
126150961			126150961	
126150971			126150971	
126150981			126150981	
126150991			126150991	
126151001			126151001	
				
126180011			126180011	
126180021			126180021	
126180031			126180031	
126180041			126180041	
126180051			126180051	
126180061			126180061	
126180071			126180071	
126180081			126180081	
126180091			126180091	
126180101			126180101	
126180111			126180111	
126180121			126180121	
126180131			126180131	
126180141			126180141	
126180151			126180151	
126180161			126180161	
126180171			126180171	
126180181			126180181	
126180191			126180191	
126180201			126180201	
126180211			126180211	
126180221			126180221	
126180231			126180231	
126180241			126180241	
126180251			126180251	
126180261			126180261	
126180271			126180271	
126180281			126180281	
126180291			126180291	
126180301			126180301	
126180311			126180311	
126180321			126180321	
126180331			126180331	
126180341			126180341	
126180351			126180351	
126180361			126180361	
126180371			126180371	
126180381			126180381	
126180391			126180391	
126180401			126180401	
126180411			126180411	
126180421			126180421	
126180431			126180431	
126180441			126180441	
126180451			126180451	
126180461			126180461	
126180471			126180471	
126180481			126180481	
126180491			126180491	
126180501			126180501	
126180511			126180511	
126180521			126180521	
126180531			126180531	
126180541			126180541	
126180551			126180551	
126180561			126180561	
126180571			126180571	
126180581			126180581	
126180591			126180591	
126180601			126180601	
126180611			126180611	
126180621			126180621	
126180631			126180631	
126180641			126180641	
126180651			126180651	
126180661			126180661	
126180671			126180671	
126180681			126180681	
126180691			126180691	
126180701			126180701	
126180711			126180711	
126180721			126180721	
126180731			126180731	
126180741			126180741	
126180751			126180751	
126180761			126180761	
126180771			126180771	
126180781			126180781	
126180791			126180791	
126180801			126180801	
126180811			126180811	
126180821			126180821	
126180831			126180831	
126180841			126180841	
126180851			126180851	
126180861			126180861	
126180871			126180871	
126180881			126180881	
126180891			126180891	
126180901			126180901	
126180911			126180911	
126180921			126180921	
126180931			126180931	
126180941			126180941	
126180951			126180951	
126180961			126180961	
126180971			126180971	
126180981			126180981	
126180991			126180991	
126181001			126181001	
				
126230011			126230011	
126230021			126230021	
126230031			126230031	
126230041			126230041	
126230051			126230051	
126230061			126230061	
126230071			126230071	
126230081			126230081	
126230091			126230091	
126230101			126230101	
126230111			126230111	
126230121			126230121	
126230131			126230131	
126230141			126230141	
126230151			126230151	
126230161			126230161	
126230171			126230171	
126230181			126230181	
126230191			126230191	
126230201			126230201	
126230211			126230211	
126230221			126230221	
126230231			126230231	
126230241			126230241	
126230251			126230251	
126230261			126230261	
126230271			126230271	
126230281			126230281	
126230291			126230291	
126230301			126230301	
126230311			126230311	
126230321			126230321	
126230331			126230331	
126230341			126230341	
126230351			126230351	
126230361			126230361	
126230371			126230371	
126230381			126230381	
126230391			126230391	
126230401			126230401	
126230411			126230411	
126230421			126230421	
126230431			126230431	
126230441			126230441	
126230451			126230451	
126230461			126230461	
126230471			126230471	
126230481			126230481	
126230491			126230491	
126230501			126230501	
126230511			126230511	
126230521			126230521	
126230531			126230531	
126230541			126230541	
126230551			126230551	
126230561			126230561	
126230571			126230571	
126230581			126230581	
126230591			126230591	
126230601			126230601	
126230611			126230611	
126230621			126230621	
126230631			126230631	
126230641			126230641	
126230651			126230651	
126230661			126230661	
126230671			126230671	
126230681			126230681	
126230691			126230691	
126230701			126230701	
126230711			126230711	
126230721			126230721	
126230731			126230731	
126230741			126230741	
126230751			126230751	
126230761			126230761	
126230771			126230771	
126230781			126230781	
126230791			126230791	
126230801			126230801	
126230811			126230811	
126230821			126230821	
126230831			126230831	
126230841			126230841	
126230851			126230851	
126230861			126230861	
126230871			126230871	
126230881			126230881	
126230891			126230891	
126230901			126230901	
126230911			126230911	
126230921			126230921	
126230931			126230931	
126230941			126230941	
126230951			126230951	
126230961			126230961	
126230971			126230971	
126230981			126230981	
126230991			126230991	
126231001			126231001	
				
126330011			126330011	
126330021			126330021	
126330031			126330031	
126330041			126330041	
126330051			126330051	
126330061			126330061	
126330071			126330071	
126330081			126330081	
126330091			126330091	
126330101			126330101	
126330111			126330111	
126330121			126330121	
126330131			126330131	
126330141			126330141	
126330151			126330151	
126330161			126330161	
126330171			126330171	
126330181			126330181	
126330191			126330191	
126330201			126330201	
126330211			126330211	
126330221			126330221	
126330231			126330231	
126330241			126330241	
126330251			126330251	
126330261			126330261	
126330271			126330271	
126330281			126330281	
126330291			126330291	
126330301			126330301	
126330311			126330311	
126330321			126330321	
126330331			126330331	
126330341			126330341	
126330351			126330351	
126330361			126330361	
126330371			126330371	
126330381			126330381	
126330391			126330391	
126330401			126330401	
126330411			126330411	
126330421			126330421	
126330431			126330431	
126330441			126330441	
126330451			126330451	
126330461			126330461	
126330471			126330471	
126330481			126330481	
126330491			126330491	
126330501			126330501	
126330511			126330511	
126330521			126330521	
126330531			126330531	
126330541			126330541	
126330551			126330551	
126330561			126330561	
126330571			126330571	
126330581			126330581	
126330591			126330591	
126330601			126330601	
126330611			126330611	
126330621			126330621	
126330631			126330631	
126330641			126330641	
126330651			126330651	
126330661			126330661	
126330671			126330671	
126330681			126330681	
126330691			126330691	
126330701			126330701	
126330711			126330711	
126330721			126330721	
126330731			126330731	
126330741			126330741	
126330751			126330751	
126330761			126330761	
126330771			126330771	
126330781			126330781	
126330791			126330791	
126330801			126330801	
126330811			126330811	
126330821			126330821	
126330831			126330831	
126330841			126330841	
126330851			126330851	
126330861			126330861	
126330871			126330871	
126330881			126330881	
126330891			126330891	
126330901			126330901	
126330911			126330911	
126330921			126330921	
126330931			126330931	
126330941			126330941	
126330951			126330951	
126330961			126330961	
126330971			126330971	
126330981			126330981	
126330991			126330991	
126331001			126331001	
				
12401101			12401101	
12401102			12401102	
12401103			12401103	
12401104			12401104	
12401105			12401105	
12401106			12401106	
12401107			12401107	
12401108			12401108	
12401109			12401109	
12401110			12401110	
12401201			12401201	
12401202			12401202	
12401203			12401203	
12401204			12401204	
12401205			12401205	
12401206			12401206	
12401207			12401207	
12401208			12401208	
12401209			12401209	
12401210			12401210	
12401301			12401301	
12401302			12401302	
12401303			12401303	
12401304			12401304	
12401305			12401305	
12401306			12401306	
12401307			12401307	
12401308			12401308	
12401309			12401309	
12401310			12401310	
12401401			12401401	
12401402			12401402	
12401403			12401403	
12401404			12401404	
12401405			12401405	
12401406			12401406	
12401407			12401407	
12401408			12401408	
12401409			12401409	
12401410			12401410	
12401501			12401501	
12401502			12401502	
12401503			12401503	
12401504			12401504	
12401505			12401505	
12401506			12401506	
12401507			12401507	
12401508			12401508	
12401509			12401509	
12401510			12401510	
12402101			12402101	
12402102			12402102	
12402103			12402103	
12402104			12402104	
12402105			12402105	
12402106			12402106	
12402107			12402107	
12402108			12402108	
12402109			12402109	
12402110			12402110	
12402201			12402201	
12402202			12402202	
12402203			12402203	
12402204			12402204	
12402205			12402205	
12402206			12402206	
12402207			12402207	
12402208			12402208	
12402209			12402209	
12402210			12402210	
12402301			12402301	
12402302			12402302	
12402303			12402303	
12402304			12402304	
12402305			12402305	
12402306			12402306	
12402307			12402307	
12402308			12402308	
12402309			12402309	
12402310			12402310	
12402401			12402401	
12402402			12402402	
12402403			12402403	
12402404			12402404	
12402405			12402405	
12402406			12402406	
12402407			12402407	
12402408			12402408	
12402409			12402409	
12402410			12402410	
12402501			12402501	
12402502			12402502	
12402503			12402503	
12402504			12402504	
12402505			12402505	
12402506			12402506	
12402507			12402507	
12402508			12402508	
12402509			12402509	
12402510			12402510	
12403101			12403101	
12403102			12403102	
12403103			12403103	
12403104			12403104	
12403105			12403105	
12403106			12403106	
12403107			12403107	
12403108			12403108	
12403109			12403109	
12403110			12403110	
12403201			12403201	
12403202			12403202	
12403203			12403203	
12403204			12403204	
12403205			12403205	
12403206			12403206	
12403207			12403207	
12403208			12403208	
12403209			12403209	
12403210			12403210	
12403301			12403301	
12403302			12403302	
12403303			12403303	
12403304			12403304	
12403305			12403305	
12403306			12403306	
12403307			12403307	
12403308			12403308	
12403309			12403309	
12403310			12403310	
12403401			12403401	
12403402			12403402	
12403403			12403403	
12403404			12403404	
12403405			12403405	
12403406			12403406	
12403407			12403407	
12403408			12403408	
12403409			12403409	
12403410			12403410	
12403501			12403501	
12403502			12403502	
12403503			12403503	
12403504			12403504	
12403505			12403505	
12403506			12403506	
12403507			12403507	
12403508			12403508	
12403509			12403509	
12403510			12403510	
12404101			12404101	
12404102			12404102	
12404103			12404103	
12404104			12404104	
12404105			12404105	
12404106			12404106	
12404107			12404107	
12404108			12404108	
12404109			12404109	
12404110			12404110	
12404201			12404201	
12404202			12404202	
12404203			12404203	
12404204			12404204	
12404205			12404205	
12404206			12404206	
12404207			12404207	
12404208			12404208	
12404209			12404209	
12404210			12404210	
12404301			12404301	
12404302			12404302	
12404303			12404303	
12404304			12404304	
12404305			12404305	
12404306			12404306	
12404307			12404307	
12404308			12404308	
12404309			12404309	
12404310			12404310	
12404401			12404401	
12404402			12404402	
12404403			12404403	
12404404			12404404	
12404405			12404405	
12404406			12404406	
12404407			12404407	
12404408			12404408	
12404409			12404409	
12404410			12404410	
12404501			12404501	
12404502			12404502	
12404503			12404503	
12404504			12404504	
12404505			12404505	
12404506			12404506	
12404507			12404507	
12404508			12404508	
12404509			12404509	
12404510			12404510	
12405101			12405101	
12405102			12405102	
12405103			12405103	
12405104			12405104	
12405105			12405105	
12405106			12405106	
12405107			12405107	
12405108			12405108	
12405109			12405109	
12405110			12405110	
12405201			12405201	
12405202			12405202	
12405203			12405203	
12405204			12405204	
12405205			12405205	
12405206			12405206	
12405207			12405207	
12405208			12405208	
12405209			12405209	
12405210			12405210	
12405301			12405301	
12405302			12405302	
12405303			12405303	
12405304			12405304	
12405305			12405305	
12405306			12405306	
12405307			12405307	
12405308			12405308	
12405309			12405309	
12405310			12405310	
12405401			12405401	
12405402			12405402	
12405403			12405403	
12405404			12405404	
12405405			12405405	
12405406			12405406	
12405407			12405407	
12405408			12405408	
12405409			12405409	
12405410			12405410	
12405501			12405501	
12405502			12405502	
12405503			12405503	
12405504			12405504	
12405505			12405505	
12405506			12405506	
12405507			12405507	
12405508			12405508	
12405509			12405509	
12405510			12405510	
12406101			12406101	
12406102			12406102	
12406103			12406103	
12406104			12406104	
12406105			12406105	
12406106			12406106	
12406107			12406107	
12406108			12406108	
12406109			12406109	
12406110			12406110	
12406201			12406201	
12406202			12406202	
12406203			12406203	
12406204			12406204	
12406205			12406205	
12406206			12406206	
12406207			12406207	
12406208			12406208	
12406209			12406209	
12406210			12406210	
12406301			12406301	
12406302			12406302	
12406303			12406303	
12406304			12406304	
12406305			12406305	
12406306			12406306	
12406307			12406307	
12406308			12406308	
12406309			12406309	
12406310			12406310	
12406401			12406401	
12406402			12406402	
12406403			12406403	
12406404			12406404	
12406405			12406405	
12406406			12406406	
12406407			12406407	
12406408			12406408	
12406409			12406409	
12406410			12406410	
12406501			12406501	
12406502			12406502	
12406503			12406503	
12406504			12406504	
12406505			12406505	
12406506			12406506	
12406507			12406507	
12406508			12406508	
12406509			12406509	
12406510			12406510	
12407101			12407101	
12407102			12407102	
12407103			12407103	
12407104			12407104	
12407105			12407105	
12407106			12407106	
12407107			12407107	
12407108			12407108	
12407109			12407109	
12407110			12407110	
12407201			12407201	
12407202			12407202	
12407203			12407203	
12407204			12407204	
12407205			12407205	
12407206			12407206	
12407207			12407207	
12407208			12407208	
12407209			12407209	
12407210			12407210	
12407301			12407301	
12407302			12407302	
12407303			12407303	
12407304			12407304	
12407305			12407305	
12407306			12407306	
12407307			12407307	
12407308			12407308	
12407309			12407309	
12407310			12407310	
12407401			12407401	
12407402			12407402	
12407403			12407403	
12407404			12407404	
12407405			12407405	
12407406			12407406	
12407407			12407407	
12407408			12407408	
12407409			12407409	
12407410			12407410	
12407501			12407501	
12407502			12407502	
12407503			12407503	
12407504			12407504	
12407505			12407505	
12407506			12407506	
12407507			12407507	
12407508			12407508	
12407509			12407509	
12407510			12407510	
12408101			12408101	
12408102			12408102	
12408103			12408103	
12408104			12408104	
12408105			12408105	
12408106			12408106	
12408107			12408107	
12408108			12408108	
12408109			12408109	
12408110			12408110	
12408201			12408201	
12408202			12408202	
12408203			12408203	
12408204			12408204	
12408205			12408205	
12408206			12408206	
12408207			12408207	
12408208			12408208	
12408209			12408209	
12408210			12408210	
12408301			12408301	
12408302			12408302	
12408303			12408303	
12408304			12408304	
12408305			12408305	
12408306			12408306	
12408307			12408307	
12408308			12408308	
12408309			12408309	
12408310			12408310	
12408401			12408401	
12408402			12408402	
12408403			12408403	
12408404			12408404	
12408405			12408405	
12408406			12408406	
12408407			12408407	
12408408			12408408	
12408409			12408409	
12408410			12408410	
12408501			12408501	
12408502			12408502	
12408503			12408503	
12408504			12408504	
12408505			12408505	
12408506			12408506	
12408507			12408507	
12408508			12408508	
12408509			12408509	
12408510			12408510	
12409101			12409101	
12409102			12409102	
12409103			12409103	
12409104			12409104	
12409105			12409105	
12409106			12409106	
12409107			12409107	
12409108			12409108	
12409109			12409109	
12409110			12409110	
12409201			12409201	
12409202			12409202	
12409203			12409203	
12409204			12409204	
12409205			12409205	
12409206			12409206	
12409207			12409207	
12409208			12409208	
12409209			12409209	
12409210			12409210	
12409301			12409301	
12409302			12409302	
12409303			12409303	
12409304			12409304	
12409305			12409305	
12409306			12409306	
12409307			12409307	
12409308			12409308	
12409309			12409309	
12409310			12409310	
12409401			12409401	
12409402			12409402	
12409403			12409403	
12409404			12409404	
12409405			12409405	
12409406			12409406	
12409407			12409407	
12409408			12409408	
12409409			12409409	
12409410			12409410	
12409501			12409501	
12409502			12409502	
12409503			12409503	
12409504			12409504	
12409505			12409505	
12409506			12409506	
12409507			12409507	
12409508			12409508	
12409509			12409509	
12409510			12409510	
12410101			12410101	
12410102			12410102	
12410103			12410103	
12410104			12410104	
12410105			12410105	
12410106			12410106	
12410107			12410107	
12410108			12410108	
12410109			12410109	
12410110			12410110	
12410201			12410201	
12410202			12410202	
12410203			12410203	
12410204			12410204	
12410205			12410205	
12410206			12410206	
12410207			12410207	
12410208			12410208	
12410209			12410209	
12410210			12410210	
12410301			12410301	
12410302			12410302	
12410303			12410303	
12410304			12410304	
12410305			12410305	
12410306			12410306	
12410307			12410307	
12410308			12410308	
12410309			12410309	
12410310			12410310	
12410401			12410401	
12410402			12410402	
12410403			12410403	
12410404			12410404	
12410405			12410405	
12410406			12410406	
12410407			12410407	
12410408			12410408	
12410409			12410409	
12410410			12410410	
12410501			12410501	
12410502			12410502	
12410503			12410503	
12410504			12410504	
12410505			12410505	
12410506			12410506	
12410507			12410507	
12410508			12410508	
12410509			12410509	
12410510			12410510	
				
12401601			12401601	
12401602			12401602	
12401603			12401603	
12401604			12401604	
12401605			12401605	
12401606			12401606	
12401607			12401607	
12401608			12401608	
12401609			12401609	
12401610			12401610	
12401611			12401611	
12401612			12401612	
12401613			12401613	
12401614			12401614	
12401615			12401615	
12402601			12402601	
12402602			12402602	
12402603			12402603	
12402604			12402604	
12402605			12402605	
12402606			12402606	
12402607			12402607	
12402608			12402608	
12402609			12402609	
12402610			12402610	
12402611			12402611	
12402612			12402612	
12402613			12402613	
12402614			12402614	
12402615			12402615	
12403601			12403601	
12403602			12403602	
12403603			12403603	
12403604			12403604	
12403605			12403605	
12403606			12403606	
12403607			12403607	
12403608			12403608	
12403609			12403609	
12403610			12403610	
12403611			12403611	
12403612			12403612	
12403613			12403613	
12403614			12403614	
12403615			12403615	
12404601			12404601	
12404602			12404602	
12404603			12404603	
12404604			12404604	
12404605			12404605	
12404606			12404606	
12404607			12404607	
12404608			12404608	
12404609			12404609	
12404610			12404610	
12404611			12404611	
12404612			12404612	
12404613			12404613	
12404614			12404614	
12404615			12404615	
12405601			12405601	
12405602			12405602	
12405603			12405603	
12405604			12405604	
12405605			12405605	
12405606			12405606	
12405607			12405607	
12405608			12405608	
12405609			12405609	
12405610			12405610	
12405611			12405611	
12405612			12405612	
12405613			12405613	
12405614			12405614	
12405615			12405615	
12406601			12406601	
12406602			12406602	
12406603			12406603	
12406604			12406604	
12406605			12406605	
12406606			12406606	
12406607			12406607	
12406608			12406608	
12406609			12406609	
12406610			12406610	
12406611			12406611	
12406612			12406612	
12406613			12406613	
12406614			12406614	
12406615			12406615	
12407601			12407601	
12407602			12407602	
12407603			12407603	
12407604			12407604	
12407605			12407605	
12407606			12407606	
12407607			12407607	
12407608			12407608	
12407609			12407609	
12407610			12407610	
12407611			12407611	
12407612			12407612	
12407613			12407613	
12407614			12407614	
12407615			12407615	
12408601			12408601	
12408602			12408602	
12408603			12408603	
12408604			12408604	
12408605			12408605	
12408606			12408606	
12408607			12408607	
12408608			12408608	
12408609			12408609	
12408610			12408610	
12408611			12408611	
12408612			12408612	
12408613			12408613	
12408614			12408614	
12408615			12408615	
12409601			12409601	
12409602			12409602	
12409603			12409603	
12409604			12409604	
12409605			12409605	
12409606			12409606	
12409607			12409607	
12409608			12409608	
12409609			12409609	
12409610			12409610	
12409611			12409611	
12409612			12409612	
12409613			12409613	
12409614			12409614	
12409615			12409615	
