id		金	粮食	木材	石料	元宝	银两	点券	联盟贡献币	玉璧	玉石矿	物品配置	物品id	物品个数	物品id	物品个数	物品id	物品个数	物品id	物品个数		消耗的宝石id	消耗的宝石数量	消耗的宝石id	消耗的宝石数量	
50003	军营3	50			75																					
50004	军营4	72			109																					
50005	军营5	67			100																					
50006	军营6	73			110																					
50007	军营7	82			123																					
50008	军营8	293			440																					
50009	军营9	693			1039																					
50010	军营10	1072			1608																					
50011	军营11	1592			2388																					
50012	军营12	2584			3876																					
50013	军营13	3724			5587																					
50014	军营14	5068			7603																					
50015	军营15	6692			10000																					
50016	军营16	10000			16000																					
50017	军营17	13000			19000																					
50018	军营18	15000			22000																					
50019	军营19	18000			27000																					
50020	军营20	21000			31000																					
50021	军营21	25000			38000																					
50022	军营22	29000			43000																					
50023	军营23	35000			52000																					
50024	军营24	48000			72000																					
50025	军营25	50000			75000																					
50026	军营26	59000			88000																					
50027	军营27	71000			107000																					
50028	军营28	105000			157000																					
50029	军营29	157000			235000																					
50030	军营30	203000			304000																					
50031	军营31	305000			457000																					
50032	军营32	570000			855000																					
50033	军营33	759000			1139000																					
50034	军营34	854000			1280000																					
50035	军营35	880000			1320000																					
50036	军营36	1172000			1758000																					
50037	军营37	1305000			1957000																					
50038	军营38	1404000			2106000																					
50039	军营39	1813000			2720000																					
50040	军营40	1774000			2661000																					
50041	军营41	2012000			3018000																					
50042	军营42	2536000			3804000																					
50043	军营43	2818000			4227000																					
50044	军营44	3034000			4551000																					
50045	军营45	3593000			5389000																					
50046	军营46	3824000			5736000																					
50047	军营47	4145000			6217000																					
50048	军营48	4988000			7482000																					
50049	军营49	5361000			8042000																					
50050	军营50	5261000			7892000																					
																										
60001	城墙1																									
60002	城墙2	2			3																					
60003	城墙3	2			4																					
60004	城墙4	4			6																					
60005	城墙5	3			5																					
60006	城墙6	4			6																					
60007	城墙7	4			6																					
60008	城墙8	16			24																					
60009	城墙9	38			57																					
60010	城墙10	59			89																					
60011	城墙11	88			132																					
60012	城墙12	143			215																					
60013	城墙13	206			310																					
60014	城墙14	281			422																					
60015	城墙15	371			557																					
60016	城墙16	580			870																					
60017	城墙17	717			1076																					
60018	城墙18	821			1232																					
60019	城墙19	1018			1527																					
60020	城墙20	1156			1734																					
60021	城墙21	1411			2116																					
60022	城墙22	1609			2414																					
60023	城墙23	1922			2883																					
60024	城墙24	2683			4025																					
60025	城墙25	2785			4178																					
60026	城墙26	3253			4880																					
60027	城墙27	3944			5916																					
60028	城墙28	5818			8728																					
60029	城墙29	8710			13000																					
60030	城墙30	11000			17000																					
60031	城墙31	17000			25000																					
60032	城墙32	32000			48000																					
60033	城墙33	42000			63000																					
60034	城墙34	47000			71000																					
60035	城墙35	49000			73000																					
60036	城墙36	65000			98000																					
60037	城墙37	72000			109000																					
60038	城墙38	78000			117000																					
60039	城墙39	101000			151000																					
60040	城墙40	99000			148000																					
60041	城墙41	112000			168000																					
60042	城墙42	141000			211000																					
60043	城墙43	157000			235000																					
60044	城墙44	169000			253000																					
60045	城墙45	200000			299000																					
60046	城墙46	212000			319000																					
60047	城墙47	230000			345000																					
60048	城墙48	277000			416000																					
60049	城墙49	298000			447000																					
60050	城墙50	292000			438000																					
																										
70001	书院1																									
70002	书院2	140			210																					
70003	书院3	168			253																					
70004	书院4	242			363																					
70005	书院5	224			336																					
70006	书院6	244			366																					
70007	书院7	274			412																					
70008	书院8	978			1467																					
70009	书院9	2310			3465																					
70010	书院10	3575			5362																					
70011	书院11	5307			7961																					
70012	书院12	8614			13000																					
70013	书院13	12000			19000																					
70014	书院14	17000			25000																					
70015	书院15	22000			33000																					
70016	书院16	35000			52000																					
70017	书院17	43000			65000																					
70018	书院18	49000			74000																					
70019	书院19	61000			92000																					
70020	书院20	69000			104000																					
70021	书院21	85000			127000																					
70022	书院22	97000			145000																					
70023	书院23	115000			173000																					
70024	书院24	161000			242000																					
70025	书院25	167000			251000																					
70026	书院26	195000			293000																					
70027	书院27	237000			355000																					
70028	书院28	349000			524000																					
70029	书院29	523000			784000																					
70030	书院30	676000			1014000																					
70031	书院31	1015000			1523000																					
70032	书院32	1900000			2850000																					
70033	书院33	2531000			3797000																					
70034	书院34	2845000			4268000																					
70035	书院35	2933000			4400000																					
70036	书院36	3907000			5861000																					
70037	书院37	4350000			6525000																					
70038	书院38	4681000			7022000																					
70039	书院39	6044000			9067000																					
70040	书院40	5912000			8868000																					
70041	书院41	6707000			10060000																					
70042	书院42	8453000			12679000																					
70043	书院43	9394000			14091000																					
70044	书院44	10000000			15169000																					
70045	书院45	12000000			17963000																					
70046	书院46	13000000			19119000																					
70047	书院47	14000000			20723000																					
70048	书院48	17000000			24939000																					
70049	书院49	18000000			26806000																					
70050	书院50	18000000			26307000																					
																										
80001	外使院1																									
80002	外使院2	2			3																					
80003	外使院3	2			4																					
80004	外使院4	4			6																					
80005	外使院5	3			5																					
80006	外使院6	4			6																					
80007	外使院7	4			6																					
80008	外使院8	16			24																					
80009	外使院9	38			57																					
80010	外使院10	59			89																					
80011	外使院11	88			132																					
80012	外使院12	143			215																					
80013	外使院13	206			310																					
80014	外使院14	281			422																					
80015	外使院15	371			557																					
80016	外使院16	580			870																					
80017	外使院17	717			1076																					
80018	外使院18	821			1232																					
80019	外使院19	1018			1527																					
80020	外使院20	1156			1734																					
80021	外使院21	1411			2116																					
80022	外使院22	1609			2414																					
80023	外使院23	1922			2883																					
80024	外使院24	2683			4025																					
80025	外使院25	2785			4178																					
80026	外使院26	3253			4880																					
80027	外使院27	3944			5916																					
80028	外使院28	5818			8728																					
80029	外使院29	8710			13000																					
80030	外使院30	11000			17000																					
80031	外使院31	17000			25000																					
80032	外使院32	32000			48000																					
80033	外使院33	42000			63000																					
80034	外使院34	47000			71000																					
80035	外使院35	49000			73000																					
80036	外使院36	65000			98000																					
80037	外使院37	72000			109000																					
80038	外使院38	78000			117000																					
80039	外使院39	101000			151000																					
80040	外使院40	99000			148000																					
80041	外使院41	112000			168000																					
80042	外使院42	141000			211000																					
80043	外使院43	157000			235000																					
80044	外使院44	169000			253000																					
80045	外使院45	200000			299000																					
80046	外使院46	212000			319000																					
80047	外使院47	230000			345000																					
80048	外使院48	277000			416000																					
80049	外使院49	298000			447000																					
80050	外使院50	292000			438000																					
																										
90001	铁匠铺1																									
90002	铁匠铺2	28			42																					
90003	铁匠铺3	33			50																					
90004	铁匠铺4	48			72																					
90005	铁匠铺5	44			67																					
90006	铁匠铺6	48			73																					
90007	铁匠铺7	54			82																					
90008	铁匠铺8	195			293																					
90009	铁匠铺9	462			693																					
90010	铁匠铺10	715			1072																					
90011	铁匠铺11	1061			1592																					
90012	铁匠铺12	1722			2584																					
90013	铁匠铺13	2483			3724																					
90014	铁匠铺14	3379			5068																					
90015	铁匠铺15	4461			6692																					
90016	铁匠铺16	6961			10000																					
90017	铁匠铺17	8612			13000																					
90018	铁匠铺18	9860			15000																					
90019	铁匠铺19	12000			18000																					
90020	铁匠铺20	14000			21000																					
90021	铁匠铺21	17000			25000																					
90022	铁匠铺22	19000			29000																					
90023	铁匠铺23	23000			35000																					
90024	铁匠铺24	32000			48000																					
90025	铁匠铺25	33000			50000																					
90026	铁匠铺26	39000			59000																					
90027	铁匠铺27	47000			71000																					
90028	铁匠铺28	70000			105000																					
90029	铁匠铺29	105000			157000																					
90030	铁匠铺30	135000			203000																					
90031	铁匠铺31	203000			305000																					
90032	铁匠铺32	380000			570000																					
90033	铁匠铺33	506000			759000																					
90034	铁匠铺34	569000			854000																					
90035	铁匠铺35	587000			880000																					
90036	铁匠铺36	781000			1172000																					
90037	铁匠铺37	870000			1305000																					
90038	铁匠铺38	936000			1404000																					
90039	铁匠铺39	1209000			1813000																					
90040	铁匠铺40	1182000			1774000																					
90041	铁匠铺41	1341000			2012000																					
90042	铁匠铺42	1691000			2536000																					
90043	铁匠铺43	1879000			2818000																					
90044	铁匠铺44	2023000			3034000																					
90045	铁匠铺45	2395000			3593000																					
90046	铁匠铺46	2549000			3824000																					
90047	铁匠铺47	2763000			4145000																					
90048	铁匠铺48	3325000			4988000																					
90049	铁匠铺49	3574000			5361000																					
90050	铁匠铺50	3508000			5261000																					
																										
100001	修炼馆1																									
100002	修炼馆2	46			70																					
100003	修炼馆3	56			84																					
100004	修炼馆4	80			121																					
100005	修炼馆5	74			112																					
100006	修炼馆6	81			122																					
100007	修炼馆7	91			137																					
100008	修炼馆8	326			489																					
100009	修炼馆9	770			1155																					
100010	修炼馆10	1191			1787																					
100011	修炼馆11	1769			2653																					
100012	修炼馆12	2871			4307																					
100013	修炼馆13	4138			6208																					
100014	修炼馆14	5632			8448																					
100015	修炼馆15	7436			11000																					
100016	修炼馆16	12000			17000																					
100017	修炼馆17	14000			22000																					
100018	修炼馆18	16000			25000																					
100019	修炼馆19	20000			31000																					
100020	修炼馆20	23000			35000																					
100021	修炼馆21	28000			42000																					
100022	修炼馆22	32000			48000																					
100023	修炼馆23	38000			58000																					
100024	修炼馆24	54000			81000																					
100025	修炼馆25	56000			84000																					
100026	修炼馆26	65000			98000																					
100027	修炼馆27	79000			118000																					
100028	修炼馆28	116000			175000																					
100029	修炼馆29	174000			261000																					
100030	修炼馆30	225000			338000																					
100031	修炼馆31	338000			508000																					
100032	修炼馆32	633000			950000																					
100033	修炼馆33	844000			1266000																					
100034	修炼馆34	948000			1423000																					
100035	修炼馆35	978000			1467000																					
100036	修炼馆36	1302000			1954000																					
100037	修炼馆37	1450000			2175000																					
100038	修炼馆38	1560000			2341000																					
100039	修炼馆39	2015000			3022000																					
100040	修炼馆40	1971000			2956000																					
100041	修炼馆41	2236000			3353000																					
100042	修炼馆42	2818000			4226000																					
100043	修炼馆43	3131000			4697000																					
100044	修炼馆44	3371000			5056000																					
100045	修炼馆45	3992000			5988000																					
100046	修炼馆46	4249000			6373000																					
100047	修炼馆47	4605000			6908000																					
100048	修炼馆48	5542000			8313000																					
100049	修炼馆49	5957000			8935000																					
100050	修炼馆50	5846000			8769000																					
																										
300001	司徒府1																									
300002	司徒府2	37			56																					
300003	司徒府3	44			67																					
300004	司徒府4	64			97																					
300005	司徒府5	59			89																					
300006	司徒府6	65			97																					
300007	司徒府7	73			109																					
300008	司徒府8	260			391																					
300009	司徒府9	616			924																					
300010	司徒府10	953			1430																					
300011	司徒府11	1415			2123																					
300012	司徒府12	2297			3445																					
300013	司徒府13	3310			4966																					
300014	司徒府14	4505			6758																					
300015	司徒府15	5948			8923																					
300016	司徒府16	9281			14000																					
300017	司徒府17	11000			17000																					
300018	司徒府18	13000			20000																					
300019	司徒府19	16000			24000																					
300020	司徒府20	19000			28000																					
300021	司徒府21	23000			34000																					
300022	司徒府22	26000			39000																					
300023	司徒府23	31000			46000																					
300024	司徒府24	43000			64000																					
300025	司徒府25	45000			67000																					
300026	司徒府26	52000			78000																					
300027	司徒府27	63000			95000																					
300028	司徒府28	93000			140000																					
300029	司徒府29	139000			209000																					
300030	司徒府30	180000			270000																					
300031	司徒府31	271000			406000																					
300032	司徒府32	507000			760000																					
300033	司徒府33	675000			1013000																					
300034	司徒府34	759000			1138000																					
300035	司徒府35	782000			1173000																					
300036	司徒府36	1042000			1563000																					
300037	司徒府37	1160000			1740000																					
300038	司徒府38	1248000			1872000																					
300039	司徒府39	1612000			2418000																					
300040	司徒府40	1577000			2365000																					
300041	司徒府41	1788000			2683000																					
300042	司徒府42	2254000			3381000																					
300043	司徒府43	2505000			3758000																					
300044	司徒府44	2697000			4045000																					
300045	司徒府45	3193000			4790000																					
300046	司徒府46	3399000			5098000																					
300047	司徒府47	3684000			5526000																					
300048	司徒府48	4434000			6650000																					
300049	司徒府49	4765000			7148000																					
300050	司徒府50	4677000			7015000																					
																										
310001	铸币厂1																									
310002	铸币厂2	14			22																					
310003	铸币厂3	17			26																					
310004	铸币厂4	25			38																					
310005	铸币厂5	23			35																					
310006	铸币厂6	26			39																					
310007	铸币厂7	29			43																					
310008	铸币厂8	104			156																					
310009	铸币厂9	246			369																					
310010	铸币厂10	381			572																					
310011	铸币厂11	566			849																					
310012	铸币厂12	918			1378																					
310013	铸币厂13	1324			1986																					
310014	铸币厂14	1802			2703																					
310015	铸币厂15	2379			3569																					
310016	铸币厂16	3712			5568																					
310017	铸币厂17	4593			6890																					
310018	铸币厂18	5258			7888																					
310019	铸币厂19	6515			9773																					
310020	铸币厂20	7400			11000																					
310021	铸币厂21	9031			14000																					
310022	铸币厂22	10000			15000																					
310023	铸币厂23	12000			18000																					
310024	铸币厂24	17000			26000																					
310025	铸币厂25	18000			27000																					
310026	铸币厂26	21000			31000																					
310027	铸币厂27	25000			38000																					
310028	铸币厂28	37000			56000																					
310029	铸币厂29	56000			84000																					
310030	铸币厂30	72000			108000																					
310031	铸币厂31	108000			162000																					
310032	铸币厂32	203000			304000																					
310033	铸币厂33	270000			405000																					
310034	铸币厂34	304000			455000																					
310035	铸币厂35	313000			469000																					
310036	铸币厂36	417000			625000																					
310037	铸币厂37	464000			696000																					
310038	铸币厂38	499000			749000																					
310039	铸币厂39	645000			967000																					
310040	铸币厂40	631000			946000																					
310041	铸币厂41	715000			1073000																					
310042	铸币厂42	902000			1352000																					
310043	铸币厂43	1002000			1503000																					
310044	铸币厂44	1079000			1618000																					
310045	铸币厂45	1277000			1916000																					
310046	铸币厂46	1360000			2039000																					
310047	铸币厂47	1474000			2210000																					
310048	铸币厂48	1773000			2660000																					
310049	铸币厂49	1906000			2859000																					
310050	铸币厂50	1871000			2806000																					
																										
320001	采石场1																									
320002	采石场2	14			22																					
320003	采石场3	17			26																					
320004	采石场4	25			38																					
320005	采石场5	23			35																					
320006	采石场6	26			39																					
320007	采石场7	29			43																					
320008	采石场8	104			156																					
320009	采石场9	246			369																					
320010	采石场10	381			572																					
320011	采石场11	566			849																					
320012	采石场12	918			1378																					
320013	采石场13	1324			1986																					
320014	采石场14	1802			2703																					
320015	采石场15	2379			3569																					
320016	采石场16	3712			5568																					
320017	采石场17	4593			6890																					
320018	采石场18	5258			7888																					
320019	采石场19	6515			9773																					
320020	采石场20	7400			11000																					
320021	采石场21	9031			14000																					
320022	采石场22	10000			15000																					
320023	采石场23	12000			18000																					
320024	采石场24	17000			26000																					
320025	采石场25	18000			27000																					
320026	采石场26	21000			31000																					
320027	采石场27	25000			38000																					
320028	采石场28	37000			56000																					
320029	采石场29	56000			84000																					
320030	采石场30	72000			108000																					
320031	采石场31	108000			162000																					
320032	采石场32	203000			304000																					
320033	采石场33	270000			405000																					
320034	采石场34	304000			455000																					
320035	采石场35	313000			469000																					
320036	采石场36	417000			625000																					
320037	采石场37	464000			696000																					
320038	采石场38	499000			749000																					
320039	采石场39	645000			967000																					
320040	采石场40	631000			946000																					
320041	采石场41	715000			1073000																					
320042	采石场42	902000			1352000																					
320043	采石场43	1002000			1503000																					
320044	采石场44	1079000			1618000																					
320045	采石场45	1277000			1916000																					
320046	采石场46	1360000			2039000																					
320047	采石场47	1474000			2210000																					
320048	采石场48	1773000			2660000																					
320049	采石场49	1906000			2859000																					
320050	采石场50	1871000			2806000																					
																										
330001	稷下学宫1																									
330002	稷下学宫2	9			14																					
330003	稷下学宫3	11			16																					
330004	稷下学宫4	16			24																					
330005	稷下学宫5	14			22																					
330006	稷下学宫6	16			24																					
330007	稷下学宫7	18			27																					
330008	稷下学宫8	65			97																					
330009	稷下学宫9	154			231																					
330010	稷下学宫10	238			357																					
330011	稷下学宫11	353			530																					
330012	稷下学宫12	574			861																					
330013	稷下学宫13	827			1241																					
330014	稷下学宫14	1126			1689																					
330015	稷下学宫15	1487			2230																					
330016	稷下学宫16	2320			3480																					
330017	稷下学宫17	2870			4306																					
330018	稷下学宫18	3286			4930																					
330019	稷下学宫19	4072			6108																					
330020	稷下学宫20	4625			6937																					
330021	稷下学宫21	5644			8467																					
330022	稷下学宫22	6438			9657																					
330023	稷下学宫23	7688			12000																					
330024	稷下学宫24	11000			16000																					
330025	稷下学宫25	11000			17000																					
330026	稷下学宫26	13000			20000																					
330027	稷下学宫27	16000			24000																					
330028	稷下学宫28	23000			35000																					
330029	稷下学宫29	35000			52000																					
330030	稷下学宫30	45000			68000																					
330031	稷下学宫31	68000			102000																					
330032	稷下学宫32	127000			190000																					
330033	稷下学宫33	169000			253000																					
330034	稷下学宫34	190000			285000																					
330035	稷下学宫35	196000			293000																					
330036	稷下学宫36	260000			391000																					
330037	稷下学宫37	290000			435000																					
330038	稷下学宫38	312000			468000																					
330039	稷下学宫39	403000			604000																					
330040	稷下学宫40	394000			591000																					
330041	稷下学宫41	447000			671000																					
330042	稷下学宫42	564000			845000																					
330043	稷下学宫43	626000			939000																					
330044	稷下学宫44	674000			1011000																					
330045	稷下学宫45	798000			1198000																					
330046	稷下学宫46	850000			1275000																					
330047	稷下学宫47	921000			1382000																					
330048	稷下学宫48	1108000			1663000																					
330049	稷下学宫49	1191000			1787000																					
330050	稷下学宫50	1169000			1754000																					
																										
340001	鲁班工坊1																									
340002	鲁班工坊2	1			2																					
340003	鲁班工坊3	2			3																					
340004	鲁班工坊4	3			4																					
340005	鲁班工坊5	2			4																					
340006	鲁班工坊6	3			4																					
340007	鲁班工坊7	3			5																					
340008	鲁班工坊8	13			19																					
340009	鲁班工坊9	30			46																					
340010	鲁班工坊10	47			71																					
340011	鲁班工坊11	70			106																					
340012	鲁班工坊12	114			172																					
340013	鲁班工坊13	165			248																					
340014	鲁班工坊14	225			337																					
340015	鲁班工坊15	297			446																					
340016	鲁班工坊16	464			696																					
340017	鲁班工坊17	574			861																					
340018	鲁班工坊18	657			986																					
340019	鲁班工坊19	814			1221																					
340020	鲁班工坊20	925			1387																					
340021	鲁班工坊21	1128			1693																					
340022	鲁班工坊22	1287			1931																					
340023	鲁班工坊23	1537			2306																					
340024	鲁班工坊24	2146			3220																					
340025	鲁班工坊25	2228			3342																					
340026	鲁班工坊26	2602			3904																					
340027	鲁班工坊27	3155			4733																					
340028	鲁班工坊28	4655			6982																					
340029	鲁班工坊29	6968			10000																					
340030	鲁班工坊30	9014			14000																					
340031	鲁班工坊31	14000			20000																					
340032	鲁班工坊32	25000			38000																					
340033	鲁班工坊33	34000			51000																					
340034	鲁班工坊34	38000			57000																					
340035	鲁班工坊35	39000			59000																					
340036	鲁班工坊36	52000			78000																					
340037	鲁班工坊37	58000			87000																					
340038	鲁班工坊38	62000			94000																					
340039	鲁班工坊39	81000			121000																					
340040	鲁班工坊40	79000			118000																					
340041	鲁班工坊41	89000			134000																					
340042	鲁班工坊42	113000			169000																					
340043	鲁班工坊43	125000			188000																					
340044	鲁班工坊44	135000			202000																					
340045	鲁班工坊45	160000			240000																					
340046	鲁班工坊46	170000			255000																					
340047	鲁班工坊47	184000			276000																					
340048	鲁班工坊48	222000			333000																					
340049	鲁班工坊49	238000			357000																					
340050	鲁班工坊50	234000			351000																					
																										
400001	司马府1																									
400002	司马府2	93			140																					
400003	司马府3	112			168																					
400004	司马府4	161			242																					
400005	司马府5	149			224																					
400006	司马府6	163			244																					
400007	司马府7	183			274																					
400008	司马府8	652			978																					
400009	司马府9	1540			2310																					
400010	司马府10	2383			3575																					
400011	司马府11	3538			5307																					
400012	司马府12	5742			8614																					
400013	司马府13	8277			12000																					
400014	司马府14	11000			17000																					
400015	司马府15	15000			22000																					
400016	司马府16	23000			35000																					
400017	司马府17	29000			43000																					
400018	司马府18	33000			49000																					
400019	司马府19	41000			61000																					
400020	司马府20	46000			69000																					
400021	司马府21	56000			85000																					
400022	司马府22	64000			97000																					
400023	司马府23	77000			115000																					
400024	司马府24	107000			161000																					
400025	司马府25	111000			167000																					
400026	司马府26	130000			195000																					
400027	司马府27	158000			237000																					
400028	司马府28	233000			349000																					
400029	司马府29	348000			523000																					
400030	司马府30	451000			676000																					
400031	司马府31	677000			1015000																					
400032	司马府32	1267000			1900000																					
400033	司马府33	1688000			2531000																					
400034	司马府34	1897000			2845000																					
400035	司马府35	1955000			2933000																					
400036	司马府36	2605000			3907000																					
400037	司马府37	2900000			4350000																					
400038	司马府38	3121000			4681000																					
400039	司马府39	4030000			6044000																					
400040	司马府40	3942000			5912000																					
400041	司马府41	4471000			6707000																					
400042	司马府42	5635000			8453000																					
400043	司马府43	6263000			9394000																					
400044	司马府44	6742000			10113000																					
400045	司马府45	7983000			11975000																					
400046	司马府46	8497000			12746000																					
400047	司马府47	9210000			13816000																					
400048	司马府48	11000000			16626000																					
400049	司马府49	12000000			17871000																					
400050	司马府50	12000000			17538000																					
																										
410001	神射营1																									
410002	神射营2	32			49																					
410003	神射营3	39			59																					
410004	神射营4	56			84																					
410005	神射营5	52			78																					
410006	神射营6	57			85																					
410007	神射营7	64			96																					
410008	神射营8	228			342																					
410009	神射营9	539			808																					
410010	神射营10	834			1251																					
410011	神射营11	1238			1857																					
410012	神射营12	2010			3015																					
410013	神射营13	2897			4345																					
410014	神射营14	3942			5913																					
410015	神射营15	5205			7808																					
410016	神射营16	8121			12000																					
410017	神射营17	10000			15000																					
410018	神射营18	12000			17000																					
410019	神射营19	14000			21000																					
410020	神射营20	16000			24000																					
410021	神射营21	20000			30000																					
410022	神射营22	23000			34000																					
410023	神射营23	27000			40000																					
