id		掉落项，关联plunder_item表	权重																																								
id		item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight
108061020				2000205	6																																						
10806103				2000301	5	4000140	5																																				
108061030				2000301	5	4000140	5																																				
10806104				2000301	500	4000150	500	1100100301	16	1100200301	16	1100300301	32	1100400301	32																												
108061040				2000301	500	4000150	500	1100100301	16	1100200301	16	1100300301	32	1100400301	32																												
10806105				2000301	500	4000160	500	1100100301	16	1100200301	16	1100300301	32	1100400301	32																												
108061050				2000301	500	4000160	500	1100100301	16	1100200301	16	1100300301	32	1100400301	32																												
10806106				2000301	500	4000175	500	1100100301	16	1100200301	16	1100300301	32	1100400301	32																												
108061060				2000301	500	4000175	500	1100100301	16	1100200301	16	1100300301	32	1100400301	32																												
																																											
11701001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
11701002		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701003		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701004		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701005		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701006		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701007		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701008		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701009		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701010		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701011		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11701012		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
11702002		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702003		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702004		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702005		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702006		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702007		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702008		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702009		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702010		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702011		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11702012		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
11703002		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703003		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703004		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703005		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703006		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703007		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703008		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703009		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703010		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703011		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11703012		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
11704002		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704003		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704004		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704005		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704006		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704007		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704008		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704009		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704010		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704011		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
11704012		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
																																											
																																											
11504001		7000102	83	7000201	17																																						
11504002		7000102	83	7000201	17																																						
11504003		7000102	83	7000201	17																																						
11504004		7000102	83	7000201	17																																						
11504005		7000102	83	7000201	17																																						
11504006		7000102	83	7000201	17																																						
11504007		7000102	83	7000201	17																																						
11504008		7000102	83	7000201	17																																						
11504009		7000102	83	7000201	17																																						
11505001		7000102	66	7000201	34																																						
11505002		7000102	66	7000201	34																																						
11505003		7000102	66	7000201	34																																						
11505004		7000102	66	7000201	34																																						
11505005		7000102	66	7000201	34																																						
11505006		7000102	66	7000201	34																																						
11505007		7000102	66	7000201	34																																						
11505008		7000102	66	7000201	34																																						
11505009		7000102	66	7000201	34																																						
11506001		7000102	49	7000201	51																																						
11506002		7000102	49	7000201	51																																						
11506003		7000102	49	7000201	51																																						
11506004		7000102	49	7000201	51																																						
11506005		7000102	49	7000201	51																																						
11506006		7000102	49	7000201	51																																						
11506007		7000102	49	7000201	51																																						
11506008		7000102	49	7000201	51																																						
11506009		7000102	49	7000201	51																																						
11507001		7000102	32	7000201	68																																						
11507002		7000102	32	7000201	68																																						
11507003		7000102	32	7000201	68																																						
11507004		7000102	32	7000201	68																																						
11507005		7000102	32	7000201	68																																						
11507006		7000102	32	7000201	68																																						
11507007		7000102	32	7000201	68																																						
11507008		7000102	32	7000201	68																																						
11507009		7000102	32	7000201	68																																						
11508001		7000102	15	7000201	85																																						
11508002		7000102	15	7000201	85																																						
11508003		7000102	15	7000201	85																																						
11508004		7000102	15	7000201	85																																						
11508005		7000102	15	7000201	85																																						
11508006		7000102	15	7000201	85																																						
11508007		7000102	15	7000201	85																																						
11508008		7000102	15	7000201	85																																						
11508009		7000102	15	7000201	85																																						
11510001		7000301	2	7000201	98																																						
11510002		7000301	2	7000201	98																																						
11510003		7000301	2	7000201	98																																						
11510004		7000301	2	7000201	98																																						
11510005		7000301	2	7000201	98																																						
11510006		7000301	2	7000201	98																																						
11510007		7000301	2	7000201	98																																						
11510008		7000301	2	7000201	98																																						
11510009		7000301	2	7000201	98																																						
																																											
12101001		10202008	1																																								
12102001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12103001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106001		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101002		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102002		10201001	18	10201002	18	10201003	18	10201004	9	10201005	9	10201006	9	10201007	9	10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1														
12103002		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104002		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105002		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106002		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101003		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102003		10201001	16	10201002	16	10201003	16	10201004	8	10201005	8	10201006	8	10201007	8	10202001	4	10202002	4	10202003	4	10202004	2	10202005	2	10202006	2	10202007	2														
12103003		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104003		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105003		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106003		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101004		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102004		10201001	14	10201002	14	10201003	14	10201004	7	10201005	7	10201006	7	10201007	7	10202001	6	10202002	6	10202003	6	10202004	3	10202005	3	10202006	3	10202007	3														
12103004		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104004		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105004		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106004		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101005		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102005		10201001	12	10201002	12	10201003	12	10201004	6	10201005	6	10201006	6	10201007	6	10202001	8	10202002	8	10202003	8	10202004	4	10202005	4	10202006	4	10202007	4														
12103005		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104005		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105005		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106005		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101006		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102006		10201001	10	10201002	10	10201003	10	10201004	5	10201005	5	10201006	5	10201007	5	10202001	10	10202002	10	10202003	10	10202004	5	10202005	5	10202006	5	10202007	5														
12103006		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104006		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105006		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106006		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101007		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102007		10201001	8	10201002	8	10201003	8	10201004	4	10201005	4	10201006	4	10201007	4	10202001	12	10202002	12	10202003	12	10202004	6	10202005	6	10202006	6	10202007	6														
12103007		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104007		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105007		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106007		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101008		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102008		10201001	6	10201002	6	10201003	6	10201004	3	10201005	3	10201006	3	10201007	3	10202001	14	10202002	14	10202003	14	10202004	7	10202005	7	10202006	7	10202007	7														
12103008		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104008		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105008		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106008		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101009		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102009		10201001	4	10201002	4	10201003	4	10201004	2	10201005	2	10201006	2	10201007	2	10202001	16	10202002	16	10202003	16	10202004	8	10202005	8	10202006	8	10202007	8														
12103009		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104009		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105009		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106009		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101010		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102010		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103010		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12104010		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105010		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106010		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101011		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102011		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103011		10201001	16	10201002	16	10201003	16	10201004	8	10201005	8	10201006	8	10201007	8	10202001	4	10202002	4	10202003	4	10202004	2	10202005	2	10202006	2	10202007	2														
12104011		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105011		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106011		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101012		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102012		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103012		10201001	12	10201002	12	10201003	12	10201004	6	10201005	6	10201006	6	10201007	6	10202001	8	10202002	8	10202003	8	10202004	4	10202005	4	10202006	4	10202007	4														
12104012		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105012		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106012		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101013		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102013		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103013		10201001	8	10201002	8	10201003	8	10201004	4	10201005	4	10201006	4	10201007	4	10202001	12	10202002	12	10202003	12	10202004	6	10202005	6	10202006	6	10202007	6														
12104013		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105013		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106013		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101014		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102014		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103014		10201001	4	10201002	4	10201003	4	10201004	2	10201005	2	10201006	2	10201007	2	10202001	16	10202002	16	10202003	16	10202004	8	10202005	8	10202006	8	10202007	8														
12104014		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105014		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106014		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101015		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102015		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103015		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104015		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105015		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106015		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101016		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102016		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103016		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104016		10201001	16	10201002	16	10201003	16	10201004	8	10201005	8	10201006	8	10201007	8	10202001	4	10202002	4	10202003	4	10202004	2	10202005	2	10202006	2	10202007	2														
12105016		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106016		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101017		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102017		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103017		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104017		10201001	12	10201002	12	10201003	12	10201004	6	10201005	6	10201006	6	10201007	6	10202001	8	10202002	8	10202003	8	10202004	4	10202005	4	10202006	4	10202007	4														
12105017		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106017		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101018		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102018		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103018		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104018		10201001	8	10201002	8	10201003	8	10201004	4	10201005	4	10201006	4	10201007	4	10202001	12	10202002	12	10202003	12	10202004	6	10202005	6	10202006	6	10202007	6														
12105018		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106018		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101019		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102019		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103019		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104019		10201001	4	10201002	4	10201003	4	10201004	2	10201005	2	10201006	2	10201007	2	10202001	16	10202002	16	10202003	16	10202004	8	10202005	8	10202006	8	10202007	8														
12105019		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106019		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101020		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102020		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103020		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104020		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105020		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12106020		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101021		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102021		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103021		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104021		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105021		10201001	16	10201002	16	10201003	16	10201004	8	10201005	8	10201006	8	10201007	8	10202001	2	10202002	2	10202003	2	10202004	2	10202005	2	10202006	2	10202007	2														
12106021		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101022		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102022		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103022		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104022		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12105022		10201001	12	10201002	12	10201003	12	10201004	6	10201005	6	10201006	6	10201007	6	10202001	4	10202002	4	10202003	4	10202004	4	10202005	4	10202006	4	10202007	4														
12106022		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101023		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102023		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103023		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104023		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105023		10201001	8	10201002	8	10201003	8	10201004	4	10201005	4	10201006	4	10201007	4	10202001	6	10202002	6	10202003	6	10202004	6	10202005	6	10202006	6	10202007	6														
12106023		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
																																											
12101024		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102024		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103024		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104024		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105024		10201001	4	10201002	4	10201003	4	10201004	2	10201005	2	10201006	2	10201007	2	10202001	8	10202002	8	10202003	8	10202004	8	10202005	8	10202006	8	10202007	8														
12106024		10201001	150	10201002	150	10201003	150	10201004	75	10201005	75	10201006	75	10201007	75	10203001	25	10203002	25	10203003	25	10203004	25	10203005	25	10203006	25	10203007	25														
																																											
12101025		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102025		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103025		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104025		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105025		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12106025		10201001	100	10201002	100	10201003	100	10201004	50	10201005	50	10201006	50	10201007	50	10203001	50	10203002	50	10203003	50	10203004	50	10203005	50	10203006	50	10203007	50														
																																											
12101026		10201001	2	10201002	2	10201003	2	10201004	1	10201005	1	10201006	1	10201007	1																												
12102026		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103026		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104026		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105026		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12106026		10201001	50	10201002	50	10201003	50	10201004	25	10201005	25	10201006	25	10201007	25	10203001	75	10203002	75	10203003	75	10203004	75	10203005	75	10203006	75	10203007	75														
																																											
12101027		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12102027		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12103027		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104027		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105027		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12106027		10203001	2	10203002	2	10203003	2	10203004	1	10203005	1	10203006	1	10203007	1																												
																																											
12101028		10202001	150	10202002	150	10202003	150	10202004	75	10202005	75	10202006	75	10202007	75	10203001	25	10203002	25	10203003	25	10203004	25	10203005	25	10203006	25	10203007	25														
12102028		10202001	150	10202002	150	10202003	150	10202004	75	10202005	75	10202006	75	10202007	75	10204001	25	10204002	25	10204003	25	10204004	25	10204005	25	10204006	25	10204007	25														
12103028		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12104028		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
12105028		10202001	2	10202002	2	10202003	2	10202004	1	10202005	1	10202006	1	10202007	1																												
