id		金	粮食	木材	石料	金（安全）	粮食	木材	石料	君主经验，支持随机（5-10表示每次随机5到10）	武将经验，支持随机（5-10表示每次随机5到10）		掉落项，关联plunder_item表			概率，直接填数字，分母10000，填分母，使用/								掉落包，关联plunder_group表			概率，直接填数字，分母10000，填分母，使用/		
																													
1001																								1001	10000				在线礼包
1002																								1002	10000				
1003																								1003	10000				
																													
11501001											100		2000101	10000															
11501002											100		2000101	10000															
11501003											100		2000101	10000															
11501004											100		2000101	10000															
11501005											100		2000101	10000															
11501006											100		2000101	10000															
11501007											100		2000101	10000															
11501008											100		2000101	10000															
11501009											100		2000101	10000															
11502001											120		2000102	10000															
11502002											120		2000102	10000															
11502003											120		2000102	10000															
11502004											120		2000102	10000															
11502005											120		2000102	10000															
11502006											120		2000102	10000															
11502007											120		2000102	10000															
11502008											120		2000102	10000															
11502009											120		2000102	10000															
11503001											140		2000103	10000															
11503002											140		2000103	10000															
11503003											140		2000103	10000															
11503004											140		2000103	10000															
11503005											140		2000103	10000															
11503006											140		2000103	10000															
11503007											140		2000103	10000															
11503008											140		2000103	10000															
11503009											140		2000103	10000															
11504001											160		2000104	10000															
11504002											160		2000104	10000															
11504003											160		2000104	10000															
11504004											160		2000104	10000															
11504005											160		2000104	10000															
11504006											160		2000104	10000															
11504007											160		2000104	10000															
11504008											160		2000104	10000															
11504009											160		2000104	10000															
11505001											180		2000105	10000															
11505002											180		2000105	10000															
11505003											180		2000105	10000															
11505004											180		2000105	10000															
11505005											180		2000105	10000															
11505006											180		2000105	10000															
11505007											180		2000105	10000															
11505008											180		2000105	10000															
11505009											180		2000105	10000															
11506001											200		2000106	10000															
11506002											200		2000106	10000															
11506003											200		2000106	10000															
11506004											200		2000106	10000															
11506005											200		2000106	10000															
11506006											200		2000106	10000															
11506007											200		2000106	10000															
11506008											200		2000106	10000															
11506009											200		2000106	10000															
11507001											220		2000107	10000															
11507002											220		2000107	10000															
11507003											220		2000107	10000															
11507004											220		2000107	10000															
11507005											220		2000107	10000															
11507006											220		2000107	10000															
11507007											220		2000107	10000															
11507008											220		2000107	10000															
11507009											220		2000107	10000															
11508001											240		2000108	10000															
11508002											240		2000108	10000															
11508003											240		2000108	10000															
11508004											240		2000108	10000															
11508005											240		2000108	10000															
11508006											240		2000108	10000															
11508007											240		2000108	10000															
11508008											240		2000108	10000															
11508009											240		2000108	10000															
11509001											260		2000109	10000															
11509002											260		2000109	10000															
11509003											260		2000109	10000															
11509004											260		2000109	10000															
11509005											260		2000109	10000															
11509006											260		2000109	10000															
11509007											260		2000109	10000															
11509008											260		2000109	10000															
11509009											260		2000109	10000															
11510001											280		2000110	10000															
11510002											280		2000110	10000															
11510003											280		2000110	10000															
11510004											280		2000110	10000															
11510005											280		2000110	10000															
11510006											280		2000110	10000															
11510007											280		2000110	10000															
11510008											280		2000110	10000															
11510009											280		2000110	10000															
																													
13501001											280		2000106	10000															
13501002											280		2000106	10000	6102201	3333													
13501003											280		2000106	10000															
13501004											280		2000106	10000															
13501005											280		2000106	10000															
13501006											280		2000106	10000	6100101	3333													
13501007											280		2000106	10000															
13501008											280		2000106	10000															
13501009											280		2000106	10000															
13502001											320		2000108	10000															
13502002											320		2000108	10000															
13502003											320		2000108	10000	6103901	3333													
13502004											320		2000108	10000															
13502005											320		2000108	10000															
13502006											320		2000108	10000	6104001	3333													
13502007											320		2000108	10000															
13502008											320		2000108	10000															
13502009											320		2000108	10000	6101701	3333													
13503001											360		2000110	10000															
13503002											360		2000110	10000															
13503003											360		2000110	10000	6101501	3333													
13503004											360		2000110	10000															
13503005											360		2000110	10000															
13503006											360		2000110	10000	6103701	3333													
13503007											360		2000110	10000															
13503008											360		2000110	10000															
13503009											360		2000110	10000	6101801	3333													
13504001											400		2000112	10000															
13504002											400		2000112	10000															
13504003											400		2000112	10000	6100401	3333													
13504004											400		2000112	10000															
13504005											400		2000112	10000															
13504006											400		2000112	10000	6101301	3333													
13504007											400		2000112	10000															
13504008											400		2000112	10000															
13504009											400		2000112	10000	6102601	3333													
13505001											440		2000114	10000															
13505002											440		2000114	10000															
13505003											440		2000114	10000	6101201	3333													
13505004											440		2000114	10000															
13505005											440		2000114	10000															
13505006											440		2000114	10000	6100601	3333													
13505007											440		2000114	10000															
13505008											440		2000114	10000															
13505009											440		2000114	10000	6101601	3333													
13506001											480		2000116	10000															
13506002											480		2000116	10000															
13506003											480		2000116	10000	6102401	3333													
13506004											480		2000116	10000															
13506005											480		2000116	10000															
13506006											480		2000116	10000	6100801	3333													
13506007											480		2000116	10000															
13506008											480		2000116	10000															
13506009											480		2000116	10000	6100201	3333													
13507001											520		2000118	10000															
13507002											520		2000118	10000															
13507003											520		2000118	10000	6100401	3333													
13507004											520		2000118	10000															
13507005											520		2000118	10000															
13507006											520		2000118	10000	6102601	3333													
13507007											520		2000118	10000															
13507008											520		2000118	10000															
13507009											520		2000118	10000	6101901	3333													
13508001											560		2000120	10000															
13508002											560		2000120	10000															
13508003											560		2000120	10000	6101301	3333													
13508004											560		2000120	10000															
13508005											560		2000120	10000															
13508006											560		2000120	10000	6101801	3333													
13508007											560		2000120	10000															
13508008											560		2000120	10000															
13508009											560		2000120	10000	6103501	3333													
13509001											600		2000122	10000															
13509002											600		2000122	10000															
13509003											600		2000122	10000	6101801	3333													
13509004											600		2000122	10000															
13509005											600		2000122	10000															
13509006											600		2000122	10000	6100601	3333													
13509007											600		2000122	10000															
13509008											600		2000122	10000															
13509009											600		2000122	10000	6103601	3333													
13510001											640		2000124	10000															
13510002											640		2000124	10000															
13510003											640		2000124	10000	6102401	3333													
13510004											640		2000124	10000															
13510005											640		2000124	10000															
13510006											640		2000124	10000	6100801	3333													
13510007											640		2000124	10000															
13510008											640		2000124	10000															
13510009											640		2000124	10000	6102701	3333													
																													
11605001													55001	10000															
11605002													55002	10000															
11605003													55003	10000															
11605101											150													60	10000				
11605102																								60	10000				
11605103																								60	10000				
11605201													2000202	10000															
																													
11605301													2000202	10000															
																													
11605401													4000120	10000															
11605501													4000202	10000															
11605601													8000102	10000															
																													
11701001													1000901	10000															
11701002																								11701001	10000				
11701003																								11701003	10000				
11701004																								11701003	10000				
11701005																								11701003	10000				
11701006																								11701003	10000				
11701007																								11701003	10000				
11701008													8003001	10000															
11701009													8003001	10000															
11701010													8004001	10000															
11701011													8004601	10000															
11701012													8004601	10000															
11702001		2500				2500																							
11702002																								11701001	10000				
11702003																								11701003	10000				
11702004																								11701003	10000				
11702005																								11701003	10000				
11702006																								11701003	10000				
11702007																								11701003	10000				
11702008													8003001	10000															
11702009													8003001	10000															
11702010													8004001	10000															
11702011													8004601	10000															
11702012													8004601	10000															
11703001					2500				2500																				
11703002																								11701001	10000				
11703003																								11701003	10000				
11703004																								11701003	10000				
11703005																								11701003	10000				
11703006																								11701003	10000				
11703007																								11701003	10000				
11703008													8003001	10000															
11703009													8003001	10000															
11703010													8004001	10000															
11703011													8004601	10000															
11703012													8004601	10000															
11704001													4000105	10000															
11704002																								11701001	10000				
11704003																								11701003	10000				
11704004																								11701003	10000				
11704005																								11701003	10000				
11704006																								11701003	10000				
11704007																								11701003	10000				
11704008													8003001	10000															
11704009													8003001	10000															
11704010													8004001	10000															
11704011													8004601	10000															
11704012													8004601	10000															
																													
10806001																								10806001	10000				
10806002																								10806002	10000				
10806003																								10806003	10000				
10806004																								10806004	10000				
10806005																								10806005	10000				
																													
10806101													5210701	10000	5220701	10000	1001101	10000	2000204	10000									
10806102													5210801	10000	5220801	10000	1001101	10000	1000901	10000				10806102	10000	108061020	10000		
10806103													5210703	10000	5220703	10000	1001101	10000	1000902	10000				10806103	10000	108061030	10000		
10806104													5210901	10000	5220901	10000	1001101	10000	1000903	10000				10806104	10000	108061040	10000		
10806105													5211001	10000	5221001	10000	1001102	10000						10806105	10000	108061050	10000		
10806106													5211002	10000	5221002	10000	1001102	10000	1000901	10000				10806106	10000	108061060	10000		
																													
12800001													8020102	10000										12800001	10000				
1280000101													8020102	10000										1280000101	10000				
12800002													8020201	10000										12800002	10000				
12800003													8020301	10000										12800003	10000				
12800004													8020401	10000										12800004	10000				
12800005													8020402	10000										12800005	10000				
																													
12810001																								12810001	10000				
12820001																								12820001	10000				
12830001																								12830001	10000				
12810002																								12810002	10000				
12820002																								12820002	10000				
12830002																								12830002	10000				
12810003																								12810003	10000				
12820003																								12820003	10000				
12830003																								12830003	10000				
12810004																								12810004	10000				
12820004																								12820004	10000				
12830004																								12830004	10000				
12810005																								12810005	10000				
12820005																								12820005	10000				
12830005																								12830005	10000				
12810006																								12810006	10000				
12820006																								12820006	10000				
12830006																								12830006	10000				
12810007																								12810007	10000				
12820007																								12820007	10000				
12830007																								12830007	10000				
12810008																								12810008	10000				
12820008																								12820008	10000				
12830008																								12830008	10000				
12810009																								12810009	10000				
12820009																								12820009	10000				
12830009																								12830009	10000				
12810010																								12810010	10000				
12820010																								12820010	10000				
12830010																								12830010	10000				
12810011																								12810011	10000				
12820011																								12820011	10000				
12830011																								12830011	10000				
12810012																								12810012	10000				
12820012																								12820012	10000				
12830012																								12830012	10000				
12810013																								12810013	10000				
12820013																								12820013	10000				
12830013																								12830013	10000				
12810014																								12810014	10000				
12820014																								12820014	10000				
12830014																								12830014	10000				
12810015																								12810015	10000				
12820015																								12820015	10000				
12830015																								12830015	10000				
12810016																								12810016	10000				
12820016																								12820016	10000				
12830016																								12830016	10000				
12810017																								12810017	10000				
12820017																								12820017	10000				
12830017																								12830017	10000				
12810018																								12810018	10000				
12820018																								12820018	10000				
12830018																								12830018	10000				
																													
12890001													4000201	834															
12890002													4000201	1042															
12890003													4000201	1250															
12890004													4000201	1459															
12890005													4000201	1667															
12890006													4000201	1875															
																													
12880004													4000201	10000	52102005	10000	52202005	10000											
																													
81085										100			6000301	10000	8002003	10000								81085	10000				
																													
80040	星神碎片																							80040	10000				
																													
126120011	合璧掉落（废弃）																												
126120021																													
126120031																													
126120041																													
126120051																													
126120061																													
126120071																													
126120081																													
126120091																													
126120101																													
126120111																													
126120121																													
126120131																													
126120141																													
126120151																													
126120161																													
126120171																													
126120181																													
126120191																													
126120201																													
126120211																													
126120221																													
126120231																													
126120241																													
126120251																													
126120261																													
126120271																													
126120281																													
126120291																													
126120301																													
126120311																													
126120321																													
126120331																													
126120341																													
126120351																													
126120361																													
126120371																													
126120381																													
126120391																													
126120401																													
126120411																													
126120421																													
126120431																													
126120441																													
126120451																													
126120461																													
126120471																													
126120481																													
126120491																													
126120501																													
126120511																													
126120521																													
126120531																													
126120541																													
126120551																													
126120561																													
126120571																													
126120581																													
126120591																													
126120601																													
126120611																													
126120621																													
126120631																													
126120641																													
126120651																													
126120661																													
126120671																													
126120681																													
126120691																													
126120701																													
126120711																													
126120721																													
126120731																													
126120741																													
126120751																													
126120761																													
126120771																													
126120781																													
126120791																													
126120801																													
126120811																													
126120821																													
126120831																													
126120841																													
126120851																													
126120861																													
126120871																													
126120881																													
126120891																													
126120901																													
126120911																													
126120921																													
126120931																													
126120941																													
126120951																													
126120961																													
126120971																													
126120981																													
126120991																													
126121001																													
																													
126130011																													
126130021																													
126130031																													
126130041																													
126130051																													
126130061																													
126130071																													
126130081																													
126130091																													
126130101																													
126130111																													
126130121																													
126130131																													
126130141																													
126130151																													
126130161																													
126130171																													
126130181																													
126130191																													
126130201																													
126130211																													
126130221																													
126130231																													
126130241																													
126130251																													
126130261																													
126130271																													
126130281																													
126130291																													
126130301																													
126130311																													
126130321																													
126130331																													
126130341																													
126130351																													
126130361																													
126130371																													
126130381																													
126130391																													
126130401																													
126130411																													
126130421																													
126130431																													
126130441																													
126130451																													
126130461																													
126130471																													
126130481																													
126130491																													
126130501																													
126130511																													
126130521																													
126130531																													
126130541																													
126130551																													
126130561																													
126130571																													
126130581																													
126130591																													
126130601																													
126130611																													
126130621																													
126130631																													
126130641																													
126130651																													
126130661																													
126130671																													
126130681																													
126130691																													
126130701																													
126130711																													
126130721																													
126130731																													
126130741																													
126130751																													
126130761																													
126130771																													
126130781																													
126130791																													
126130801																													
126130811																													
126130821																													
126130831																													
126130841																													
126130851																													
126130861																													
126130871																													
126130881																													
126130891																													
126130901																													
126130911																													
126130921																													
126130931																													
126130941																													
126130951																													
126130961																													
126130971																													
126130981																													
126130991																													
126131001																													
																													
126150011																													
126150021																													
126150031																													
126150041																													
126150051																													
126150061																													
126150071																													
126150081																													
126150091																													
126150101																													
126150111																													
126150121																													
126150131																													
126150141																													
126150151																													
126150161																													
126150171																													
126150181																													
126150191																													
126150201																													
126150211																													
126150221																													
126150231																													
126150241																													
126150251																													
126150261																													
126150271																													
126150281																													
126150291																													
126150301																													
126150311																													
126150321																													
126150331																													
126150341																													
126150351																													
126150361																													
126150371																													
126150381																													
126150391																													
126150401																													
126150411																													
126150421																													
126150431																													
126150441																													
126150451																													
126150461																													
126150471																													
126150481																													
126150491																													
126150501																													
126150511																													
126150521																													
126150531																													
126150541																													
126150551																													
126150561																													
126150571																													
126150581																													
126150591																													
126150601																													
126150611																													
126150621																													
126150631																													
126150641																													
126150651																													
126150661																													
126150671																													
126150681																													
126150691																													
126150701																													
126150711																													
126150721																													
126150731																													
126150741																													
126150751																													
126150761																													
126150771																													
126150781																													
126150791																													
126150801																													
126150811																													
126150821																													
126150831																													
126150841																													
126150851																													
126150861																													
126150871																													
126150881																													
126150891																													
126150901																													
126150911																													
126150921																													
126150931																													
126150941																													
126150951																													
126150961																													
126150971																													
126150981																													
126150991																													
126151001																													
																													
126180011																													
126180021																													
126180031																													
126180041																													
126180051																													
126180061																													
126180071																													
126180081																													
126180091																													
126180101																													
126180111																													
126180121																													
126180131																													
126180141																													
126180151																													
126180161																													
126180171																													
126180181																													
126180191																													
126180201																													
126180211																													
126180221																													
126180231																													
126180241																													
126180251																													
126180261																													
126180271																													
126180281																													
126180291																													
126180301																													
126180311																													
126180321																													
126180331																													
126180341																													
126180351																													
126180361																													
126180371																													
126180381																													
126180391																													
126180401																													
126180411																													
126180421																													
126180431																													
126180441																													
126180451																													
126180461																													
126180471																													
126180481																													
126180491																													
126180501																													
126180511																													
126180521																													
126180531																													
126180541																													
126180551																													
126180561																													
126180571																													
126180581																													
126180591																													
126180601																													
126180611																													
126180621																													
126180631																													
126180641																													
126180651																													
126180661																													
126180671																													
126180681																													
126180691																													
126180701																													
126180711																													
126180721																													
126180731																													
126180741																													
126180751																													
126180761																													
126180771																													
126180781																													
126180791																													
126180801																													
126180811																													
126180821																													
126180831																													
126180841																													
126180851																													
126180861																													
126180871																													
126180881																													
126180891																													
126180901																													
126180911																													
126180921																													
126180931																													
126180941																													
126180951																													
126180961																													
126180971																													
126180981																													
126180991																													
126181001																													
																													
126230011																													
126230021																													
126230031																													
126230041																													
126230051																													
126230061																													
126230071																													
126230081																													
126230091																													
126230101																													
126230111																													
126230121																													
126230131																													
126230141																													
126230151																													
126230161																													
126230171																													
126230181																													
126230191																													
126230201																													
126230211																													
126230221																													
126230231																													
126230241																													
126230251																													
126230261																													
126230271																													
126230281																													
126230291																													
126230301																													
126230311																													
126230321																													
126230331																													
126230341																													
126230351																													
126230361																													
126230371																													
126230381																													
126230391																													
126230401																													
126230411																													
126230421																													
126230431																													
126230441																													
126230451																													
126230461																													
126230471																													
126230481																													
126230491																													
126230501																													
126230511																													
126230521																													
126230531																													
126230541																													
126230551																													
126230561																													
126230571																													
126230581																													
126230591																													
126230601																													
126230611																													
126230621																													
126230631																													
126230641																													
126230651																													
126230661																													
126230671																													
126230681																													
126230691																													
126230701																													
126230711																													
126230721																													
126230731																													
126230741																													
126230751																													
126230761																													
126230771																													
126230781																													
126230791																													
126230801																													
126230811																													
126230821																													
126230831																													
126230841																													
126230851																													
126230861																													
126230871																													
126230881																													
126230891																													
126230901																													
126230911																													
126230921																													
126230931																													
126230941																													
126230951																													
126230961																													
126230971																													
126230981																													
126230991																													
126231001																													
																													
126330011																													
126330021																													
126330031																													
126330041																													
126330051																													
126330061																													
126330071																													
126330081																													
126330091																													
126330101																													
126330111																													
126330121																													
126330131																													
126330141																													
126330151																													
126330161																													
126330171																													
126330181																													
126330191																													
126330201																													
126330211																													
126330221																													
126330231																													
126330241																													
126330251																													
126330261																													
126330271																													
126330281																													
126330291																													
126330301																													
126330311																													
126330321																													
126330331																													
126330341																													
126330351																													
126330361																													
126330371																													
126330381																													
126330391																													
126330401																													
126330411																													
126330421																													
126330431																													
126330441																													
126330451																													
126330461																													
126330471																													
126330481																													
126330491																													
126330501																													
126330511																													
126330521																													
126330531																													
126330541																													
126330551																													
126330561																													
126330571																													
126330581																													
126330591																													
126330601																													
126330611																													
126330621																													
126330631																													
126330641																													
126330651																													
126330661																													
126330671																													
126330681																													
126330691																													
126330701																													
126330711																													
126330721																													
126330731																													
126330741																													
126330751																													
126330761																													
126330771																													
126330781																													
126330791																													
126330801																													
126330811																													
126330821																													
126330831																													
126330841																													
126330851																													
126330861																													
126330871																													
126330881																													
126330891																													
126330901																													
126330911																													
126330921																													
126330931																													
126330941																													
126330951																													
126330961																													
126330971																													
126330981																													
126330991																													
126331001																													
																													
13601101	军团怪掉落												4000201	4000															
13601102													4000201	4200															
13601103													4000201	4400															
13601104													4000201	4600															
13601105													4000201	4800															
13601106													4000201	5000															
13601107													4000201	5200															
13601108													4000201	5400															
13601109													4000201	5600															
13601110													4000201	5800															
13601111													4000201	6000															
13601112													4000201	6200															
13601113													4000201	6400															
13601114													4000201	6600															
13601115													4000201	6800															
13601116													4000201	7000															
13601117													4000201	7200															
13601118													4000201	7400															
13601119													4000201	7600															
13601120													4000201	7800															
13601121													4000201	8000															
13601122													4000201	8200															
13601123													4000201	8400															
13601124													4000201	8600															
13601125													4000201	8800															
13601201													4000201	4000															
13601202													4000201	4200															
13601203													4000201	4400															
13601204													4000201	4600															
13601205													4000201	4800															
13601206													4000201	5000															
13601207													4000201	5200															
13601208													4000201	5400															
13601209													4000201	5600															
13601210													4000201	5800															
13601211													4000201	6000															
13601212													4000201	6200															
13601213													4000201	6400															
13601214													4000201	6600															
13601215													4000201	6800															
13601216													4000201	7000															
13601217													4000201	7200															
13601218													4000201	7400															
13601219													4000201	7600															
13601220													4000201	7800															
13601221													4000201	8000															
13601222													4000201	8200															
13601223													4000201	8400															
13601224													4000201	8600															
13601225													4000201	8800															
13601301													4000201	4000															
13601302													4000201	4200															
13601303													4000201	4400															
13601304													4000201	4600															
13601305													4000201	4800															
13601306													4000201	5000															
13601307													4000201	5200															
13601308													4000201	5400															
13601309													4000201	5600															
13601310													4000201	5800															
13601311													4000201	6000															
13601312													4000201	6200															
13601313													4000201	6400															
13601314													4000201	6600															
13601315													4000201	6800															
13601316													4000201	7000															
13601317													4000201	7200															
13601318													4000201	7400															
13601319													4000201	7600															
13601320													4000201	7800															
13601321													4000201	8000															
13601322													4000201	8200															
13601323													4000201	8400															
13601324													4000201	8600															
13601325													4000201	8800															
13601401													4000201	4000															
13601402													4000201	4200															
13601403													4000201	4400															
13601404													4000201	4600															
13601405													4000201	4800															
13601406													4000201	5000															
13601407													4000201	5200															
13601408													4000201	5400															
13601409													4000201	5600															
13601410													4000201	5800															
13601411													4000201	6000															
13601412													4000201	6200															
13601413													4000201	6400															
13601414													4000201	6600															
13601415													4000201	6800															
13601416													4000201	7000															
13601417													4000201	7200															
13601418													4000201	7400															
13601419													4000201	7600															
13601420													4000201	7800															
13601421													4000201	8000															
13601422													4000201	8200															
13601423													4000201	8400															
13601424													4000201	8600															
13601425													4000201	8800															
13601501													4000201	4000															
13601502													4000201	4200															
13601503													4000201	4400															
13601504													4000201	4600															
13601505													4000201	4800															
13601506													4000201	5000															
13601507													4000201	5200															
13601508													4000201	5400															
13601509													4000201	5600															
13601510													4000201	5800															
13601511													4000201	6000															
13601512													4000201	6200															
13601513													4000201	6400															
13601514													4000201	6600															
13601515													4000201	6800															
13601516													4000201	7000															
13601517													4000201	7200															
13601518													4000201	7400															
13601519													4000201	7600															
13601520													4000201	7800															
13601521													4000201	8000															
13601522													4000201	8200															
13601523													4000201	8400															
13601524													4000201	8600															
13601525													4000201	8800															
																													
52401	商城福袋												1000903	10000	1001001	1000	1001101	250	1001201	80									
