id	sm	金	粮食	木材	石料	金（安全）	粮食	木材	石料	君主经验	元宝	银两	玉璧	玉石矿	繁荣度	vip经验(前端展示用)	物品配置	物品id	物品个数	物品id	物品个数	物品id	物品个数	物品id	物品个数											装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数		武将经验显示		将魂id，配置 captain_soul.txt中的id	奖励的将魂数量	将魂id，配置 captain_soul.txt中的id	奖励的将魂数量		宝石id	宝石数量	宝石id	宝石数量	宝石id	宝石数量				宝物id	宝物数量		展示排序，关联展示排序.txt的id	点券	联盟贡献		联盟条件奖励		体力
2502																		52108	1	52208	1	10009	5																																																					
2503																		521081	1	522081	1	10010	1																																																					
																																																																												
2601	联盟工坊奖励	15000			15000	15000			15000																																																																			
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
101	邮件奖励																	20010	3																																																									
102																		60001	1																																																									
103																		30001	1	30005	1	52107	1	52207	1																																																			
104																		30005	3																																																			1	200					
																																																																												
201	基金																																																																						500					
202																																																																							1000					
203																																																																							500					
204																																																																							1500					
205																																																																							500					
206																																																																							1000					
207																																																																							1500					
208																																																																							2388					
																																																																												
301	8日登录	25000			25000	25000			25000																																																													1						
302																		57003	2																																		28	1																1						
303																																				10205008	1																																	1	100					
304																		61028	20																																																			1	150					
305																		40002	5																																																			1	100					
306																		40001	100	20004	1																																																	1						
307																		61028	50																																																			1	200					
308																																																										11001007	1											1	200					
																																																																												
401	周卡										120					120																																																												
402	周卡每日																																																																						120					
403	至尊卡										300					300																																																												
404	至尊卡每日																																																																						100					
																																																																												
411	每日礼包																																																																											
412	1元																																																																											
413	3元																																																																											
414	6元																																																																											
																																																																												
1	千重楼首胜																	10009	1																																																			1						
2																				57001	5																																																	1						
3																		10009	1																																																			1						
4																				20002	1																																																	1						
5																		10009	1																																																			1						
6																				57001	5																																																	1						
7																		10009	1																																																			1						
8																				20002	1																																																	1						
9																		10009	2																																																			1						
10																				57001	5																																																	1						
11																		10009	2																																																			1						
12																				20002	1																																																	1						
13																		10009	2																																																			1						
14																				57001	5																																																	1						
15																		10009	2																																																			1						
16																				20002	1																																																	1						
17																		10009	3																																																			1						
18																				57001	5																																																	1						
19																		10009	3																																																			1						
20																				20002	1																																																	1						
21																		10009	3																																																			1						
22																				57002	1																																																	1						
23																		10009	3																																																			1						
24																				20002	1																																																	1						
25																		10009	4																																																			1						
26																				57002	1																																																	1						
27																		10009	4																																																			1						
28																				20002	1																																																	1						
29																		10009	4																																																			1						
30																				57002	2																																																	1						
31																		10009	4																																																			1						
32																				20002	1																																																	1						
33																		10009	4																																																			1						
34																				40002	3																																																	1						
35																		10009	4																																																			1						
36																				57002	2																																																	1						
37																		10009	4																																																			1						
38																				20002	2																																																	1						
39																		10009	4																																																			1						
40																				40002	3																																																	1						
41																		10009	5																																																			1						
42																				57002	3																																																	1						
43																		10009	5																																																			1						
44																				20002	2																																																	1						
45																																																																						1						
46																		10009	5																																																			1						
47																				40002	3																																																	1						
48																		10009	5																																																			1						
49																				57002	3																																																	1						
50																																																																						1						
51																		10010	1																																																			1						
52																				20002	3																																																	1						
53																		10010	1																																																			1						
54																				57002	4																																																	1						
55																																																																						1						
56																		10010	1																																																			1						
57																				40002	3																																																	1						
58																		10010	1																																																			1						
59																				57002	6																																																	1						
60																																																																						1						
61																		10010	1																																																			1						
62																				20002	3																																																	1						
63																		10010	1																																																			1						
64																				40002	4																																																	1						
65																																																																						1						
66																		10010	1																																																			1						
67																				57002	8																																																	1						
68																		10010	1																																																			1						
69																				20002	4																																																	1						
70																																																																						1						
71																		10010	1																																																			1						
72																				40002	4																																																	1						
73																		10010	1																																																			1						
74																				57002	8																																																	1						
75																																																																						1						
76																		10010	1																																																			1						
77																				20002	4																																																	1						
78																		10010	1																																																			1						
79																				40002	4																																																	1						
80																																																																						1						
81																		10010	1																																																			1						
82																				57002	8																																																	1						
83																		10010	1																																																			1						
84																				20002	5																																																	1						
85																																																																						1						
86																		10010	1																																																			1						
87																				40002	5																																																	1						
88																		10010	1																																																			1						
89																				57002	10																																																	1						
90																																																																						1						
91																		10010	1																																																			1						
92																				20002	5																																																	1						
93																		10010	1																																																			1						
94																				40002	5																																																	1						
95																																																																						1						
96																		10010	1																																																			1						
97																				57002	10																																																	1						
98																		10010	1																																																			1						
99																				20002	5																																																	1						
100																																																																						1						
																																																																												
1001	随机事件选项奖励	1000																																																																										
1002										100																																																																		
1003										100																																																																		
1004					1000																																																																							
																																																																												
10001	密室展示																	50105	1																																																			1						
10002																		50106	1																																																			1						
10003																		50108	1																																																			1						
10004																		50109	1																																																			1						
10005																		50110	1																																																			1						
																																																																												
11001	密室首通																																																																					1						
11002																																																																						1						
11003																																																																						1						
11004																																																																						1						
11005																																																																						1						
																																																																												
10006	废弃																	20001	1	20002	1																																																	1						
10007																		20001	2	20002	1																																																	1						
10008																		20001	3	20002	1																																																	1						
10009																		20001	4	20002	1																																																	1						
10010																		20001	5	20002	1																																																	1						
10011																		20001	1	20002	2																																																	1						
10012																		20001	2	20002	2																																																	1						
10013																		20001	3	20002	2																																																	1						
10014																		20001	4	20002	2																																																	1						
10015																		20001	5	20002	2																																																	1						
10016																		20001	1	20002	3																																																	1						
10017																		20001	2	20002	3																																																	1						
10018																		20001	3	20002	3																																																	1						
10019																		20001	4	20002	3																																																	1						
10020																		20001	5	20002	3																																																	1						
10021																		20001	1	20002	4																																																	1						
10022																		20001	2	20002	4																																																	1						
10023																		20001	3	20002	4																																																	1						
10024																		20001	4	20002	4																																																	1						
10025																		20001	5	20002	4																																																	1						
10026																		20001	1	20002	5																																																	1						
10027																		20001	2	20002	5																																																	1						
10028																		20001	3	20002	5																																																	1						
10029																		20001	4	20002	5																																																	1						
10030																		20001	5	20002	5																																																	1						
10031																		20001	1	20002	1	20003	1																																															1						
10032																		20001	2	20002	1	20003	1																																															1						
10033																		20001	3	20002	1	20003	1																																															1						
10034																		20001	4	20002	1	20003	1																																															1						
10035																		20001	5	20002	1	20003	1																																															1						
10036																		20001	1	20002	2	20003	1																																															1						
10037																		20001	2	20002	2	20003	1																																															1						
10038																		20001	3	20002	2	20003	1																																															1						
10039																		20001	4	20002	2	20003	1																																															1						
10040																		20001	5	20002	2	20003	1																																															1						
10041																		20001	1	20002	3	20003	1																																															1						
10042																		20001	2	20002	3	20003	1																																															1						
10043																		20001	3	20002	3	20003	1																																															1						
10044																		20001	4	20002	3	20003	1																																															1						
10045																		20001	5	20002	3	20003	1																																															1						
10046																		20001	1	20002	4	20003	1																																															1						
10047																		20001	2	20002	4	20003	1																																															1						
10048																		20001	3	20002	4	20003	1																																															1						
10049																		20001	4	20002	4	20003	1																																															1						
10050																		20001	5	20002	4	20003	1																																															1						
																																																																												
20001	重楼展示奖励																																																		100																			1						
20002																																																			100																			1						
20003																																																			100																			1						
20004																																																			100																			1						
20005																																																			100																			1						
20006																																																			100																			1						
20007																																																			100																			1						
20008																																																			100																			1						
20009																																																			100																			1						
20010																																																			100																			1						
20011																																																			100																			1						
20012																																																			100																			1						
20013																																																			100																			1						
20014																																																			100																			1						
20015																																																			100																			1						
20016																																																			100																			1						
20017																																																			100																			1						
20018																																																			100																			1						
20019																																																			100																			1						
20020																		50105	1																																100																			1						
20021																																																			100																			1						
20022																																																			100																			1						
20023																																																			100																			1						
20024																																																			100																			1						
20025																																																			100																			1						
20026																																																			100																			1						
20027																																																			100																			1						
20028																																																			100																			1						
20029																																																			100																			1						
20030																																																			100																			1						
20031																																																			100																			1						
20032																																																			100																			1						
20033																																																			100																			1						
20034																																																			100																			1						
20035																																																			100																			1						
20036																																																			100																			1						
20037																																																			100																			1						
20038																																																			100																			1						
20039																																																			100																			1						
20040																		50106	1																																100																			1						
20041																																																			100																			1						
20042																																																			100																			1						
20043																																																			100																			1						
20044																																																			100																			1						
20045																		55701	1																																100																			1						
20046																																																			100																			1						
20047																																																			100																			1						
20048																																																			100																			1						
20049																																																			100																			1						
20050																		55701	1																																100																			1						
20051																																																			100																			1						
20052																																																			100																			1						
20053																																																			100																			1						
20054																																																			100																			1						
20055																		55701	1																																100																			1						
20056																																																			100																			1						
20057																																																			100																			1						
20058																																																			100																			1						
20059																																																			100																			1						
20060																		50108	1																																100																			1						
20061																																																			100																			1						
20062																																																			100																			1						
20063																																																			100																			1						
20064																																																			100																			1						
20065																		55701	1																																100																			1						
20066																																																			100																			1						
20067																																																			100																			1						
20068																																																			100																			1						
20069																																																			100																			1						
20070																		55701	1																																100																			1						
20071																																																			100																			1						
20072																																																			100																			1						
20073																																																			100																			1						
20074																																																			100																			1						
20075																		55701	1																																100																			1						
20076																																																			100																			1						
20077																																																			100																			1						
20078																																																			100																			1						
20079																																																			100																			1						
20080																		50109	1																																100																			1						
20081																																																			100																			1						
20082																																																			100																			1						
20083																																																			100																			1						
20084																																																			100																			1						
20085																		55701	1																																100																			1						
20086																																																			100																			1						
20087																																																			100																			1						
20088																																																			100																			1						
20089																																																			100																			1						
20090																		55701	1																																100																			1						
20091																																																			100																			1						
20092																																																			100																			1						
20093																																																			100																			1						
20094																																																			100																			1						
20095																		55701	1																																100																			1						
20096																																																			100																			1						
20097																																																			100																			1						
20098																																																			100																			1						
20099																																																			100																			1						
20100																		50110	1																																100																			1						
																																																																												
30001	重楼宝箱展示																	50105	1																																																			1						
30002																		50106	1																																																			1						
30003																		50108	1																																																			1						
30004																		50109	1																																																			1						
30005																		50110	1																																																			1						
30006																		55701	1																																																			1						
																																																																												
40001	废弃	500			500													10009	2																																																			1						
40002		1000			1000													10009	2																																																			1						
40003		1500			1500													10009	2																																																			1						
40004		2000			2000													10009	2																																																			1						
40005		2500			2500													10009	3																																																			1						
40006		3000			3000													10009	3																																																			1						
40007		3500			3500													10009	3																																																			1						
40008		4000			4000													10009	3																																																			1						
40009		4500			4500													10009	4																																																			1						
40010		5000			5000													10009	4																																																			1						
40011		5500			5500													10009	4																																																			1						
40012		6000			6000													10009	4																																																			1						
40013		6500			6500													10009	5																																																			1						
40014		7000			7000													10009	5																																																			1						
40015		7500			7500													10009	5																																																			1						
40016		8000			8000													10009	5																																																			1						
40017		8500			8500													10009	6																																																			1						
40018		9000			9000													10009	6																																																			1						
40019		9500			9500													10009	6																																																			1						
40020		10000			10000													10009	6																																																			1						
40021		10500			10500													10009	6																																																			1						
40022		11000			11000													10009	6																																																			1						
40023		11500			11500													10009	6																																																			1						
40024		12000			12000													10009	6																																																			1						
																																																																												
44011	霸业任务																	52101	1	52201	1																																																	1						
44012																		52101	1	52201	1																																																	1						
44013																		52101	1	52201	1																																																	1						
44014																		52101	1	52201	1																																																							
44015																		52101	1	52201	1																																																							
																																																																												
44021																		52101	1	52201	1																																																	1						
44022																		52101	1	52201	1																																																	1						
44023																		52101	1	52201	1																																																	1						
44024																		52101	1	52201	1																																																	1						
44025																		52101	1	52201	1																																																							
																																																																												
44031																		52101	1	52201	1																																																	1						
44032																		52101	1	52201	1																																																	1						
44033																		52101	1	52201	1																																																	1						
44034																		52101	1	52201	1																																																	1						
44035																		52101	1	52201	1																																																							
44036																		52101	1	52201	1																																																							
																																																																												
44041																		52102	1	52202	1																																																	1						
44042																		52102	1	52202	1																																																	1						
44043																		52102	1	52202	1																																																	1						
44044																		52102	1	52202	1																																																	1						
44045																		52102	1	52202	1																																																							
44046																		52102	1	52202	1																																																							
																																																																												
44051																		52102	1	52202	1																																																	1						
44052																		52102	1	52202	1																																																	1						
44053																		52102	1	52202	1																																																	1						
44054																		52102	1	52202	1																																																	1						
44055																		52102	1	52202	1																																																	1						
44056																		52102	1	52202	1																																																	1						
																																																																												
44061																		52102	1	52202	1																																																	1						
44062																		52102	1	52202	1																																																	1						
44063																		52102	1	52202	1																																																	1						
44064																		52102	1	52202	1																																																	1						
44065																		52102	1	52202	1																																																	1						
44066																		52102	1	52202	1																																																	1						
44067																		52102	1	52202	1																																																							
																																																																												
44071																		52103	1	52203	1																																																	1						
44072																		52103	1	52203	1																																																	1						
44073																		52103	1	52203	1																																																	1						
44074																		52103	1	52203	1																																																	1						
44075																		52103	1	52203	1																																																	1						
44076																		52103	1	52203	1																																																	1						
44077																		52103	1	52203	1																																																							
																																																																												
44081																		52103	1	52203	1																																																	1						
44082																		52103	1	52203	1																																																	1						
44083																		52103	1	52203	1																																																	1						
44084																		52103	1	52203	1																																																	1						
44085																		52103	1	52203	1																																																	1						
44086																		52103	1	52203	1																																																	1						
																																																																												
44091																		52103	1	52203	1																																																	1						
44092																		52103	1	52203	1																																																	1						
44093																		52103	1	52203	1																																																	1						
44094																		52103	1	52203	1																																																	1						
44095																		52103	1	52203	1																																																	1						
44096																		52103	1	52203	1																																																	1						
																																																																												
44101																		52104	1	52204	1																																																	1						
44102																		52104	1	52204	1																																																	1						
44103																		52104	1	52204	1																																																	1						
44104																		52104	1	52204	1																																																	1						
44105																		52104	1	52204	1																																																	1						
44106																		52104	1	52204	1																																																	1						
44107																		52104	1	52204	1																																																							
																																																																												
44111																		52104	1	52204	1																																																	1						
44112																		52104	1	52204	1																																																	1						
44113																		52104	1	52204	1																																																	1						
44114																		52104	1	52204	1																																																	1						
44115																		52104	1	52204	1																																																	1						
44116																		52104	1	52204	1																																																	1						
44117																		52104	1	52204	1																																																							
																																																																												
44121																		52104	1	52204	1																																																	1						
44122																		52104	1	52204	1																																																	1						
44123																		52104	1	52204	1																																																	1						
44124																		52104	1	52204	1																																																	1						
44125																		52104	1	52204	1																																																	1						
44126																		52104	1	52204	1																																																	1						
																																																																												
44131																		52105	1	52205	1																																																	1						
44132																		52105	1	52205	1																																																	1						
44133																		52105	1	52205	1																																																	1						
44134																		52105	1	52205	1																																																	1						
44135																		52105	1	52205	1																																																	1						
44136																		52105	1	52205	1																																																	1						
44137																		52105	1	52205	1																																																							
44138																		52105	1	52205	1																																																							
																																																																												
																																																																												
60001	成就星星奖励																	20004	3																																																			1						
60002																		40001	200																																																			1						
60003																		40002	10																																																			1						
60004																																																										11001004	1											1						
60005																																																										11003005	1											1						
60006																		40002	20																																																			1						
60007																																																										11002005	2											1						
60008																																																										11004006	1											1						
