id	物品	装备	宝石，配置gem.txt中的id	宝物	武将	数量		
52202165	52202					165		
52202166	52202					166		
52202167	52202					167		
52202168	52202					168		
52202169	52202					169		
52202170	52202					170		
52202171	52202					171		
52202172	52202					172		
52202173	52202					173		
52202174	52202					174		
52202175	52202					175		
52202176	52202					176		
52202177	52202					177		
52202178	52202					178		
52202179	52202					179		
52202180	52202					180		
52202181	52202					181		
52202182	52202					182		
52202183	52202					183		
52202184	52202					184		
52202185	52202					185		
52202186	52202					186		
52202187	52202					187		
52202188	52202					188		
52202189	52202					189		
52202190	52202					190		
52202191	52202					191		
52202192	52202					192		
52202193	52202					193		
52202194	52202					194		
52202195	52202					195		
52202196	52202					196		
52202197	52202					197		
52202198	52202					198		
52202199	52202					199		
52202200	52202					200		
								
52105001	52105					1		
52105002	52105					2		
52105003	52105					3		
52105004	52105					4		
52105005	52105					5		
52105006	52105					6		
52105007	52105					7		
52105008	52105					8		
52105009	52105					9		
52105010	52105					10		
52105011	52105					11		
52105012	52105					12		
52105013	52105					13		
52105014	52105					14		
52105015	52105					15		
52105016	52105					16		
52105017	52105					17		
52105018	52105					18		
52105019	52105					19		
52105020	52105					20		
52105021	52105					21		
52105022	52105					22		
52105023	52105					23		
52105024	52105					24		
52105025	52105					25		
52105026	52105					26		
52105027	52105					27		
52105028	52105					28		
52105029	52105					29		
52105030	52105					30		
52105031	52105					31		
52105032	52105					32		
52105033	52105					33		
52105034	52105					34		
52105035	52105					35		
52105036	52105					36		
52105037	52105					37		
52105038	52105					38		
52105039	52105					39		
52105040	52105					40		
52105041	52105					41		
52105042	52105					42		
52105043	52105					43		
52105044	52105					44		
52105045	52105					45		
52105046	52105					46		
52105047	52105					47		
52105048	52105					48		
52105049	52105					49		
52105050	52105					50		
52105051	52105					51		
52105052	52105					52		
52105053	52105					53		
52105054	52105					54		
52105055	52105					55		
52105056	52105					56		
52105057	52105					57		
52105058	52105					58		
52105059	52105					59		
52105060	52105					60		
52105061	52105					61		
52105062	52105					62		
52105063	52105					63		
52105064	52105					64		
52105065	52105					65		
52105066	52105					66		
52105067	52105					67		
52105068	52105					68		
52105069	52105					69		
52105070	52105					70		
52105071	52105					71		
52105072	52105					72		
52105073	52105					73		
52105074	52105					74		
52105075	52105					75		
52105076	52105					76		
52105077	52105					77		
52105078	52105					78		
52105079	52105					79		
52105080	52105					80		
52105081	52105					81		
52105082	52105					82		
52105083	52105					83		
52105084	52105					84		
52105085	52105					85		
52105086	52105					86		
52105087	52105					87		
52105088	52105					88		
52105089	52105					89		
52105090	52105					90		
52105091	52105					91		
52105092	52105					92		
52105093	52105					93		
52105094	52105					94		
52105095	52105					95		
52105096	52105					96		
52105097	52105					97		
52105098	52105					98		
52105099	52105					99		
52105100	52105					100		
52105101	52105					101		
52105102	52105					102		
52105103	52105					103		
52105104	52105					104		
52105105	52105					105		
52105106	52105					106		
52105107	52105					107		
52105108	52105					108		
52105109	52105					109		
52105110	52105					110		
52105111	52105					111		
52105112	52105					112		
52105113	52105					113		
52105114	52105					114		
52105115	52105					115		
52105116	52105					116		
52105117	52105					117		
52105118	52105					118		
52105119	52105					119		
52105120	52105					120		
52105121	52105					121		
52105122	52105					122		
52105123	52105					123		
52105124	52105					124		
52105125	52105					125		
52105126	52105					126		
52105127	52105					127		
52105128	52105					128		
52105129	52105					129		
52105130	52105					130		
52105131	52105					131		
52105132	52105					132		
52105133	52105					133		
52105134	52105					134		
52105135	52105					135		
52105136	52105					136		
52105137	52105					137		
52105138	52105					138		
52105139	52105					139		
52105140	52105					140		
52105141	52105					141		
52105142	52105					142		
52105143	52105					143		
52105144	52105					144		
52105145	52105					145		
52105146	52105					146		
52105147	52105					147		
52105148	52105					148		
52105149	52105					149		
52105150	52105					150		
52105151	52105					151		
52105152	52105					152		
52105153	52105					153		
52105154	52105					154		
52105155	52105					155		
52105156	52105					156		
52105157	52105					157		
52105158	52105					158		
52105159	52105					159		
52105160	52105					160		
52105161	52105					161		
52105162	52105					162		
52105163	52105					163		
52105164	52105					164		
52105165	52105					165		
52105166	52105					166		
52105167	52105					167		
52105168	52105					168		
52105169	52105					169		
52105170	52105					170		
52105171	52105					171		
52105172	52105					172		
52105173	52105					173		
52105174	52105					174		
52105175	52105					175		
52105176	52105					176		
52105177	52105					177		
52105178	52105					178		
52105179	52105					179		
52105180	52105					180		
52105181	52105					181		
52105182	52105					182		
52105183	52105					183		
52105184	52105					184		
52105185	52105					185		
52105186	52105					186		
52105187	52105					187		
52105188	52105					188		
52105189	52105					189		
52105190	52105					190		
52105191	52105					191		
52105192	52105					192		
52105193	52105					193		
52105194	52105					194		
52105195	52105					195		
52105196	52105					196		
52105197	52105					197		
52105198	52105					198		
52105199	52105					199		
52105200	52105					200		
								
52205001	52205					1		
52205002	52205					2		
52205003	52205					3		
52205004	52205					4		
52205005	52205					5		
52205006	52205					6		
52205007	52205					7		
52205008	52205					8		
52205009	52205					9		
52205010	52205					10		
52205011	52205					11		
52205012	52205					12		
52205013	52205					13		
52205014	52205					14		
52205015	52205					15		
52205016	52205					16		
52205017	52205					17		
52205018	52205					18		
52205019	52205					19		
52205020	52205					20		
52205021	52205					21		
52205022	52205					22		
52205023	52205					23		
52205024	52205					24		
52205025	52205					25		
52205026	52205					26		
52205027	52205					27		
52205028	52205					28		
52205029	52205					29		
52205030	52205					30		
52205031	52205					31		
52205032	52205					32		
52205033	52205					33		
52205034	52205					34		
52205035	52205					35		
52205036	52205					36		
52205037	52205					37		
52205038	52205					38		
52205039	52205					39		
52205040	52205					40		
52205041	52205					41		
52205042	52205					42		
52205043	52205					43		
52205044	52205					44		
52205045	52205					45		
52205046	52205					46		
52205047	52205					47		
52205048	52205					48		
52205049	52205					49		
52205050	52205					50		
52205051	52205					51		
52205052	52205					52		
52205053	52205					53		
52205054	52205					54		
52205055	52205					55		
52205056	52205					56		
52205057	52205					57		
52205058	52205					58		
52205059	52205					59		
52205060	52205					60		
52205061	52205					61		
52205062	52205					62		
52205063	52205					63		
52205064	52205					64		
52205065	52205					65		
52205066	52205					66		
52205067	52205					67		
52205068	52205					68		
52205069	52205					69		
52205070	52205					70		
52205071	52205					71		
52205072	52205					72		
52205073	52205					73		
52205074	52205					74		
52205075	52205					75		
52205076	52205					76		
52205077	52205					77		
52205078	52205					78		
52205079	52205					79		
52205080	52205					80		
52205081	52205					81		
52205082	52205					82		
52205083	52205					83		
52205084	52205					84		
52205085	52205					85		
52205086	52205					86		
52205087	52205					87		
52205088	52205					88		
52205089	52205					89		
52205090	52205					90		
52205091	52205					91		
52205092	52205					92		
52205093	52205					93		
52205094	52205					94		
52205095	52205					95		
52205096	52205					96		
52205097	52205					97		
52205098	52205					98		
52205099	52205					99		
52205100	52205					100		
52205101	52205					101		
52205102	52205					102		
52205103	52205					103		
52205104	52205					104		
52205105	52205					105		
52205106	52205					106		
52205107	52205					107		
52205108	52205					108		
52205109	52205					109		
52205110	52205					110		
52205111	52205					111		
52205112	52205					112		
52205113	52205					113		
52205114	52205					114		
52205115	52205					115		
52205116	52205					116		
52205117	52205					117		
52205118	52205					118		
52205119	52205					119		
52205120	52205					120		
52205121	52205					121		
52205122	52205					122		
52205123	52205					123		
52205124	52205					124		
52205125	52205					125		
52205126	52205					126		
52205127	52205					127		
52205128	52205					128		
52205129	52205					129		
52205130	52205					130		
52205131	52205					131		
52205132	52205					132		
52205133	52205					133		
52205134	52205					134		
52205135	52205					135		
52205136	52205					136		
52205137	52205					137		
52205138	52205					138		
52205139	52205					139		
52205140	52205					140		
52205141	52205					141		
52205142	52205					142		
52205143	52205					143		
52205144	52205					144		
52205145	52205					145		
52205146	52205					146		
52205147	52205					147		
52205148	52205					148		
52205149	52205					149		
52205150	52205					150		
52205151	52205					151		
52205152	52205					152		
52205153	52205					153		
52205154	52205					154		
52205155	52205					155		
52205156	52205					156		
52205157	52205					157		
52205158	52205					158		
52205159	52205					159		
52205160	52205					160		
52205161	52205					161		
52205162	52205					162		
52205163	52205					163		
52205164	52205					164		
52205165	52205					165		
52205166	52205					166		
52205167	52205					167		
52205168	52205					168		
52205169	52205					169		
52205170	52205					170		
52205171	52205					171		
52205172	52205					172		
52205173	52205					173		
52205174	52205					174		
52205175	52205					175		
52205176	52205					176		
52205177	52205					177		
52205178	52205					178		
52205179	52205					179		
52205180	52205					180		
52205181	52205					181		
52205182	52205					182		
52205183	52205					183		
52205184	52205					184		
52205185	52205					185		
52205186	52205					186		
52205187	52205					187		
52205188	52205					188		
52205189	52205					189		
52205190	52205					190		
52205191	52205					191		
52205192	52205					192		
52205193	52205					193		
52205194	52205					194		
52205195	52205					195		
52205196	52205					196		
52205197	52205					197		
52205198	52205					198		
52205199	52205					199		
52205200	52205					200		
								
8003001	80030					1		
8004001	80040					1		
8004601	80046					1		
								
								
6000301	60003					1		
								
8002003	80020					3		
								
6100101	61001					1		
6100201	61002					1		
6100301	61003					1		
6100401	61004					1		
6100501	61005					1		
6100601	61006					1		
6100701	61007					1		
6100801	61008					1		
6100901	61009					1		
6101001	61010					1		
6101101	61011					1		
6101201	61012					1		
6101301	61013					1		
6101401	61014					1		
6101501	61015					1		
6101601	61016					1		
6101701	61017					1		
6101801	61018					1		
6101901	61019					1		
6102001	61020					1		
6102101	61021					1		
6102201	61022					1		
6102301	61023					1		
6102401	61024					1		
6102501	61025					1		
6102601	61026					1		
6102701	61027					1		
6102801	61028					1		
6102901	61029					1		
6103001	61030					1		
6103101	61031					1		
6103201	61032					1		
6103301	61033					1		
6103401	61034					1		
6103501	61035					1		
6103601	61036					1		
6103701	61037					1		
6103801	61038					1		
6103901	61039					1		
6104001	61040					1		
