id	名称	攻击	防御	体力	敏捷	统帅	伤害增加万分比	伤害减少万分比	易伤增加万分比	易伤减少万分比
420050	虎贲营50							590		
430001	城防机关1	5								
430002	城防机关2	11								
430003	城防机关3	16								
430004	城防机关4	22								
430005	城防机关5	27								
430006	城防机关6	33								
430007	城防机关7	38								
430008	城防机关8	44								
430009	城防机关9	49								
430010	城防机关10	55								
430011	城防机关11	60								
430012	城防机关12	66								
430013	城防机关13	71								
430014	城防机关14	77								
430015	城防机关15	85								
430016	城防机关16	98								
430017	城防机关17	110								
430018	城防机关18	140								
430019	城防机关19	169								
430020	城防机关20	199								
430021	城防机关21	229								
430022	城防机关22	265								
430023	城防机关23	301								
430024	城防机关24	337								
430025	城防机关25	387								
430026	城防机关26	437								
430027	城防机关27	487								
430028	城防机关28	537								
430029	城防机关29	602								
430030	城防机关30	667								
430031	城防机关31	732								
430032	城防机关32	797								
430033	城防机关33	863								
430034	城防机关34	950								
430035	城防机关35	1043								
430036	城防机关36	1135								
430037	城防机关37	1228								
430038	城防机关38	1320								
430039	城防机关39	1413								
430040	城防机关40	1505								
430041	城防机关41	1598								
430042	城防机关42	1785								
430043	城防机关43	1973								
430044	城防机关44	2160								
430045	城防机关45	2348								
430046	城防机关46	2573								
430047	城防机关47	2798								
430048	城防机关48	3023								
430049	城防机关49	3273								
430050	城防机关50	3523								
										
										
10011001	步兵攻击1	3								
10011002	步兵攻击2	6								
10011003	步兵攻击3	12								
10011004	步兵攻击4	18								
10011005	步兵攻击5	27								
10011006	步兵攻击6	36								
10011007	步兵攻击7	48								
10011008	步兵攻击8	63								
10011009	步兵攻击9	81								
10011010	步兵攻击10	102								
10011011	步兵攻击11	126								
10011012	步兵攻击12	153								
10011013	步兵攻击13	183								
10011014	步兵攻击14	243								
10011015	步兵攻击15	351								
10011016	步兵攻击16	531								
10011017	步兵攻击17	783								
10011018	步兵攻击18	1173								
10011019	步兵攻击19	1563								
10011020	步兵攻击20	1953								
10011021	步兵攻击21	2343								
10011022	步兵攻击22	2733								
10011023	步兵攻击23	3123								
10011024	步兵攻击24	3513								
10011025	步兵攻击25	3903								
10012001	步兵防御1		7							
10012002	步兵防御2		14							
10012003	步兵防御3		28							
10012004	步兵防御4		42							
10012005	步兵防御5		63							
10012006	步兵防御6		84							
10012007	步兵防御7		112							
10012008	步兵防御8		147							
10012009	步兵防御9		189							
10012010	步兵防御10		238							
10012011	步兵防御11		294							
10012012	步兵防御12		357							
10012013	步兵防御13		427							
10012014	步兵防御14		567							
10012015	步兵防御15		819							
10012016	步兵防御16		1239							
10012017	步兵防御17		1827							
10012018	步兵防御18		2737							
10012019	步兵防御19		3647							
10012020	步兵防御20		4557							
10012021	步兵防御21		5467							
10012022	步兵防御22		6377							
10012023	步兵防御23		7287							
10012024	步兵防御24		8197							
10012025	步兵防御25		9107							
10013001	步兵体力1			5						
10013002	步兵体力2			10						
10013003	步兵体力3			20						
10013004	步兵体力4			30						
10013005	步兵体力5			45						
10013006	步兵体力6			60						
10013007	步兵体力7			80						
10013008	步兵体力8			105						
10013009	步兵体力9			135						
10013010	步兵体力10			170						
10013011	步兵体力11			210						
10013012	步兵体力12			255						
10013013	步兵体力13			305						
10013014	步兵体力14			405						
10013015	步兵体力15			585						
10013016	步兵体力16			885						
10013017	步兵体力17			1305						
10013018	步兵体力18			1955						
10013019	步兵体力19			2605						
10013020	步兵体力20			3255						
10013021	步兵体力21			3905						
10013022	步兵体力22			4555						
10013023	步兵体力23			5205						
10013024	步兵体力24			5855						
10013025	步兵体力25			6505						
10014001	步兵敏捷1				5					
10014002	步兵敏捷2				10					
10014003	步兵敏捷3				20					
10014004	步兵敏捷4				30					
10014005	步兵敏捷5				45					
10014006	步兵敏捷6				60					
10014007	步兵敏捷7				80					
10014008	步兵敏捷8				105					
10014009	步兵敏捷9				135					
10014010	步兵敏捷10				170					
10014011	步兵敏捷11				210					
10014012	步兵敏捷12				255					
10014013	步兵敏捷13				305					
10014014	步兵敏捷14				405					
10014015	步兵敏捷15				585					
10014016	步兵敏捷16				885					
10014017	步兵敏捷17				1305					
10014018	步兵敏捷18				1955					
10014019	步兵敏捷19				2605					
10014020	步兵敏捷20				3255					
10014021	步兵敏捷21				3905					
10014022	步兵敏捷22				4555					
10014023	步兵敏捷23				5205					
10014024	步兵敏捷24				5855					
10014025	步兵敏捷25				6505					
10015001	步兵免伤1							1000		
10015002	步兵免伤2							1500		
10015003	步兵免伤3							2000		
10015004	步兵免伤4							2500		
10015005	步兵免伤5							3000		
10015006	步兵免伤6							3500		
10015007	步兵免伤7							4000		
10021001	弓兵攻击1	7								
10021002	弓兵攻击2	14								
10021003	弓兵攻击3	28								
10021004	弓兵攻击4	42								
10021005	弓兵攻击5	63								
10021006	弓兵攻击6	84								
10021007	弓兵攻击7	112								
10021008	弓兵攻击8	147								
10021009	弓兵攻击9	189								
10021010	弓兵攻击10	238								
10021011	弓兵攻击11	294								
10021012	弓兵攻击12	357								
10021013	弓兵攻击13	427								
10021014	弓兵攻击14	567								
10021015	弓兵攻击15	819								
10021016	弓兵攻击16	1239								
10021017	弓兵攻击17	1827								
10021018	弓兵攻击18	2737								
10021019	弓兵攻击19	3647								
10021020	弓兵攻击20	4557								
10021021	弓兵攻击21	5467								
10021022	弓兵攻击22	6377								
10021023	弓兵攻击23	7287								
10021024	弓兵攻击24	8197								
10021025	弓兵攻击25	9107								
10022001	弓兵防御1		3							
10022002	弓兵防御2		6							
10022003	弓兵防御3		12							
10022004	弓兵防御4		18							
10022005	弓兵防御5		27							
10022006	弓兵防御6		36							
10022007	弓兵防御7		48							
10022008	弓兵防御8		63							
10022009	弓兵防御9		81							
10022010	弓兵防御10		102							
10022011	弓兵防御11		126							
10022012	弓兵防御12		153							
10022013	弓兵防御13		183							
10022014	弓兵防御14		243							
10022015	弓兵防御15		351							
10022016	弓兵防御16		531							
10022017	弓兵防御17		783							
10022018	弓兵防御18		1173							
10022019	弓兵防御19		1563							
10022020	弓兵防御20		1953							
10022021	弓兵防御21		2343							
10022022	弓兵防御22		2733							
10022023	弓兵防御23		3123							
10022024	弓兵防御24		3513							
10022025	弓兵防御25		3903							
10023001	弓兵体力1			5						
10023002	弓兵体力2			10						
10023003	弓兵体力3			20						
10023004	弓兵体力4			30						
10023005	弓兵体力5			45						
10023006	弓兵体力6			60						
10023007	弓兵体力7			80						
10023008	弓兵体力8			105						
10023009	弓兵体力9			135						
10023010	弓兵体力10			170						
10023011	弓兵体力11			210						
10023012	弓兵体力12			255						
10023013	弓兵体力13			305						
10023014	弓兵体力14			405						
10023015	弓兵体力15			585						
10023016	弓兵体力16			885						
10023017	弓兵体力17			1305						
10023018	弓兵体力18			1955						
10023019	弓兵体力19			2605						
10023020	弓兵体力20			3255						
10023021	弓兵体力21			3905						
10023022	弓兵体力22			4555						
10023023	弓兵体力23			5205						
10023024	弓兵体力24			5855						
10023025	弓兵体力25			6505						
10024001	弓兵敏捷1				5					
10024002	弓兵敏捷2				10					
10024003	弓兵敏捷3				20					
10024004	弓兵敏捷4				30					
10024005	弓兵敏捷5				45					
10024006	弓兵敏捷6				60					
10024007	弓兵敏捷7				80					
10024008	弓兵敏捷8				105					
10024009	弓兵敏捷9				135					
10024010	弓兵敏捷10				170					
10024011	弓兵敏捷11				210					
10024012	弓兵敏捷12				255					
10024013	弓兵敏捷13				305					
10024014	弓兵敏捷14				405					
10024015	弓兵敏捷15				585					
10024016	弓兵敏捷16				885					
10024017	弓兵敏捷17				1305					
10024018	弓兵敏捷18				1955					
10024019	弓兵敏捷19				2605					
10024020	弓兵敏捷20				3255					
10024021	弓兵敏捷21				3905					
10024022	弓兵敏捷22				4555					
10024023	弓兵敏捷23				5205					
10024024	弓兵敏捷24				5855					
10024025	弓兵敏捷25				6505					
10025001	弓兵伤害1						1000			
10025002	弓兵伤害2						1500			
10025003	弓兵伤害3						2000			
10025004	弓兵伤害4						2500			
10025005	弓兵伤害5						3000			
10025006	弓兵伤害6						3500			
10025007	弓兵伤害7						4000			
10031001	骑兵攻击1	3								
10031002	骑兵攻击2	6								
10031003	骑兵攻击3	12								
10031004	骑兵攻击4	18								
10031005	骑兵攻击5	27								
10031006	骑兵攻击6	36								
10031007	骑兵攻击7	48								
10031008	骑兵攻击8	63								
10031009	骑兵攻击9	81								
10031010	骑兵攻击10	102								
10031011	骑兵攻击11	126								
10031012	骑兵攻击12	153								
10031013	骑兵攻击13	183								
10031014	骑兵攻击14	216								
10031015	骑兵攻击15	252								
10031016	骑兵攻击16	291								
10031017	骑兵攻击17	333								
10031018	骑兵攻击18	381								
10031019	骑兵攻击19	441								
10031020	骑兵攻击20	507								
10031021	骑兵攻击21	585								
10031022	骑兵攻击22	675								
10031023	骑兵攻击23	777								
10031024	骑兵攻击24	891								
10031025	骑兵攻击25	1017								
10032001	骑兵防御1		6							
10032002	骑兵防御2		12							
10032003	骑兵防御3		24							
10032004	骑兵防御4		36							
10032005	骑兵防御5		54							
10032006	骑兵防御6		72							
10032007	骑兵防御7		96							
10032008	骑兵防御8		126							
10032009	骑兵防御9		162							
10032010	骑兵防御10		204							
10032011	骑兵防御11		252							
10032012	骑兵防御12		306							
10032013	骑兵防御13		366							
10032014	骑兵防御14		432							
10032015	骑兵防御15		504							
10032016	骑兵防御16		582							
10032017	骑兵防御17		666							
10032018	骑兵防御18		762							
10032019	骑兵防御19		882							
10032020	骑兵防御20		1014							
10032021	骑兵防御21		1170							
10032022	骑兵防御22		1350							
10032023	骑兵防御23		1554							
10032024	骑兵防御24		1782							
10032025	骑兵防御25		2034							
10033001	骑兵体力1			4						
10033002	骑兵体力2			8						
10033003	骑兵体力3			16						
10033004	骑兵体力4			24						
10033005	骑兵体力5			36						
10033006	骑兵体力6			48						
10033007	骑兵体力7			64						
10033008	骑兵体力8			84						
10033009	骑兵体力9			108						
10033010	骑兵体力10			136						
10033011	骑兵体力11			168						
10033012	骑兵体力12			204						
10033013	骑兵体力13			244						
10033014	骑兵体力14			288						
10033015	骑兵体力15			336						
10033016	骑兵体力16			388						
10033017	骑兵体力17			444						
10033018	骑兵体力18			508						
10033019	骑兵体力19			588						
10033020	骑兵体力20			676						
10033021	骑兵体力21			780						
10033022	骑兵体力22			900						
10033023	骑兵体力23			1036						
10033024	骑兵体力24			1188						
10033025	骑兵体力25			1356						
10034001	骑兵敏捷1				7					
10034002	骑兵敏捷2				14					
10034003	骑兵敏捷3				28					
10034004	骑兵敏捷4				42					
10034005	骑兵敏捷5				63					
10034006	骑兵敏捷6				84					
10034007	骑兵敏捷7				112					
10034008	骑兵敏捷8				147					
10034009	骑兵敏捷9				189					
10034010	骑兵敏捷10				238					
10034011	骑兵敏捷11				294					
10034012	骑兵敏捷12				357					
10034013	骑兵敏捷13				427					
10034014	骑兵敏捷14				504					
10034015	骑兵敏捷15				588					
10034016	骑兵敏捷16				679					
10034017	骑兵敏捷17				777					
10034018	骑兵敏捷18				889					
10034019	骑兵敏捷19				1029					
10034020	骑兵敏捷20				1183					
10034021	骑兵敏捷21				1365					
10034022	骑兵敏捷22				1575					
10034023	骑兵敏捷23				1813					
10034024	骑兵敏捷24				2079					
10034025	骑兵敏捷25				2373					
10035001	骑兵免伤1							1000		
10035002	骑兵免伤2							1500		
10035003	骑兵免伤3							2000		
10035004	骑兵免伤4							2500		
10035005	骑兵免伤5							3000		
10035006	骑兵免伤6							3500		
10035007	骑兵免伤7							4000		
10041001	车兵攻击1	3								
10041002	车兵攻击2	6								
10041003	车兵攻击3	12								
10041004	车兵攻击4	18								
10041005	车兵攻击5	27								
10041006	车兵攻击6	36								
10041007	车兵攻击7	48								
10041008	车兵攻击8	63								
10041009	车兵攻击9	81								
10041010	车兵攻击10	102								
10041011	车兵攻击11	126								
10041012	车兵攻击12	153								
10041013	车兵攻击13	183								
10041014	车兵攻击14	216								
10041015	车兵攻击15	252								
10041016	车兵攻击16	291								
10041017	车兵攻击17	333								
10041018	车兵攻击18	381								
10041019	车兵攻击19	441								
10041020	车兵攻击20	507								
10041021	车兵攻击21	585								
10041022	车兵攻击22	675								
10041023	车兵攻击23	777								
10041024	车兵攻击24	891								
10041025	车兵攻击25	1017								
10042001	车兵防御1		6							
10042002	车兵防御2		12							
10042003	车兵防御3		24							
10042004	车兵防御4		36							
10042005	车兵防御5		54							
10042006	车兵防御6		72							
10042007	车兵防御7		96							
10042008	车兵防御8		126							
10042009	车兵防御9		162							
10042010	车兵防御10		204							
10042011	车兵防御11		252							
10042012	车兵防御12		306							
10042013	车兵防御13		366							
10042014	车兵防御14		432							
10042015	车兵防御15		504							
10042016	车兵防御16		582							
10042017	车兵防御17		666							
10042018	车兵防御18		762							
10042019	车兵防御19		882							
10042020	车兵防御20		1014							
10042021	车兵防御21		1170							
10042022	车兵防御22		1350							
10042023	车兵防御23		1554							
10042024	车兵防御24		1782							
10042025	车兵防御25		2034							
10043001	车兵体力1			7						
10043002	车兵体力2			14						
10043003	车兵体力3			28						
10043004	车兵体力4			42						
10043005	车兵体力5			63						
10043006	车兵体力6			84						
10043007	车兵体力7			112						
10043008	车兵体力8			147						
10043009	车兵体力9			189						
10043010	车兵体力10			238						
10043011	车兵体力11			294						
10043012	车兵体力12			357						
10043013	车兵体力13			427						
10043014	车兵体力14			504						
10043015	车兵体力15			588						
10043016	车兵体力16			679						
10043017	车兵体力17			777						
10043018	车兵体力18			889						
10043019	车兵体力19			1029						
10043020	车兵体力20			1183						
10043021	车兵体力21			1365						
10043022	车兵体力22			1575						
10043023	车兵体力23			1813						
10043024	车兵体力24			2079						
10043025	车兵体力25			2373						
10044001	车兵敏捷1				4					
10044002	车兵敏捷2				8					
10044003	车兵敏捷3				16					
10044004	车兵敏捷4				24					
10044005	车兵敏捷5				36					
10044006	车兵敏捷6				48					
10044007	车兵敏捷7				64					
10044008	车兵敏捷8				84					
10044009	车兵敏捷9				108					
10044010	车兵敏捷10				136					
10044011	车兵敏捷11				168					
10044012	车兵敏捷12				204					
10044013	车兵敏捷13				244					
10044014	车兵敏捷14				288					
10044015	车兵敏捷15				336					
10044016	车兵敏捷16				388					
10044017	车兵敏捷17				444					
10044018	车兵敏捷18				508					
10044019	车兵敏捷19				588					
10044020	车兵敏捷20				676					
10044021	车兵敏捷21				780					
10044022	车兵敏捷22				900					
10044023	车兵敏捷23				1036					
10044024	车兵敏捷24				1188					
10044025	车兵敏捷25				1356					
10045001	车兵免伤1							1000		
10045002	车兵免伤2							1500		
10045003	车兵免伤3							2000		
10045004	车兵免伤4							2500		
10045005	车兵免伤5							3000		
10045006	车兵免伤6							3500		
10045007	车兵免伤7							4000		
10051001	器械攻击1	7								
10051002	器械攻击2	14								
10051003	器械攻击3	28								
10051004	器械攻击4	42								
10051005	器械攻击5	63								
10051006	器械攻击6	84								
10051007	器械攻击7	112								
10051008	器械攻击8	147								
10051009	器械攻击9	189								
10051010	器械攻击10	238								
10051011	器械攻击11	294								
10051012	器械攻击12	357								
10051013	器械攻击13	427								
10051014	器械攻击14	504								
10051015	器械攻击15	588								
10051016	器械攻击16	679								
10051017	器械攻击17	777								
10051018	器械攻击18	889								
10051019	器械攻击19	1029								
10051020	器械攻击20	1183								
10051021	器械攻击21	1365								
10051022	器械攻击22	1575								
10051023	器械攻击23	1813								
10051024	器械攻击24	2079								
10051025	器械攻击25	2373								
10052001	器械防御1		4							
10052002	器械防御2		8							
10052003	器械防御3		16							
10052004	器械防御4		24							
10052005	器械防御5		36							
10052006	器械防御6		48							
10052007	器械防御7		64							
10052008	器械防御8		84							
10052009	器械防御9		108							
10052010	器械防御10		136							
10052011	器械防御11		168							
10052012	器械防御12		204							
10052013	器械防御13		244							
10052014	器械防御14		288							
10052015	器械防御15		336							
10052016	器械防御16		388							
10052017	器械防御17		444							
10052018	器械防御18		508							
10052019	器械防御19		588							
10052020	器械防御20		676							
10052021	器械防御21		780							
10052022	器械防御22		900							
10052023	器械防御23		1036							
10052024	器械防御24		1188							
10052025	器械防御25		1356							
10053001	器械体力1			6						
10053002	器械体力2			12						
10053003	器械体力3			24						
10053004	器械体力4			36						
10053005	器械体力5			54						
10053006	器械体力6			72						
10053007	器械体力7			96						
10053008	器械体力8			126						
10053009	器械体力9			162						
10053010	器械体力10			204						
10053011	器械体力11			252						
10053012	器械体力12			306						
10053013	器械体力13			366						
10053014	器械体力14			432						
10053015	器械体力15			504						
10053016	器械体力16			582						
10053017	器械体力17			666						
10053018	器械体力18			762						
10053019	器械体力19			882						
10053020	器械体力20			1014						
10053021	器械体力21			1170						
10053022	器械体力22			1350						
10053023	器械体力23			1554						
10053024	器械体力24			1782						
10053025	器械体力25			2034						
10054001	器械敏捷1				3					
10054002	器械敏捷2				6					
10054003	器械敏捷3				12					
10054004	器械敏捷4				18					
10054005	器械敏捷5				27					
10054006	器械敏捷6				36					
10054007	器械敏捷7				48					
10054008	器械敏捷8				63					
10054009	器械敏捷9				81					
10054010	器械敏捷10				102					
10054011	器械敏捷11				126					
10054012	器械敏捷12				153					
10054013	器械敏捷13				183					
10054014	器械敏捷14				216					
10054015	器械敏捷15				252					
10054016	器械敏捷16				291					
10054017	器械敏捷17				333					
10054018	器械敏捷18				381					
10054019	器械敏捷19				441					
10054020	器械敏捷20				507					
10054021	器械敏捷21				585					
10054022	器械敏捷22				675					
10054023	器械敏捷23				777					
10054024	器械敏捷24				891					
10054025	器械敏捷25				1017					
10055001	器械伤害1						1000			
10055002	器械伤害2						1500			
10055003	器械伤害3						2000			
10055004	器械伤害4						2500			
10055005	器械伤害5						3000			
10055006	器械伤害6						3500			
10055007	器械伤害7						4000			
										
10104001	1阶步兵	80	140	80	100					
10104002	2阶步兵	100	175	100	125					
10104003	3阶步兵	120	210	120	150					
10104004	4阶步兵	160	280	160	200					
10104005	5阶步兵	240	420	240	300					
10104006	6阶步兵	320	560	320	400					
10104007	7阶步兵	480	840	480	600					
10104008	8阶步兵	600	1050	600	750					
10104009	9阶步兵	720	1260	720	900					
										
10106001	1阶弓兵	120	60	100	120					
10106002	2阶弓兵	150	75	125	150					
10106003	3阶弓兵	180	90	150	180					
10106004	4阶弓兵	240	120	200	240					
10106005	5阶弓兵	360	180	300	360					
10106006	6阶弓兵	480	240	400	480					
10106007	7阶弓兵	720	360	600	720					
10106008	8阶弓兵	900	450	750	900					
10106009	9阶弓兵	1080	540	900	1080					
										
10105001	1阶骑兵	60	120	80	140					
10105002	2阶骑兵	75	150	100	175					
10105003	3阶骑兵	90	180	120	210					
10105004	4阶骑兵	120	240	160	280					
10105005	5阶骑兵	180	360	240	420					
10105006	6阶骑兵	240	480	320	560					
10105007	7阶骑兵	360	720	480	840					
10105008	8阶骑兵	450	900	600	1050					
10105009	9阶骑兵	540	1080	720	1260					
										
10107001	1阶车兵	60	120	140	80					
10107002	2阶车兵	75	150	175	100					
10107003	3阶车兵	90	180	210	120					
10107004	4阶车兵	120	240	280	160					
10107005	5阶车兵	180	360	420	240					
10107006	6阶车兵	240	480	560	320					
10107007	7阶车兵	360	720	840	480					
10107008	8阶车兵	450	900	1050	600					
10107009	9阶车兵	540	1080	1260	720					
										
10108001	1阶器兵	140	80	120	60					
10108002	2阶器兵	175	100	150	75					
10108003	3阶器兵	210	120	180	90					
10108004	4阶器兵	280	160	240	120					
10108005	5阶器兵	420	240	360	180					
10108006	6阶器兵	560	320	480	240					
10108007	7阶器兵	840	480	720	360					
10108008	8阶器兵	1050	600	900	450					
10108009	9阶器兵	1260	720	1080	540					
										
10200001	套装1级						300	300		
10200002	套装2级						600	600		
10200003	套装3级						900	900		
10200004	套装4级						1200	1200		
10200005	套装5级						1500	1500		
10200006	套装6级						1800	1800		
10200007	套装7级						2100	2100		
10200008	套装8级						2400	2400		
10200009	套装9级						2700	2700		
10200010	套装10级						3000	3000		
										
10201001	青铜盔			16	4					
10201002	青铜甲		16	4						
10201003	青铜腿甲		8		12					
10201004	青铜剑	16			4					
10201005	青铜刀	20								
10201006	青铜护符	8		12						
10201007	青铜戒指	8			12					
10202001	陨铁盔			40	10					
10202002	陨铁重甲		40	10						
10202003	陨铁腿甲		20		30					
10202004	陨铁剑	40			10					
10202005	陨铁刀	50								
10202006	陨铁护符	20		30						
10202007	陨铁戒指	20			30					
10203001	龙翔盔			80	20					
10203002	龙神战甲		80	20						
10203003	龙翔腿甲		40		60					
10203004	龙泉剑	80			20					
10203005	青龙戟	100								
10203006	龙鳞护符	40		60						
10203007	龙鳞戒指	40			60					
10204001	镇雷盔			120	30					
10204002	镇雷锁甲		120	30						
10204003	镇雷腿甲		60		90					
10204004	惊雷枪	120			30					
10204005	响雷锤	150								
10204006	镇雷护符	60		90						
10204007	镇雷戒指	60			90					
10204501	玄冥盔			160	40					
10204502	玄冥铠甲		160	40						
10204503	玄冥护腿		80		120					
10204504	玄冥枪	160			40					
10204505	玄冥锤	200								
10204506	玄冥护符	80		120						
10204507	玄冥戒指	80			120					
10205001	轩辕盔			240	60					
10205002	轩辕帝甲		240	60						
10205003	轩辕飞天靴		120		180					
10205004	轩辕神剑	240			60					
10205005	天帝战戟	300								
10205006	黄帝护符	120		180						
10205007	炎帝神戒	120			180					
10205501	星神盔			280	70					
10205502	星神铠		280	70						
10205503	星神腿甲		140		210					
10205504	星神弓	280			70					
10205505	星神戟	350								
10205506	星神护符	140		210						
10205507	星神戒指	140			210					
10206001	上古魔神盔			360	90					
10206002	上古魔神铠		360	90						
10206003	上古魔神靴		180		270					
10206004	上古天诛剑	360			90					
10206005	上古噬魂棍	450								
10206006	上古魔神符	180		270						
10206007	上古魔神戒	180			270					
10206501	穆天神盔			400	100					
10206502	穆天灵甲		400	100						
10206503	穆天嗤罗斧		200		300					
10206504	穆天奇风刀	400			100					
10206505	穆天凌波靴	500								
10206506	穆天幽令符	200		300						
10206507	穆天玄戒	200			300					
10207001	幽冥死灵盔			480	120					
10207002	幽冥轮回铠		480	120						
10207003	幽冥天罗靴		240		360					
10207004	幽冥无生剑	480			120					
10207005	幽冥怨灵刀	600								
10207006	幽冥玄阴符	240		360						
