怪物武将id	武将	武将星数	无名武将	解锁技能个数	品质，1-WHITE=白色2-GREEN = 绿色3-BLUE =蓝色 4-PURPLE =紫色5-ORANGE=橙色6-RED=红色	士兵数	战斗力	士气	武将等级	士兵等级	总属性（关联属性表sprite_stat）	单兵血量		能否触发克制技		怪物位置		转生等级	是否是援军					
10503009		1	10503009	2	2	800	1800	1	13	1	10503009	845			5		1							
10504009		1	10504009	2	2	800	1800	1	13	1	10504009	845			5		2							
10505009		1	10505009	2	2	800	1800	1	13	1	10505009	560			1		0							
10501010		1	10501010	2	2	800	1900	1	14	1	10501010	745			3		1							
10502010		1	10502010	2	2	800	1900	1	14	1	10502010	745			3		1							
10503010		1	10503010	2	2	800	1900	1	14	1	10503010	595			2		0							
10504010		1	10504010	2	2	800	1900	1	14	1	10504010	895			5		0							
10505010		1	10505010	2	2	800	1900	1	14	1	10505010	745			3		0							
10501011		1	10501011	2	2	800	1800	1	15	1	10501011	630			2		2							
10502011		1	10502011	2	2	800	1800	1	15	1	10502011	785			3		2							
10503011		1	10503011	2	2	800	1800	1	15	1	10503011	1100			4		0							
10504011		1	10504011	2	2	800	1800	1	15	1	10504011	630			1		0							
10505011		1	10505011	2	2	800	1800	1	15	1	10505011	630			1		1							
10501012		1	10501012	2	2	800	1700	1	16	1	10501012	1155			4		0							
10502012		1	10502012	2	2	800	1700	1	16	1	10502012	825			3		2							
10503012		1	10503012	2	2	800	1700	1	16	1	10503012	660			1		0							
10504012		1	10504012	2	2	800	1700	1	16	1	10504012	660			1		1							
10505012		1	10505012	2	2	800	1700	1	16	1	10505012	990			5		1							
10501013		1	10501013	2	2	800	1600	1	17	1	10501013	695			1		1							
10502013		1	10502013	2	2	800	1600	1	17	1	10502013	695			1		1							
10503013		1	10503013	2	2	800	1600	1	17	1	10503013	1040			5		1							
10504013		1	10504013	2	2	800	1600	1	17	1	10504013	1215			4		1							
10505013		1	10505013	2	2	800	1600	1	17	1	10505013	695			2		0							
10501014		1	10501014	2	2	800	1500	1	18	1	10501014	725			2		0							
10502014		1	10502014	2	2	800	1500	1	18	1	10502014	1270			4		0							
10503014		1	10503014	2	2	800	1500	1	18	1	10503014	725			2		1							
10504014		1	10504014	2	2	800	1500	1	18	1	10504014	910			3		2							
10505014		1	10505014	2	2	800	1500	1	18	1	10505014	910			3		1							
10501015		1	10501015	2	2	800	1400	1	19	1	10501015	1140			5		1							
10502015		1	10502015	2	2	800	1400	1	19	1	10502015	1140			5		1							
10503015		1	10503015	2	2	800	1400	1	19	1	10503015	760			2		1							
10504015		1	10504015	2	2	800	1400	1	19	1	10504015	1140			5		2							
10505015		1	10505015	2	2	800	1400	1	19	1	10505015	1330			4		1							
10501016		1	10501016	2	2	800	1300	1	20	1	10501016	795			1		1							
10502016		1	10502016	2	2	800	1300	1	20	1	10502016	1390			4		1							
10503016		1	10503016	2	2	800	1300	1	20	1	10503016	1390			4		0							
10504016		1	10504016	2	2	800	1300	1	20	1	10504016	1190			5		1							
10505016		1	10505016	2	2	800	1300	1	20	1	10505016	795			2		1							
10501017		1	10501017	2	2	800	1200	1	21	1	10501017	825			2		0							
10502017		1	10502017	2	2	800	1200	1	21	1	10502017	1035			3		0							
10503017		1	10503017	2	2	800	1200	1	21	1	10503017	1445			4		0							
10504017		1	10504017	2	2	800	1200	1	21	1	10504017	825			1		1							
10505017		1	10505017	2	2	800	1200	1	21	1	10505017	1240			5		0							
10501018		1	10501018	2	2	800	1100	1	22	1	10501018	1290			5		1							
10502018		1	10502018	2	2	800	1100	1	22	1	10502018	1075			3		0							
10503018		1	10503018	2	2	800	1100	1	22	1	10503018	1075			3		0							
10504018		1	10504018	2	2	800	1100	1	22	1	10504018	1075			3		2							
10505018		1	10505018	2	2	800	1100	1	22	1	10505018	860			2		2							
10501019		1	10501019	2	2	800	1000	1	23	1	10501019	890			1		2							
10502019		1	10502019	2	2	800	1000	1	23	1	10502019	890			2		0							
10503019		1	10503019	2	2	800	1000	1	23	1	10503019	1340			5		1							
10504019		1	10504019	2	2	800	1000	1	23	1	10504019	1115			3		1							
10505019		1	10505019	2	2	800	1000	1	23	1	10505019	1340			5		0							
10501020		1	10501020	2	2	800	900	1	24	2	10501020	1395		1	10		0							
10502020		1	10502020	2	2	800	900	1	24	2	10502020	930		1	6		0							
10503020		1	10503020	2	2	800	900	1	24	2	10503020	1165		1	8		2							
10504020		1	10504020	2	2	800	900	1	24	2	10504020	1395		1	10		0							
10505020		1	10505020	2	2	800	900	1	24	2	10505020	930		1	6		0							
10501021		1	10501021	2	2	817	909	1	25	2	10501021	1680		1	9		0							
10502021		1	10502021	2	2	817	909	1	25	2	10502021	960		1	7		0							
10503021		1	10503021	2	2	817	909	1	25	2	10503021	960		1	6		0							
10504021		1	10504021	2	2	817	909	1	25	2	10504021	1200		1	8		2							
10505021		1	10505021	2	2	817	909	1	25	2	10505021	1440		1	10		2							
10501022		1	10501022	2	2	834	918	1	26	2	10501022	990		1	7		2							
10502022		1	10502022	2	2	834	918	1	26	2	10502022	1235		1	8		2							
10503022		1	10503022	2	2	834	918	1	26	2	10503022	990		1	6		2							
10504022		1	10504022	2	2	834	918	1	26	2	10504022	990		1	7		2							
10505022		1	10505022	2	2	834	918	1	26	2	10505022	990		1	7		0							
10501023		1	10501023	2	2	851	927	1	27	2	10501023	1015		1	7		0							
10502023		1	10502023	2	2	851	927	1	27	2	10502023	1015		1	7		1							
10503023		1	10503023	2	2	851	927	1	27	2	10503023	1015		1	6		2							
10504023		1	10504023	2	2	851	927	1	27	2	10504023	1015		1	7		0							
10505023		1	10505023	2	2	851	927	1	27	2	10505023	1270		1	8		2							
10501024		1	10501024	2	2	868	936	1	28	2	10501024	1045		1	7		1							
10502024		1	10502024	2	2	868	936	1	28	2	10502024	1045		1	6		0							
10503024		1	10503024	2	2	868	936	1	28	2	10503024	1310		1	8		1							
10504024		1	10504024	2	2	868	936	1	28	2	10504024	1570		1	10		2							
10505024		1	10505024	2	2	868	936	1	28	2	10505024	1045		1	6		2							
10501025		1	10501025	2	3	885	945	1	29	2	10501025	1615		1	10		0							
10502025		1	10502025	2	3	885	945	1	29	2	10502025	1615		1	10		2							
10503025		1	10503025	2	3	885	945	1	29	2	10503025	1345		1	8		0							
10504025		1	10504025	2	3	885	945	1	29	2	10504025	1880		1	9		1							
10505025		1	10505025	2	3	885	945	1	29	2	10505025	1075		1	7		2							
10501026		1	10501026	2	3	945	990	1	30	2	10501026	1935		1	9		0							
10502026		1	10502026	2	3	945	990	1	30	2	10502026	1935		1	9		1							
10503026		1	10503026	2	3	945	990	1	30	2	10503026	1380		1	8		0							
10504026		1	10504026	2	3	945	990	1	30	2	10504026	1105		1	6		0							
10505026		1	10505026	2	3	945	990	1	30	2	10505026	1105		1	6		2							
10501027		1	10501027	2	3	1005	1035	1	31	2	10501027	1985		1	9		1							
10502027		1	10502027	2	3	1005	1035	1	31	2	10502027	1700		1	10		0							
10503027		1	10503027	2	3	1005	1035	1	31	2	10503027	1415		1	8		2							
10504027		1	10504027	2	3	1005	1035	1	31	2	10504027	1415		1	8		2							
10505027		1	10505027	2	3	1005	1035	1	31	2	10505027	1700		1	10		0							
10501028		1	10501028	2	3	1065	1080	1	32	2	10501028	1160		1	7		0							
10502028		1	10502028	2	3	1065	1080	1	32	2	10502028	1160		1	7		2							
10503028		1	10503028	2	3	1065	1080	1	32	2	10503028	2035		1	9		2							
10504028		1	10504028	2	3	1065	1080	1	32	2	10504028	1160		1	6		1							
10505028		1	10505028	2	3	1065	1080	1	32	2	10505028	1745		1	10		2							
10501029		1	10501029	2	3	1125	1125	1	33	2	10501029	1490		1	8		0							
10502029		1	10502029	2	3	1125	1125	1	33	2	10502029	1490		1	8		2							
10503029		1	10503029	2	3	1125	1125	1	33	2	10503029	2085		1	9		1							
10504029		1	10504029	2	3	1125	1125	1	33	2	10504029	1190		1	6		2							
10505029		1	10505029	2	3	1125	1125	1	33	2	10505029	2085		1	9		2							
10501030		1	10501030	2	3	1185	1170	1	34	3	10501030	1830		1	15		1							
10502030		1	10502030	2	3	1185	1170	1	34	3	10502030	1525		1	13		0							
10503030		1	10503030	2	3	1185	1170	1	34	3	10503030	1220		1	11		0							
10504030		1	10504030	2	3	1185	1170	1	34	3	10504030	2135		1	14		0							
10505030		1	10505030	2	3	1185	1170	1	34	3	10505030	1220		1	11		0							
10501031		1	10501031	2	3	1206	1199	1	35	3	10501031	1585		1	13		0							
10502031		1	10502031	2	3	1206	1199	1	35	3	10502031	1265		1	11		2							
10503031		1	10503031	2	3	1206	1199	1	35	3	10503031	1585		1	13		0							
10504031		1	10504031	2	3	1206	1199	1	35	3	10504031	1585		1	13		1							
10505031		1	10505031	2	3	1206	1199	1	35	3	10505031	2215		1	14		0							
10501032		1	10501032	2	3	1227	1228	1	36	3	10501032	1640		1	13		2							
10502032		1	10502032	2	3	1227	1228	1	36	3	10502032	1310		1	11		2							
10503032		1	10503032	2	3	1227	1228	1	36	3	10503032	2295		1	14		2							
10504032		1	10504032	2	3	1227	1228	1	36	3	10504032	2295		1	14		2							
10505032		1	10505032	2	3	1227	1228	1	36	3	10505032	1965		1	15		1							
10501033		1	10501033	2	3	1248	1257	1	37	3	10501033	2035		1	15		1							
10502033		1	10502033	2	3	1248	1257	1	37	3	10502033	1355		1	12		2							
10503033		1	10503033	2	3	1248	1257	1	37	3	10503033	1355		1	12		0							
10504033		1	10504033	2	3	1248	1257	1	37	3	10504033	2035		1	15		2							
10505033		1	10505033	2	3	1248	1257	1	37	3	10505033	1355		1	11		1							
10501034		1	10501034	2	3	1269	1286	1	38	3	10501034	1750		1	13		2							
10502034		1	10502034	2	3	1269	1286	1	38	3	10502034	1400		1	12		0							
10503034		1	10503034	2	3	1269	1286	1	38	3	10503034	2100		1	15		1							
10504034		1	10504034	2	3	1269	1286	1	38	3	10504034	1400		1	11		0							
10505034		1	10505034	2	3	1269	1286	1	38	3	10505034	1400		1	12		2							
10501035		1	10501035	2	3	1290	1315	1	39	3	10501035	2530		1	14		1							
10502035		1	10502035	2	3	1290	1315	1	39	3	10502035	1445		1	12		2							
10503035		1	10503035	2	3	1290	1315	1	39	3	10503035	2530		1	14		1							
10504035		1	10504035	2	3	1290	1315	1	39	3	10504035	1810		1	13		1							
10505035		1	10505035	2	3	1290	1315	1	39	3	10505035	1445		1	12		0							
10501036		1	10501036	2	3	1324	1361	1	40	3	10501036	1485		1	12		1							
10502036		1	10502036	2	3	1324	1361	1	40	3	10502036	2600		1	14		0							
10503036		1	10503036	2	3	1324	1361	1	40	3	10503036	1860		1	13		1							
10504036		1	10504036	2	3	1324	1361	1	40	3	10504036	1860		1	13		0							
10505036		1	10505036	2	3	1324	1361	1	40	3	10505036	1485		1	11		0							
10501037		1	10501037	2	3	1358	1407	1	41	3	10501037	2290		1	15		1							
10502037		1	10502037	2	3	1358	1407	1	41	3	10502037	1525		1	12		2							
10503037		1	10503037	2	3	1358	1407	1	41	3	10503037	1525		1	12		0							
10504037		1	10504037	2	3	1358	1407	1	41	3	10504037	1525		1	11		2							
10505037		1	10505037	2	3	1358	1407	1	41	3	10505037	1525		1	12		0							
10501038		1	10501038	2	3	1392	1453	1	42	3	10501038	1565		1	11		0							
10502038		1	10502038	2	3	1392	1453	1	42	3	10502038	2350		1	15		0							
10503038		1	10503038	2	3	1392	1453	1	42	3	10503038	1955		1	13		1							
10504038		1	10504038	2	3	1392	1453	1	42	3	10504038	1955		1	13		2							
10505038		1	10505038	2	3	1392	1453	1	42	3	10505038	2740		1	14		2							
10501039		1	10501039	2	3	1426	1499	1	43	3	10501039	2805		1	14		2							
10502039		1	10502039	2	3	1426	1499	1	43	3	10502039	2405		1	15		2							
10503039		1	10503039	2	3	1426	1499	1	43	3	10503039	1605		1	12		2							
10504039		1	10504039	2	3	1426	1499	1	43	3	10504039	1605		1	12		0							
10505039		1	10505039	2	3	1426	1499	1	43	3	10505039	1605		1	12		1							
10501040		1	10501040	2	3	1460	1545	1	44	4	10501040	1645		1	16		2							
10502040		1	10502040	2	3	1460	1545	1	44	4	10502040	2465		1	20		0							
10503040		1	10503040	2	3	1460	1545	1	44	4	10503040	1645		1	18		2							
10504040		1	10504040	2	3	1460	1545	1	44	4	10504040	2875		1	17		2							
10505040		1	10505040	2	3	1460	1545	1	44	4	10505040	1645		1	18		0							
10501041		1	10501041	2	3	1525	1591	1	45	4	10501041	1770		1	17		2							
10502041		1	10502041	2	3	1525	1591	1	45	4	10502041	3095		1	19		0							
10503041		1	10503041	2	3	1525	1591	1	45	4	10503041	3095		1	19		1							
10504041		1	10504041	2	3	1525	1591	1	45	4	10504041	1770		1	17		0							
10505041		1	10505041	2	3	1525	1591	1	45	4	10505041	1770		1	17		0							
10501042		1	10501042	2	3	1590	1637	1	46	4	10501042	2365		1	18		1							
10502042		1	10502042	2	3	1590	1637	1	46	4	10502042	3315		1	19		0							
10503042		1	10503042	2	3	1590	1637	1	46	4	10503042	2840		1	20		1							
10504042		1	10504042	2	3	1590	1637	1	46	4	10504042	3315		1	19		0							
10505042		1	10505042	2	3	1590	1637	1	46	4	10505042	1895		1	16		0							
10501043		1	10501043	2	3	1655	1683	1	47	4	10501043	3530		1	19		2							
10502043		1	10502043	2	3	1655	1683	1	47	4	10502043	3530		1	19		0							
10503043		1	10503043	2	3	1655	1683	1	47	4	10503043	2020		1	17		1							
10504043		1	10504043	2	3	1655	1683	1	47	4	10504043	3025		1	20		2							
10505043		1	10505043	2	3	1655	1683	1	47	4	10505043	2020		1	16		1							
10501044		1	10501044	2	3	1720	1729	1	48	4	10501044	2680		1	18		0							
10502044		1	10502044	2	3	1720	1729	1	48	4	10502044	3215		1	20		0							
10503044		1	10503044	2	3	1720	1729	1	48	4	10503044	2680		1	18		0							
10504044		1	10504044	2	3	1720	1729	1	48	4	10504044	3750		1	19		2							
10505044		1	10505044	2	3	1720	1729	1	48	4	10505044	2680		1	18		2							
10501045		1	10501045	2	3	1785	1775	1	49	4	10501045	2270		1	16		2							
10502045		1	10502045	2	3	1785	1775	1	49	4	10502045	2270		1	16		2							
10503045		1	10503045	2	3	1785	1775	1	49	4	10503045	2270		1	17		1							
10504045		1	10504045	2	3	1785	1775	1	49	4	10504045	2270		1	17		1							
10505045		1	10505045	2	4	1785	1775	1	49	4	10505045	2270		1	17		2							
10501046		1	10501046	2	4	1838	1840	1	50	4	10501046	2305		1	16		2							
10502046		1	10502046	2	4	1838	1840	1	50	4	10502046	4035		1	19		0							
10503046		1	10503046	2	4	1838	1840	1	50	4	10503046	2880		1	18		0							
10504046		1	10504046	2	4	1838	1840	1	50	4	10504046	4035		1	19		0							
10505046		1	10505046	2	4	1838	1840	1	50	4	10505046	2305		1	16		2							
10501047		1	10501047	2	4	1891	1905	1	51	4	10501047	3505		1	20		1							
10502047		1	10502047	2	4	1891	1905	1	51	4	10502047	2925		1	18		2							
10503047		1	10503047	2	4	1891	1905	1	51	4	10503047	2925		1	18		1							
10504047		1	10504047	2	4	1891	1905	1	51	4	10504047	3505		1	20		2							
10505047		1	10505047	2	4	1891	1905	1	51	4	10505047	2340		1	17		1							
10501048		1	10501048	2	4	1944	1970	1	52	4	10501048	2370		1	17		1							
10502048		1	10502048	2	4	1944	1970	1	52	4	10502048	2370		1	16		0							
10503048		1	10503048	2	4	1944	1970	1	52	4	10503048	3555		1	20		0							
10504048		1	10504048	2	4	1944	1970	1	52	4	10504048	4150		1	19		1							
10505048		1	10505048	2	4	1944	1970	1	52	4	10505048	2965		1	18		1							
10501049		1	10501049	2	4	1997	2035	1	53	4	10501049	2405		1	17		0							
10502049		1	10502049	2	4	1997	2035	1	53	4	10502049	3605		1	20		0							
10503049		1	10503049	2	4	1997	2035	1	53	4	10503049	4205		1	19		1							
10504049		1	10504049	2	4	1997	2035	1	53	4	10504049	2405		1	16		1							
10505049		1	10505049	2	4	1997	2035	1	53	4	10505049	3005		1	18		0							
10501050		1	10501050	2	4	2050	2100	1	54	5	10501050	2435		1	22		2							
10502050		1	10502050	2	4	2050	2100	1	54	5	10502050	3655		1	25		2							
10503050		1	10503050	2	4	2050	2100	1	54	5	10503050	4265		1	24		2							
10504050		1	10504050	2	4	2050	2100	1	54	5	10504050	2435		1	22		1							
10505050		1	10505050	2	4	2050	2100	1	54	5	10505050	3655		1	25		0							
10501051		1	10501051	2	4	2117	2189	1	55	5	10501051	4390		1	24		1							
10502051		1	10502051	2	4	2117	2189	1	55	5	10502051	2510		1	21		2							
10503051		1	10503051	2	4	2117	2189	1	55	5	10503051	3135		1	23		1							
10504051		1	10504051	2	4	2117	2189	1	55	5	10504051	2510		1	22		2							
10505051		1	10505051	2	4	2117	2189	1	55	5	10505051	3765		1	25		1							
10501052		1	10501052	2	4	2184	2278	1	56	5	10501052	3220		1	23		2							
10502052		1	10502052	2	4	2184	2278	1	56	5	10502052	2575		1	22		0							
10503052		1	10503052	2	4	2184	2278	1	56	5	10503052	2575		1	21		2							
10504052		1	10504052	2	4	2184	2278	1	56	5	10504052	2575		1	22		2							
10505052		1	10505052	2	4	2184	2278	1	56	5	10505052	4510		1	24		0							
10501053		1	10501053	2	4	2251	2367	1	57	5	10501053	3970		1	25		0							
10502053		1	10502053	2	4	2251	2367	1	57	5	10502053	2645		1	22		1							
10503053		1	10503053	2	4	2251	2367	1	57	5	10503053	3970		1	25		0							
10504053		1	10504053	2	4	2251	2367	1	57	5	10504053	2645		1	21		2							
10505053		1	10505053	2	4	2251	2367	1	57	5	10505053	2645		1	21		0							
10501054		1	10501054	2	4	2318	2456	1	58	5	10501054	2715		1	22		2							
10502054		1	10502054	2	4	2318	2456	1	58	5	10502054	4750		1	24		0							
10503054		1	10503054	2	4	2318	2456	1	58	5	10503054	4070		1	25		2							
10504054		1	10504054	2	4	2318	2456	1	58	5	10504054	4070		1	25		1							
10505054		1	10505054	2	4	2318	2456	1	58	5	10505054	3390		1	23		0							
10501055		1	10501055	2	4	2385	2545	1	59	5	10501055	3475		1	23		1							
10502055		1	10502055	2	4	2385	2545	1	59	5	10502055	2780		1	21		2							
10503055		1	10503055	2	4	2385	2545	1	59	5	10503055	2780		1	22		1							
10504055		1	10504055	2	4	2385	2545	1	59	5	10504055	4170		1	25		0							
10505055		1	10505055	2	4	2385	2545	1	59	5	10505055	4865		1	24		1							
10501056		1	10501056	2	4	2471	2632	1	60	5	10501056	5005		1	24		1							
10502056		1	10502056	2	4	2471	2632	1	60	5	10502056	2860		1	22		0							
10503056		1	10503056	2	4	2471	2632	1	60	5	10503056	4290		1	25		1							
10504056		1	10504056	2	4	2471	2632	1	60	5	10504056	5005		1	24		0							
10505056		1	10505056	2	4	2471	2632	1	60	5	10505056	5005		1	24		1							
10501057		1	10501057	2	4	2557	2719	1	61	5	10501057	2935		1	22		2							
10502057		1	10502057	2	4	2557	2719	1	61	5	10502057	4405		1	25		2							
10503057		1	10503057	2	4	2557	2719	1	61	5	10503057	2935		1	21		1							
10504057		1	10504057	2	4	2557	2719	1	61	5	10504057	5135		1	24		2							
10505057		1	10505057	2	4	2557	2719	1	61	5	10505057	3670		1	23		0							
10501058		1	10501058	2	4	2643	2806	1	62	5	10501058	3765		1	23		1							
10502058		1	10502058	2	4	2643	2806	1	62	5	10502058	4515		1	25		0							
10503058		1	10503058	2	4	2643	2806	1	62	5	10503058	5270		1	24		0							
10504058		1	10504058	2	4	2643	2806	1	62	5	10504058	3010		1	21		0							
10505058		1	10505058	2	4	2643	2806	1	62	5	10505058	3765		1	23		1							
10501059		1	10501059	2	4	2729	2893	1	63	5	10501059	5400		1	24		1							
10502059		1	10502059	2	4	2729	2893	1	63	5	10502059	3085		1	21		2							
10503059		1	10503059	2	4	2729	2893	1	63	5	10503059	3085		1	21		2							
10504059		1	10504059	2	4	2729	2893	1	63	5	10504059	4630		1	25		1							
10505059		1	10505059	2	4	2729	2893	1	63	5	10505059	5400		1	24		0							
10501060		1	10501060	2	4	2815	2555	1	64	6	10501060	3165		1	25		2							
10502060		1	10502060	2	4	2815	2555	1	64	6	10502060	3955		1	21		0							
10503060		1	10503060	2	4	2815	2555	1	64	6	10503060	3955		1	23		1							
10504060		1	10504060	2	4	2815	2555	1	64	6	10504060	4745		1	25		0							
10505060		1	10505060	2	4	2815	2555	1	64	6	10505060	3165		1	22		0							
10501061		1	10501061	2	4	2848	2655	1	65	6	10501061	4845		1	25		2							
10502061		1	10502061	2	4	2848	2655	1	65	6	10502061	3230		1	22		1							
10503061		1	10503061	2	4	2848	2655	1	65	6	10503061	5650		1	24		0							
10504061		1	10504061	2	4	2848	2655	1	65	6	10504061	5650		1	24		2							
10505061		1	10505061	2	4	2848	2655	1	65	6	10505061	5650		1	24		1							
10501062		1	10501062	2	4	2881	2755	1	66	6	10501062	4115		1	23		0							
10502062		1	10502062	2	4	2881	2755	1	66	6	10502062	3290		1	21		0							
10503062		1	10503062	2	4	2881	2755	1	66	6	10503062	3290		1	22		0							
10504062		1	10504062	2	4	2881	2755	1	66	6	10504062	5760		1	24		0							
10505062		1	10505062	2	4	2881	2755	1	66	6	10505062	4935		1	25		0							
10501063		1	10501063	2	4	2914	2855	1	67	6	10501063	3355		1	21		1							
10502063		1	10502063	2	4	2914	2855	1	67	6	10502063	5865		1	24		2							
10503063		1	10503063	2	4	2914	2855	1	67	6	10503063	5030		1	25		2							
10504063		1	10504063	2	4	2914	2855	1	67	6	10504063	3355		1	22		1							
10505063		1	10505063	2	4	2914	2855	1	67	6	10505063	5865		1	24		0							
10501064		1	10501064	2	4	2947	2955	1	68	6	10501064	5975		1	24		1							
10502064		1	10502064	2	4	2947	2955	1	68	6	10502064	3415		1	22		0							
10503064		1	10503064	2	4	2947	2955	1	68	6	10503064	5120		1	25		2							
10504064		1	10504064	2	4	2947	2955	1	68	6	10504064	4270		1	23		2							
10505064		1	10505064	2	4	2947	2955	1	68	6	10505064	5975		1	24		2							
10501065		1	10501065	2	5	2980	3055	1	69	6	10501065	3475		1	21		1							
10502065		1	10502065	2	5	2980	3055	1	69	6	10502065	4345		1	23		0							
10503065		1	10503065	2	5	2980	3055	1	69	6	10503065	3475		1	22		1							
10504065		1	10504065	2	5	2980	3055	1	69	6	10504065	4345		1	23		0							
10505065		1	10505065	2	5	2980	3055	1	69	6	10505065	4345		1	23		0							
10501066		1	10501066	2	5	3013	3155	1	70	6	10501066	3575		1	21		0							
10502066		1	10502066	2	5	3013	3155	1	70	6	10502066	3575		1	22		2							
10503066		1	10503066	2	5	3013	3155	1	70	6	10503066	3575		1	21		0							
10504066		1	10504066	2	5	3013	3155	1	70	6	10504066	5360		1	25		1							
10505066		1	10505066	2	5	3013	3155	1	70	6	10505066	3575		1	22		0							
10501067		1	10501067	2	5	3046	3255	1	71	6	10501067	5505		1	25		0							
10502067		1	10502067	2	5	3046	3255	1	71	6	10502067	6425		1	24		2							
10503067		1	10503067	2	5	3046	3255	1	71	6	10503067	3670		1	22		0							
10504067		1	10504067	2	5	3046	3255	1	71	6	10504067	5505		1	25		2							
10505067		1	10505067	2	5	3046	3255	1	71	6	10505067	6425		1	24		1							
10501068		1	10501068	2	5	3079	3355	1	72	6	10501068	3770		1	21		1							
10502068		1	10502068	2	5	3079	3355	1	72	6	10502068	3770		1	21		2							
10503068		1	10503068	2	5	3079	3355	1	72	6	10503068	6595		1	24		1							
10504068		1	10504068	2	5	3079	3355	1	72	6	10504068	6595		1	24		0							
10505068		1	10505068	2	5	3079	3355	1	72	6	10505068	6595		1	24		0							
10501069		1	10501069	2	5	3112	3455	1	73	6	10501069	4830		1	23		2							
10502069		1	10502069	2	5	3112	3455	1	73	6	10502069	5795		1	25		2							
10503069		1	10503069	2	5	3112	3455	1	73	6	10503069	6765		1	24		0							
10504069		1	10504069	2	5	3112	3455	1	73	6	10504069	3865		1	22		2							
10505069		1	10505069	2	5	3112	3455	1	73	6	10505069	5795		1	25		0							
10501070		1	10501070	2	5	3145	3555	1	74	7	10501070	3960		1	22		0							
10502070		1	10502070	2	5	3145	3555	1	74	7	10502070	5945		1	25		2							
10503070		1	10503070	2	5	3145	3555	1	74	7	10503070	6935		1	24		0							
10504070		1	10504070	2	5	3145	3555	1	74	7	10504070	6935		1	24		0							
10505070		1	10505070	2	5	3145	3555	1	74	7	10505070	3960		1	21		0							
