怪物君主id	名字	icon，配置 icon.txt 中的id	1男0女	等级	武将id，关联monster/captain.txt的id						城墙属性，配置属性.txt 中的id，如果没有城墙，可以不配置	城墙固定伤害，如果没有城墙，可以不配置			怪物攻城奖励，奖励给攻城目标	怪物击杀奖励，奖励给击杀者																
10500048	48层守将	junzhu10	1	47	10501048	10502048	10503048	10504048	10505048																							
10500049	49层守将	junzhu3	1	48	10501049	10502049	10503049	10504049	10505049																							
10500050	50层守将	junzhu5	1	49	10501050	10502050	10503050	10504050	10505050																							
10500051	51层守将	junzhu10	1	50	10501051	10502051	10503051	10504051	10505051																							
10500052	52层守将	junzhu9	1	51	10501052	10502052	10503052	10504052	10505052																							
10500053	53层守将	junzhu9	1	52	10501053	10502053	10503053	10504053	10505053																							
10500054	54层守将	junzhu8	1	53	10501054	10502054	10503054	10504054	10505054																							
10500055	55层守将	junzhu10	1	54	10501055	10502055	10503055	10504055	10505055																							
10500056	56层守将	junzhu7	1	55	10501056	10502056	10503056	10504056	10505056																							
10500057	57层守将	junzhu5	1	56	10501057	10502057	10503057	10504057	10505057																							
10500058	58层守将	junzhu4	1	57	10501058	10502058	10503058	10504058	10505058																							
10500059	59层守将	junzhu7	1	58	10501059	10502059	10503059	10504059	10505059																							
10500060	60层守将	junzhu1	1	59	10501060	10502060	10503060	10504060	10505060																							
10500061	61层守将	junzhu1	1	60	10501061	10502061	10503061	10504061	10505061																							
10500062	62层守将	junzhu6	1	61	10501062	10502062	10503062	10504062	10505062																							
10500063	63层守将	junzhu9	1	62	10501063	10502063	10503063	10504063	10505063																							
10500064	64层守将	junzhu3	1	63	10501064	10502064	10503064	10504064	10505064																							
10500065	65层守将	junzhu7	1	64	10501065	10502065	10503065	10504065	10505065																							
10500066	66层守将	junzhu1	1	65	10501066	10502066	10503066	10504066	10505066																							
10500067	67层守将	junzhu6	1	66	10501067	10502067	10503067	10504067	10505067																							
10500068	68层守将	junzhu6	1	67	10501068	10502068	10503068	10504068	10505068																							
10500069	69层守将	junzhu4	1	68	10501069	10502069	10503069	10504069	10505069																							
10500070	70层守将	junzhu1	1	69	10501070	10502070	10503070	10504070	10505070																							
10500071	71层守将	junzhu3	1	70	10501071	10502071	10503071	10504071	10505071																							
10500072	72层守将	junzhu10	1	71	10501072	10502072	10503072	10504072	10505072																							
10500073	73层守将	junzhu7	1	72	10501073	10502073	10503073	10504073	10505073																							
10500074	74层守将	junzhu7	1	73	10501074	10502074	10503074	10504074	10505074																							
10500075	75层守将	junzhu2	1	74	10501075	10502075	10503075	10504075	10505075																							
10500076	76层守将	junzhu7	1	75	10501076	10502076	10503076	10504076	10505076																							
10500077	77层守将	junzhu2	1	76	10501077	10502077	10503077	10504077	10505077																							
10500078	78层守将	junzhu2	1	77	10501078	10502078	10503078	10504078	10505078																							
10500079	79层守将	junzhu6	1	78	10501079	10502079	10503079	10504079	10505079																							
10500080	80层守将	junzhu4	1	79	10501080	10502080	10503080	10504080	10505080																							
10500081	81层守将	junzhu7	1	80	10501081	10502081	10503081	10504081	10505081																							
10500082	82层守将	junzhu10	1	81	10501082	10502082	10503082	10504082	10505082																							
10500083	83层守将	junzhu4	1	82	10501083	10502083	10503083	10504083	10505083																							
10500084	84层守将	junzhu6	1	83	10501084	10502084	10503084	10504084	10505084																							
10500085	85层守将	junzhu2	1	84	10501085	10502085	10503085	10504085	10505085																							
10500086	86层守将	junzhu2	1	85	10501086	10502086	10503086	10504086	10505086																							
10500087	87层守将	junzhu4	1	86	10501087	10502087	10503087	10504087	10505087																							
10500088	88层守将	junzhu3	1	87	10501088	10502088	10503088	10504088	10505088																							
10500089	89层守将	junzhu1	1	88	10501089	10502089	10503089	10504089	10505089																							
10500090	90层守将	junzhu3	1	89	10501090	10502090	10503090	10504090	10505090																							
10500091	91层守将	junzhu1	1	90	10501091	10502091	10503091	10504091	10505091																							
10500092	92层守将	junzhu9	1	91	10501092	10502092	10503092	10504092	10505092																							
10500093	93层守将	junzhu2	1	92	10501093	10502093	10503093	10504093	10505093																							
10500094	94层守将	junzhu10	1	93	10501094	10502094	10503094	10504094	10505094																							
10500095	95层守将	junzhu4	1	94	10501095	10502095	10503095	10504095	10505095																							
10500096	96层守将	junzhu10	1	95	10501096	10502096	10503096	10504096	10505096																							
10500097	97层守将	junzhu8	1	96	10501097	10502097	10503097	10504097	10505097																							
10500098	98层守将	junzhu5	1	97	10501098	10502098	10503098	10504098	10505098																							
10500099	99层守将	junzhu10	1	98	10501099	10502099	10503099	10504099	10505099																							
10500100	100层守将	junzhu10	1	99	10501100	10502100	10503100	10504100	10505100																							
																																
1120110	我	junzhu30	1	1	1120311	1120312	1120313	1120314	1120315		1120110	100																				
1120120	匈奴先锋	junzhu31	1	100	1120321	1120322	1120323	1120324	1120325																							
1120210	我	junzhu30	1	1	1120211	1120212																										
1120220	匈奴先锋	junzhu31	1	1	1120221	1120222					1120220	1																				
1120310	我	junzhu30	1	1	1120311	1120312	1120313	1120314	1120315																							
1120320	匈奴先锋	junzhu31	1	1	1120321	1120322	1120323	1120324	1120325		1120320	100																				
																																
9000101	秦国军队	junzhu1	1	1	9010101	9020101	9030101	9040101																								
9000102	易水秦军	junzhu7	1	1	9010102	9020102	9030102	9040102	9050102																							
9000103	秦国军队	junzhu1	1	2	9010103	9020103	9030103	9040103																								
9000104	山贼	junzhu3	1	2	9010104	9020104	9030104	9040104																								
9000105	秦国伏兵	junzhu1	1	3	9010105	9020105	9030105	9040105	9050105																							
9000106	秦国禁卫	junzhu5	1	3	9010106	9020106	9030106	9040106			9000104	5																				
9000201	越国士兵	junzhu7	1	5	9010201	9020201	9030201	9040201	9050201																							
9000202	越国士兵	junzhu3	1	6	9010202	9020202	9030202	9040202	9050202																							
9000203	越王卫队	junzhu7	1	6	9010203	9020203	9030203	9040203	9050203																							
9000204	王宫守卫	junzhu10	1	7	9010204	9020204	9030204	9040204	9050204																							
9000205	王宫守卫	junzhu4	1	7	9010205	9020205	9030205	9040205	9050205																							
9000206	越王卫队	junzhu1	1	8	9010206	9020206	9030206	9040206	9050206																							
9000207	送亲队伍	junzhu3	1	8	9010207	9020207	9030207	9040207	9050207																							
9000208	越国士兵	junzhu2	1	9	9010208	9020208	9030208	9040208	9050208																							
9000209	越王卫队	junzhu6	1	9	9010209	9020209	9030209	9040209	9050209		9000104	10																				
9000301	演习军队	junzhu6	1	20	9010301	9020301	9030301	9040301	9050301																							
9000302	秦国军队	junzhu3	1	20	9010302	9020302	9030302	9040302	9050302																							
9000303	秦国军队	junzhu2	1	21	9010303	9020303	9030303	9040303	9050303																							
9000304	演习军队	junzhu2	1	21	9010304	9020304	9030304	9040304	9050304																							
9000305	地牢守卫	junzhu8	1	22	9010305	9020305	9030305	9040305	9050305																							
9000306	赵国军队	junzhu5	1	22	9010306	9020306	9030306	9040306	9050306																							
9000307	魏国军队	junzhu6	1	23	9010307	9020307	9030307	9040307	9050307																							
9000308	魏国军队	junzhu4	1	23	9010308	9020308	9030308	9040308	9050308																							
9000309	魏国军队	junzhu8	1	24	9010309	9020309	9030309	9040309	9050309		9000104	20																				
9000401	魏国追兵	junzhu2	1	24	9010401	9020401	9030401	9040401	9050401																							
9000402	魏国追兵	junzhu6	1	25	9010402	9020402	9030402	9040402	9050402																							
9000403	市集流氓	junzhu5	1	25	9010403	9020403	9030403	9040403	9050403																							
9000404	流氓头子	junzhu8	1	26	9010404	9020404	9030404	9040404	9050404																							
9000405	贵族卫队	junzhu9	1	26	9010405	9020405	9030405	9040405	9050405																							
9000406	旧贵族	junzhu4	1	27	9010406	9020406	9030406	9040406	9050406																							
9000407	太子卫队	junzhu8	1	27	9010407	9020407	9030407	9040407	9050407																							
9000408	太子卫队长	junzhu3	1	28	9010408	9020408	9030408	9040408	9050408																							
9000409	魏国大将	junzhu2	1	28	9010409	9020409	9030409	9040409	9050409		9000104	30																				
9000501	乡间流氓	junzhu7	1	29	9010501	9020501	9030501	9040501	9050501																							
9000502	御前守卫	junzhu3	1	29	9010502	9020502	9030502	9040502	9050502																							
9000503	边境守卫	junzhu10	1	30	9010503	9020503	9030503	9040503	9050503																							
9000504	魏国守军	junzhu9	1	30	9010504	9020504	9030504	9040504	9050504																							
9000505	齐国守军	junzhu10	1	31	9010505	9020505	9030505	9040505	9050505																							
9000506	齐国军队	junzhu3	1	31	9010506	9020506	9030506	9040506	9050506																							
9000507	秦国军队	junzhu7	1	32	9010507	9020507	9030507	9040507	9050507																							
9000508	秦国军队	junzhu1	1	32	9010508	9020508	9030508	9040508	9050508																							
9000509	秦国主力	junzhu5	1	33	9010509	9020509	9030509	9040509	9050509		9000104	40																				
9000601	蛮横贵族	junzhu4	1	33	9010601	9020601	9030601	9040601	9050601																							
9000602	抢亲贵族	junzhu5	1	34	9010602	9020602	9030602	9040602	9050602																							
9000603	陈国将军	junzhu7	1	34	9010603	9020603	9030603	9040603	9050603																							
9000604	陈国贵族	junzhu8	1	35	9010604	9020604	9030604	9040604	9050604																							
9000605	国王卫队	junzhu3	1	35	9010605	9020605	9030605	9040605	9050605																							
9000606	陈国军队	junzhu10	1	36	9010606	9020606	9030606	9040606	9050606																							
9000607	陈国贵族	junzhu3	1	36	9010607	9020607	9030607	9040607	9050607																							
9000608	陈国将军	junzhu5	1	37	9010608	9020608	9030608	9040608	9050608																							
9000609	晋国军队	庞涓	1	37	9010609	9020609	9030609	9040609	9050609		9000104	50																				
9000701	秦国军队	junzhu7	1	38	9010701	9020701	9030701	9040701	9050701																							
9000702	匈奴士兵	junzhu1	1	38	9010702	9020702	9030702	9040702	9050702																							
9000703	秦营守军	junzhu3	1	39	9010703	9020703	9030703	9040703	9050703																							
9000704	秦军主力	junzhu1	1	39	9010704	9020704	9030704	9040704	9050704																							
9000705	秦国边军	junzhu5	1	40	9010705	9020705	9030705	9040705	9050705																							
9000706	秦国守军	junzhu7	1	40	9010706	9020706	9030706	9040706	9050706																							
9000707	王翦先锋	王翦	1	41	9010707	9020707	9030707	9040707	9050707																							
9000708	王翦主力	王翦	1	41	9010708	9020708	9030708	9040708	9050708																							
9000709	赵国伏兵	junzhu10	1	42	9010709	9020709	9030709	9040709	9050709		9000104	60																				
9000801	中山国先锋	junzhu4	1	42	9010801	9020801	9030801	9040801	9050801																							
9000802	中山国大将	junzhu1	1	43	9010802	9020802	9030802	9040802	9050802																							
9000803	中山国追兵	junzhu3	1	43	9010803	9020803	9030803	9040803	9050803																							
9000804	守城将领	junzhu2	1	44	9010804	9020804	9030804	9040804	9050804																							
9000805	流寇	junzhu6	1	44	9010805	9020805	9030805	9040805	9050805																							
9000806	流寇	junzhu6	1	45	9010806	9020806	9030806	9040806	9050806																							
9000807	流寇	junzhu3	1	45	9010807	9020807	9030807	9040807	9050807																							
9000808	邺城乡官	junzhu2	1	46	9010808	9020808	9030808	9040808	9050808																							
9000809	邺城乡官	junzhu2	1	46	9010809	9020809	9030809	9040809	9050809		9000104	70																				
9000901	乡间流氓	junzhu8	1	47	9010901	9020901	9030901	9040901	9050901																							
9000902	齐国先锋	junzhu5	1	47	9010902	9020902	9030902	9040902	9050902																							
9000903	鲁国追兵	junzhu6	1	48	9010903	9020903	9030903	9040903	9050903																							
9000904	魏国精锐	junzhu4	1	48	9010904	9020904	9030904	9040904	9050904																							
9000905	精锐队长	junzhu8	1	49	9010905	9020905	9030905	9040905	9050905																							
9000906	秦国将领	junzhu2	1	49	9010906	9020906	9030906	9040906	9050906																							
9000907	秦国将领	junzhu6	1	50	9010907	9020907	9030907	9040907	9050907																							
9000908	秦国将领	junzhu5	1	50	9010908	9020908	9030908	9040908	9050908																							
9000909	秦国将领	junzhu8	1	51	9010909	9020909	9030909	9040909	9050909		9000104	80																				
9001001	秦国军队	junzhu9	1	51	9011001	9021001	9031001	9041001	9051001																							
9001002	守关军士	junzhu4	1	52	9011002	9021002	9031002	9041002	9051002																							
9001003	门客	junzhu8	1	52	9011003	9021003	9031003	9041003	9051003																							
9001004	大营守军	junzhu3	1	53	9011004	9021004	9031004	9041004	9051004																							
9001005	秦国守军	junzhu2	1	53	9011005	9021005	9031005	9041005	9051005																							
9001006	秦国军队	junzhu7	1	54	9011006	9021006	9031006	9041006	9051006																							
9001007	秦国军队	junzhu3	1	54	9011007	9021007	9031007	9041007	9051007																							
9001008	秦国军队	junzhu10	1	55	9011008	9021008	9031008	9041008	9051008																							
9001009	秦国军队	junzhu9	1	55	9011009	9021009	9031009	9041009	9051009		9000104	90																				
																																
11800001	暴民	junzhu3	1	5	11801001	11802001	11803001																									
11800002	暴民	junzhu7	1	10	11801002	11802002	11803002	11804002	11805002																							
11800003	匈奴残兵	junzhu1	1	5	11801003	11802003																										
11800004	匈奴先锋	junzhu5	1	10	11801004	11802004	11803004	11804004	11805004																							
																																
11701001	10级流寇	junzhu13	1	10	11701101	11701201	11701301	11701401	11701501																							
11701002	20级流寇	junzhu11	1	20	11701102	11701202	11701302	11701402	11701502																							
11701003	30级流寇	junzhu15	1	30	11701103	11701203	11701303	11701403	11701503																							
11701004	40级流寇	junzhu12	1	40	11701104	11701204	11701304	11701404	11701504																							
11701005	50级流寇	junzhu15	1	50	11701105	11701205	11701305	11701405	11701505																							
11701006	60级流寇	junzhu12	1	60	11701106	11701206	11701306	11701406	11701506																							
11701007	70级流寇	junzhu12	1	70	11701107	11701207	11701307	11701407	11701507																							
11701008	80级流寇	junzhu11	1	80	11701108	11701208	11701308	11701408	11701508																							
11701009	90级流寇	junzhu12	1	90	11701109	11701209	11701309	11701409	11701509																							
11701010	100级流寇	junzhu13	1	100	11701110	11701210	11701310	11701410	11701510																							
11701011	110级流寇	junzhu13	1	110	11701111	11701211	11701311	11701411	11701511																							
11701012	120级流寇	junzhu12	1	120	11701112	11701212	11701312	11701412	11701512																							
11702001	10级叛军	junzhu13	1	10	11702101	11702201	11702301	11702401	11702501																							
11702002	20级叛军	junzhu11	1	20	11702102	11702202	11702302	11702402	11702502																							
11702003	30级叛军	junzhu15	1	30	11702103	11702203	11702303	11702403	11702503																							
11702004	40级叛军	junzhu12	1	40	11702104	11702204	11702304	11702404	11702504																							
11702005	50级叛军	junzhu15	1	50	11702105	11702205	11702305	11702405	11702505																							
11702006	60级叛军	junzhu12	1	60	11702106	11702206	11702306	11702406	11702506																							
11702007	70级叛军	junzhu12	1	70	11702107	11702207	11702307	11702407	11702507																							
11702008	80级叛军	junzhu11	1	80	11702108	11702208	11702308	11702408	11702508																							
11702009	90级叛军	junzhu12	1	90	11702109	11702209	11702309	11702409	11702509																							
11702010	100级叛军	junzhu13	1	100	11702110	11702210	11702310	11702410	11702510																							
11702011	110级叛军	junzhu13	1	110	11702111	11702211	11702311	11702411	11702511																							
11702012	120级叛军	junzhu12	1	120	11702112	11702212	11702312	11702412	11702512																							
11703001	10级戍卒	junzhu13	1	10	11703101	11703201	11703301	11703401	11703501																							
11703002	20级戍卒	junzhu15	1	20	11703102	11703202	11703302	11703402	11703502																							
11703003	30级戍卒	junzhu14	1	30	11703103	11703203	11703303	11703403	11703503																							
11703004	40级戍卒	junzhu14	1	40	11703104	11703204	11703304	11703404	11703504																							
11703005	50级戍卒	junzhu14	1	50	11703105	11703205	11703305	11703405	11703505																							
11703006	60级戍卒	junzhu15	1	60	11703106	11703206	11703306	11703406	11703506																							
11703007	70级戍卒	junzhu14	1	70	11703107	11703207	11703307	11703407	11703507																							
11703008	80级戍卒	junzhu11	1	80	11703108	11703208	11703308	11703408	11703508																							
11703009	90级戍卒	junzhu12	1	90	11703109	11703209	11703309	11703409	11703509																							
11703010	100级戍卒	junzhu14	1	100	11703110	11703210	11703310	11703410	11703510																							
11703011	110级戍卒	junzhu14	1	110	11703111	11703211	11703311	11703411	11703511																							
11703012	120级戍卒	junzhu12	1	120	11703112	11703212	11703312	11703412	11703512																							
11704001	10级蛮族	junzhu15	1	10	11704101	11704201	11704301	11704401	11704501																							
11704002	20级蛮族	junzhu12	1	20	11704102	11704202	11704302	11704402	11704502																							
11704003	30级蛮族	junzhu11	1	30	11704103	11704203	11704303	11704403	11704503																							
11704004	40级蛮族	junzhu13	1	40	11704104	11704204	11704304	11704404	11704504																							
11704005	50级蛮族	junzhu12	1	50	11704105	11704205	11704305	11704405	11704505																							
11704006	60级蛮族	junzhu12	1	60	11704106	11704206	11704306	11704406	11704506																							
11704007	70级蛮族	junzhu11	1	70	11704107	11704207	11704307	11704407	11704507																							
11704008	80级蛮族	junzhu14	1	80	11704108	11704208	11704308	11704408	11704508																							
11704009	90级蛮族	junzhu12	1	90	11704109	11704209	11704309	11704409	11704509																							
11704010	100级蛮族	junzhu14	1	100	11704110	11704210	11704310	11704410	11704510																							
11704011	110级蛮族	junzhu12	1	110	11704111	11704211	11704311	11704411	11704511																							
11704012	120级蛮族	junzhu15	1	120	11704112	11704212	11704312	11704412	11704512																							
11705001	1级流寇	junzhu13	1	10	11705101	11705201	11705301	11705401	11705501						11705001																	
11705002	2级流寇反击军	junzhu13	1	15	11705102	11705202	11705302	11705402	11705502						11705002																	
11705003	3级流寇反击军	junzhu12	1	20	11705103	11705203	11705303	11705403	11705503						11705003																	
11705004	4级流寇反击军	junzhu11	1	25	11705104	11705204	11705304	11705404	11705504						11705004																	
11705005	5级流寇反击军	junzhu15	1	30	11705105	11705205	11705305	11705405	11705505						11705005																	
11705006	6级流寇反击军	junzhu11	1	35	11705106	11705206	11705306	11705406	11705506						11705006																	
11705007	7级流寇反击军	junzhu12	1	40	11705107	11705207	11705307	11705407	11705507						11705007																	
11705008	8级流寇反击军	junzhu15	1	45	11705108	11705208	11705308	11705408	11705508						11705008																	
11705009	9级流寇反击军	junzhu13	1	50	11705109	11705209	11705309	11705409	11705509						11705009																	
11705010	10级流寇反击军	junzhu14	1	55	11705110	11705210	11705310	11705410	11705510						11705010																	
11705011	11级流寇反击军	junzhu14	1	60	11705111	11705211	11705311	11705411	11705511						11705011																	
11705012	12级流寇反击军	junzhu14	1	65	11705112	11705212	11705312	11705412	11705512						11705012																	
11706001	1级叛军反击军	junzhu12	1	10	11706101	11706201	11706301	11706401	11706501						11706001																	
11706002	2级叛军反击军	junzhu15	1	15	11706102	11706202	11706302	11706402	11706502						11706002																	
11706003	3级叛军反击军	junzhu11	1	20	11706103	11706203	11706303	11706403	11706503						11706003																	
11706004	4级叛军反击军	junzhu11	1	25	11706104	11706204	11706304	11706404	11706504						11706004																	
11706005	5级叛军反击军	junzhu14	1	30	11706105	11706205	11706305	11706405	11706505						11706005																	
11706006	6级叛军反击军	junzhu14	1	35	11706106	11706206	11706306	11706406	11706506						11706006																	
11706007	7级叛军反击军	junzhu11	1	40	11706107	11706207	11706307	11706407	11706507						11706007																	
11706008	8级叛军反击军	junzhu11	1	45	11706108	11706208	11706308	11706408	11706508						11706008																	
11706009	9级叛军反击军	junzhu13	1	50	11706109	11706209	11706309	11706409	11706509						11706009																	
11706010	10级叛军反击军	junzhu14	1	55	11706110	11706210	11706310	11706410	11706510						11706010																	
11706011	11级叛军反击军	junzhu11	1	60	11706111	11706211	11706311	11706411	11706511						11706011																	
11706012	12级叛军反击军	junzhu11	1	65	11706112	11706212	11706312	11706412	11706512						11706012																	
11707001	1级戍卒反击军	junzhu11	1	10	11707101	11707201	11707301	11707401	11707501						11707001																	
11707002	2级戍卒反击军	junzhu13	1	15	11707102	11707202	11707302	11707402	11707502						11707002																	
11707003	3级戍卒反击军	junzhu11	1	20	11707103	11707203	11707303	11707403	11707503						11707003																	
11707004	4级戍卒反击军	junzhu11	1	25	11707104	11707204	11707304	11707404	11707504						11707004																	
11707005	5级戍卒反击军	junzhu11	1	30	11707105	11707205	11707305	11707405	11707505						11707005																	
11707006	6级戍卒反击军	junzhu15	1	35	11707106	11707206	11707306	11707406	11707506						11707006																	
11707007	7级戍卒反击军	junzhu13	1	40	11707107	11707207	11707307	11707407	11707507						11707007																	
11707008	8级戍卒反击军	junzhu13	1	45	11707108	11707208	11707308	11707408	11707508						11707008																	
11707009	9级戍卒反击军	junzhu11	1	50	11707109	11707209	11707309	11707409	11707509						11707009																	
11707010	10级戍卒反击军	junzhu13	1	55	11707110	11707210	11707310	11707410	11707510						11707010																	
11707011	11级戍卒反击军	junzhu11	1	60	11707111	11707211	11707311	11707411	11707511						11707011																	
11707012	12级戍卒反击军	junzhu13	1	65	11707112	11707212	11707312	11707412	11707512						11707012																	
11708001	1级蛮族反击军	junzhu11	1	10	11708101	11708201	11708301	11708401	11708501						11708001																	
11708002	2级蛮族反击军	junzhu14	1	15	11708102	11708202	11708302	11708402	11708502						11708002																	
11708003	3级蛮族反击军	junzhu11	1	20	11708103	11708203	11708303	11708403	11708503						11708003																	
11708004	4级蛮族反击军	junzhu14	1	25	11708104	11708204	11708304	11708404	11708504						11708004																	
11708005	5级蛮族反击军	junzhu11	1	30	11708105	11708205	11708305	11708405	11708505						11708005																	
11708006	6级蛮族反击军	junzhu13	1	35	11708106	11708206	11708306	11708406	11708506						11708006																	
11708007	7级蛮族反击军	junzhu15	1	40	11708107	11708207	11708307	11708407	11708507						11708007																	
11708008	8级蛮族反击军	junzhu14	1	45	11708108	11708208	11708308	11708408	11708508						11708008																	
11708009	9级蛮族反击军	junzhu13	1	50	11708109	11708209	11708309	11708409	11708509						11708009																	
11708010	10级蛮族反击军	junzhu14	1	55	11708110	11708210	11708310	11708410	11708510						11708010																	
11708011	11级蛮族反击军	junzhu15	1	60	11708111	11708211	11708311	11708411	11708511						11708011																	
11708012	12级蛮族反击军	junzhu12	1	65	11708112	11708212	11708312	11708412	11708512						11708012																	
																																
11709001	野外势力反击军	junzhu13	1	10	11705101	11705201	11705301	11705401	11705501																							
11709002	野外势力反击军	junzhu12	1	10	11705102	11705202	11705302	11705402	11705502																							
																																
10801001	山东盟主	韩非	1	30	10501001	10502001	10503001	10504001	10505001																							
10801002	孔夫子弟子	伍子胥	1	30	10501002	10502002	10503002	10504002	10505002																							
10801003	孟子弟子	田忌	1	30	10501003	10502003	10503003	10504003	10505003																							
10801004	大明湖雨荷	东施	0	30	10501004	10502004	10503004	10504004	10505004																							
10802001	上海盟主	韩非	1	30	10501005	10502005	10503005	10504005	10505005																							
10802002	上海滩大佬	商鞅	1	30	10501006	10502006	10503006	10504006	10505006																							
10802003	浦西丈母娘	夏姬	0	30	10501007	10502007	10503007	10504007	10505007																							
10802004	百乐门舞女	东施	0	30	10501008	10502008	10503008	10504008	10505008																							
10803001	江苏盟主	蒙恬	1	30	10501013	10502013	10503013	10504013	10505013																							
10803002	莫愁湖少女	东施	0	30	10501014	10502014	10503014	10504014	10505014																							
10803003	秦淮歌女	西施	0	30	10501015	10502015	10503015	10504015	10505015																							
10803004	姑苏慕容	春申君	1	30	10501016	10502016	10503016	10504016	10505016																							
10804001	浙江盟主	平原君	1	30	10501017	10502017	10503017	10504017	10505017																							
10804002	湖畔西子	西施	0	30	10501018	10502018	10503018	10504018	10505018																							
10804003	行者武松	廉颇	1	30	10501019	10502019	10503019	10504019	10505019																							
10804004	白娘子	东施	0	30	10501020	10502020	10503020	10504020	10505020																							
10805001	广东盟主	西门豹	1	30	10501023	10502023	10503023	10504023	10505023																							
10805002	香山国父	春申君	1	30	10501024	10502024	10503024	10504024	10505024																							
10805003	维新党	张仪	1	30	10501025	10502025	10503025	10504025	10505025																							
10805004	天国天父	王翦	1	30	10501026	10502026	10503026	10504026	10505026																							
