千机楼楼层	首通奖励	展示奖励	千机楼宝箱奖励	掉落	怪物君主id，关联怪物君主表monster/master.txt	重点楼层，填1	描述	战斗场景，配置 scene/scene.txt 中的id
84	84	20084		84	10500084	1	第84层侍卫就是你面前的一堵墙。	Battle_Field_1
85	85	20085	30006	85	10500085	1	第85层侍卫就是你面前的一堵墙。	Battle_Field_1
86	86	20086		86	10500086	1	第86层侍卫就是你面前的一堵墙。	Battle_Field_1
87	87	20087		87	10500087	1	第87层侍卫就是你面前的一堵墙。	Battle_Field_1
88	88	20088		88	10500088	1	第88层侍卫就是你面前的一堵墙。	Battle_Field_1
89	89	20089		89	10500089	1	第89层侍卫就是你面前的一堵墙。	Battle_Field_1
90	90	20090	30006	90	10500090	1	到此为止了，我不能放你过去！	Battle_Field_1
91	91	20091		91	10500091	1	死亡或荣耀，第91层守卫前只有一个！	Battle_Field_1
92	92	20092		92	10500092	1	死亡或荣耀，第92层守卫前只有一个！	Battle_Field_1
93	93	20093		93	10500093	1	死亡或荣耀，第93层守卫前只有一个！	Battle_Field_1
94	94	20094		94	10500094	1	死亡或荣耀，第94层守卫前只有一个！	Battle_Field_1
95	95	20095	30006	95	10500095	1	死亡或荣耀，第95层守卫前只有一个！	Battle_Field_1
96	96	20096		96	10500096	1	死亡或荣耀，第96层守卫前只有一个！	Battle_Field_1
97	97	20097		97	10500097	1	死亡或荣耀，第97层守卫前只有一个！	Battle_Field_1
98	98	20098		98	10500098	1	死亡或荣耀，第98层守卫前只有一个！	Battle_Field_1
99	99	20099		99	10500099	1	死亡或荣耀，第99层守卫前只有一个！	Battle_Field_1
100	100	20100	30005	100	10500100	1	神装只应天上有，顶层由我守护！	Battle_Field_1
