id	姓氏	描述	推荐国家	
29	金	相传少昊是上古五帝之一，死后被尊为西方大帝，西方属金，少昊又有金天氏的称号。他的后裔就有以金为姓的，称金氏。	6	
30	魏	出自姬姓，为周文王裔孙毕万之后，毕万封于魏，以国名为氏。	1	5
31	陶	尧担任部落首领之前，以制作陶器为业，其后子孙有以其职业技艺命氏，称陶姓。	2	6
32	谢	厉王时娶申伯之女为妃，宣王继位后，封母舅申伯于谢国，其子孙按照当时的习惯，以新都之邑名为氏，称谢氏。	2	
33	苏	出自己姓，为周代昆吾之后，以封国名为氏。	6	
34	潘	出自芈姓，为春秋时楚国公族潘崇之后，以祖名为氏。	2	
35	葛	夏时，黄帝之支庶封于葛，后世子孙以国为氏。	5	6
36	范	尧的后世子孙，称唐杜氏。入周后封于杜，后被周宣王所灭，杜伯之子逃到晋国，被任为士师，以官名为姓。	5	
37	彭	陆终第三子姓篯名铿，受封于彭地，称为彭祖，其子孙以国为姓，称为彭氏。	1	2
38	鲁	战国时，鲁国被楚国灭亡。子孙迁居下邑，遂以国名为姓，称为鲁氏，	1	
39	马	战国时赵国大将赵奢号为马服君，赵奢的子孙后便以马服为姓，后改为单姓马。	5	
40	方	神农十一世雷，黄帝时因功封于方山称方雷氏，子孙以地为氏，遂姓方。	2	6
41	俞	黄帝时有名医跗，医术高超，俞音似痊愈之愈，其后人为光大医术，以物事为姓，称为俞氏。	6	7
42	任	由远古妊姓衍传。与女性妊娠有关，可认为是母系氏族社会产生的古姓之一。	1	4
43	袁	轩辕氏初都有熊之墟，所居之地，有以辕为名之邑，后称为袁邑。其后裔以邑为氏，世代相传姓袁。	6	
44	柳	春秋时鲁国有人名叫展禽，即柳下惠，他受封于柳下，其子孙便以封地为姓。	1	
45	鲍	夏禹后裔孙敬叔仕齐，食采于鲍邑，其子叔牙以邑名为氏，称为鲍姓。	1	
46	唐	尧又称唐尧，后裔被封在杜国，称唐杜氏。唐杜氏的后裔以国为氏的，故称唐氏。	4	5
47	费	大禹治水时，有个大臣叫伯益，帮助大禹治水有功，受封于大费，他的后代以费为姓。	2	
48	薛	为黄帝之子禺阳第十二世孙奚仲之后，以国名为氏。	1	
49	雷	炎帝神农氏的九世孙方雷之后，以国名为氏。	6	7
50	庆	齐桓公之孙名庆克，庆克的儿子名封，以父亲的名为姓氏，叫庆封，于是便有了庆氏。	1	
51	贺	出自庆姓，为避汉安帝的父亲刘庆的名讳，庆字改为同义的贺字，遂有此姓。	2	6
52	罗	祝融的子孙周朝时被封在宜城，称为罗国。罗国被楚国所灭，祝融的子孙遂以国名罗为氏。	2	
53	毕	周文王将自己的第十五子姬高封于毕，人称毕公高。其子孙就以封国为姓，世代相传至今。	2	
54	郝	说伏羲氏的佐臣名叫郝骨氏，他的后人被商帝乙封在太原郝乡，后代就以封地名为氏。	5	
55	于	周武王将第二子封到于邘，称于邘叔，于邘叔的子孙遂以封邑为姓。	6	
56	萧	舜时伯益负责掌火，其中子被分封至萧地，建立萧国，以国为氏。	1	
57	宋	周武王封商朝王子微子启于宋，传国三十六世，后为齐所灭，子孙遂以国为氏。	1	6
58	杜	黄帝时期的宰人，名叫杜康，负责掌管膳食，据说乃杜姓始祖。	5	6
59	江	出自嬴姓，传说是大禹的贤臣伯益的后代。	2	6
60	林	比干被纣王挖心，他的夫人逃到长林，生下一个儿子。周武王灭商后，赐其林姓。	4	5
61	徐	伯益曾助大禹治水有功，虞舜封其子于徐国，子孙以国为氏。	2	
62	高	齐文公次子受封于高邑，称公子高。依照周朝贵族礼仪，其孙傒取祖先名为氏，为高傒。	1	
63	夏	周朝分封夏禹的后裔于杞，后被楚国所灭，迁至鲁国，被鲁悼公封为夏侯，其后裔以夏为姓，称夏氏	1	
64	蔡	周武王将弟弟叔度封于蔡，武王死后，管蔡作乱，蔡叔遭放逐，其子与人为善，复封于蔡，其子孙以国为姓。	2	6
65	田	桓公封妫完于田地，其后子孙以地为氏，称田姓。而妫完的后代，	1	
66	胡	胡公满是虞舜的第三十三代孙，周武王的东床快婿，被封为陈侯。春秋末被楚国所灭，部分后人以胡为氏。	2	
67	霍	周武王的弟弟叔处，封于霍，建立了山西霍国，人称霍叔，后代遂以霍为姓氏。	5	
68	卢	傒公是吕尚十一世孙，任齐国正卿，受封于卢，其子孙遂以卢为姓。	1	
69	房	尧的儿子被封于丹水，舜继位后，改封于房，为房邑侯，后代遂为房姓。	6	
70	丁	姜太公之子伋，谥号为齐丁公，子孙以其谥号为氏，称为丁姓。	1	
71	邓	夏朝时帝仲康有子孙封在邓国，邓君的后世子孙就以国为氏，称邓氏。	6	7
72	崔	西周时齐国丁公伋的长子曾食采于崔邑，子孙以邑为氏，是为崔姓之始。	1	
73	程	重黎是五帝时期的人物，他的后裔伯符，在西周前期被封在程地，后代遂以程为姓。	5	
74	陆	吴回在帝尧时任火神祝融，他的儿子名终。因为在陆乡一带，所以叫陆终。他的后世有的就以陆为姓，称陆氏。	1	2
75	魏	周文王裔孙毕万投奔到晋国，赐魏地为邑，其后子孙以邑为氏，称为魏氏，三家分晋后建立魏国。	1	
76	宁	周朝时，卫国有位公族叫卫成公，其子封于河南宁邑，子孙便以封地名为姓，称宁氏	6	
77	刘	相传帝尧姓伊祁，他的子孙有一支以祁为姓，被封在河北刘国，后代称刘氏。	4	5
78	姜	炎帝即神农氏，因生于岐山附近的姜水，故以姜为氏。	5	3
79	叶	颛顼后人沈诸梁为楚国重臣，封在叶地，又称叶公。他是成语叶公好龙的主角，后代以叶为姓。	2	
80	白	楚平王时太子建被杀，其子逃到吴国，后被召回封于白邑，子孙遂称白氏。	2	
81	党	出自姒姓，是禹王的后裔，为夏王朝的后裔。	3	5
82	庄	楚王芈旅死后，谥号为庄，即楚庄王。庄王支庶子孙以祖上谥号为姓，成为庄氏。	2	
83	包	传说太昊创制八卦，教民捕鱼、畜牧，以充庖厨，其后代将庖简化，遂以包为姓。	2	
84	古	的记载，周代有大夫受封于苦城，其后人以讹音古成为氏，以后去成单姓古，称古氏。	6	7
85	慕	黄帝有个后代叫封，建立鲜卑国，取姓慕容，他的部分后人简化姓氏，遂为慕姓。	4	5
86	温	周武王封他的儿子叔虞于唐，号唐叔虞。唐叔虞的后代被封于河内温，后代遂以封地为姓。	5	6
87	晏	来源于上古尧时期的大臣晏龙。据说晏龙是尧时掌管音乐的大臣，为历史上最早的晏姓人物。	1	
88	燕	周武王灭商后，封召公奭于燕，后燕国未秦所灭，燕国公族子孙遂以原国名为姓，称燕姓。	4	
89	牛	殷纣无道，他的庶兄微子只好离开。他出发时，举目过午，便以午字出头，作为隐居的姓氏。	6	
90	栾	春秋时，晋靖侯的孙子被封于河南栾邑，世称栾宾。他的后代于是以封邑地为姓氏，称栾氏。	5	6
91	甘	商王武丁曾就学于甘盘，后以甘盘为相。甘盘的后代子孙以祖上的名字为姓，遂成甘姓。	3	2
92	武	夏臣武罗被封武罗国，后国亡，其后子孙以国名为氏，称武姓。	6	
93	龙	出自古代神话传说，御龙氏之后。	6	3
94	龚	共工氏在黄帝时为水官，被奉为社神。部分后裔以单字共为氏，后又再加龙字改成龚。	4	5
95	翁	周昭王姬瑕的小儿子被封在浙江翁山，子孙后代便以翁为氏。	2	
96	屈	春秋时，楚武王的儿子瑕，官至莫敖，封于屈地。瑕的后代以封地为姓，是楚国大宗。	2	
97	瞿	商代有一大夫官，因受封于四川瞿上，得名瞿父。其子孙后代遂以祖上名字为姓。	3	
98	凌	卫康叔的儿子在周朝做官，官职为凌人，掌冰室，他的后人以他的官职作为姓氏。	6	7
99	卓	楚威王熊商有个儿子名叫公子卓，传至其后代卓滑，以祖字为姓，称为卓氏。	2	
100	农	周武王封神农氏后人入朝为农正官，掌农业生产和祈祷丰年，他的后人遂以农为氏。	5	
101	习	源于姬姓，春秋时陕西有习国，灭国后，其公族有的以原国名命姓，遂为习姓。	5	2
102	易	武王将姜尚封于齐，同时，又封他的子孙于河北的易地，这一部分姜尚的后代于以地名作为姓氏，为易姓。	5	
103	游	郑国国君郑穆公有个儿子叫偃，字子游，他的孙子游皈以祖父之字命姓，称游姓。	7	
104	祖	出自朝的开国君王叫汤，汤的后代有叫祖甲、祖乙、祖丙的人，他们的后代以祖先名字为姓氏，姓祖。	6	
