功能类型：    TYPE_TOWER = 1; // 千重楼    TYPE_SECRET_TOWER = 2; // 重楼密室    TYPE_BAI_ZHAN = 3; // 百战千军    TYPE_FISHING = 4; // 钓鱼    TYPE_SHOP = 5; // 商店		需要的官府等级	需要的建筑id	需要的玩家等级	需要完成第几个主线任务	需要完成第几阶段霸业目标	千重楼层数	幻境 ID							
62	TYPE_DUNGEON_ELITE							10309					TYPE_TITLE = 55; // 称号		
63	TYPE_JUN_TUAN			27									TYPE_FEN_CHENG_2 = 56; // 分城2		
64	TYPE_BLACK_MARKET			11									TYPE_FEN_CHENG_3 = 57; // 分城3		
65	教学关卡			5									TYPE_FEN_CHENG_4 = 58; // 分城4		
66	名城营建			6									TYPE_TROOP_3 = 59; // 队伍3		
67	游商			11									TYPE_OFFICIAL		60官职
68	银两商店			27									TYPE_PROMOTION_LOGIN = 61; // 登陆礼包		
69	日常活动			2									TYPE_JUN_TUAN = 63; // 集结军团怪		
70	君主策略			20									TYPE_BLACK_MARKET = 64; // 黑市商店		
													"TYPE_TEACH  = 65, -- 教学关卡"		
													"TYPE_MC_BUILD = 66, -- 名城营建"		
													"TYPE_YOU_SHANG = 67, – 游商"		
													TYPE_TAEL_MARKET = 68 – 银两商店		
													TYPE_DAILY_ACTIVITY = 69 – 日常活动		
													TYPE_STRATEGY = 70 – 君主策略		
