Id				名字	图标	描述	技能分组	技能等级	主动技能	被动技能			内政技能效果	战斗力系数	
13142002	庞涓	A	弓	悍勇	skill0002	每攻击4次，将额外造成113%的伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续30秒。	103	2		13142302				2835	额外造成95%伤害
13143002	庞涓	A	弓	悍勇	skill0002	每攻击4次，将额外造成119%的伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续30秒。	103	3		13143302				2970	额外造成99%伤害
13144002	庞涓	A	弓	悍勇	skill0002	每攻击4次，将额外造成124%的伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续30秒。	103	4		13144302				3105	额外造成104%伤害
13145002	庞涓	A	弓	悍勇	skill0002	每攻击4次，将额外造成130%的伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续30秒。	103	5		13145302				3240	额外造成108%伤害
13111003	伍子胥	S	弓	乱箭攒心	skill301	立刻造成360%火系伤害，并使目标持续燃烧，每3秒受到72%的火系伤害，持续15秒。	104	1	13111103					10000	造成100%伤害，每次伤害20%
13112003	伍子胥	S	弓	乱箭攒心	skill301	立刻造成360%火系伤害，并使目标持续燃烧，每3秒受到72%的火系伤害，持续15秒。	1040	2	13112103					10000	造成120%伤害，每次伤害24%
13113003	伍子胥	S	弓	乱箭攒心	skill301	立刻造成360%火系伤害，并使目标持续燃烧，每3秒受到72%的火系伤害，持续15秒。	1040	3	13113103					10000	造成140%伤害，每次伤害28%
13114003	伍子胥	S	弓	乱箭攒心	skill301	立刻造成360%火系伤害，并使目标持续燃烧，每3秒受到72%的火系伤害，持续15秒。	1040	4	13114103					10000	造成160%伤害，每次伤害32%
13115003	伍子胥	S	弓	乱箭攒心	skill301	立刻造成360%火系伤害，并使目标持续燃烧，每3秒受到72%的火系伤害，持续15秒。	1040	5	13115103					10000	造成180%伤害，每次伤害36%
13141003	伍子胥	S	弓	急射	skill0006	攻击命中时有33%的概率提升自身攻击速度48%，持续30秒。	105	1		13141303				3000	攻击速度提升40%
13142003	伍子胥	S	弓	急射	skill0006	攻击命中时有33%的概率提升自身攻击速度50%，持续30秒。	105	2		13142303				3150	攻击速度提升42%
13143003	伍子胥	S	弓	急射	skill0006	攻击命中时有33%的概率提升自身攻击速度53%，持续30秒。	105	3		13143303				3300	攻击速度提升44%
13144003	伍子胥	S	弓	急射	skill0006	攻击命中时有33%的概率提升自身攻击速度55%，持续30秒。	105	4		13144303				3450	攻击速度提升46%
13145003	伍子胥	S	弓	急射	skill0006	攻击命中时有33%的概率提升自身攻击速度58%，持续30秒。	105	5		13145303				3600	攻击速度提升48%
13111004	田忌	A	步	王室名将	skill401	给自身施加一个相当于最大兵力上限30%的护盾，持续30秒。	106	1	13111104					9167	护盾相当于15.0%最大兵力
13112004	田忌	A	步	王室名将	skill401	给自身施加一个相当于最大兵力上限30%的护盾，持续30秒。	1060	2	13112104					9167	护盾相当于15.8%最大兵力
13113004	田忌	A	步	王室名将	skill401	给自身施加一个相当于最大兵力上限30%的护盾，持续30秒。	1060	3	13113104					9167	护盾相当于16.5%最大兵力
13114004	田忌	A	步	王室名将	skill401	给自身施加一个相当于最大兵力上限30%的护盾，持续30秒。	1060	4	13114104					9167	护盾相当于17.3%最大兵力
13115004	田忌	A	步	王室名将	skill401	给自身施加一个相当于最大兵力上限30%的护盾，持续30秒。	1060	5	13115104					9167	护盾相当于18.0%最大兵力
13141004	田忌	A	步	逐敌	skill0017	攻击命中目标后有33%的概率，使目标受到的伤害提升54%，持续30秒。	107	1		13141304				2700	目标受到伤害提升45%
13142004	田忌	A	步	逐敌	skill0017	攻击命中目标后有33%的概率，使目标受到的伤害提升57%，持续30秒。	107	2		13142304				2835	目标受到伤害提升47%
13143004	田忌	A	步	逐敌	skill0017	攻击命中目标后有33%的概率，使目标受到的伤害提升59%，持续30秒。	107	3		13143304				2970	目标受到伤害提升50%
13144004	田忌	A	步	逐敌	skill0017	攻击命中目标后有33%的概率，使目标受到的伤害提升62%，持续30秒。	107	4		13144304				3105	目标受到伤害提升52%
13145004	田忌	A	步	逐敌	skill0017	攻击命中目标后有33%的概率，使目标受到的伤害提升65%，持续30秒。	107	5		13145304				3240	目标受到伤害提升54%
13111005	屈原	B	器	心系兵卒	skill501	给己方血量百分比最低的单位，提升81%的减伤，持续30秒。	108	1	13111105					8333	减伤提升83%
13112005	屈原	B	器	心系兵卒	skill501	给己方血量百分比最低的单位，提升81%的减伤，持续30秒。	1080	2	13112105					8333	减伤提升88%
13113005	屈原	B	器	心系兵卒	skill501	给己方血量百分比最低的单位，提升81%的减伤，持续30秒。	1080	3	13113105					8333	减伤提升92%
13114005	屈原	B	器	心系兵卒	skill501	给己方血量百分比最低的单位，提升81%的减伤，持续30秒。	1080	4	13114105					8333	减伤提升96%
13115005	屈原	B	器	心系兵卒	skill501	给己方血量百分比最低的单位，提升81%的减伤，持续30秒。	1080	5	13115105					8333	减伤提升100%
13141005	项燕	S	车	迷惑	skill0011	自身存活期间，使目标受到的眩晕、怯战、沉默、禁锢状态时间加长1秒。	109	1		13141305				3000	时间加成1秒
13142005	项燕	S	车	迷惑	skill0011	自身存活期间，使目标受到的眩晕、怯战、沉默、禁锢状态时间加长1.2秒。	109	2		13142305				3150	时间加成1.2秒
13143005	项燕	S	车	迷惑	skill0011	自身存活期间，使目标受到的眩晕、怯战、沉默、禁锢状态时间加长1.4秒。	109	3		13143305				3300	时间加成1.4秒
13144005	项燕	S	车	迷惑	skill0011	自身存活期间，使目标受到的眩晕、怯战、沉默、禁锢状态时间加长1.6秒。	109	4		13144305				3450	时间加成1.6秒
13145005	项燕	S	车	迷惑	skill0011	自身存活期间，使目标受到的眩晕、怯战、沉默、禁锢状态时间加长1.8秒。	109	5		13145305				3600	时间加成1.8秒
13111006	苏秦	A	车	合纵奇策	skill601	使目标陷入易燃状态，受到火系伤害额外提升14%，所有伤害提升90%，持续30秒。	110	1	13111106					9167	目标受到伤害提升75%
13112006	苏秦	A	车	合纵奇策	skill601	使目标陷入易燃状态，受到火系伤害额外提升14%，所有伤害提升90%，持续30秒。	1100	2	13112106					9167	目标受到伤害提升79%
13113006	苏秦	A	车	合纵奇策	skill601	使目标陷入易燃状态，受到火系伤害额外提升14%，所有伤害提升90%，持续30秒。	1100	3	13113106					9167	目标受到伤害提升83%
13114006	苏秦	A	车	合纵奇策	skill601	使目标陷入易燃状态，受到火系伤害额外提升14%，所有伤害提升90%，持续30秒。	1100	4	13114106					9167	目标受到伤害提升86%
13115006	苏秦	A	车	合纵奇策	skill601	使目标陷入易燃状态，受到火系伤害额外提升14%，所有伤害提升90%，持续30秒。	1100	5	13115106					9167	目标受到伤害提升90%
13141006	苏秦	A	车	重整	skill0023	死亡后立刻复活，恢复27%的最大兵力。	111	1		13141306				2700	恢复23%最大兵力
13142006	苏秦	A	车	重整	skill0023	死亡后立刻复活，恢复28%的最大兵力。	111	2		13142306				2835	恢复24%最大兵力
13143006	苏秦	A	车	重整	skill0023	死亡后立刻复活，恢复30%的最大兵力。	111	3		13143306				2970	恢复25%最大兵力
13144006	苏秦	A	车	重整	skill0023	死亡后立刻复活，恢复31%的最大兵力。	111	4		13144306				3105	恢复26%最大兵力
13145006	苏秦	A	车	重整	skill0023	死亡后立刻复活，恢复32%的最大兵力。	111	5		13145306				3240	恢复27%最大兵力
13111007	张仪	S	弓	连横秘策	skill701	发动强力攻击，对目标单体造成600%的伤害。	112	1	13111107					10000	造成250%伤害
13112007	张仪	S	弓	连横秘策	skill701	发动强力攻击，对目标单体造成600%的伤害。	1120	2	13112107					10000	造成263%伤害
13113007	张仪	S	弓	连横秘策	skill701	发动强力攻击，对目标单体造成600%的伤害。	1120	3	13113107					10000	造成275%伤害
13114007	张仪	S	弓	连横秘策	skill701	发动强力攻击，对目标单体造成600%的伤害。	1120	4	13114107					10000	造成288%伤害
13115007	张仪	S	弓	连横秘策	skill701	发动强力攻击，对目标单体造成600%的伤害。	1120	5	13115107					10000	造成300%伤害
13141007	张仪	S	弓	顺势	skill0020	每4次攻击造成额外120%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加24%。	113	1		13141307	13141407			3000	造成100%伤害，额外伤害增加20%
13142007	张仪	S	弓	顺势	skill0020	每4次攻击造成额外126%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加25%。	113	2		13142307	13142407			3150	造成105%伤害，额外伤害增加21%
13143007	张仪	S	弓	顺势	skill0020	每4次攻击造成额外132%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加26%。	113	3		13143307	13143407			3300	造成110%伤害，额外伤害增加22%
13144007	张仪	S	弓	顺势	skill0020	每4次攻击造成额外138%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加28%。	113	4		13144307	13144407			3450	造成115%伤害，额外伤害增加23%
13145007	张仪	S	弓	顺势	skill0020	每4次攻击造成额外144%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加29%。	113	5		13145307	13145407			3600	造成120%伤害，额外伤害增加24%
13111008	李信	A	步	世代名将	skill801	为己方兵力百分比最低的单位加上相当于该单位30%最大兵力值的护盾，持续30秒。	114	1	13111108					9167	护盾相当于15.0%最大兵力
13112008	李信	A	步	世代名将	skill801	为己方兵力百分比最低的单位加上相当于该单位30%最大兵力值的护盾，持续30秒。	1140	2	13112108					9167	护盾相当于15.8%最大兵力
13113008	李信	A	步	世代名将	skill801	为己方兵力百分比最低的单位加上相当于该单位30%最大兵力值的护盾，持续30秒。	1140	3	13113108					9167	护盾相当于16.5%最大兵力
13114008	李信	A	步	世代名将	skill801	为己方兵力百分比最低的单位加上相当于该单位30%最大兵力值的护盾，持续30秒。	1140	4	13114108					9167	护盾相当于17.3%最大兵力
13115008	李信	A	步	世代名将	skill801	为己方兵力百分比最低的单位加上相当于该单位30%最大兵力值的护盾，持续30秒。	1140	5	13115108					9167	护盾相当于18.0%最大兵力
13141008	西门豹	B	步	强健	skill0013	攻击命中时有33%的概率提升自身减伤60%，持续30秒。	115	1		13141308				2700	减伤提升50%
13142008	西门豹	B	步	强健	skill0013	攻击命中时有33%的概率提升自身减伤63%，持续30秒。	115	2		13142308				2835	减伤提升53%
13143008	西门豹	B	步	强健	skill0013	攻击命中时有33%的概率提升自身减伤66%，持续30秒。	115	3		13143308				2970	减伤提升55%
13144008	西门豹	B	步	强健	skill0013	攻击命中时有33%的概率提升自身减伤69%，持续30秒。	115	4		13144308				3105	减伤提升58%
13145008	西门豹	B	步	强健	skill0013	攻击命中时有33%的概率提升自身减伤72%，持续30秒。	115	5		13145308				3240	减伤提升60%
13111009	钟无艳	S	步	王后之姿	skill901	对附近2个目标造成根据双方总属性计算的216%普攻伤害。并使其陷入易燃状态，受到火系伤害额外提升15%，所受伤害提升60%，持续30秒。	116	1	13111109					10000	所受伤害提升83%
13112009	钟无艳	S	步	王后之姿	skill901	对附近2个目标造成根据双方总属性计算的216%普攻伤害。并使其陷入易燃状态，受到火系伤害额外提升15%，所受伤害提升60%，持续30秒。	1160	2	13112109					10000	所受伤害提升88%
13113009	钟无艳	S	步	王后之姿	skill901	对附近2个目标造成根据双方总属性计算的216%普攻伤害。并使其陷入易燃状态，受到火系伤害额外提升15%，所受伤害提升60%，持续30秒。	1160	3	13113109					10000	所受伤害提升92%
13114009	钟无艳	S	步	王后之姿	skill901	对附近2个目标造成根据双方总属性计算的216%普攻伤害。并使其陷入易燃状态，受到火系伤害额外提升15%，所受伤害提升60%，持续30秒。	1160	4	13114109					10000	所受伤害提升96%
13115009	钟无艳	S	步	王后之姿	skill901	对附近2个目标造成根据双方总属性计算的216%普攻伤害。并使其陷入易燃状态，受到火系伤害额外提升15%，所受伤害提升60%，持续30秒。	1160	5	13115109					10000	所受伤害提升100%
13141009	钟无艳	S	步	再起	skill0024	死亡后立刻复活，恢复30%的最大兵力。	117	1		13141309				3000	恢复25%最大兵力
13142009	钟无艳	S	步	再起	skill0024	死亡后立刻复活，恢复32%的最大兵力。	117	2		13142309				3150	恢复26%最大兵力
13143009	钟无艳	S	步	再起	skill0024	死亡后立刻复活，恢复33%的最大兵力。	117	3		13143309				3300	恢复28%最大兵力
13144009	钟无艳	S	步	再起	skill0024	死亡后立刻复活，恢复35%的最大兵力。	117	4		13144309				3450	恢复29%最大兵力
13145009	钟无艳	S	步	再起	skill0024	死亡后立刻复活，恢复36%的最大兵力。	117	5		13145309				3600	恢复30%最大兵力
13111010	芈月	S	步	太后威仪	skill1001	使目标所受伤害提升100%，持续30秒。	118	1	13111110					10000	目标受到伤害提升83%
13112010	芈月	S	步	太后威仪	skill1001	使目标所受伤害提升100%，持续30秒。	1180	2	13112110					10000	目标受到伤害提升88%
13113010	芈月	S	步	太后威仪	skill1001	使目标所受伤害提升100%，持续30秒。	1180	3	13113110					10000	目标受到伤害提升92%
13114010	芈月	S	步	太后威仪	skill1001	使目标所受伤害提升100%，持续30秒。	1180	4	13114110					10000	目标受到伤害提升96%
13115010	芈月	S	步	太后威仪	skill1001	使目标所受伤害提升100%，持续30秒。	1180	5	13115110					10000	目标受到伤害提升100%
13141010	高渐离	S	器	烈焰	skill0007	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并提升自身减伤60%，持续30秒。	119	1		13141310				3000	减伤提升50%
13142010	高渐离	S	器	烈焰	skill0007	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并提升自身减伤63%，持续30秒。	119	2		13142310				3150	减伤提升53%
13143010	高渐离	S	器	烈焰	skill0007	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并提升自身减伤66%，持续30秒。	119	3		13143310				3300	减伤提升55%
13144010	高渐离	S	器	烈焰	skill0007	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并提升自身减伤69%，持续30秒。	119	4		13144310				3450	减伤提升58%
13145010	高渐离	S	器	烈焰	skill0007	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并提升自身减伤72%，持续30秒。	119	5		13145310				3600	减伤提升60%
13111011	鲁班	B	器	匠心一击	skill1101	发动强力攻击，对目标造成500%的伤害。	120	1	13111111					8333	造成225%伤害
13112011	鲁班	B	器	匠心一击	skill1101	发动强力攻击，对目标造成500%的伤害。	1200	2	13112111					8333	造成236%伤害
13113011	鲁班	B	器	匠心一击	skill1101	发动强力攻击，对目标造成500%的伤害。	1200	3	13113111					8333	造成248%伤害
13114011	鲁班	B	器	匠心一击	skill1101	发动强力攻击，对目标造成500%的伤害。	1200	4	13114111					8333	造成259%伤害
13115011	鲁班	B	器	匠心一击	skill1101	发动强力攻击，对目标造成500%的伤害。	1200	5	13115111					8333	造成270%伤害
13141011	郑袖	A	器	乱击	skill0019	每4次攻击造成额外54%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加20%。	121	1		13141311	13141411			2700	造成额外45%伤害
13142011	郑袖	A	器	乱击	skill0019	每4次攻击造成额外57%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加20%。	121	2		13142311	13142411			2835	造成额外47%伤害
13143011	郑袖	A	器	乱击	skill0019	每4次攻击造成额外59%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加20%。	121	3		13143311	13143411			2970	造成额外50%伤害
13144011	郑袖	A	器	乱击	skill0019	每4次攻击造成额外62%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加20%。	121	4		13144311	13144411			3105	造成额外52%伤害
13145011	郑袖	A	器	乱击	skill0019	每4次攻击造成额外65%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，则伤害额外增加20%。	121	5		13145311	13145411			3240	造成额外54%伤害
13111012	平原君	B	车	利令智昏	skill1201	使目标所受伤害提升81%，持续30秒。	122	1	13111112					8333	目标受到伤害提升68%
13112012	平原君	B	车	利令智昏	skill1201	使目标所受伤害提升81%，持续30秒。	1220	2	13112112					8333	目标受到伤害提升71%
13113012	平原君	B	车	利令智昏	skill1201	使目标所受伤害提升81%，持续30秒。	1220	3	13113112					8333	目标受到伤害提升74%
13114012	平原君	B	车	利令智昏	skill1201	使目标所受伤害提升81%，持续30秒。	1220	4	13114112					8333	目标受到伤害提升78%
13115012	平原君	B	车	利令智昏	skill1201	使目标所受伤害提升81%，持续30秒。	1220	5	13115112					8333	目标受到伤害提升81%
13111013	春申君	A	骑	巧言精谋	skill1301	立刻使目标陷入眩晕状态4秒，并使其所受伤害提升72%，持续30秒。	123	1	13111113					9167	目标受到伤害提升60%
13112013	春申君	A	骑	巧言精谋	skill1301	立刻使目标陷入眩晕状态4秒，并使其所受伤害提升72%，持续30秒。	1230	2	13112113					9167	目标受到伤害提升63%
13113013	春申君	A	骑	巧言精谋	skill1301	立刻使目标陷入眩晕状态4秒，并使其所受伤害提升72%，持续30秒。	1230	3	13113113					9167	目标受到伤害提升66%
13114013	春申君	A	骑	巧言精谋	skill1301	立刻使目标陷入眩晕状态4秒，并使其所受伤害提升72%，持续30秒。	1230	4	13114113					9167	目标受到伤害提升69%
13115013	春申君	A	骑	巧言精谋	skill1301	立刻使目标陷入眩晕状态4秒，并使其所受伤害提升72%，持续30秒。	1230	5	13115113					9167	目标受到伤害提升72%
13141013	春申君	A	骑	逐敌	skill0017	攻击命中目标时有33%的概率提升目标所受伤害54%，持续30秒。	124	1		13141313				2700	目标受到伤害提升45%
13142013	春申君	A	骑	逐敌	skill0017	攻击命中目标时有33%的概率提升目标所受伤害57%，持续30秒。	124	2		13142313				2835	目标受到伤害提升47%
13143013	春申君	A	骑	逐敌	skill0017	攻击命中目标时有33%的概率提升目标所受伤害59%，持续30秒。	124	3		13143313				2970	目标受到伤害提升50%
13144013	春申君	A	骑	逐敌	skill0017	攻击命中目标时有33%的概率提升目标所受伤害62%，持续30秒。	124	4		13144313				3105	目标受到伤害提升52%
13145013	春申君	A	骑	逐敌	skill0017	攻击命中目标时有33%的概率提升目标所受伤害65%，持续30秒。	124	5		13145313				3240	目标受到伤害提升54%
13111014	孟尝君	A	器	霸道强击	skill1401	立刻造成330%火系伤害，并使目标持续燃烧，每3秒受到66%的火系伤害，持续15秒。	125	1	13111114					9167	造成80%伤害，每次伤害16%
13112014	孟尝君	A	器	霸道强击	skill1401	立刻造成330%火系伤害，并使目标持续燃烧，每3秒受到66%的火系伤害，持续15秒。	1250	2	13112114					9167	造成96%伤害，每次伤害19%
13113014	孟尝君	A	器	霸道强击	skill1401	立刻造成330%火系伤害，并使目标持续燃烧，每3秒受到66%的火系伤害，持续15秒。	1250	3	13113114					9167	造成112%伤害，每次伤害22%
13114014	孟尝君	A	器	霸道强击	skill1401	立刻造成330%火系伤害，并使目标持续燃烧，每3秒受到66%的火系伤害，持续15秒。	1250	4	13114114					9167	造成128%伤害，每次伤害26%
13115014	孟尝君	A	器	霸道强击	skill1401	立刻造成330%火系伤害，并使目标持续燃烧，每3秒受到66%的火系伤害，持续15秒。	1250	5	13115114					9167	造成144%伤害，每次伤害29%
13141014	孟尝君	A	器	强攻	skill0014	攻击命中时有25%的概率造成108%额外伤害。	126	1		13141314				2700	造成额外90%伤害
13142014	孟尝君	A	器	强攻	skill0014	攻击命中时有25%的概率造成113%额外伤害。	126	2		13142314				2835	造成额外95%伤害
13143014	孟尝君	A	器	强攻	skill0014	攻击命中时有25%的概率造成119%额外伤害。	126	3		13143314				2970	造成额外99%伤害
13144014	孟尝君	A	器	强攻	skill0014	攻击命中时有25%的概率造成124%额外伤害。	126	4		13144314				3105	造成额外104%伤害
13145014	孟尝君	A	器	强攻	skill0014	攻击命中时有25%的概率造成130%额外伤害。	126	5		13145314				3240	造成额外108%伤害
13111015	赵括	B	骑	纸上谈兵	skill1501	使目标所受伤害提升81%，持续30秒。	127	1	13111115					8333	目标受到伤害提升68%
13112015	赵括	B	骑	纸上谈兵	skill1501	使目标所受伤害提升81%，持续30秒。	1270	2	13112115					8333	目标受到伤害提升71%
13113015	赵括	B	骑	纸上谈兵	skill1501	使目标所受伤害提升81%，持续30秒。	1270	3	13113115					8333	目标受到伤害提升74%
13114015	赵括	B	骑	纸上谈兵	skill1501	使目标所受伤害提升81%，持续30秒。	1270	4	13114115					8333	目标受到伤害提升78%
13115015	赵括	B	骑	纸上谈兵	skill1501	使目标所受伤害提升81%，持续30秒。	1270	5	13115115					8333	目标受到伤害提升81%
13111016	郑袖	A	器	美人之妒	skill1601	对目标造成550%的伤害。	128	1	13111116					9167	造成225%伤害
13112016	郑袖	A	器	美人之妒	skill1601	对目标造成550%的伤害。	1280	2	13112116					9167	造成236%伤害
13113016	郑袖	A	器	美人之妒	skill1601	对目标造成550%的伤害。	1280	3	13113116					9167	造成248%伤害
13114016	郑袖	A	器	美人之妒	skill1601	对目标造成550%的伤害。	1280	4	13114116					9167	造成259%伤害
13115016	郑袖	A	器	美人之妒	skill1601	对目标造成550%的伤害。	1280	5	13115116					9167	造成270%伤害
13141016	郑袖	A	器	强攻	skill0014	攻击命中时有25%的概率造成108%额外伤害。	129	1		13141316				2700	造成额外90%伤害
13142016	郑袖	A	器	强攻	skill0014	攻击命中时有25%的概率造成113%额外伤害。	129	2		13142316				2835	造成额外95%伤害
13143016	郑袖	A	器	强攻	skill0014	攻击命中时有25%的概率造成119%额外伤害。	129	3		13143316				2970	造成额外99%伤害
13144016	郑袖	A	器	强攻	skill0014	攻击命中时有25%的概率造成124%额外伤害。	129	4		13144316				3105	造成额外104%伤害
13145016	郑袖	A	器	强攻	skill0014	攻击命中时有25%的概率造成130%额外伤害。	129	5		13145316				3240	造成额外108%伤害
13111017	东施	B	车	东家之女	skill1701	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	130	1	13111117					8333	减伤提升68%
13112017	东施	B	车	东家之女	skill1701	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	1300	2	13112117					8333	减伤提升71%
13113017	东施	B	车	东家之女	skill1701	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	1300	3	13113117					8333	减伤提升74%
13114017	东施	B	车	东家之女	skill1701	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	1300	4	13114117					8333	减伤提升78%
13115017	东施	B	车	东家之女	skill1701	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	1300	5	13115117					8333	减伤提升81%
13111018	夏姬	A	弓	红颜之殇	skill1801	造成550%的火系伤害。	131	1	13111118					9167	造成225%伤害
13112018	夏姬	A	弓	红颜之殇	skill1801	造成550%的火系伤害。	1310	2	13112118					9167	造成236%伤害
13113018	夏姬	A	弓	红颜之殇	skill1801	造成550%的火系伤害。	1310	3	13113118					9167	造成248%伤害
13114018	夏姬	A	弓	红颜之殇	skill1801	造成550%的火系伤害。	1310	4	13114118					9167	造成259%伤害
13115018	夏姬	A	弓	红颜之殇	skill1801	造成550%的火系伤害。	1310	5	13115118					9167	造成270%伤害
13141018	夏姬	A	弓	迸射	skill0025	攻击命中时有25%的概率提升自身伤害54%，持续30秒。	132	1		13141318				2700	自身伤害提升45%
13142018	夏姬	A	弓	迸射	skill0025	攻击命中时有25%的概率提升自身伤害57%，持续30秒。	132	2		13142318				2835	自身伤害提升47%
13143018	夏姬	A	弓	迸射	skill0025	攻击命中时有25%的概率提升自身伤害59%，持续30秒。	132	3		13143318				2970	自身伤害提升50%
13144018	夏姬	A	弓	迸射	skill0025	攻击命中时有25%的概率提升自身伤害62%，持续30秒。	132	4		13144318				3105	自身伤害提升52%
13145018	夏姬	A	弓	迸射	skill0025	攻击命中时有25%的概率提升自身伤害65%，持续30秒。	132	5		13145318				3240	自身伤害提升54%
