Id				表现特效	触发概率，填小数	触发类型，0-无 1-开局释放 2-首次攻击触发 3-攻击N次触发 4-被攻击触发  6-首次攻击目标触发	触发职业，不填表示全部职业都触发		目标具有效果状态 1-燃烧 2-中毒 3-流血	目标不可走	目标不可普攻	目标不可释放技能	目标晕眩	攻击N次触发		给自己加状态			给目标加状态			释放技能	激发效果（持续掉血立即生效），1-燃烧 2-中毒 3-流血			加怒气	加属性		被击伤害附加类型，0-无 1-燃烧 2-中毒 3-流血	被击伤害附加系数				被攻击伤害减少	系数，填小数				目标触发CD		复活兵力百分比，填小数																									
13141311	乱击				1	3								4							0.24	13141111																																											13111106	合纵奇策
13142311	乱击				1	3								4							0.288	13142111																																											13112106	合纵奇策
13143311	乱击				1	3								4							0.336	13143111																																											13113106	合纵奇策
13144311	乱击				1	3								4							0.384	13144111																																											13114106	合纵奇策
13145311	乱击				1	3								4							0.432	13145111																																											13115106	合纵奇策
13141411					1	3								4							0.2	13141211																																											13141306	重整
13142411					1	3								4							0.2	13142211																																											13142306	重整
13143411					1	3								4							0.2	13143211																																											13143306	重整
13144411					1	3								4							0.2	13144211																																											13144306	重整
13145411					1	3								4							0.2	13145211																																											13145306	重整
13141313	逐敌				0.33	3								1					13141713																																														13111107	连横秘策
13142313	逐敌				0.33	3								1					13142713																																														13112107	连横秘策
13143313	逐敌				0.33	3								1					13143713																																														13113107	连横秘策
13144313	逐敌				0.33	3								1					13144713																																														13114107	连横秘策
13145313	逐敌				0.33	3								1					13145713																																														13115107	连横秘策
13141314	强攻				0.25	3								1							0.48	13141114																																											13141307	顺势
13142314	强攻				0.25	3								1							0.576	13142114																																											13142307	顺势
13143314	强攻				0.25	3								1							0.672	13143114																																											13143307	顺势
13144314	强攻				0.25	3								1							0.768	13144114																																											13144307	顺势
13145314	强攻				0.25	3								1							0.864	13145114																																											13145307	顺势
13141316	强攻				0.25	3								1							0.48	13141116																																											13111108	仁心治军
13142316	强攻				0.25	3								1							0.576	13142116																																											13112108	仁心治军
13143316	强攻				0.25	3								1							0.672	13143116																																											13113108	仁心治军
13144316	强攻				0.25	3								1							0.768	13144116																																											13114108	仁心治军
13145316	强攻				0.25	3								1							0.864	13145116																																											13115108	仁心治军
13141318	迸射				0.25	3								1		13141518																																																	13141308	强健
13142318	迸射				0.25	3								1		13142518																																																	13142308	强健
13143318	迸射				0.25	3								1		13143518																																																	13143308	强健
13144318	迸射				0.25	3								1		13144518																																																	13144308	强健
13145318	迸射				0.25	3								1		13145518																																																	13145308	强健
13141319	呼应		0.24		1	3								4							0.6	13141119																																											13111109	王后之姿
13142319	呼应		0.288		1	3								4							0.72	13142119																																											13112109	王后之姿
13143319	呼应		0.336		1	3								4							0.84	13143119																																											13113109	王后之姿
13144319	呼应		0.384		1	3								4							0.96	13144119																																											13114109	王后之姿
13145319	呼应		0.432		1	3								4							1.08	13145119																																											13115109	王后之姿
13141320	闪避				0.33	3								1		13141520																																																	13141309	再起
13142320	闪避				0.33	3								1		13142520																																																	13142309	再起
13143320	闪避				0.33	3								1		13143520																																																	13143309	再起
13144320	闪避				0.33	3								1		13144520																																																	13144309	再起
13145320	闪避				0.33	3								1		13145520																																																	13145309	再起
13141321	强攻				0.25	3								1							0.48	13141121																																											13111110	易水琴歌
13142321	强攻				0.25	3								1							0.576	13142121																																											13112110	易水琴歌
13143321	强攻				0.25	3								1							0.672	13143121																																											13113110	易水琴歌
13144321	强攻				0.25	3								1							0.768	13144121																																											13114110	易水琴歌
13145321	强攻				0.25	3								1							0.864	13145121																																											13115110	易水琴歌
13141323	闪避				0.33	3								1		13141523																																																	13141310	烈焰
13142323	闪避				0.33	3								1		13142523																																																	13142310	烈焰
13143323	闪避				0.33	3								1		13143523																																																	13143310	烈焰
13144323	闪避				0.33	3								1		13144523																																																	13144310	烈焰
13145323	闪避				0.33	3								1		13145523																																																	13145310	烈焰
13141324	强健				0.33	3								1		13141524																																																	13111111	匠心一击
13142324	强健				0.33	3								1		13142524																																																	13112111	匠心一击
13143324	强健				0.33	3								1		13143524																																																	13113111	匠心一击
13144324	强健				0.33	3								1		13144524																																																	13114111	匠心一击
13145324	强健				0.33	3								1		13145524																																																	13115111	匠心一击
13141325	护体				0.33	3								1		13141525																																																	13141311	乱击
13142325	护体				0.33	3								1		13142525																																																	13142311	乱击
13143325	护体				0.33	3								1		13143525																																																	13143311	乱击
13144325	护体				0.33	3								1		13144525																																																	13144311	乱击
13145325	护体				0.33	3								1		13145525																																																	13145311	乱击
13141326	火炽				0.33	3								1		13141526			13141726																																														13111112	利令智昏
13142326	火炽				0.33	3								1		13142526			13142726																																														13112112	利令智昏
13143326	火炽				0.33	3								1		13143526			13143726																																														13113112	利令智昏
13144326	火炽				0.33	3								1		13144526			13144726																																														13114112	利令智昏
13145326	火炽				0.33	3								1		13145526			13145726																																														13115112	利令智昏
13141327	引燃				1	3								1									1																																										13111113	巧言精谋
13142327	引燃				1	3								1									1																																										13112113	巧言精谋
13143327	引燃				1	3								1									1																																										13113113	巧言精谋
13144327	引燃				1	3								1									1																																										13114113	巧言精谋
13145327	引燃				1	3								1									1																																										13115113	巧言精谋
13141328	激励				1	3								1							120	13141128																																											13141313	逐敌
13142328	激励				1	3								1							144	13142128																																											13142313	逐敌
13143328	激励				1	3								1							168	13143128																																											13143313	逐敌
13144328	激励				1	3								1							192	13144128																																											13144313	逐敌
13145328	激励				1	3								1							216	13145128																																											13145313	逐敌
13141329	强势				1	1																				240																																							13111114	霸道强击
13142329	强势				1	1																				248																																							13112114	霸道强击
13143329	强势				1	1																				256																																							13113114	霸道强击
13144329	强势				1	1																				264																																							13114114	霸道强击
13145329	强势				1	1																				272																																							13115114	霸道强击
13141330	爆发				0.33	3								1		13141530																																																	13141314	强攻
13142330	爆发				0.33	3								1		13142530																																																	13142314	强攻
13143330	爆发				0.33	3								1		13143530																																																	13143314	强攻
13144330	爆发				0.33	3								1		13144530																																																	13144314	强攻
13145330	爆发				0.33	3								1		13145530																																																	13145314	强攻
13141331	齐射				0.33	3								1		13141531																																																	13111115	纸上谈兵
13142331	齐射				0.33	3								1		13142531																																																	13112115	纸上谈兵
13143331	齐射				0.33	3								1		13143531																																																	13113115	纸上谈兵
13144331	齐射				0.33	3								1		13144531																																																	13114115	纸上谈兵
13145331	齐射				0.33	3								1		13145531																																																	13115115	纸上谈兵
13141332	护体				0.33	3								1		13141532																																																	13111116	美人之妒
13142332	护体				0.33	3								1		13142532																																																	13112116	美人之妒
13143332	护体				0.33	3								1		13143532																																																	13113116	美人之妒
13144332	护体				0.33	3								1		13144532																																																	13114116	美人之妒
13145332	护体				0.33	3								1		13145532																																																	13115116	美人之妒
13141333	协防				1	0																																																											13141316	强攻
13142333	协防				1	0																																																											13142316	强攻
13143333	协防				1	0																																																											13143316	强攻
13144333	协防				1	0																																																											13144316	强攻
13145333	协防				1	0																																																											13145316	强攻
13141334	闪避				0.33	3								1		13141534																																																	13111117	东家之女
13142334	闪避				0.33	3								1		13142534																																																	13112117	东家之女
13143334	闪避				0.33	3								1		13143534																																																	13113117	东家之女
13144334	闪避				0.33	3								1		13144534																																																	13114117	东家之女
13145334	闪避				0.33	3								1		13145534																																																	13115117	东家之女
13141335	猛攻				0.25	3								1							0.6	13141135																																											13111118	红颜之殇
13142335	猛攻				0.25	3								1							0.72	13142135																																											13112118	红颜之殇
13143335	猛攻				0.25	3								1							0.84	13143135																																											13113118	红颜之殇
13144335	猛攻				0.25	3								1							0.96	13144135																																											13114118	红颜之殇
13145335	猛攻				0.25	3								1							1.08	13145135																																											13115118	红颜之殇
13141336	破敌				0.33	3								1					13141736																																														13141318	迸射
13142336	破敌				0.33	3								1					13142736																																														13142318	迸射
13143336	破敌				0.33	3								1					13143736																																														13143318	迸射
13144336	破敌				0.33	3								1					13144736																																														13144318	迸射
13145336	破敌				0.33	3								1					13145736																																														13145318	迸射
13141338	业火				0.33	3								1					13141738																																														13111119	济水强弓
13142338	业火				0.33	3								1					13142738																																														13112119	济水强弓
13143338	业火				0.33	3								1					13143738																																														13113119	济水强弓
13144338	业火				0.33	3								1					13144738																																														13114119	济水强弓
13145338	业火				0.33	3								1					13145738																																														13115119	济水强弓
																																																																	13141319	呼应
13131501	灵活				1																						13131501																																						13142319	呼应
13132501	灵活				1																						13132501																																						13143319	呼应
13133501	灵活				1																						13133501																																						13144319	呼应
13134501	灵活				1																						13134501																																						13145319	呼应
13135501	灵活				1																						13135501																																						13111120	火牛奇袭
13131502	坚忍				1																						13131502																																						13112120	火牛奇袭
13132502	坚忍				1																						13132502																																						13113120	火牛奇袭
13133502	坚忍				1																						13133502																																						13114120	火牛奇袭
13134502	坚忍				1																						13134502																																						13115120	火牛奇袭
13135502	坚忍				1																						13135502																																						13141320	闪避
13131503	灵活				1																						13131503																																						13142320	闪避
13132503	灵活				1																						13132503																																						13143320	闪避
13133503	灵活				1																						13133503																																						13144320	闪避
13134503	灵活				1																						13134503																																						13145320	闪避
13135503	灵活				1																						13135503																																						13111121	狭路逞勇
13131504	坚忍				1																						13131504																																						13112121	狭路逞勇
13132504	坚忍				1																						13132504																																						13113121	狭路逞勇
13133504	坚忍				1																						13133504																																						13114121	狭路逞勇
13134504	坚忍				1																						13134504																																						13115121	狭路逞勇
13135504	坚忍				1																						13135504																																						13141321	强攻
13131505	善攻				1																						13131505																																						13142321	强攻
13132505	善攻				1																						13132505																																						13143321	强攻
13133505	善攻				1																						13133505																																						13144321	强攻
13134505	善攻				1																						13134505																																						13145321	强攻
13135505	善攻				1																						13135505																																						13111122	世代名将
13131506	铁壁				1																						13131506																																						13112122	世代名将
13132506	铁壁				1																						13132506																																						13113122	世代名将
13133506	铁壁				1																						13133506																																						13114122	世代名将
13134506	铁壁				1																						13134506																																						13115122	世代名将
13135506	铁壁				1																						13135506																																						13111123	马陵设伏
																																																																	13112123	马陵设伏
13131507	轻装				1																													4	1																														13113123	马陵设伏
13131508	厚甲				1																													4	1																														13114123	马陵设伏
																																																																	13115123	马陵设伏
13131511	迅捷				1	3								5		13151511																																																	13141323	闪避
13132511	迅捷				1	3								5		13152511																																																	13142323	闪避
13133511	迅捷				1	3								5		13153511																																																	13143323	闪避
13134511	迅捷				1	3								5		13154511																																																	13144323	闪避
13135511	迅捷				1	3								5		13155511																																																	13145323	闪避
13131512	亢奋				1	3								5		13151512																																																	13111124	食子破敌
13132512	亢奋				1	3								5		13152512																																																	13112124	食子破敌
13133512	亢奋				1	3								5		13153512																																																	13113124	食子破敌
13134512	亢奋				1	3								5		13154512																																																	13114124	食子破敌
13135512	亢奋				1	3								5		13155512																																																	13115124	食子破敌
																																																																	13141324	强健
																																																																	13142324	强健
																																																																	13143324	强健
																																																																	13144324	强健
																																																																	13145324	强健
																																																																	13111125	北地铁骑
																																																																	13112125	北地铁骑
																																																																	13113125	北地铁骑
																																																																	13114125	北地铁骑
																																																																	13115125	北地铁骑
																																																																	13141325	护体
																																																																	13142325	护体
																																																																	13143325	护体
																																																																	13144325	护体
																																																																	13145325	护体
																																																																	13111126	法家威仪
																																																																	13112126	法家威仪
																																																																	13113126	法家威仪
																																																																	13114126	法家威仪
																																																																	13115126	法家威仪
																																																																	13141326	火炽
																																																																	13142326	火炽
																																																																	13143326	火炽
																																																																	13144326	火炽
																																																																	13145326	火炽
																																																																	13111127	人中之龙
																																																																	13112127	人中之龙
																																																																	13113127	人中之龙
																																																																	13114127	人中之龙
																																																																	13115127	人中之龙
																																																																	13141327	引燃
																																																																	13142327	引燃
																																																																	13143327	引燃
																																																																	13144327	引燃
																																																																	13145327	引燃
																																																																	13111128	太后威仪
																																																																	13112128	太后威仪
																																																																	13113128	太后威仪
																																																																	13114128	太后威仪
																																																																	13115128	太后威仪
																																																																	13141328	激励
																																																																	13142328	激励
																																																																	13143328	激励
																																																																	13144328	激励
																																																																	13145328	激励
																																																																	13111129	花月之姿
																																																																	13112129	花月之姿
																																																																	13113129	花月之姿
																																																																	13114129	花月之姿
																																																																	13115129	花月之姿
																																																																	13141329	强势
																																																																	13142329	强势
																																																																	13143329	强势
																																																																	13144329	强势
																																																																	13145329	强势
																																																																	13111130	法家才器
																																																																	13112130	法家才器
																																																																	13113130	法家才器
																																																																	13114130	法家才器
																																																																	13115130	法家才器
																																																																	13141330	爆发
																																																																	13142330	爆发
																																																																	13143330	爆发
																																																																	13144330	爆发
																																																																	13145330	爆发
																																																																	13111131	鬼谷秘术
																																																																	13112131	鬼谷秘术
																																																																	13113131	鬼谷秘术
																																																																	13114131	鬼谷秘术
																																																																	13115131	鬼谷秘术
																																																																	13141331	齐射
																																																																	13142331	齐射
																																																																	13143331	齐射
																																																																	13144331	齐射
																																																																	13145331	齐射
																																																																	13111132	战神之威
																																																																	13112132	战神之威
																																																																	13113132	战神之威
																																																																	13114132	战神之威
																																																																	13115132	战神之威
																																																																	13141332	护体
																																																																	13142332	护体
																																																																	13143332	护体
																																																																	13144332	护体
																																																																	13145332	护体
																																																																	13111133	老将善攻
																																																																	13112133	老将善攻
																																																																	13113133	老将善攻
																																																																	13114133	老将善攻
																																																																	13115133	老将善攻
																																																																	13141333	协防
																																																																	13142333	协防
																																																																	13143333	协防
																																																																	13144333	协防
																																																																	13145333	协防
																																																																	13111134	固守长平
																																																																	13112134	固守长平
																																																																	13113134	固守长平
																																																																	13114134	固守长平
																																																																	13115134	固守长平
																																																																	13141334	闪避
																																																																	13142334	闪避
																																																																	13143334	闪避
																																																																	13144334	闪避
																																																																	13145334	闪避
																																																																	13111135	国之利器
																																																																	13112135	国之利器
																																																																	13113135	国之利器
																																																																	13114135	国之利器
																																																																	13115135	国之利器
																																																																	13141335	猛攻
																																																																	13142335	猛攻
																																																																	13143335	猛攻
																																																																	13144335	猛攻
																																																																	13145335	猛攻
																																																																	13111136	魏武方阵
																																																																	13112136	魏武方阵
																																																																	13113136	魏武方阵
																																																																	13114136	魏武方阵
																																																																	13115136	魏武方阵
																																																																	13141336	破敌
																																																																	13142336	破敌
																																																																	13143336	破敌
																																																																	13144336	破敌
																																																																	13145336	破敌
																																																																	13111137	完璧护国
																																																																	13112137	完璧护国
																																																																	13113137	完璧护国
																																																																	13114137	完璧护国
																																																																	13115137	完璧护国
																																																																	13111138	奇谋划策
																																																																	13112138	奇谋划策
																																																																	13113138	奇谋划策
																																																																	13114138	奇谋划策
																																																																	13115138	奇谋划策
																																																																	13141338	业火
																																																																	13142338	业火
																																																																	13143338	业火
																																																																	13144338	业火
																																																																	13145338	业火
																																																																	13111139	乱世红颜
																																																																	13112139	乱世红颜
																																																																	13113139	乱世红颜
																																																																	13114139	乱世红颜
																																																																	13115139	乱世红颜
																																																																	13111140	破燕逐北
																																																																	13112140	破燕逐北
																																																																	13113140	破燕逐北
																																																																	13114140	破燕逐北
																																																																	13115140	破燕逐北
																																																																	13131501	灵活
																																																																	13132501	灵活
																																																																	13133501	灵活
																																																																	13134501	灵活
																																																																	13135501	灵活
																																																																	13131502	坚忍
																																																																	13132502	坚忍
																																																																	13133502	坚忍
																																																																	13134502	坚忍
																																																																	13135502	坚忍
																																																																	13131503	灵活
																																																																	13132503	灵活
																																																																	13133503	灵活
																																																																	13134503	灵活
																																																																	13135503	灵活
																																																																	13131504	坚忍
																																																																	13132504	坚忍
																																																																	13133504	坚忍
																																																																	13134504	坚忍
																																																																	13135504	坚忍
																																																																	13131505	善攻
																																																																	13132505	善攻
																																																																	13133505	善攻
																																																																	13134505	善攻
																																																																	13135505	善攻
																																																																	13131506	铁壁
																																																																	13132506	铁壁
																																																																	13133506	铁壁
																																																																	13134506	铁壁
																																																																	13135506	铁壁
																																																																	13131507	轻装
																																																																	13131508	厚甲
																																																																	13131511	迅捷
																																																																	13132511	迅捷
																																																																	13133511	迅捷
																																																																	13134511	迅捷
																																																																	13135511	迅捷
																																																																	13131512	亢奋
																																																																	13132512	亢奋
																																																																	13133512	亢奋
																																																																	13134512	亢奋
																																																																	13135512	亢奋
