Id	名字	表现特效	CD	硬直时间	填1表示怒气技能	默认敌方技能，填1表示友方技能	填1表示可以对自己放		目标职业		目标具有效果状态  1-燃烧 2-中毒 3-流血	目标不可走	目标不可普攻	目标不可释放技能	目标晕眩			填1表示不停下来放技能	施法距离	伤害距离	目标个数	目标选择，0-无 1-随机目标 2-血量比例最高 3-血量比例最低 4-怒气最高 5-怒气最低	技能伤害系数		每秒飞行距离	效果类型，0-无 1-燃烧 2-中毒 3-流血		给自己加状态	状态概率，填小数				给目标加状态	状态概率，填小数				给自己加怒气	给目标加怒气，负数表示减怒气		伤害类型 0-伤害公式 1-兵力*系数 2-平均4维伤害公式																																																																																																																																																																																			
13114101	燕市高歌	13111101			1														50		1		1.11										13114701	1	13114801	1					2																								13114101	燕市高歌																																																																																																																																																										
13115101	燕市高歌	13111101			1														50		1		1.11										13115701	1	13115801	1					2																								13115101	燕市高歌																																																																																																																																																										
13111102	狷狂名箭	13111002			1														300		1		2.035																																										13111102	狷狂名箭																																																																																																																																																										
13112102	狷狂名箭	13111002			1														300		1		2.035																																										13112102	狷狂名箭																																																																																																																																																										
13113102	狷狂名箭	13111002			1														300		1		2.035																																										13113102	狷狂名箭																																																																																																																																																										
13114102	狷狂名箭	13111002			1														300		1		2.035																																										13114102	狷狂名箭																																																																																																																																																										
13115102	狷狂名箭	13111002			1														300		1		2.035																																										13115102	狷狂名箭																																																																																																																																																										
13111103	乱箭攒心	13111103			1														300		1		1.332			1							13111703	1																															13141302	悍勇																																																																																																																																																										
13112103	乱箭攒心	13111103			1														300		1		1.332			1							13112703	1																															13142302	悍勇																																																																																																																																																										
13113103	乱箭攒心	13111103			1														300		1		1.332			1							13113703	1																															13143302	悍勇																																																																																																																																																										
13114103	乱箭攒心	13111103			1														300		1		1.332			1							13114703	1																															13144302	悍勇																																																																																																																																																										
13115103	乱箭攒心	13111103			1														300		1		1.332			1							13115703	1																															13145302	悍勇																																																																																																																																																										
13111104	王室名将	13111104			1	1	1												0		1							13111504	1																																				13111103	乱箭攒心																																																																																																																																																										
13112104	王室名将	13111104			1	1	1												0		1							13112504	1																																				13112103	乱箭攒心																																																																																																																																																										
13113104	王室名将	13111104			1	1	1												0		1							13113504	1																																				13113103	乱箭攒心																																																																																																																																																										
13114104	王室名将	13111104			1	1	1												0		1							13114504	1																																				13114103	乱箭攒心																																																																																																																																																										
13115104	王室名将	13111104			1	1	1												0		1							13115504	1																																				13115103	乱箭攒心																																																																																																																																																										
13111105	心系兵卒	13111005			1	1	1												5000		1	3											13111705	1																															13141303	急射																																																																																																																																																										
13112105	心系兵卒	13111005			1	1	1												5000		1	3											13112705	1																															13142303	急射																																																																																																																																																										
13113105	心系兵卒	13111005			1	1	1												5000		1	3											13113705	1																															13143303	急射																																																																																																																																																										
13114105	心系兵卒	13111005			1	1	1												5000		1	3											13114705	1																															13144303	急射																																																																																																																																																										
13115105	心系兵卒	13111005			1	1	1												5000		1	3											13115705	1																															13145303	急射																																																																																																																																																										
13111106	合纵奇策	13111106			1														50		1												13111706	1	13111806	1																													13111104	王室名将																																																																																																																																																										
13112106	合纵奇策	13111106			1														50		1												13112706	1	13112806	1																													13112104	王室名将																																																																																																																																																										
13113106	合纵奇策	13111106			1														50		1												13113706	1	13113806	1																													13113104	王室名将																																																																																																																																																										
13114106	合纵奇策	13111106			1														50		1												13114706	1	13114806	1																													13114104	王室名将																																																																																																																																																										
13115106	合纵奇策	13111106			1														50		1												13115706	1	13115806	1																													13115104	王室名将																																																																																																																																																										
13111107	连横秘策	13111007			1														300		1		2.22																																										13141304	逐敌																																																																																																																																																										
13112107	连横秘策	13111007			1														300		1		2.22																																										13142304	逐敌																																																																																																																																																										
13113107	连横秘策	13111007			1														300		1		2.22																																										13143304	逐敌																																																																																																																																																										
13114107	连横秘策	13111007			1														300		1		2.22																																										13144304	逐敌																																																																																																																																																										
13115107	连横秘策	13111007			1														300		1		2.22																																										13145304	逐敌																																																																																																																																																										
13111108	仁心治军	13111108			1	1	1												5000		1	3											13111708	1																															13111105	心系兵卒																																																																																																																																																										
13112108	仁心治军	13111108			1	1	1												5000		1	3											13112708	1																															13112105	心系兵卒																																																																																																																																																										
13113108	仁心治军	13111108			1	1	1												5000		1	3											13113708	1																															13113105	心系兵卒																																																																																																																																																										
13114108	仁心治军	13111108			1	1	1												5000		1	3											13114708	1																															13114105	心系兵卒																																																																																																																																																										
13115108	仁心治军	13111108			1	1	1												5000		1	3											13115708	1																															13115105	心系兵卒																																																																																																																																																										
13111109	王后之姿	13111109			1														200		2		0.7992										13111709	1	13111809	1					2																								13141305	迷惑																																																																																																																																																										
13112109	王后之姿	13111109			1														200		2		0.7992										13112709	1	13112809	1					2																								13142305	迷惑																																																																																																																																																										
13113109	王后之姿	13111109			1														200		2		0.7992										13113709	1	13113809	1					2																								13143305	迷惑																																																																																																																																																										
13114109	王后之姿	13111109			1														200		2		0.7992										13114709	1	13114809	1					2																								13144305	迷惑																																																																																																																																																										
13115109	王后之姿	13111109			1														200		2		0.7992										13115709	1	13115809	1					2																								13145305	迷惑																																																																																																																																																										
13111110	易水琴歌	13111028			1														50		1												13111710	1																															13111106	合纵奇策																																																																																																																																																										
13112110	易水琴歌	13111028			1														50		1												13112710	1																															13112106	合纵奇策																																																																																																																																																										
13113110	易水琴歌	13111028			1														50		1												13113710	1																															13113106	合纵奇策																																																																																																																																																										
13114110	易水琴歌	13111028			1														50		1												13114710	1																															13114106	合纵奇策																																																																																																																																																										
13115110	易水琴歌	13111028			1														50		1												13115710	1																															13115106	合纵奇策																																																																																																																																																										
13111111	匠心一击	13111111			1														300		1		1.85																																										13141306	重整																																																																																																																																																										
13112111	匠心一击	13111111			1														300		1		1.85																																										13142306	重整																																																																																																																																																										
13113111	匠心一击	13111111			1														300		1		1.85																																										13143306	重整																																																																																																																																																										
13114111	匠心一击	13111111			1														300		1		1.85																																										13144306	重整																																																																																																																																																										
13115111	匠心一击	13111111			1														300		1		1.85																																										13145306	重整																																																																																																																																																										
13111112	利令智昏	13111112			1														50		1												13111712	1																															13111107	连横秘策																																																																																																																																																										
13112112	利令智昏	13111112			1														50		1												13112712	1																															13112107	连横秘策																																																																																																																																																										
13113112	利令智昏	13111112			1														50		1												13113712	1																															13113107	连横秘策																																																																																																																																																										
13114112	利令智昏	13111112			1														50		1												13114712	1																															13114107	连横秘策																																																																																																																																																										
13115112	利令智昏	13111112			1														50		1												13115712	1																															13115107	连横秘策																																																																																																																																																										
13111113	巧言精谋	13111113			1														50		1												13111713	1	13111813	1																													13141307	顺势																																																																																																																																																										
13112113	巧言精谋	13111113			1														50		1												13112713	1	13112813	1																													13142307	顺势																																																																																																																																																										
13113113	巧言精谋	13111113			1														50		1												13113713	1	13113813	1																													13143307	顺势																																																																																																																																																										
13114113	巧言精谋	13111113			1														50		1												13114713	1	13114813	1																													13144307	顺势																																																																																																																																																										
13115113	巧言精谋	13111113			1														50		1												13115713	1	13115813	1																													13145307	顺势																																																																																																																																																										
13111114	霸道强击	13111114			1														300		1		1.221			1							13111714	1																															13111108	仁心治军																																																																																																																																																										
13112114	霸道强击	13111114			1														300		1		1.221			1							13112714	1																															13112108	仁心治军																																																																																																																																																										
13113114	霸道强击	13111114			1														300		1		1.221			1							13113714	1																															13113108	仁心治军																																																																																																																																																										
13114114	霸道强击	13111114			1														300		1		1.221			1							13114714	1																															13114108	仁心治军																																																																																																																																																										
13115114	霸道强击	13111114			1														300		1		1.221			1							13115714	1																															13115108	仁心治军																																																																																																																																																										
13111115	纸上谈兵	13111115			1														50		1												13111715	1																															13141308	强健																																																																																																																																																										
13112115	纸上谈兵	13111115			1														50		1												13112715	1																															13142308	强健																																																																																																																																																										
13113115	纸上谈兵	13111115			1														50		1												13113715	1																															13143308	强健																																																																																																																																																										
13114115	纸上谈兵	13111115			1														50		1												13114715	1																															13144308	强健																																																																																																																																																										
13115115	纸上谈兵	13111115			1														50		1												13115715	1																															13145308	强健																																																																																																																																																										
13111116	美人之妒	13111016			1														300		1		2.035																																										13111109	王后之姿																																																																																																																																																										
13112116	美人之妒	13111016			1														300		1		2.035																																										13112109	王后之姿																																																																																																																																																										
13113116	美人之妒	13111016			1														300		1		2.035																																										13113109	王后之姿																																																																																																																																																										
13114116	美人之妒	13111016			1														300		1		2.035																																										13114109	王后之姿																																																																																																																																																										
13115116	美人之妒	13111016			1														300		1		2.035																																										13115109	王后之姿																																																																																																																																																										
13111117	东家之女	13111117			1														50		1		1.11										13111717	1							2																								13141309	再起																																																																																																																																																										
13112117	东家之女	13111117			1														50		1		1.11										13112717	1							2																								13142309	再起																																																																																																																																																										
13113117	东家之女	13111117			1														50		1		1.11										13113717	1							2																								13143309	再起																																																																																																																																																										
13114117	东家之女	13111117			1														50		1		1.11										13114717	1							2																								13144309	再起																																																																																																																																																										
13115117	东家之女	13111117			1														50		1		1.11										13115717	1							2																								13145309	再起																																																																																																																																																										
13111118	红颜之殇	13111118			1														300		1		2.035			1																																							13111110	易水琴歌																																																																																																																																																										
13112118	红颜之殇	13111118			1														300		1		2.035			1																																							13112110	易水琴歌																																																																																																																																																										
13113118	红颜之殇	13111118			1														300		1		2.035			1																																							13113110	易水琴歌																																																																																																																																																										
13114118	红颜之殇	13111118			1														300		1		2.035			1																																							13114110	易水琴歌																																																																																																																																																										
13115118	红颜之殇	13111118			1														300		1		2.035			1																																							13115110	易水琴歌																																																																																																																																																										
13111119	济水强弓	13111119			1														300		1		2.22																																										13141310	烈焰																																																																																																																																																										
13112119	济水强弓	13111119			1														300		1		2.22																																										13142310	烈焰																																																																																																																																																										
13113119	济水强弓	13111119			1														300		1		2.22																																										13143310	烈焰																																																																																																																																																										
13114119	济水强弓	13111119			1														300		1		2.22																																										13144310	烈焰																																																																																																																																																										
13115119	济水强弓	13111119			1														300		1																																												13145310	烈焰																																																																																																																																																										
13111120	火牛奇袭	13111120			1														50		1												13111720	1	13111820	1					2																								13111111	匠心一击																																																																																																																																																										
13112120	火牛奇袭	13111120			1														50		1												13112720	1	13112820	1					2																								13112111	匠心一击																																																																																																																																																										
13113120	火牛奇袭	13111120			1														50		1												13113720	1	13113820	1					2																								13113111	匠心一击																																																																																																																																																										
13114120	火牛奇袭	13111120			1														50		1												13114720	1	13114820	1					2																								13114111	匠心一击																																																																																																																																																										
13115120	火牛奇袭	13111120			1														50		1												13115720	1	13115820	1					2																								13115111	匠心一击																																																																																																																																																										
13111121	狭路逞勇	13111121			1														300		1		2.035																																										13141311	乱击																																																																																																																																																										
13112121	狭路逞勇	13111121			1														300		1		2.035																																										13142311	乱击																																																																																																																																																										
13113121	狭路逞勇	13111121			1														300		1		2.035																																										13143311	乱击																																																																																																																																																										
13114121	狭路逞勇	13111121			1														300		1		2.035																																										13144311	乱击																																																																																																																																																										
13115121	狭路逞勇	13111121			1														300		1		2.035																																										13145311	乱击																																																																																																																																																										
13111122	世代名将	13111122			1														300		1		1.332																		2																								13111112	利令智昏																																																																																																																																																										
13112122	世代名将	13111122			1														300		1		1.332																		2																								13112112	利令智昏																																																																																																																																																										
13113122	世代名将	13111122			1														300		1		1.332																		2																								13113112	利令智昏																																																																																																																																																										
13114122	世代名将	13111122			1														300		1		1.332																		2																								13114112	利令智昏																																																																																																																																																										
13115122	世代名将	13111122			1														300		1		1.332																		2																								13115112	利令智昏																																																																																																																																																										
13111123	马陵设伏	13111023			1														200		1	4											13111723	1	13111823	1																													13111113	巧言精谋																																																																																																																																																										
13112123	马陵设伏	13111023			1														200		1	4											13112723	1	13112823	1																													13112113	巧言精谋																																																																																																																																																										
13113123	马陵设伏	13111023			1														200		1	4											13113723	1	13113823	1																													13113113	巧言精谋																																																																																																																																																										
13114123	马陵设伏	13111023			1														200		1	4											13114723	1	13114823	1																													13114113	巧言精谋																																																																																																																																																										
13115123	马陵设伏	13111023			1														200		1	4											13115723	1	13115823	1																													13115113	巧言精谋																																																																																																																																																										
13111124	食子破敌	13111124			1														50		1												13111724	1	13111824	1																													13141313	逐敌																																																																																																																																																										
13112124	食子破敌	13111124			1														50		1												13112724	1	13112824	1																													13142313	逐敌																																																																																																																																																										
13113124	食子破敌	13111124			1														50		1												13113724	1	13113824	1																													13143313	逐敌																																																																																																																																																										
13114124	食子破敌	13111124			1														50		1												13114724	1	13114824	1																													13144313	逐敌																																																																																																																																																										
13115124	食子破敌	13111124			1														50		1												13115724	1	13115824	1																													13145313	逐敌																																																																																																																																																										
13111125	北地铁骑	13111125			1	1	1												5000		2	3											13111725	1																															13111114	霸道强击																																																																																																																																																										
13112125	北地铁骑	13111125			1	1	1												5000		2	3											13112725	1																															13112114	霸道强击																																																																																																																																																										
13113125	北地铁骑	13111125			1	1	1												5000		2	3											13113725	1																															13113114	霸道强击																																																																																																																																																										
13114125	北地铁骑	13111125			1	1	1												5000		2	3											13114725	1																															13114114	霸道强击																																																																																																																																																										
13115125	北地铁骑	13111125			1	1	1												5000		2	3											13115725	1																															13115114	霸道强击																																																																																																																																																										
13111126	法家威仪	13111026			1														50		1												13111726	1																															13141314	强攻																																																																																																																																																										
13112126	法家威仪	13111026			1														50		1												13112726	1																															13142314	强攻																																																																																																																																																										
13113126	法家威仪	13111026			1														50		1												13113726	1																															13143314	强攻																																																																																																																																																										
13114126	法家威仪	13111026			1														50		1												13114726	1																															13144314	强攻																																																																																																																																																										
13115126	法家威仪	13111026			1														50		1												13115726	1																															13145314	强攻																																																																																																																																																										
13111127	人中之龙	13111127			1														200		2	2	0.7992										13111727	1							2																								13111115	纸上谈兵																																																																																																																																																										
13112127	人中之龙	13111127			1														200		2	2	0.7992										13112727	1							2																								13112115	纸上谈兵																																																																																																																																																										
13113127	人中之龙	13111127			1														200		2	2	0.7992										13113727	1							2																								13113115	纸上谈兵																																																																																																																																																										
13114127	人中之龙	13111127			1														200		2	2	0.7992										13114727	1							2																								13114115	纸上谈兵																																																																																																																																																										
13115127	人中之龙	13111127			1														200		2	2	0.7992										13115727	1							2																								13115115	纸上谈兵																																																																																																																																																										
13111128	太后威仪	13111010			1														300		1		2.22																																										13111116	美人之妒																																																																																																																																																										
13112128	太后威仪	13111010			1														300		1		2.22																																										13112116	美人之妒																																																																																																																																																										
13113128	太后威仪	13111010			1														300		1		2.22																																										13113116	美人之妒																																																																																																																																																										
13114128	太后威仪	13111010			1														300		1		2.22																																										13114116	美人之妒																																																																																																																																																										
13115128	太后威仪	13111010			1														300		1																																												13115116	美人之妒																																																																																																																																																										
13111129	花月之姿	13111129			1	1													5000		4																		150																										13141316	强攻																																																																																																																																																										
13112129	花月之姿	13111129			1	1													5000		4																		150																										13142316	强攻																																																																																																																																																										
13113129	花月之姿	13111129			1	1													5000		4																		150																										13143316	强攻																																																																																																																																																										
13114129	花月之姿	13111129			1	1													5000		4																		150																										13144316	强攻																																																																																																																																																										
13115129	花月之姿	13111129			1	1													5000		4																		150																										13145316	强攻																																																																																																																																																										
13111130	法家才器	13111130			1														300		1		2.22																																										13111117	东家之女																																																																																																																																																										
13112130	法家才器	13111130			1														300		1		2.22																																										13112117	东家之女																																																																																																																																																										
13113130	法家才器	13111130			1														300		1		2.22																																										13113117	东家之女																																																																																																																																																										
13114130	法家才器	13111130			1														300		1		2.22																																										13114117	东家之女																																																																																																																																																										
13115130	法家才器	13111130			1														300		1		2.22																																										13115117	东家之女																																																																																																																																																										
13111131	鬼谷秘术	13111131			1														300		1		2.22			1																																							13111118	红颜之殇																																																																																																																																																										
13112131	鬼谷秘术	13111131			1														300		1		2.22			1																																							13112118	红颜之殇																																																																																																																																																										
13113131	鬼谷秘术	13111131			1														300		1		2.22			1																																							13113118	红颜之殇																																																																																																																																																										
13114131	鬼谷秘术	13111131			1														300		1		2.22			1																																							13114118	红颜之殇																																																																																																																																																										
13115131	鬼谷秘术	13111131			1														300		1		2.22			1																																							13115118	红颜之殇																																																																																																																																																										
13111132	战神之威	13111132			1														5000		5		0.444																		2																								13141318	迸射																																																																																																																																																										
13112132	战神之威	13111132			1														5000		5		0.444																		2																								13142318	迸射																																																																																																																																																										
13113132	战神之威	13111132			1														5000		5		0.444																		2																								13143318	迸射																																																																																																																																																										
13114132	战神之威	13111132			1														5000		5		0.444																		2																								13144318	迸射																																																																																																																																																										
13115132	战神之威	13111132			1														5000		5		0.444																		2																								13145318	迸射																																																																																																																																																										
13111133	老将善攻	13111133			1	1	1												5000		2	2											13111733	1																															13111119	济水强弓																																																																																																																																																										
13112133	老将善攻	13111133			1	1	1												5000		2	2											13112733	1																															13112119	济水强弓																																																																																																																																																										
13113133	老将善攻	13111133			1	1	1												5000		2	2											13113733	1																															13113119	济水强弓																																																																																																																																																										
13114133	老将善攻	13111133			1	1	1												5000		2	2											13114733	1																															13114119	济水强弓																																																																																																																																																										
13115133	老将善攻	13111133			1	1	1												5000		2	2											13115733	1																															13115119	济水强弓																																																																																																																																																										
13111134	固守长平	13111134			1	1	1												0		1							13111534	1																																				13141319	呼应																																																																																																																																																										
13112134	固守长平	13111134			1	1	1												0		1							13112534	1																																				13142319	呼应																																																																																																																																																										
13113134	固守长平	13111134			1	1	1												0		1							13113534	1																																				13143319	呼应																																																																																																																																																										
13114134	固守长平	13111134			1	1	1												0		1							13114534	1																																				13144319	呼应																																																																																																																																																										
13115134	固守长平	13111134			1	1	1												0		1							13115534	1																																				13145319	呼应																																																																																																																																																										
13111135	国之利器	13111135			1														300		1		2.22																																										13111120	火牛奇袭																																																																																																																																																										
13112135	国之利器	13111135			1														300		1		2.22																																										13112120	火牛奇袭																																																																																																																																																										
13113135	国之利器	13111135			1														300		1		2.22																																										13113120	火牛奇袭																																																																																																																																																										
13114135	国之利器	13111135			1														300		1		2.22																																										13114120	火牛奇袭																																																																																																																																																										
13115135	国之利器	13111135			1														300		1		2.22																																										13115120	火牛奇袭																																																																																																																																																										
13111136	魏武方阵	13111136			1	1	1												5000		1	3											13111736	1																															13141320	闪避																																																																																																																																																										
13112136	魏武方阵	13111136			1	1	1												5000		1	3											13112736	1																															13142320	闪避																																																																																																																																																										
13113136	魏武方阵	13111136			1	1	1												5000		1	3											13113736	1																															13143320	闪避																																																																																																																																																										
13114136	魏武方阵	13111136			1	1	1												5000		1	3											13114736	1																															13144320	闪避																																																																																																																																																										
13115136	魏武方阵	13111136			1	1	1												5000		1	3											13115736	1																															13145320	闪避																																																																																																																																																										
13111137	完璧护国	13111137			1	1	1												0		1							13111537	1																																				13111121	狭路逞勇																																																																																																																																																										
13112137	完璧护国	13111137			1	1	1												0		1							13112537	1																																				13112121	狭路逞勇																																																																																																																																																										
13113137	完璧护国	13111137			1	1	1												0		1							13113537	1																																				13113121	狭路逞勇																																																																																																																																																										
13114137	完璧护国	13111137			1	1	1												0		1							13114537	1																																				13114121	狭路逞勇																																																																																																																																																										
13115137	完璧护国	13111137			1	1	1												0		1							13115537	1																																				13115121	狭路逞勇																																																																																																																																																										
13111138	奇谋划策	13111138			1	1	1												5000		1	2											13111738	1																															13141321	强攻																																																																																																																																																										
13112138	奇谋划策	13111138			1	1	1												5000		1	2											13112738	1																															13142321	强攻																																																																																																																																																										
13113138	奇谋划策	13111138			1	1	1												5000		1	2											13113738	1																															13143321	强攻																																																																																																																																																										
13114138	奇谋划策	13111138			1	1	1												5000		1	2											13114738	1																															13144321	强攻																																																																																																																																																										
13115138	奇谋划策	13111138			1	1	1												5000		1	2											13115738	1																															13145321	强攻																																																																																																																																																										
13111139	乱世红颜	13111139			1														300		1		1.85																																										13111122	世代名将																																																																																																																																																										
13112139	乱世红颜	13111139			1														300		1		1.85																																										13112122	世代名将																																																																																																																																																										
13113139	乱世红颜	13111139			1														300		1		1.85																																										13113122	世代名将																																																																																																																																																										
13114139	乱世红颜	13111139			1														300		1		1.85																																										13114122	世代名将																																																																																																																																																										
13115139	乱世红颜	13111139			1														300		1		1.85																																										13115122	世代名将																																																																																																																																																										
13111140	破燕逐北	13111140			1														50		1												13111740	1																															13111123	马陵设伏																																																																																																																																																										
13112140	破燕逐北	13111140			1														50		1												13112740	1																															13112123	马陵设伏																																																																																																																																																										
13113140	破燕逐北	13111140			1														50		1												13113740	1																															13113123	马陵设伏																																																																																																																																																										
13114140	破燕逐北	13111140			1														50		1												13114740	1																															13114123	马陵设伏																																																																																																																																																										
13115140	破燕逐北	13111140			1														50		1												13115740	1																															13115123	马陵设伏																																																																																																																																																										
																																																																	13141323	闪避																																																																																																																																																										
13141102	每攻击4次，将额外造成48%的普攻伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续15秒。	13141002																	0		1		0.3996		250																																								13142323	闪避																																																																																																																																																										
13142102	每攻击4次，将额外造成58%的普攻伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续15秒。	13141002																	0		1		0.41958		250																																								13143323	闪避																																																																																																																																																										
13143102	每攻击4次，将额外造成67%的普攻伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续15秒。	13141002																	0		1		0.43956		250																																								13144323	闪避																																																																																																																																																										
13144102	每攻击4次，将额外造成77%的普攻伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续15秒。	13141002																	0		1		0.45954		250																																								13145323	闪避																																																																																																																																																										
13145102	每攻击4次，将额外造成86%的普攻伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续15秒。	13141002																	0		1		0.47952		250																																								13111124	食子破敌																																																																																																																																																										
13141107	每4次攻击造成额外，60%的伤害，若目标可被奇袭状态，则伤害额外增加12%。	13141007																	0		1		0.444		250																																								13112124	食子破敌																																																																																																																																																										
13142107	每4次攻击造成额外，72%的伤害，若目标可被奇袭状态，则伤害额外增加14%。	13141007																	0		1		0.4662		250																																								13113124	食子破敌																																																																																																																																																										
13143107	每4次攻击造成额外，84%的伤害，若目标可被奇袭状态，则伤害额外增加17%。	13141007																	0		1		0.4884		250																																								13114124	食子破敌																																																																																																																																																										
13144107	每4次攻击造成额外，96%的伤害，若目标可被奇袭状态，则伤害额外增加19%。	13141007																	0		1		0.5106		250																																								13115124	食子破敌																																																																																																																																																										
13145107	每4次攻击造成额外，108%的伤害，若目标可被奇袭状态，则伤害额外增加22%。	13141007																	0		1		0.5328		250																																								13141324	强健																																																																																																																																																										
13141207	每4次攻击造成额外，108%的伤害，若目标可被奇袭状态，则伤害额外增加22%。	13141107										1	1	1	1				0		1		0.0888		250																																								13142324	强健																																																																																																																																																										
13142207	每4次攻击造成额外，108%的伤害，若目标可被奇袭状态，则伤害额外增加22%。	13141107										1	1	1	1				0		1		0.09324		250																																								13143324	强健																																																																																																																																																										
13143207	每4次攻击造成额外，108%的伤害，若目标可被奇袭状态，则伤害额外增加22%。	13141107										1	1	1	1				0		1		0.09768		250																																								13144324	强健																																																																																																																																																										
13144207	每4次攻击造成额外，108%的伤害，若目标可被奇袭状态，则伤害额外增加22%。	13141107										1	1	1	1				0		1		0.10212		250																																								13145324	强健																																																																																																																																																										
13145207	每4次攻击造成额外，108%的伤害，若目标可被奇袭状态，则伤害额外增加22%。	13141107										1	1	1	1				0		1		0.10656		250																																								13111125	北地铁骑																																																																																																																																																										
13141111	每4次攻击造成额外，24%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141011																	0		1		0.1998		250																																								13112125	北地铁骑																																																																																																																																																										
13142111	每4次攻击造成额外，29%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141011																	0		1		0.20979		250																																								13113125	北地铁骑																																																																																																																																																										
13143111	每4次攻击造成额外，34%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141011																	0		1		0.21978		250																																								13114125	北地铁骑																																																																																																																																																										
13144111	每4次攻击造成额外，38%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141011																	0		1		0.22977		250																																								13115125	北地铁骑																																																																																																																																																										
13145111	每4次攻击造成额外，43%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141011																	0		1		0.23976		250																																								13141325	护体																																																																																																																																																										
13141211	每4次攻击造成额外，43%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141111										1	1	1	1				0		1		0.074		250																																								13142325	护体																																																																																																																																																										
13142211	每4次攻击造成额外，43%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141111										1	1	1	1				0		1		0.074		250																																								13143325	护体																																																																																																																																																										
13143211	每4次攻击造成额外，43%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141111										1	1	1	1				0		1		0.074		250																																								13144325	护体																																																																																																																																																										
13144211	每4次攻击造成额外，43%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141111										1	1	1	1				0		1		0.074		250																																								13145325	护体																																																																																																																																																										
13145211	每4次攻击造成额外，43%的伤害，若目标可被奇袭状态，则伤害额外增加20%。	13141111										1	1	1	1				0		1		0.074		250																																								13111126	法家威仪																																																																																																																																																										
13141114	攻击命中时有25%的概率造成48%额外伤害。	13141014																	0		1		0.3996		250																																								13112126	法家威仪																																																																																																																																																										
13142114	攻击命中时有25%的概率造成58%额外伤害。	13141014																	0		1		0.41958		250																																								13113126	法家威仪																																																																																																																																																										
13143114	攻击命中时有25%的概率造成67%额外伤害。	13141014																	0		1		0.43956		250																																								13114126	法家威仪																																																																																																																																																										
13144114	攻击命中时有25%的概率造成77%额外伤害。	13141014																	0		1		0.45954		250																																								13115126	法家威仪																																																																																																																																																										
