Id	名字		表现特效	堆叠类型 0-不堆叠 1-替换 2-堆叠	最大堆叠层数	生效次数	生效间隔	状态掉血系数		修改属性	填1表示增加属性，否则表示减属性	移动速度，填小数	攻击速度，填小数	护盾比例，填小数	不可移动	不能普攻	沉默，不能放技能	晕眩	状态效果类型，0-无 1-燃烧 2-中毒 3-流血		被击伤害附加类型，0-无 1-燃烧 2-中毒 3-流血	被击伤害附加系数				被攻击伤害减少	系数，填小数				怒气，填负数表示减怒气	怒气恢复速度，填小数		护盾抵扣比例	伤害类型 0-伤害公式 1-兵力*系数 2-平均4维伤害公式			
13113504	给自身施加一个相当于最大兵力上限28%的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5			怒气速度提升	30
13114504	给自身施加一个相当于最大兵力上限32%的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5			怒气速度降低	31
13115504	给自身施加一个相当于最大兵力上限36%的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5			眩晕	32
13111705	给己方血量百分比最低的单位，提升50%的减伤，持续15秒。	减伤提升	18	1	1	1	30s			13111705	1																										怯战	33
13112705	给己方血量百分比最低的单位，提升60%的减伤，持续15秒。	减伤提升	18	1	1	1	30s			13112705	1																										沉默	34
13113705	给己方血量百分比最低的单位，提升70%的减伤，持续15秒。	减伤提升	18	1	1	1	30s			13113705	1																										禁锢	35
13114705	给己方血量百分比最低的单位，提升80%的减伤，持续15秒。	减伤提升	18	1	1	1	30s			13114705	1																										混乱	36
13115705	给己方血量百分比最低的单位，提升90%的减伤，持续15秒。	减伤提升	18	1	1	1	30s			13115705	1																										魅惑	37
13111706	使目标陷入易燃状态，受到火系伤害额外提升12%，所有伤害提升40%，持续15秒。	易燃	41	1	1	1	30s														1	0.12															流血	38
13112706	使目标陷入易燃状态，受到火系伤害额外提升12%，所有伤害提升48%，持续15秒。	易燃	41	1	1	1	30s														1	0.12															中毒	39
13113706	使目标陷入易燃状态，受到火系伤害额外提升12%，所有伤害提升56%，持续15秒。	易燃	41	1	1	1	30s														1	0.12															燃烧	40
13114706	使目标陷入易燃状态，受到火系伤害额外提升12%，所有伤害提升64%，持续15秒。	易燃	41	1	1	1	30s														1	0.12															易燃	41
13115706	使目标陷入易燃状态，受到火系伤害额外提升12%，所有伤害提升72%，持续15秒。	易燃	41	1	1	1	30s														1	0.12																
13111806		减伤降低	19	1	1	1	30s			13111806	1																											
13112806		减伤降低	19	1	1	1	30s			13112806	1																											
13113806		减伤降低	19	1	1	1	30s			13113806	1																											
13114806		减伤降低	19	1	1	1	30s			13114806	1																											
13115806		减伤降低	19	1	1	1	30s			13115806	1																											
13111708	为己方兵力百分比最低的单位加上相当于该单位20%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5				
13112708	为己方兵力百分比最低的单位加上相当于该单位24%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5				
13113708	为己方兵力百分比最低的单位加上相当于该单位28%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5				
13114708	为己方兵力百分比最低的单位加上相当于该单位32%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5				
13115708	为己方兵力百分比最低的单位加上相当于该单位36%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5				
13111709	使目标陷入易燃状态，受到火系伤害额外提升15%，所有伤害提升50%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13112709	使目标陷入易燃状态，受到火系伤害额外提升15%，所有伤害提升60%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13113709	使目标陷入易燃状态，受到火系伤害额外提升15%，所有伤害提升70%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13114709	使目标陷入易燃状态，受到火系伤害额外提升15%，所有伤害提升80%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13115709	使目标陷入易燃状态，受到火系伤害额外提升15%，所有伤害提升90%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13111809		减伤降低	19	1	1	1	30s			13111809	1																											
13112809		减伤降低	19	1	1	1	30s			13112809	1																											
13113809		减伤降低	19	1	1	1	30s			13113809	1																											
13114809		减伤降低	19	1	1	1	30s			13114809	1																											
13115809		减伤降低	19	1	1	1	30s			13115809	1																											
13111710	使目标所受伤害提升50%，持续15秒。	减伤降低	19	1	1	1	30s			13111710	1																											
13112710	使目标所受伤害提升60%，持续15秒。	减伤降低	19	1	1	1	30s			13112710	1																											
13113710	使目标所受伤害提升70%，持续15秒。	减伤降低	19	1	1	1	30s			13113710	1																											
13114710	使目标所受伤害提升80%，持续15秒。	减伤降低	19	1	1	1	30s			13114710	1																											
13115710	使目标所受伤害提升90%，持续15秒。	减伤降低	19	1	1	1	30s			13115710	1																											
13111712	使目标所受伤害提升32%，持续15秒。	减伤降低	19	1	1	1	30s			13111712	1																											
13112712	使目标所受伤害提升38%，持续15秒。	减伤降低	19	1	1	1	30s			13112712	1																											
13113712	使目标所受伤害提升45%，持续15秒。	减伤降低	19	1	1	1	30s			13113712	1																											
13114712	使目标所受伤害提升51%，持续15秒。	减伤降低	19	1	1	1	30s			13114712	1																											
13115712	使目标所受伤害提升58%，持续15秒。	减伤降低	19	1	1	1	30s			13115712	1																											
13111713	立刻使目标陷入混乱状态4秒，并使其所受伤害提升32%，持续15秒。	混乱	36	1	1	1	4s											1																				
13112713	立刻使目标陷入混乱状态4秒，并使其所受伤害提升38%，持续15秒。	混乱	36	1	1	1	4s											1																				
13113713	立刻使目标陷入混乱状态4秒，并使其所受伤害提升45%，持续15秒。	混乱	36	1	1	1	4s											1																				
13114713	立刻使目标陷入混乱状态4秒，并使其所受伤害提升51%，持续15秒。	混乱	36	1	1	1	4s											1																				
13115713	立刻使目标陷入混乱状态4秒，并使其所受伤害提升58%，持续15秒。	混乱	36	1	1	1	4s											1																				
13111813		减伤降低	19	1	1	1	30s			13111813	1																											
13112813		减伤降低	19	1	1	1	30s			13112813	1																											
13113813		减伤降低	19	1	1	1	30s			13113813	1																											
13114813		减伤降低	19	1	1	1	30s			13114813	1																											
13115813		减伤降低	19	1	1	1	30s			13115813	1																											
13111714	立刻造成80%火系伤害，并使目标持续燃烧，每3秒受到16%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2442											1																			
13112714	立刻造成96%火系伤害，并使目标持续燃烧，每3秒受到19%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2442											1																			
13113714	立刻造成112%火系伤害，并使目标持续燃烧，每3秒受到22%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2442											1																			
13114714	立刻造成128%火系伤害，并使目标持续燃烧，每3秒受到26%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2442											1																			
13115714	立刻造成144%火系伤害，并使目标持续燃烧，每3秒受到29%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2442											1																			
13111715	使目标所受伤害提升32%，持续15秒。	减伤降低	19	1	1	1	30s			13111715	1																											
13112715	使目标所受伤害提升38%，持续15秒。	减伤降低	19	1	1	1	30s			13112715	1																											
13113715	使目标所受伤害提升45%，持续15秒。	减伤降低	19	1	1	1	30s			13113715	1																											
13114715	使目标所受伤害提升51%，持续15秒。	减伤降低	19	1	1	1	30s			13114715	1																											
13115715	使目标所受伤害提升58%，持续15秒。	减伤降低	19	1	1	1	30s			13115715	1																											
13111517	使自身减伤提升32%，持续15秒。	减伤提升	18	1	1	1	30s			13111517	1																											
13112517	使自身减伤提升38%，持续15秒。	减伤提升	18	1	1	1	30s			13112517	1																											
13113517	使自身减伤提升45%，持续15秒。	减伤提升	18	1	1	1	30s			13113517	1																											
13114517	使自身减伤提升51%，持续15秒。	减伤提升	18	1	1	1	30s			13114517	1																											
13115517	使自身减伤提升58%，持续15秒。	减伤提升	18	1	1	1	30s			13115517	1																											
13111720	立刻使目标陷入混乱状态5秒，并使其所受伤害提升40%，持续15秒。	混乱	36	1	1	1	5s											1																				
13112720	立刻使目标陷入混乱状态5秒，并使其所受伤害提升48%，持续15秒。	混乱	36	1	1	1	5s											1																				
13113720	立刻使目标陷入混乱状态5秒，并使其所受伤害提升56%，持续15秒。	混乱	36	1	1	1	5s											1																				
13114720	立刻使目标陷入混乱状态5秒，并使其所受伤害提升64%，持续15秒。	混乱	36	1	1	1	5s											1																				
13115720	立刻使目标陷入混乱状态5秒，并使其所受伤害提升72%，持续15秒。	混乱	36	1	1	1	5s											1																				
13111820		减伤降低	19	1	1	1	30s			13111820	1																											
13112820		减伤降低	19	1	1	1	30s			13112820	1																											
13113820		减伤降低	19	1	1	1	30s			13113820	1																											
13114820		减伤降低	19	1	1	1	30s			13114820	1																											
13115820		减伤降低	19	1	1	1	30s			13115820	1																											
13111723	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升40%，持续15秒。	沉默	34	1	1	1	5s										1																					
13112723	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升48%，持续15秒。	沉默	34	1	1	1	5s										1																					
13113723	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升56%，持续15秒。	沉默	34	1	1	1	5s										1																					
13114723	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升64%，持续15秒。	沉默	34	1	1	1	5s										1																					
13115723	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升72%，持续15秒。	沉默	34	1	1	1	5s										1																					
13111823		减伤降低	19	1	1	1	30s			13111823	1																											
13112823		减伤降低	19	1	1	1	30s			13112823	1																											
13113823		减伤降低	19	1	1	1	30s			13113823	1																											
13114823		减伤降低	19	1	1	1	30s			13114823	1																											
13115823		减伤降低	19	1	1	1	30s			13115823	1																											
13111724	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升32%，持续15秒。	怯战	33	1	1	1	5s									1																						
13112724	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升38%，持续15秒。	怯战	33	1	1	1	5s									1																						
13113724	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升45%，持续15秒。	怯战	33	1	1	1	5s									1																						
13114724	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升51%，持续15秒。	怯战	33	1	1	1	5s									1																						
13115724	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升58%，持续15秒。	怯战	33	1	1	1	5s									1																						
13111824		减伤降低	19	1	1	1	30s			13111824	1																											
13112824		减伤降低	19	1	1	1	30s			13112824	1																											
13113824		减伤降低	19	1	1	1	30s			13113824	1																											
13114824		减伤降低	19	1	1	1	30s			13114824	1																											
13115824		减伤降低	19	1	1	1	30s			13115824	1																											
13111725	给2个我方百分比血量最低的单位加上15%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.2																				0.5				
13112725	给2个我方百分比血量最低的单位加上18%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.2																				0.5				
13113725	给2个我方百分比血量最低的单位加上21%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.2																				0.5				
13114725	给2个我方百分比血量最低的单位加上24%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.2																				0.5				
13115725	给2个我方百分比血量最低的单位加上27%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.2																				0.5				
13111726	使目标所受伤害提升40%，持续15秒。	减伤降低	19	1	1	1	30s			13111726	1																											
13112726	使目标所受伤害提升48%，持续15秒。	减伤降低	19	1	1	1	30s			13112726	1																											
13113726	使目标所受伤害提升56%，持续15秒。	减伤降低	19	1	1	1	30s			13113726	1																											
13114726	使目标所受伤害提升64%，持续15秒。	减伤降低	19	1	1	1	30s			13114726	1																											
13115726	使目标所受伤害提升72%，持续15秒。	减伤降低	19	1	1	1	30s			13115726	1																											
13111727	使敌方血量最高的单位命中率下降40%，持续15秒。	加伤降低	23	1	1	1	30s			13111727	1																											
13112727	使敌方血量最高的单位命中率下降48%，持续15秒。	加伤降低	23	1	1	1	30s			13112727	1																											
13113727	使敌方血量最高的单位命中率下降56%，持续15秒。	加伤降低	23	1	1	1	30s			13113727	1																											
13114727	使敌方血量最高的单位命中率下降64%，持续15秒。	加伤降低	23	1	1	1	30s			13114727	1																											
13115727	使敌方血量最高的单位命中率下降72%，持续15秒。	加伤降低	23	1	1	1	30s			13115727	1																											
13111732	威吓目标，使其怯战不敢攻击持续5秒，并使其所受伤害提升40%，持续15秒。	怯战	33	1	1	1	5s									1																						
13112732	威吓目标，使其怯战不敢攻击持续5秒，并使其所受伤害提升48%，持续15秒。	怯战	33	1	1	1	5s									1																						
13113732	威吓目标，使其怯战不敢攻击持续5秒，并使其所受伤害提升56%，持续15秒。	怯战	33	1	1	1	5s									1																						
13114732	威吓目标，使其怯战不敢攻击持续5秒，并使其所受伤害提升64%，持续15秒。	怯战	33	1	1	1	5s									1																						
13115732	威吓目标，使其怯战不敢攻击持续5秒，并使其所受伤害提升72%，持续15秒。	怯战	33	1	1	1	5s									1																						
13111832		减伤降低	19	1	1	1	30s			13111832	1																											
13112832		减伤降低	19	1	1	1	30s			13112832	1																											
13113832		减伤降低	19	1	1	1	30s			13113832	1																											
13114832		减伤降低	19	1	1	1	30s			13114832	1																											
13115832		减伤降低	19	1	1	1	30s			13115832	1																											
13111733	使己方百分比血量最高的单位提升攻速40%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13112733	使己方百分比血量最高的单位提升攻速48%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13113733	使己方百分比血量最高的单位提升攻速56%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13114733	使己方百分比血量最高的单位提升攻速64%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13115733	使己方百分比血量最高的单位提升攻速72%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13111534	给自己加上一个25%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13112534	给自己加上一个30%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13113534	给自己加上一个35%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13114534	给自己加上一个40%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13115534	给自己加上一个45%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13111736	给己方血量百分比最低的单位25%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13112736	给己方血量百分比最低的单位30%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13113736	给己方血量百分比最低的单位35%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13114736	给己方血量百分比最低的单位40%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13115736	给己方血量百分比最低的单位45%最大兵力值的护盾，持续15秒。	护盾	1	1	1	1	30s							0.333333333																				0.5				
13111537	使自身减伤提升32%，持续15秒。	减伤提升	18	1	1	1	30s			13111537	1																											
13112537	使自身减伤提升38%，持续15秒。	减伤提升	18	1	1	1	30s			13112537	1																											
13113537	使自身减伤提升45%，持续15秒。	减伤提升	18	1	1	1	30s			13113537	1																											
13114537	使自身减伤提升51%，持续15秒。	减伤提升	18	1	1	1	30s			13114537	1																											
13115537	使自身减伤提升58%，持续15秒。	减伤提升	18	1	1	1	30s			13115537	1																											
13111738	使己方血量百分比最高的单位伤害提升50%，持续15秒。	加伤提升	16	1	1	1	30s			13111738	1																											
13112738	使己方血量百分比最高的单位伤害提升60%，持续15秒。	加伤提升	16	1	1	1	30s			13112738	1																											
13113738	使己方血量百分比最高的单位伤害提升70%，持续15秒。	加伤提升	16	1	1	1	30s			13113738	1																											
13114738	使己方血量百分比最高的单位伤害提升80%，持续15秒。	加伤提升	16	1	1	1	30s			13114738	1																											
13115738	使己方血量百分比最高的单位伤害提升90%，持续15秒。	加伤提升	16	1	1	1	30s			13115738	1																											
13111740	使目标所受伤害提升32%，持续15秒。	减伤降低	19	1	1	1	30s			13111740	1																											
13112740	使目标所受伤害提升38%，持续15秒。	减伤降低	19	1	1	1	30s			13112740	1																											
13113740	使目标所受伤害提升45%，持续15秒。	减伤降低	19	1	1	1	30s			13113740	1																											
13114740	使目标所受伤害提升51%，持续15秒。	减伤降低	19	1	1	1	30s			13114740	1																											
13115740	使目标所受伤害提升58%，持续15秒。	减伤降低	19	1	1	1	30s			13115740	1																											
																																						
13151511	每5次攻击，提升自身敏捷属性1000，持续15秒。	敏捷提升	14	1	1	1	30s			13151511	1																											
13152511	每5次攻击，提升自身敏捷属性1200，持续15秒。	敏捷提升	14	1	1	1	30s			13152511	1																											
13153511	每5次攻击，提升自身敏捷属性1400，持续15秒。	敏捷提升	14	1	1	1	30s			13153511	1																											
13154511	每5次攻击，提升自身敏捷属性1600，持续15秒。	敏捷提升	14	1	1	1	30s			13154511	1																											
13155511	每5次攻击，提升自身敏捷属性1800，持续15秒。	敏捷提升	14	1	1	1	30s			13155511	1																											
13151512	每5次攻击，提升自身体力属性1000，持续15秒。	体力提升	12	1	1	1	30s			13151512	1																											
13152512	每5次攻击，提升自身体力属性1200，持续15秒。	体力提升	12	1	1	1	30s			13152512	1																											
13153512	每5次攻击，提升自身体力属性1400，持续15秒。	体力提升	12	1	1	1	30s			13153512	1																											
13154512	每5次攻击，提升自身体力属性1600，持续15秒。	体力提升	12	1	1	1	30s			13154512	1																											
13155512	每5次攻击，提升自身体力属性1800，持续15秒。	体力提升	12	1	1	1	30s			13155512	1																											
																																						
13141503	攻击命中时有33%的概率提升自身攻击速度24%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13142503	攻击命中时有33%的概率提升自身攻击速度29%，持续15秒。	攻速提升	26	1	1	1	30s						0.504																									
13143503	攻击命中时有33%的概率提升自身攻击速度34%，持续15秒。	攻速提升	26	1	1	1	30s						0.528																									
13144503	攻击命中时有33%的概率提升自身攻击速度38%，持续15秒。	攻速提升	26	1	1	1	30s						0.552																									
13145503	攻击命中时有33%的概率提升自身攻击速度43%，持续15秒。	攻速提升	26	1	1	1	30s						0.576																									
13141704	攻击命中目标后有33%的概率，使目标受到的伤害提升24%，持续15秒。	减伤降低	19	1	1	1	30s			13141704	1																											
13142704	攻击命中目标后有33%的概率，使目标受到的伤害提升29%，持续15秒。	减伤降低	19	1	1	1	30s			13142704	1																											
13143704	攻击命中目标后有33%的概率，使目标受到的伤害提升34%，持续15秒。	减伤降低	19	1	1	1	30s			13143704	1																											
13144704	攻击命中目标后有33%的概率，使目标受到的伤害提升38%，持续15秒。	减伤降低	19	1	1	1	30s			13144704	1																											
13145704	攻击命中目标后有33%的概率，使目标受到的伤害提升43%，持续15秒。	减伤降低	19	1	1	1	30s			13145704	1																											
13141510	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降30%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13142510	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降36%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13143510	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降42%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13144510	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降48%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13145510	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降54%，持续15秒。	易燃	41	1	1	1	30s														1	0.15																
13141710	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降30%，持续15秒。	减伤提升	18	1	1	1	30s			13141710	1																											
13142710	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降36%，持续15秒。	减伤提升	18	1	1	1	30s			13142710	1																											
13143710	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降42%，持续15秒。	减伤提升	18	1	1	1	30s			13143710	1																											
13144710	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降48%，持续15秒。	减伤提升	18	1	1	1	30s			13144710	1																											
13145710	攻击时有33%的概率使目标陷入易燃状态，受到火系伤害额外提升15%，并使自身所受伤害下降54%，持续15秒。	减伤提升	18	1	1	1	30s			13145710	1																											
13141713	攻击命中目标时有33%的概率提升目标所受伤害24%，持续15秒。	减伤降低	19	1	1	1	30s			13141713	1																											
13142713	攻击命中目标时有33%的概率提升目标所受伤害29%，持续15秒。	减伤降低	19	1	1	1	30s			13142713	1																											
13143713	攻击命中目标时有33%的概率提升目标所受伤害34%，持续15秒。	减伤降低	19	1	1	1	30s			13143713	1																											
13144713	攻击命中目标时有33%的概率提升目标所受伤害38%，持续15秒。	减伤降低	19	1	1	1	30s			13144713	1																											
13145713	攻击命中目标时有33%的概率提升目标所受伤害43%，持续15秒。	减伤降低	19	1	1	1	30s			13145713	1																											
13141518	攻击命中时有25%的概率提升自身伤害24%，持续15秒。	加伤提升	16	1	1	1	30s			13141518	1																											
13142518	攻击命中时有25%的概率提升自身伤害29%，持续15秒。	加伤提升	16	1	1	1	30s			13142518	1																											
13143518	攻击命中时有25%的概率提升自身伤害34%，持续15秒。	加伤提升	16	1	1	1	30s			13143518	1																											
13144518	攻击命中时有25%的概率提升自身伤害38%，持续15秒。	加伤提升	16	1	1	1	30s			13144518	1																											
13145518	攻击命中时有25%的概率提升自身伤害43%，持续15秒。	加伤提升	16	1	1	1	30s			13145518	1																											
13141520	攻击命中目标时有33%的概率使自身闪避提升24%，持续15秒。	闪避提升	24	1	1	1	30s			13141520	1																											
13142520	攻击命中目标时有33%的概率使自身闪避提升29%，持续15秒。	闪避提升	24	1	1	1	30s			13142520	1																											
13143520	攻击命中目标时有33%的概率使自身闪避提升34%，持续15秒。	闪避提升	24	1	1	1	30s			13143520	1																											
13144520	攻击命中目标时有33%的概率使自身闪避提升38%，持续15秒。	闪避提升	24	1	1	1	30s			13144520	1																											
13145520	攻击命中目标时有33%的概率使自身闪避提升43%，持续15秒。	闪避提升	24	1	1	1	30s			13145520	1																											
13141523	攻击命中时有33%的概率提升自身闪避24%，持续15秒。	闪避提升	24	1	1	1	30s			13141523	1																											
13142523	攻击命中时有33%的概率提升自身闪避29%，持续15秒。	闪避提升	24	1	1	1	30s			13142523	1																											
13143523	攻击命中时有33%的概率提升自身闪避34%，持续15秒。	闪避提升	24	1	1	1	30s			13143523	1																											
13144523	攻击命中时有33%的概率提升自身闪避38%，持续15秒。	闪避提升	24	1	1	1	30s			13144523	1																											
13145523	攻击命中时有33%的概率提升自身闪避43%，持续15秒。	闪避提升	24	1	1	1	30s			13145523	1																											
13141524	攻击命中时有33%的概率使自身减伤提升24%，持续15秒。	减伤提升	18	1	1	1	30s			13141524	1																											
13142524	攻击命中时有33%的概率使自身减伤提升29%，持续15秒。	减伤提升	18	1	1	1	30s			13142524	1																											
13143524	攻击命中时有33%的概率使自身减伤提升34%，持续15秒。	减伤提升	18	1	1	1	30s			13143524	1																											
13144524	攻击命中时有33%的概率使自身减伤提升38%，持续15秒。	减伤提升	18	1	1	1	30s			13144524	1																											
13145524	攻击命中时有33%的概率使自身减伤提升43%，持续15秒。	减伤提升	18	1	1	1	30s			13145524	1																											
13141525	攻击命中时有33%的概率使自身减伤提升30%，持续15秒。	减伤提升	18	1	1	1	30s			13141525	1																											
13142525	攻击命中时有33%的概率使自身减伤提升36%，持续15秒。	减伤提升	18	1	1	1	30s			13142525	1																											
13143525	攻击命中时有33%的概率使自身减伤提升42%，持续15秒。	减伤提升	18	1	1	1	30s			13143525	1																											
