钓鱼id	钓鱼类型 0-高级 1-普通	钓鱼的奖励，配置prize.txt中的id		是否展示	是否广播	广播内容	权重	配1表示第一次钓鱼奖励	十连保底				
													
													
301	0	11405003					5						
302	0	11405007					5						
303	0	11405009					5						
304	0	11405010					5						
305	0	11405019					5						
306	0	11405020					5						
307	0	11405023					5						
308	0	11405025					5						
309	0	11405027					5						
310	0	11405029					5						
311	0	11405030					5						
312	0	11405032					5						
313	0	11405033					5						
314	0	11405034					5						
315	0	11405035					5						
316	0	11405036					5						
317	0	11405038					5						
318	0	11405022					5						
319	0	11405037					26						
320	0	11405002					26						
321	0	11405004					26						
322	0	11405006					26						
323	0	11405013					26						
324	0	11405014					26						
325	0	11405016					26						
326	0	11405018					26						
327	0	11405021					26						
328	0	11405024					26						
329	0	11405026					26						
330	0	11405040					26						
331	0	11405005					80						
332	0	11405008					80						
333	0	11405011					80						
334	0	11405001					80						
335	0	11405012					80						
336	0	11405015					80						
337	0	11405017					80						
338	0	11405039					80						
													
													
													
1001	0	1001001					250						
1002	0	1001002					190						
1003	0	1001101		1			100						
													
1101	0	10205501		1			14						
1102	0	10205502		1			14						
1103	0	10205503		1			14						
1104	0	10205504		1			7						
1105	0	10205505		1			7						
1106	0	10205506		1			7						
1107	0	10205507		1			7						
1108	0	8004001		1			1200						
													
1201	0	5210703					250						
1202	0	5210705					200						
1203	0	5210901					150						
1204	0	5211001		1			100						
1205	0	5220703					250						
1206	0	5220705					200						
1207	0	5220901					150						
1208	0	5221001		1			100						
													
2001	1	5210601					750						
2002	1	5210701					500						
2003	1	5210801					500						
2004	1	5220601					750						
2005	1	5220701					500						
2006	1	5220801					500						
													
2101	1	1000904					600						
2102	1	1000908					400						
2103	1	1001001					250						
													
2201	1	11400005	1	1			70						
2202	1	11400008	1	1			70						
2203	1	11400011	1	1			70						
2204	1	11400001	1	1			70						
2205	1	11400012	1	1			70						
2206	1	11400015	1	1			70						
2207	1	11400017	1	1			70						
2208	1	11400039	1	1			70						
													
2301	1	11401037	2				50						
2302	1	11401002	2				50						
2303	1	11401004	2				50						
2304	1	11401006	2				50						
2305	1	11401013	2				50						
2306	1	11401014	2				50						
2307	1	11401016	2				50						
2308	1	11401018	2				50						
2309	1	11401021	2				50						
2310	1	11401024	2				50						
2311	1	11401026	2				50						
2312	1	11401040	2				50						
2313	1	11401005	1				250						
2314	1	11401008	1				250						
2315	1	11401011	1				250						
2316	1	11401001	1				250						
2317	1	11401012	1				250						
2318	1	11401015	1				250						
2319	1	11401017	1				250						
2320	1	11401039	1				250						
													
2401	1	11402037	2				25						
2402	1	11402002	2				25						
2403	1	11402004	2				25						
2404	1	11402006	2				25						
2405	1	11402013	2				25						
2406	1	11402014	2				25						
2407	1	11402016	2				25						
2408	1	11402018	2				25						
2409	1	11402021	2				25						
2410	1	11402024	2				25						
2411	1	11402026	2				25						
2412	1	11402040	2				25						
2413	1	11402005	1				125						
2414	1	11402008	1				125						
2415	1	11402011	1				125						
2416	1	11402001	1				125						
2417	1	11402012	1				125						
2418	1	11402015	1				125						
2419	1	11402017	1				125						
2420	1	11402039	1				125						
													
2501	1	11403037	2				16						
2502	1	11403002	2				16						
2503	1	11403004	2				16						
2504	1	11403006	2				16						
2505	1	11403013	2				16						
2506	1	11403014	2				16						
2507	1	11403016	2				16						
2508	1	11403018	2				16						
2509	1	11403021	2				16						
2510	1	11403024	2				16						
2511	1	11403026	2				16						
2512	1	11403040	2				16						
2513	1	11403005	1				75						
2514	1	11403008	1				75						
2515	1	11403011	1				75						
2516	1	11403001	1				75						
2517	1	11403012	1				75						
2518	1	11403015	1				75						
2519	1	11403017	1				75						
2520	1	11403039	1				75						
