id	名城 id	起点_x	起点_y	能直接到达的点_x	能直接到达的点_y								
70	4	148	40	170	40	122	41					70	4
71	4	155	19	180	20	114	19					71	4
72	4	180	62	195	40	156	62	170	40	142	70	72	4
73	4	170	40	180	62	195	40	180	20	148	40	73	4
74	4	180	20	195	40	155	19	170	40	142	12	74	4
75	4	195	40	214	40	180	62	170	40	180	20	75	4
76	4	214	40	195	40							76	4
77	4	142	70	180	62							77	4
78	4	128	70	89	62							78	4
79	4	142	12	180	20							79	4
80	4	127	11	90	20							80	4
81	5	55	42	74	40							81	5
82	5	74	40	89	62	101	41	90	20	55	42	82	5
83	5	89	62	114	62	101	41	74	40	128	70	83	5
84	5	101	41	122	41	89	62	90	20	74	40	84	5
85	5	90	20	114	19	101	41	74	40	127	11	85	5
86	5	114	62	156	62	89	62					86	5
87	5	122	41	148	40	101	41					87	5
88	5	114	19	155	19	90	20					88	5
89	5	156	62	180	62	114	62					89	5
90	5	148	40	170	40	122	41					90	5
91	5	155	19	180	20	114	19					91	5
92	5	180	62	195	40	156	62	170	40	142	70	92	5
93	5	170	40	180	62	195	40	180	20	148	40	93	5
94	5	180	20	195	40	155	19	170	40	142	12	94	5
95	5	195	40	214	40	180	62	170	40	180	20	95	5
96	5	214	40	195	40							96	5
97	5	142	70	180	62							97	5
98	5	128	70	89	62							98	5
99	5	142	12	180	20							99	5
100	5	127	11	90	20							100	5
101	6	55	42	74	40							101	6
102	6	74	40	89	62	101	41	90	20	55	42	102	6
103	6	89	62	114	62	101	41	74	40	128	70	103	6
104	6	101	41	122	41	89	62	90	20	74	40	104	6
105	6	90	20	114	19	101	41	74	40	127	11	105	6
106	6	114	62	156	62	89	62					106	6
107	6	122	41	148	40	101	41					107	6
108	6	114	19	155	19	90	20					108	6
109	6	156	62	180	62	114	62					109	6
110	6	148	40	170	40	122	41					110	6
111	6	155	19	180	20	114	19					111	6
112	6	180	62	195	40	156	62	170	40	142	70	112	6
113	6	170	40	180	62	195	40	180	20	148	40	113	6
114	6	180	20	195	40	155	19	170	40	142	12	114	6
115	6	195	40	214	40	180	62	170	40	180	20	115	6
116	6	214	40	195	40							116	6
117	6	142	70	180	62							117	6
118	6	128	70	89	62							118	6
119	6	142	12	180	20							119	6
120	6	127	11	90	20							120	6
121	7	55	42	74	40							121	7
122	7	74	40	89	62	101	41	90	20	55	42	122	7
123	7	89	62	114	62	101	41	74	40	128	70	123	7
124	7	101	41	122	41	89	62	90	20	74	40	124	7
125	7	90	20	114	19	101	41	74	40	127	11	125	7
126	7	114	62	156	62	89	62					126	7
127	7	122	41	148	40	101	41					127	7
128	7	114	19	155	19	90	20					128	7
129	7	156	62	180	62	114	62					129	7
130	7	148	40	170	40	122	41					130	7
131	7	155	19	180	20	114	19					131	7
132	7	180	62	195	40	156	62	170	40	142	70	132	7
133	7	170	40	180	62	195	40	180	20	148	40	133	7
134	7	180	20	195	40	155	19	170	40	142	12	134	7
135	7	195	40	214	40	180	62	170	40	180	20	135	7
136	7	214	40	195	40							136	7
137	7	142	70	180	62							137	7
138	7	128	70	89	62							138	7
139	7	142	12	180	20							139	7
140	7	127	11	90	20							140	7
141	8	55	42	74	40							141	8
142	8	74	40	89	62	101	41	90	20	55	42	142	8
143	8	89	62	114	62	101	41	74	40	128	70	143	8
144	8	101	41	122	41	89	62	90	20	74	40	144	8
145	8	90	20	114	19	101	41	74	40	127	11	145	8
146	8	114	62	156	62	89	62					146	8
147	8	122	41	148	40	101	41					147	8
148	8	114	19	155	19	90	20					148	8
149	8	156	62	180	62	114	62					149	8
150	8	148	40	170	40	122	41					150	8
151	8	155	19	180	20	114	19					151	8
152	8	180	62	195	40	156	62	170	40	142	70	152	8
153	8	170	40	180	62	195	40	180	20	148	40	153	8
154	8	180	20	195	40	155	19	170	40	142	12	154	8
155	8	195	40	214	40	180	62	170	40	180	20	155	8
156	8	214	40	195	40							156	8
157	8	142	70	180	62							157	8
158	8	128	70	89	62							158	8
159	8	142	12	180	20							159	8
160	8	127	11	90	20							160	8
161	9	55	42	74	40							161	9
162	9	74	40	89	62	101	41	90	20	55	42	162	9
163	9	89	62	114	62	101	41	74	40	128	70	163	9
164	9	101	41	122	41	89	62	90	20	74	40	164	9
165	9	90	20	114	19	101	41	74	40	127	11	165	9
166	9	114	62	156	62	89	62					166	9
167	9	122	41	148	40	101	41					167	9
168	9	114	19	155	19	90	20					168	9
169	9	156	62	180	62	114	62					169	9
170	9	148	40	170	40	122	41					170	9
171	9	155	19	180	20	114	19					171	9
172	9	180	62	195	40	156	62	170	40	142	70	172	9
173	9	170	40	180	62	195	40	180	20	148	40	173	9
174	9	180	20	195	40	155	19	170	40	142	12	174	9
175	9	195	40	214	40	180	62	170	40	180	20	175	9
176	9	214	40	195	40							176	9
177	9	142	70	180	62							177	9
178	9	128	70	89	62							178	9
179	9	142	12	180	20							179	9
180	9	127	11	90	20							180	9
181	10	55	42	74	40							181	10
182	10	74	40	89	62	101	41	90	20	55	42	182	10
183	10	89	62	114	62	101	41	74	40	128	70	183	10
184	10	101	41	122	41	89	62	90	20	74	40	184	10
185	10	90	20	114	19	101	41	74	40	127	11	185	10
186	10	114	62	156	62	89	62					186	10
187	10	122	41	148	40	101	41					187	10
188	10	114	19	155	19	90	20					188	10
189	10	156	62	180	62	114	62					189	10
190	10	148	40	170	40	122	41					190	10
191	10	155	19	180	20	114	19					191	10
192	10	180	62	195	40	156	62	170	40	142	70	192	10
193	10	170	40	180	62	195	40	180	20	148	40	193	10
194	10	180	20	195	40	155	19	170	40	142	12	194	10
195	10	195	40	214	40	180	62	170	40	180	20	195	10
196	10	214	40	195	40							196	10
197	10	142	70	180	62							197	10
198	10	128	70	89	62							198	10
199	10	142	12	180	20							199	10
200	10	127	11	90	20							200	10
201	11	55	42	74	40							201	11
202	11	74	40	89	62	101	41	90	20	55	42	202	11
203	11	89	62	114	62	101	41	74	40	128	70	203	11
204	11	101	41	122	41	89	62	90	20	74	40	204	11
205	11	90	20	114	19	101	41	74	40	127	11	205	11
206	11	114	62	156	62	89	62					206	11
207	11	122	41	148	40	101	41					207	11
208	11	114	19	155	19	90	20					208	11
209	11	156	62	180	62	114	62					209	11
210	11	148	40	170	40	122	41					210	11
211	11	155	19	180	20	114	19					211	11
212	11	180	62	195	40	156	62	170	40	142	70	212	11
213	11	170	40	180	62	195	40	180	20	148	40	213	11
214	11	180	20	195	40	155	19	170	40	142	12	214	11
215	11	195	40	214	40	180	62	170	40	180	20	215	11
216	11	214	40	195	40							216	11
217	11	142	70	180	62							217	11
218	11	128	70	89	62							218	11
219	11	142	12	180	20							219	11
220	11	127	11	90	20							220	11
221	12	55	42	74	40							221	12
222	12	74	40	89	62	101	41	90	20	55	42	222	12
223	12	89	62	114	62	101	41	74	40	128	70	223	12
224	12	101	41	122	41	89	62	90	20	74	40	224	12
225	12	90	20	114	19	101	41	74	40	127	11	225	12
226	12	114	62	156	62	89	62					226	12
227	12	122	41	148	40	101	41					227	12
228	12	114	19	155	19	90	20					228	12
229	12	156	62	180	62	114	62					229	12
230	12	148	40	170	40	122	41					230	12
231	12	155	19	180	20	114	19					231	12
232	12	180	62	195	40	156	62	170	40	142	70	232	12
233	12	170	40	180	62	195	40	180	20	148	40	233	12
234	12	180	20	195	40	155	19	170	40	142	12	234	12
235	12	195	40	214	40	180	62	170	40	180	20	235	12
236	12	214	40	195	40							236	12
237	12	142	70	180	62							237	12
238	12	128	70	89	62							238	12
239	12	142	12	180	20							239	12
240	12	127	11	90	20							240	12
241	13	55	42	74	40							241	13
242	13	74	40	89	62	101	41	90	20	55	42	242	13
243	13	89	62	114	62	101	41	74	40	128	70	243	13
244	13	101	41	122	41	89	62	90	20	74	40	244	13
245	13	90	20	114	19	101	41	74	40	127	11	245	13
246	13	114	62	156	62	89	62					246	13
247	13	122	41	148	40	101	41					247	13
248	13	114	19	155	19	90	20					248	13
249	13	156	62	180	62	114	62					249	13
250	13	148	40	170	40	122	41					250	13
251	13	155	19	180	20	114	19					251	13
252	13	180	62	195	40	156	62	170	40	142	70	252	13
253	13	170	40	180	62	195	40	180	20	148	40	253	13
254	13	180	20	195	40	155	19	170	40	142	12	254	13
255	13	195	40	214	40	180	62	170	40	180	20	255	13
256	13	214	40	195	40							256	13
257	13	142	70	180	62							257	13
258	13	128	70	89	62							258	13
259	13	142	12	180	20							259	13
260	13	127	11	90	20							260	13
261	14	55	42	74	40							261	14
262	14	74	40	89	62	101	41	90	20	55	42	262	14
263	14	89	62	114	62	101	41	74	40	128	70	263	14
264	14	101	41	122	41	89	62	90	20	74	40	264	14
265	14	90	20	114	19	101	41	74	40	127	11	265	14
266	14	114	62	156	62	89	62					266	14
267	14	122	41	148	40	101	41					267	14
268	14	114	19	155	19	90	20					268	14
269	14	156	62	180	62	114	62					269	14
270	14	148	40	170	40	122	41					270	14
271	14	155	19	180	20	114	19					271	14
272	14	180	62	195	40	156	62	170	40	142	70	272	14
273	14	170	40	180	62	195	40	180	20	148	40	273	14
274	14	180	20	195	40	155	19	170	40	142	12	274	14
275	14	195	40	214	40	180	62	170	40	180	20	275	14
276	14	214	40	195	40							276	14
277	14	142	70	180	62							277	14
278	14	128	70	89	62							278	14
279	14	142	12	180	20							279	14
280	14	127	11	90	20							280	14
281	15	55	42	74	40							281	15
282	15	74	40	89	62	101	41	90	20	55	42	282	15
283	15	89	62	114	62	101	41	74	40	128	70	283	15
284	15	101	41	122	41	89	62	90	20	74	40	284	15
285	15	90	20	114	19	101	41	74	40	127	11	285	15
286	15	114	62	156	62	89	62					286	15
287	15	122	41	148	40	101	41					287	15
288	15	114	19	155	19	90	20					288	15
289	15	156	62	180	62	114	62					289	15
290	15	148	40	170	40	122	41					290	15
291	15	155	19	180	20	114	19					291	15
292	15	180	62	195	40	156	62	170	40	142	70	292	15
293	15	170	40	180	62	195	40	180	20	148	40	293	15
294	15	180	20	195	40	155	19	170	40	142	12	294	15
295	15	195	40	214	40	180	62	170	40	180	20	295	15
296	15	214	40	195	40							296	15
297	15	142	70	180	62							297	15
298	15	128	70	89	62							298	15
299	15	142	12	180	20							299	15
300	15	127	11	90	20							300	15
301	16	55	42	74	40							301	16
302	16	74	40	89	62	101	41	90	20	55	42	302	16
303	16	89	62	114	62	101	41	74	40	128	70	303	16
304	16	101	41	122	41	89	62	90	20	74	40	304	16
305	16	90	20	114	19	101	41	74	40	127	11	305	16
306	16	114	62	156	62	89	62					306	16
307	16	122	41	148	40	101	41					307	16
308	16	114	19	155	19	90	20					308	16
309	16	156	62	180	62	114	62					309	16
310	16	148	40	170	40	122	41					310	16
311	16	155	19	180	20	114	19					311	16
312	16	180	62	195	40	156	62	170	40	142	70	312	16
313	16	170	40	180	62	195	40	180	20	148	40	313	16
314	16	180	20	195	40	155	19	170	40	142	12	314	16
315	16	195	40	214	40	180	62	170	40	180	20	315	16
316	16	214	40	195	40							316	16
317	16	142	70	180	62							317	16
318	16	128	70	89	62							318	16
319	16	142	12	180	20							319	16
320	16	127	11	90	20							320	16
321	17	55	42	74	40							321	17
322	17	74	40	89	62	101	41	90	20	55	42	322	17
323	17	89	62	114	62	101	41	74	40	128	70	323	17
324	17	101	41	122	41	89	62	90	20	74	40	324	17
325	17	90	20	114	19	101	41	74	40	127	11	325	17
326	17	114	62	156	62	89	62					326	17
327	17	122	41	148	40	101	41					327	17
328	17	114	19	155	19	90	20					328	17
329	17	156	62	180	62	114	62					329	17
330	17	148	40	170	40	122	41					330	17
331	17	155	19	180	20	114	19					331	17
332	17	180	62	195	40	156	62	170	40	142	70	332	17
333	17	170	40	180	62	195	40	180	20	148	40	333	17
334	17	180	20	195	40	155	19	170	40	142	12	334	17
335	17	195	40	214	40	180	62	170	40	180	20	335	17
336	17	214	40	195	40							336	17
337	17	142	70	180	62							337	17
338	17	128	70	89	62							338	17
339	17	142	12	180	20							339	17
340	17	127	11	90	20							340	17
341	18	55	42	74	40							341	18
342	18	74	40	89	62	101	41	90	20	55	42	342	18
343	18	89	62	114	62	101	41	74	40	128	70	343	18
344	18	101	41	122	41	89	62	90	20	74	40	344	18
345	18	90	20	114	19	101	41	74	40	127	11	345	18
346	18	114	62	156	62	89	62					346	18
347	18	122	41	148	40	101	41					347	18
348	18	114	19	155	19	90	20					348	18
349	18	156	62	180	62	114	62					349	18
350	18	148	40	170	40	122	41					350	18
351	18	155	19	180	20	114	19					351	18
352	18	180	62	195	40	156	62	170	40	142	70	352	18
353	18	170	40	180	62	195	40	180	20	148	40	353	18
354	18	180	20	195	40	155	19	170	40	142	12	354	18
355	18	195	40	214	40	180	62	170	40	180	20	355	18
356	18	214	40	195	40							356	18
357	18	142	70	180	62							357	18
358	18	128	70	89	62							358	18
359	18	142	12	180	20							359	18
360	18	127	11	90	20							360	18
361	19	55	42	74	40							361	19
362	19	74	40	89	62	101	41	90	20	55	42	362	19
363	19	89	62	114	62	101	41	74	40	128	70	363	19
364	19	101	41	122	41	89	62	90	20	74	40	364	19
365	19	90	20	114	19	101	41	74	40	127	11	365	19
366	19	114	62	156	62	89	62					366	19
367	19	122	41	148	40	101	41					367	19
368	19	114	19	155	19	90	20					368	19
369	19	156	62	180	62	114	62					369	19
370	19	148	40	170	40	122	41					370	19
371	19	155	19	180	20	114	19					371	19
372	19	180	62	195	40	156	62	170	40	142	70	372	19
373	19	170	40	180	62	195	40	180	20	148	40	373	19
374	19	180	20	195	40	155	19	170	40	142	12	374	19
375	19	195	40	214	40	180	62	170	40	180	20	375	19
376	19	214	40	195	40							376	19
377	19	142	70	180	62							377	19
378	19	128	70	89	62							378	19
379	19	142	12	180	20							379	19
380	19	127	11	90	20							380	19
381	20	55	42	74	40							381	20
382	20	74	40	89	62	101	41	90	20	55	42	382	20
383	20	89	62	114	62	101	41	74	40	128	70	383	20
384	20	101	41	122	41	89	62	90	20	74	40	384	20
385	20	90	20	114	19	101	41	74	40	127	11	385	20
386	20	114	62	156	62	89	62					386	20
387	20	122	41	148	40	101	41					387	20
388	20	114	19	155	19	90	20					388	20
389	20	156	62	180	62	114	62					389	20
390	20	148	40	170	40	122	41					390	20
391	20	155	19	180	20	114	19					391	20
392	20	180	62	195	40	156	62	170	40	142	70	392	20
393	20	170	40	180	62	195	40	180	20	148	40	393	20
394	20	180	20	195	40	155	19	170	40	142	12	394	20
395	20	195	40	214	40	180	62	170	40	180	20	395	20
396	20	214	40	195	40							396	20
397	20	142	70	180	62							397	20
398	20	128	70	89	62							398	20
399	20	142	12	180	20							399	20
400	20	127	11	90	20							400	20
401	21	55	42	74	40							401	21
402	21	74	40	89	62	101	41	90	20	55	42	402	21
403	21	89	62	114	62	101	41	74	40	128	70	403	21
404	21	101	41	122	41	89	62	90	20	74	40	404	21
405	21	90	20	114	19	101	41	74	40	127	11	405	21
406	21	114	62	156	62	89	62					406	21
407	21	122	41	148	40	101	41					407	21
408	21	114	19	155	19	90	20					408	21
409	21	156	62	180	62	114	62					409	21
410	21	148	40	170	40	122	41					410	21
411	21	155	19	180	20	114	19					411	21
412	21	180	62	195	40	156	62	170	40	142	70	412	21
413	21	170	40	180	62	195	40	180	20	148	40	413	21
414	21	180	20	195	40	155	19	170	40	142	12	414	21
415	21	195	40	214	40	180	62	170	40	180	20	415	21
416	21	214	40	195	40							416	21
417	21	142	70	180	62							417	21
418	21	128	70	89	62							418	21
419	21	142	12	180	20							419	21
420	21	127	11	90	20							420	21
421	22	55	42	74	40							421	22
422	22	74	40	89	62	101	41	90	20	55	42	422	22
423	22	89	62	114	62	101	41	74	40	128	70	423	22
424	22	101	41	122	41	89	62	90	20	74	40	424	22
425	22	90	20	114	19	101	41	74	40	127	11	425	22
426	22	114	62	156	62	89	62					426	22
427	22	122	41	148	40	101	41					427	22
428	22	114	19	155	19	90	20					428	22
429	22	156	62	180	62	114	62					429	22
430	22	148	40	170	40	122	41					430	22
431	22	155	19	180	20	114	19					431	22
432	22	180	62	195	40	156	62	170	40	142	70	432	22
433	22	170	40	180	62	195	40	180	20	148	40	433	22
434	22	180	20	195	40	155	19	170	40	142	12	434	22
435	22	195	40	214	40	180	62	170	40	180	20	435	22
436	22	214	40	195	40							436	22
437	22	142	70	180	62							437	22
438	22	128	70	89	62							438	22
439	22	142	12	180	20							439	22
440	22	127	11	90	20							440	22
