将魂id	等级	星数	星级	武将佩戴该将魂加的士气	消耗的物品id（无效字段）	消耗的物品数量（无效字段）		升级到下一级需要的经验	将魂技能，配置 captain_soul_spell.txt中的id	将魂技能，配置 captain_soul_spell.txt中的id	将魂技能，配置 captain_soul_spell.txt中的id
13	8	2	3	1	60010	1		114	11313108	11313208	
13	9	2	4	1	60010	1		120	11313109	11313209	
13	10	2	5	1	60010	1		300	11313110	11313210	
13	11	3	1	1	60010	1		360	11313111	11313211	
13	12	3	2	1	60010	1		420	11313112	11313212	
13	13	3	3	1	60010	1		480	11313113	11313213	
13	14	3	4	1	60010	1		540	11313114	11313214	
13	15	3	5	1	60010	1		1200	11313115	11313215	
											
15	1	1	1	1	60010	1		20	11315101		
15	2	1	2	1	60010	1		22	11315102		
15	3	1	3	1	60010	1		24	11315103		
15	4	1	4	1	60010	1		26	11315104		
15	5	1	5	1	60010	1		64	11315105		
15	6	2	1	1	60010	1		68	11315106		
15	7	2	2	1	60010	1		72	11315107		
15	8	2	3	1	60010	1		76	11315108		
15	9	2	4	1	60010	1		80	11315109		
15	10	2	5	1	60010	1		200	11315110		
											
16	1	1	1	1	60010	1		20	11316101		
16	2	1	2	1	60010	1		22	11316102		
16	3	1	3	1	60010	1		24	11316103		
16	4	1	4	1	60010	1		26	11316104		
16	5	1	5	1	60010	1		64	11316105		
16	6	2	1	1	60010	1		68	11316106		
16	7	2	2	1	60010	1		72	11316107		
16	8	2	3	1	60010	1		76	11316108		
16	9	2	4	1	60010	1		80	11316109		
16	10	2	5	1	60010	1		200	11316110		
											
17	1	1	1	1	60010	1		20	11317101		
17	2	1	2	1	60010	1		22	11317102		
17	3	1	3	1	60010	1		24	11317103		
17	4	1	4	1	60010	1		26	11317104		
17	5	1	5	1	60010	1		64	11317105		
17	6	2	1	1	60010	1		68	11317106		
17	7	2	2	1	60010	1		72	11317107		
17	8	2	3	1	60010	1		76	11317108		
17	9	2	4	1	60010	1		80	11317109		
17	10	2	5	1	60010	1		200	11317110		
											
18	1	1	1	1	60010	1		30	11318101		
18	2	1	2	1	60010	1		33	11318102		
18	3	1	3	1	60010	1		36	11318103		
18	4	1	4	1	60010	1		39	11318104		
18	5	1	5	1	60010	1		96	11318105		
18	6	2	1	1	60010	1		102	11318106	11318206	
18	7	2	2	1	60010	1		108	11318107	11318207	
18	8	2	3	1	60010	1		114	11318108	11318208	
18	9	2	4	1	60010	1		120	11318109	11318209	
18	10	2	5	1	60010	1		300	11318110	11318210	
18	11	3	1	1	60010	1		360	11318111	11318211	
18	12	3	2	1	60010	1		420	11318112	11318212	
18	13	3	3	1	60010	1		480	11318113	11318213	
18	14	3	4	1	60010	1		540	11318114	11318214	
18	15	3	5	1	60010	1		1200	11318115	11318215	
											
19	1	1	1	1	60010	1		50	11319101		
19	2	1	2	1	60010	1		55	11319102		
19	3	1	3	1	60010	1		60	11319103		
19	4	1	4	1	60010	1		65	11319104		
19	5	1	5	1	60010	1		160	11319105		
19	6	2	1	1	60010	1		170	11319106	11319206	
19	7	2	2	1	60010	1		180	11319107	11319207	
19	8	2	3	1	60010	1		190	11319108	11319208	
19	9	2	4	1	60010	1		200	11319109	11319209	
19	10	2	5	1	60010	1		500	11319110	11319210	
19	11	3	1	1	60010	1		600	11319111	11319211	11319311
19	12	3	2	1	60010	1		700	11319112	11319212	11319312
19	13	3	3	1	60010	1		800	11319113	11319213	11319313
19	14	3	4	1	60010	1		900	11319114	11319214	11319314
19	15	3	5	1	60010	1		2000	11319115	11319215	11319315
19	16	4	1	1	60010	1		2500	11319116	11319216	11319316
19	17	4	2	1	60010	1		3000	11319117	11319217	11319317
19	18	4	3	1	60010	1		3500	11319118	11319218	11319318
19	19	4	4	1	60010	1		4000	11319119	11319219	11319319
19	20	4	5	1	60010	1		25000	11319120	11319220	11319320
19	21	5	1	1	60010	1		30000	11319121	11319221	11319321
19	22	5	2	1	60010	1		40000	11319122	11319222	11319322
19	23	5	3	1	60010	1		50000	11319123	11319223	11319323
19	24	5	4	1	60010	1		65000	11319124	11319224	11319324
19	25	5	5	1	60010	1		80000	11319125	11319225	11319325
											
20	1	1	1	1	60010	1		50	11320101		
20	2	1	2	1	60010	1		55	11320102		
20	3	1	3	1	60010	1		60	11320103		
20	4	1	4	1	60010	1		65	11320104		
20	5	1	5	1	60010	1		160	11320105		
20	6	2	1	1	60010	1		170	11320106	11320206	
20	7	2	2	1	60010	1		180	11320107	11320207	
20	8	2	3	1	60010	1		190	11320108	11320208	
20	9	2	4	1	60010	1		200	11320109	11320209	
20	10	2	5	1	60010	1		500	11320110	11320210	
20	11	3	1	1	60010	1		600	11320111	11320211	11320311
20	12	3	2	1	60010	1		700	11320112	11320212	11320312
20	13	3	3	1	60010	1		800	11320113	11320213	11320313
20	14	3	4	1	60010	1		900	11320114	11320214	11320314
20	15	3	5	1	60010	1		2000	11320115	11320215	11320315
20	16	4	1	1	60010	1		2500	11320116	11320216	11320316
20	17	4	2	1	60010	1		3000	11320117	11320217	11320317
20	18	4	3	1	60010	1		3500	11320118	11320218	11320318
20	19	4	4	1	60010	1		4000	11320119	11320219	11320319
20	20	4	5	1	60010	1		25000	11320120	11320220	11320320
20	21	5	1	1	60010	1		30000	11320121	11320221	11320321
20	22	5	2	1	60010	1		40000	11320122	11320222	11320322
20	23	5	3	1	60010	1		50000	11320123	11320223	11320323
20	24	5	4	1	60010	1		65000	11320124	11320224	11320324
20	25	5	5	1	60010	1		80000	11320125	11320225	11320325
											
21	1	1	1	1	60010	1		50	11321101		
21	2	1	2	1	60010	1		55	11321102		
21	3	1	3	1	60010	1		60	11321103		
21	4	1	4	1	60010	1		65	11321104		
21	5	1	5	1	60010	1		160	11321105		
21	6	2	1	1	60010	1		170	11321106	11321206	
21	7	2	2	1	60010	1		180	11321107	11321207	
21	8	2	3	1	60010	1		190	11321108	11321208	
21	9	2	4	1	60010	1		200	11321109	11321209	
21	10	2	5	1	60010	1		500	11321110	11321210	
21	11	3	1	1	60010	1		600	11321111	11321211	11321311
21	12	3	2	1	60010	1		700	11321112	11321212	11321312
21	13	3	3	1	60010	1		800	11321113	11321213	11321313
21	14	3	4	1	60010	1		900	11321114	11321214	11321314
21	15	3	5	1	60010	1		2000	11321115	11321215	11321315
21	16	4	1	1	60010	1		2500	11321116	11321216	11321316
21	17	4	2	1	60010	1		3000	11321117	11321217	11321317
21	18	4	3	1	60010	1		3500	11321118	11321218	11321318
21	19	4	4	1	60010	1		4000	11321119	11321219	11321319
21	20	4	5	1	60010	1		25000	11321120	11321220	11321320
21	21	5	1	1	60010	1		30000	11321121	11321221	11321321
21	22	5	2	1	60010	1		40000	11321122	11321222	11321322
21	23	5	3	1	60010	1		50000	11321123	11321223	11321323
21	24	5	4	1	60010	1		65000	11321124	11321224	11321324
21	25	5	5	1	60010	1		80000	11321125	11321225	11321325
											
22	1	1	1	1	60010	1		50	11322101		
22	2	1	2	1	60010	1		55	11322102		
22	3	1	3	1	60010	1		60	11322103		
22	4	1	4	1	60010	1		65	11322104		
22	5	1	5	1	60010	1		160	11322105		
22	6	2	1	1	60010	1		170	11322106	11322206	
22	7	2	2	1	60010	1		180	11322107	11322207	
22	8	2	3	1	60010	1		190	11322108	11322208	
22	9	2	4	1	60010	1		200	11322109	11322209	
22	10	2	5	1	60010	1		500	11322110	11322210	
22	11	3	1	1	60010	1		600	11322111	11322211	11322311
22	12	3	2	1	60010	1		700	11322112	11322212	11322312
22	13	3	3	1	60010	1		800	11322113	11322213	11322313
22	14	3	4	1	60010	1		900	11322114	11322214	11322314
22	15	3	5	1	60010	1		2000	11322115	11322215	11322315
22	16	4	1	1	60010	1		2500	11322116	11322216	11322316
22	17	4	2	1	60010	1		3000	11322117	11322217	11322317
22	18	4	3	1	60010	1		3500	11322118	11322218	11322318
22	19	4	4	1	60010	1		4000	11322119	11322219	11322319
22	20	4	5	1	60010	1		25000	11322120	11322220	11322320
22	21	5	1	1	60010	1		30000	11322121	11322221	11322321
22	22	5	2	1	60010	1		40000	11322122	11322222	11322322
22	23	5	3	1	60010	1		50000	11322123	11322223	11322323
22	24	5	4	1	60010	1		65000	11322124	11322224	11322324
22	25	5	5	1	60010	1		80000	11322125	11322225	11322325
											
24	1	1	1	1	60010	1		30	11324101		
24	2	1	2	1	60010	1		33	11324102		
24	3	1	3	1	60010	1		36	11324103		
24	4	1	4	1	60010	1		39	11324104		
24	5	1	5	1	60010	1		96	11324105		
24	6	2	1	1	60010	1		102	11324106	11324206	
24	7	2	2	1	60010	1		108	11324107	11324207	
24	8	2	3	1	60010	1		114	11324108	11324208	
24	9	2	4	1	60010	1		120	11324109	11324209	
24	10	2	5	1	60010	1		300	11324110	11324210	
24	11	3	1	1	60010	1		360	11324111	11324211	
24	12	3	2	1	60010	1		420	11324112	11324212	
24	13	3	3	1	60010	1		480	11324113	11324213	
24	14	3	4	1	60010	1		540	11324114	11324214	
24	15	3	5	1	60010	1		1200	11324115	11324215	
											
25	1	1	1	1	60010	1		50	11325101		
25	2	1	2	1	60010	1		55	11325102		
25	3	1	3	1	60010	1		60	11325103		
25	4	1	4	1	60010	1		65	11325104		
25	5	1	5	1	60010	1		160	11325105		
25	6	2	1	1	60010	1		170	11325106	11325206	
25	7	2	2	1	60010	1		180	11325107	11325207	
25	8	2	3	1	60010	1		190	11325108	11325208	
25	9	2	4	1	60010	1		200	11325109	11325209	
25	10	2	5	1	60010	1		500	11325110	11325210	
25	11	3	1	1	60010	1		600	11325111	11325211	11325311
25	12	3	2	1	60010	1		700	11325112	11325212	11325312
25	13	3	3	1	60010	1		800	11325113	11325213	11325313
25	14	3	4	1	60010	1		900	11325114	11325214	11325314
25	15	3	5	1	60010	1		2000	11325115	11325215	11325315
25	16	4	1	1	60010	1		2500	11325116	11325216	11325316
25	17	4	2	1	60010	1		3000	11325117	11325217	11325317
25	18	4	3	1	60010	1		3500	11325118	11325218	11325318
25	19	4	4	1	60010	1		4000	11325119	11325219	11325319
25	20	4	5	1	60010	1		25000	11325120	11325220	11325320
25	21	5	1	1	60010	1		30000	11325121	11325221	11325321
25	22	5	2	1	60010	1		40000	11325122	11325222	11325322
25	23	5	3	1	60010	1		50000	11325123	11325223	11325323
25	24	5	4	1	60010	1		65000	11325124	11325224	11325324
25	25	5	5	1	60010	1		80000	11325125	11325225	11325325
											
26	1	1	1	1	60010	1		20	11326101		
26	2	1	2	1	60010	1		22	11326102		
26	3	1	3	1	60010	1		24	11326103		
26	4	1	4	1	60010	1		26	11326104		
26	5	1	5	1	60010	1		64	11326105		
26	6	2	1	1	60010	1		68	11326106	11326206	
26	7	2	2	1	60010	1		72	11326107	11326207	
26	8	2	3	1	60010	1		76	11326108	11326208	
26	9	2	4	1	60010	1		80	11326109	11326209	
26	10	2	5	1	60010	1		200	11326110	11326210	
26	11	3	1	1	60010	1		240	11326111	11326211	
26	12	3	2	1	60010	1		280	11326112	11326212	
26	13	3	3	1	60010	1		320	11326113	11326213	
26	14	3	4	1	60010	1		360	11326114	11326214	
26	15	3	5	1	60010	1		800	11326115	11326215	
											
29	1	1	1	1	60010	1		50	11329101		
29	2	1	2	1	60010	1		55	11329102		
29	3	1	3	1	60010	1		60	11329103		
29	4	1	4	1	60010	1		65	11329104		
29	5	1	5	1	60010	1		160	11329105		
29	6	2	1	1	60010	1		170	11329106	11329206	
29	7	2	2	1	60010	1		180	11329107	11329207	
29	8	2	3	1	60010	1		190	11329108	11329208	
29	9	2	4	1	60010	1		200	11329109	11329209	
29	10	2	5	1	60010	1		500	11329110	11329210	
29	11	3	1	1	60010	1		600	11329111	11329211	11329311
29	12	3	2	1	60010	1		700	11329112	11329212	11329312
29	13	3	3	1	60010	1		800	11329113	11329213	11329313
29	14	3	4	1	60010	1		900	11329114	11329214	11329314
29	15	3	5	1	60010	1		2000	11329115	11329215	11329315
29	16	4	1	1	60010	1		2500	11329116	11329216	11329316
29	17	4	2	1	60010	1		3000	11329117	11329217	11329317
29	18	4	3	1	60010	1		3500	11329118	11329218	11329318
29	19	4	4	1	60010	1		4000	11329119	11329219	11329319
29	20	4	5	1	60010	1		25000	11329120	11329220	11329320
29	21	5	1	1	60010	1		30000	11329121	11329221	11329321
29	22	5	2	1	60010	1		40000	11329122	11329222	11329322
29	23	5	3	1	60010	1		50000	11329123	11329223	11329323
29	24	5	4	1	60010	1		65000	11329124	11329224	11329324
29	25	5	5	1	60010	1		80000	11329125	11329225	11329325
											
30	1	1	1	1	60010	1		30	11330101		
30	2	1	2	1	60010	1		33	11330102		
30	3	1	3	1	60010	1		36	11330103		
30	4	1	4	1	60010	1		39	11330104		
30	5	1	5	1	60010	1		96	11330105		
30	6	2	1	1	60010	1		102	11330106	11330206	
30	7	2	2	1	60010	1		108	11330107	11330207	
30	8	2	3	1	60010	1		114	11330108	11330208	
30	9	2	4	1	60010	1		120	11330109	11330209	
30	10	2	5	1	60010	1		300	11330110	11330210	
30	11	3	1	1	60010	1		360	11330111	11330211	
30	12	3	2	1	60010	1		420	11330112	11330212	
30	13	3	3	1	60010	1		480	11330113	11330213	
30	14	3	4	1	60010	1		540	11330114	11330214	
30	15	3	5	1	60010	1		1200	11330115	11330215	
											
31	1	1	1	1	60010	1		50	11331101		
31	2	1	2	1	60010	1		55	11331102		
31	3	1	3	1	60010	1		60	11331103		
31	4	1	4	1	60010	1		65	11331104		
31	5	1	5	1	60010	1		160	11331105		
31	6	2	1	1	60010	1		170	11331106	11331206	
31	7	2	2	1	60010	1		180	11331107	11331207	
31	8	2	3	1	60010	1		190	11331108	11331208	
31	9	2	4	1	60010	1		200	11331109	11331209	
31	10	2	5	1	60010	1		500	11331110	11331210	
31	11	3	1	1	60010	1		600	11331111	11331211	11331311
31	12	3	2	1	60010	1		700	11331112	11331212	11331312
31	13	3	3	1	60010	1		800	11331113	11331213	11331313
31	14	3	4	1	60010	1		900	11331114	11331214	11331314
31	15	3	5	1	60010	1		2000	11331115	11331215	11331315
31	16	4	1	1	60010	1		2500	11331116	11331216	11331316
31	17	4	2	1	60010	1		3000	11331117	11331217	11331317
31	18	4	3	1	60010	1		3500	11331118	11331218	11331318
31	19	4	4	1	60010	1		4000	11331119	11331219	11331319
31	20	4	5	1	60010	1		25000	11331120	11331220	11331320
31	21	5	1	1	60010	1		30000	11331121	11331221	11331321
31	22	5	2	1	60010	1		40000	11331122	11331222	11331322
31	23	5	3	1	60010	1		50000	11331123	11331223	11331323
31	24	5	4	1	60010	1		65000	11331124	11331224	11331324
31	25	5	5	1	60010	1		80000	11331125	11331225	11331325
											
32	1	1	1	1	60010	1		50	11332101		
32	2	1	2	1	60010	1		55	11332102		
32	3	1	3	1	60010	1		60	11332103		
32	4	1	4	1	60010	1		65	11332104		
32	5	1	5	1	60010	1		160	11332105		
32	6	2	1	1	60010	1		170	11332106	11332206	
32	7	2	2	1	60010	1		180	11332107	11332207	
32	8	2	3	1	60010	1		190	11332108	11332208	
32	9	2	4	1	60010	1		200	11332109	11332209	
32	10	2	5	1	60010	1		500	11332110	11332210	
32	11	3	1	1	60010	1		600	11332111	11332211	11332311
32	12	3	2	1	60010	1		700	11332112	11332212	11332312
32	13	3	3	1	60010	1		800	11332113	11332213	11332313
32	14	3	4	1	60010	1		900	11332114	11332214	11332314
32	15	3	5	1	60010	1		2000	11332115	11332215	11332315
32	16	4	1	1	60010	1		2500	11332116	11332216	11332316
32	17	4	2	1	60010	1		3000	11332117	11332217	11332317
32	18	4	3	1	60010	1		3500	11332118	11332218	11332318
32	19	4	4	1	60010	1		4000	11332119	11332219	11332319
32	20	4	5	1	60010	1		25000	11332120	11332220	11332320
32	21	5	1	1	60010	1		30000	11332121	11332221	11332321
32	22	5	2	1	60010	1		40000	11332122	11332222	11332322
32	23	5	3	1	60010	1		50000	11332123	11332223	11332323
32	24	5	4	1	60010	1		65000	11332124	11332224	11332324
32	25	5	5	1	60010	1		80000	11332125	11332225	11332325
											
33	1	1	1	1	60010	1		50	11333101		
33	2	1	2	1	60010	1		55	11333102		
33	3	1	3	1	60010	1		60	11333103		
33	4	1	4	1	60010	1		65	11333104		
33	5	1	5	1	60010	1		160	11333105		
33	6	2	1	1	60010	1		170	11333106	11333206	
33	7	2	2	1	60010	1		180	11333107	11333207	
33	8	2	3	1	60010	1		190	11333108	11333208	
33	9	2	4	1	60010	1		200	11333109	11333209	
33	10	2	5	1	60010	1		500	11333110	11333210	
33	11	3	1	1	60010	1		600	11333111	11333211	11333311
33	12	3	2	1	60010	1		700	11333112	11333212	11333312
33	13	3	3	1	60010	1		800	11333113	11333213	11333313
33	14	3	4	1	60010	1		900	11333114	11333214	11333314
33	15	3	5	1	60010	1		2000	11333115	11333215	11333315
33	16	4	1	1	60010	1		2500	11333116	11333216	11333316
33	17	4	2	1	60010	1		3000	11333117	11333217	11333317
33	18	4	3	1	60010	1		3500	11333118	11333218	11333318
33	19	4	4	1	60010	1		4000	11333119	11333219	11333319
33	20	4	5	1	60010	1		25000	11333120	11333220	11333320
33	21	5	1	1	60010	1		30000	11333121	11333221	11333321
33	22	5	2	1	60010	1		40000	11333122	11333222	11333322
33	23	5	3	1	60010	1		50000	11333123	11333223	11333323
33	24	5	4	1	60010	1		65000	11333124	11333224	11333324
33	25	5	5	1	60010	1		80000	11333125	11333225	11333325
											
34	1	1	1	1	60010	1		50	11334101		
34	2	1	2	1	60010	1		55	11334102		
34	3	1	3	1	60010	1		60	11334103		
34	4	1	4	1	60010	1		65	11334104		
34	5	1	5	1	60010	1		160	11334105		
34	6	2	1	1	60010	1		170	11334106	11334206	
34	7	2	2	1	60010	1		180	11334107	11334207	
34	8	2	3	1	60010	1		190	11334108	11334208	
34	9	2	4	1	60010	1		200	11334109	11334209	
34	10	2	5	1	60010	1		500	11334110	11334210	
34	11	3	1	1	60010	1		600	11334111	11334211	11334311
34	12	3	2	1	60010	1		700	11334112	11334212	11334312
34	13	3	3	1	60010	1		800	11334113	11334213	11334313
34	14	3	4	1	60010	1		900	11334114	11334214	11334314
34	15	3	5	1	60010	1		2000	11334115	11334215	11334315
34	16	4	1	1	60010	1		2500	11334116	11334216	11334316
34	17	4	2	1	60010	1		3000	11334117	11334217	11334317
34	18	4	3	1	60010	1		3500	11334118	11334218	11334318
34	19	4	4	1	60010	1		4000	11334119	11334219	11334319
34	20	4	5	1	60010	1		25000	11334120	11334220	11334320
34	21	5	1	1	60010	1		30000	11334121	11334221	11334321
34	22	5	2	1	60010	1		40000	11334122	11334222	11334322
34	23	5	3	1	60010	1		50000	11334123	11334223	11334323
34	24	5	4	1	60010	1		65000	11334124	11334224	11334324
34	25	5	5	1	60010	1		80000	11334125	11334225	11334325
											
36	1	1	1	1	60010	1		50	11336101		
36	2	1	2	1	60010	1		55	11336102		
36	3	1	3	1	60010	1		60	11336103		
36	4	1	4	1	60010	1		65	11336104		
36	5	1	5	1	60010	1		160	11336105		
36	6	2	1	1	60010	1		170	11336106	11336206	
36	7	2	2	1	60010	1		180	11336107	11336207	
36	8	2	3	1	60010	1		190	11336108	11336208	
36	9	2	4	1	60010	1		200	11336109	11336209	
36	10	2	5	1	60010	1		500	11336110	11336210	
36	11	3	1	1	60010	1		600	11336111	11336211	11336311
36	12	3	2	1	60010	1		700	11336112	11336212	11336312
36	13	3	3	1	60010	1		800	11336113	11336213	11336313
36	14	3	4	1	60010	1		900	11336114	11336214	11336314
36	15	3	5	1	60010	1		2000	11336115	11336215	11336315
36	16	4	1	1	60010	1		2500	11336116	11336216	11336316
36	17	4	2	1	60010	1		3000	11336117	11336217	11336317
36	18	4	3	1	60010	1		3500	11336118	11336218	11336318
36	19	4	4	1	60010	1		4000	11336119	11336219	11336319
36	20	4	5	1	60010	1		25000	11336120	11336220	11336320
36	21	5	1	1	60010	1		30000	11336121	11336221	11336321
36	22	5	2	1	60010	1		40000	11336122	11336222	11336322
36	23	5	3	1	60010	1		50000	11336123	11336223	11336323
36	24	5	4	1	60010	1		65000	11336124	11336224	11336324
36	25	5	5	1	60010	1		80000	11336125	11336225	11336325
											
27	1	1	1	1	60010	1		50	11327101		
27	2	1	2	1	60010	1		55	11327102		
27	3	1	3	1	60010	1		60	11327103		
27	4	1	4	1	60010	1		65	11327104		
27	5	1	5	1	60010	1		160	11327105		
27	6	2	1	1	60010	1		170	11327106	11327206	
27	7	2	2	1	60010	1		180	11327107	11327207	
27	8	2	3	1	60010	1		190	11327108	11327208	
27	9	2	4	1	60010	1		200	11327109	11327209	
27	10	2	5	1	60010	1		500	11327110	11327210	
27	11	3	1	1	60010	1		600	11327111	11327211	11327311
27	12	3	2	1	60010	1		700	11327112	11327212	11327312
27	13	3	3	1	60010	1		800	11327113	11327213	11327313
27	14	3	4	1	60010	1		900	11327114	11327214	11327314
27	15	3	5	1	60010	1		2000	11327115	11327215	11327315
27	16	4	1	1	60010	1		2500	11327116	11327216	11327316
27	17	4	2	1	60010	1		3000	11327117	11327217	11327317
27	18	4	3	1	60010	1		3500	11327118	11327218	11327318
27	19	4	4	1	60010	1		4000	11327119	11327219	11327319
27	20	4	5	1	60010	1		25000	11327120	11327220	11327320
27	21	5	1	1	60010	1		30000	11327121	11327221	11327321
27	22	5	2	1	60010	1		40000	11327122	11327222	11327322
