问题 ID	类型（暂时没用）	问题	正确答案	错误答案	错误答案
93	单刀赴会	单刀赴会开启战役后，还可以更换挑战武将吗？	可以	不可以	不确定
94	云台合璧	商城出售的合璧分身有什么作用？	与我方武将的分身完成合璧	复制一个玉璧	改变玉璧类型
95	云台合璧	当日拥有的玉璧可以积攒到以后使用吗？	不行，未使用的玉璧次日清除	可以	需要花点券才能保留
96	云台合璧	找不到合璧的玩家时怎么办？	呼唤他人或使用分身道具	没办法	将玉璧卖掉
97	云台合璧	云台合璧下列说法不正确的说法是？	所有玉璧都只能与盟友合	和氏璧只能与盟友合	虎纹壁、雪凤璧可与任意玩家合
98	云台合璧	关于干扰合璧错误的说法是？	战胜任意一名合璧玩家即可	被干扰会损失君主经验和资源	被干扰不会损失道具奖励
99	云台合璧	实在找不到玩家一起合璧怎么办？	购买分身道具进行合璧	把玉璧卖掉	没办法
100	云台合璧	使用分身合璧的奖励是什么？	只获得自己应有的合璧奖励	会获得自己和分身两份奖励	没有奖励
101	云台合璧	超过次日重置时间的玉璧会？	自动清除	收益减半	没有影响
102	云台合璧	每日领取的和氏璧的品质与什么有关系？	当前联盟的等级	玩家君主等级	完全随机
103	云台合璧	领到雪凤左璧可与谁合璧？	拥有雪凤右璧的君主	同样拥有雪凤左璧的盟友	拥有虎纹右璧的君主
104	云台合璧	关于合璧奖励说法错误的是？	合璧被干扰将得不到任何奖励	奖励资源和君主经验	不同玉璧获得不同奖励
105	云台合璧	如何获得虎纹璧？	参加抗击匈奴活动	在抗击匈奴中担任防守城池	抗击匈奴达成最高评价
106	群雄会武	群雄会武里的排名是通过什么确定的？	积分	胜负关系	颜值
107	群雄会武	群雄会武中如何加分最快？	战胜排名比自己高的君主	获得连胜	用点券购买积分
108	群雄会武	群雄会武中挑战“普通”难度的君主失败，会获得积分吗？	会	不会	会扣分
109	群雄会武	群雄会武中，哪个分段内的君主是比自己排名靠后的？	简单	极难	普通
110	群雄会武	群雄会武什么情况下会损失积分？	被排名靠后的君主打败	挑战“普通”分段失败	被排名高于自己的君主打败
111	外城	外城的类型有哪些？	军事外城和经济外城	城乡结合部	城中村
112	外城	玩家最多会获得几座外城？	4座外城	1座外城	没有限制
113	外城	升级外城有什么好处？	获得军事和经济加成	势力范围变大	常驻人口增多
114	外城	如何解锁外城？	官府达到相应等级	君主达到相应等级	城池达到相应等级
115	外城	外城最下面一排建筑如何解锁？	司马府或司徒府达到相应等级	君主达到相应等级	城池达到相应等级
116	外城	如何加快士兵恢复速度？	升级军营和军事外城预备兵所	提高君主等级	升级官府
117	外城	如何提升武将修炼经验的速度？	升级修炼馆和经济外城司徒府	强化武将成长	升级官府
118	外城	优先升级外城低等级建筑会有什么好处？	快速获得君主经验和繁荣度	获得更多点券	增加联盟建设值
119	内政	如何获得繁荣度？	升级主城和外城建筑	只有升级主城建筑才能获得	用点券购买
120	内政	获得繁荣度有什么用？	升级主城	升级君主	升级武将
121	内政	什么情况下主城会损失繁荣度？	守城失败被持续破坏	进攻敌人失败	没有点券了
122	内政	如何快速恢复繁荣度？	请求盟友援助并领取领民进贡	提高主城等级	提高君主等级
123	福利	完成霸王之路的终极奖励是什么？	神将鬼谷子	伏羲天剑	镇雷套装
124	建筑	升级官府有什么好处？	提高建造速度和税收	提高武将等级	增加武将属性
125	建筑	安全资源的意思是？	不会损失资源	不会被侦查到的资源	会优先消耗的资源
126	建筑	非安全资源超出仓库容量会怎样？	持续损耗	自动消失	会变成安全资源
127	建筑	消耗资源时优先消耗哪一种？	非安全资源	安全资源	随机
128	建筑	下列哪个建筑，可以设置主城防守部队？	城墙	官府 	军营
129	建筑	升级外使院，不会对下列哪一项产生影响？	联盟成员数量	盟友帮助次数	每次帮助的时间
130	建筑	修炼馆内，长时间未领取的经验会怎样？	修炼时间达到上限后停止修炼	武将自动升级	经验清空
131	建筑	升级书院的作用不包括？	减少研究资源消耗	减少研究者疲劳时间累积	解锁更多科技
132	建筑	升级军营的作用不包括？	增加武将统兵数量	增加预备兵产量和上限	达成士兵进阶的条件
133	建筑	士兵如何进阶？	升级军营	升级科技	提升君主等级
134	建筑	士兵进阶后的效果不包括？	获得飞行能力	模型外观变化	攻防体敏各项属性提升
135	建筑	士兵升阶是所有兵种一起提升吗？	是的 	不是 	可自行选择
136	建筑	驿站内请教名士可以获得？	武将强化符	宝石	南海奇精
137	建筑	驿站请教名士时暴击是什么意思？	获得2倍或10倍奖励	获得元宝	增加一次请教次数
138	铁匠铺	闲置装备熔炼可以获得什么？	七星砂	南海奇精	点券
139	铁匠铺	装备熔炼和重铸有什么区别？	熔炼破坏装备，重铸保留装备	消耗的资源不同	没有区别
140	铁匠铺	打造了很多垃圾装备有什么用？	熔炼为七星砂，给好装备升级	卖钱	兑换各种道具
141	摇钱树	关于协助照料摇钱树，表述错误的是？	任何玩家都可以	盟友可以	将您添加为好友的玩家可以
142	摇钱树	摇钱树奖励与什么有关？	季节	施肥次数	成熟时间
143	摇钱树	如何获得摇钱树奖励？	健康度满后第二天领取奖励	健康度满了立刻领取奖励	健康度不满也有奖励
144	钓鱼	钓鱼心得有什么用？	兑换神将	兑换资源	兑换道具
145	野外	解决势力冲突的方法以下不正确的是？	摔手机	城池迁移	破坏对方主城使其降级或飞走
146	野外	哪一途径获取的资源是不会被其他君主获得？	打开资源包获得的资源	官府税收资源	破坏其他主城获得的资源
147	野外	关于流亡后重建，正确的是？	繁荣度会快速恢复	建筑需要重新升级	武将需要重新招募
148	野外	主城被敌人插了白旗，如何拔掉？	两个办法都可以	72小时后自动消失	攻破插旗者联盟任一主城
149	野外	如何加快行军速度？	使用行军加速道具	队伍里多配置骑兵类型武将	语音喊话“加速加速”
150	野外	下面哪种情况，队伍不能出征？	队伍里的所有武将兵力为0	队伍正在主城驻防中	队伍里的武将没有装备
151	野外	侦察的距离限制是多少？	没有限制	1里	150里
152	野外	下面说法正确的是？	不能攻打盟友的主城	不能进攻150里以外的目标	可以进攻开启了免战的玩家
153	野外	主城最多可以驻守几支盟友队伍？	4支	没有限制	20支
154	野外	君主主城最多同时被几支敌军一起破坏？	4支	没有限制	20支
155	野外	关于免战牌表述错误的是？	使用免战后不能讨伐野外势力	入侵军队到达后将直接返回	对匈奴和野外势力无效
156	野外	破坏时获取资源的速度与什么相关？	士兵数量	君主等级	战力
157	野外	关于驱逐破坏自己主城的军队，说法正确的是？	失败需3分钟后再能再次驱逐	成功后不能立刻驱逐另一支军队	失败后损失资源增加
158	野外	遭到破坏时，下列哪种做法错误？	立即下线	派队伍驱逐或使用迁城免战	求助盟友
159	讨伐	击败野外势力的反击部队有什么好处？	获得资源、加速道具、七星砂	防止自己损失资源	增加野外势力的仇恨值
160	讨伐	什么情况下野外势力会主动进攻玩家的城池？	仇恨值达到100	每天固定时间	距离玩家主城很近
161	讨伐	关于讨伐野外势力，下列哪一项说法错误？	野外势力不会攻击玩家	讨伐野外势力需消耗次数	不同野外势力奖励不同
162	讨伐	下列哪一个不是野外势力的奖励？	镇雷装备	资源或加速道具	七星砂
163	讨伐	讨伐野外势力对联盟有什么好处？	提高联盟声望	提高联盟建设值	提高联盟科技
164	讨伐	主城势力内有暴民会怎样？	被占用的农场土地无法生产资源	影响部队士气 	主城居民担惊受怕
165	殷墟	如何开采殷墟中的宝物？	派军队前往，每十分钟随机获得	需要盟主带队才能开采	必须满兵才能开采
166	殷墟	一个殷墟最多容纳多少支队伍开采宝物？	4支	没有限制	30支
167	殷墟	10个低级的殷墟宝物合成高级的有什么好处？	打开宝物消耗的时间更短	能获得点券奖励	没什么好处
168	殷墟	仓库内什么宝物会优先被敌人获取，应及时开启？	最高级的宝物	最低级的宝物	都一样，无所谓
169	殷墟	关于击败殷墟守卫的好处，表述错误的是？	击败殷墟守卫的人才能探索	有资格遣返探索该殷墟的军队	立刻获得一个宝物
170	殷墟	消灭殷墟守卫者对该殷墟的控制权持续多长时间？	10分钟	无限	8小时
171	殷墟	急需开启宝物可以如何处理？	消耗点券立刻开启	消耗元宝立刻开启	请求盟友协助开启
172	殷墟	开启中的宝物会被敌人获取么？	不会	会	不一定
173	殷墟	如何获取其他君主的宝物？	每破坏主城2分钟可以获得	破坏主城每10分钟可以获得	和盟友一起破坏才可以
174	殷墟	同等级的夜明珠和周公樽有什么区别？	奖励数量和开启花费时间不同	外形不同	没有差别
175	殷墟	打开殷墟宝物会获得什么	大量加速道具	稀有装备	点券
176	殷墟	探索殷墟可以获得什么?	各种殷墟宝物和功勋令牌	紫色装备	宝石
177	名城战	名城战申请消耗什么？	联盟虎符	联盟银两	点券
178	名城战	名城战申请阶段可以申请攻打几座名城？	1座	2座	没限制
179	名城战	如何申请挑战一座县级名城？	联盟达到3级的盟主申请	由系统匹配	没有限制，盟主随时申请
180	名城战	一个联盟最多可以占领几座名城	无限制	1座	7座
181	名城战	谁能成为国王？	攻占都城的联盟盟主	占领郡城的联盟盟主	最有钱的联盟盟主
182	名城战	关于申请挑战名城表述错误的是？	可多个联盟同时获得挑战权	申请虎符最多的联盟获得挑战权	申请失败的联盟返还全部虎符
183	名城战	没有申请到挑战名城资格的联盟，如何参与名城战？	协助攻击或防守	解散，加入其他联盟	没办法
184	名城战	名城战可以申请协助别国联盟吗？	可以	不可以	邻国可以，其他不可以
185	名城战	名城战场上军队被击败会怎样？	回到我方大本营等待复活	不能再参加该战场	会损失军营中的士兵
186	名城战	名城战助攻方和协防方会获得什么奖励？	由被协助方赠予银两	系统赠送点券	没奖励
187	名城战	名城战场上攻方和助攻方的目标是什么？	摧毁守方据点，最终摧毁大本营	消灭对方盟主军队	消灭更多的敌军
188	名城战	联盟如何占领名城？	名城战场上摧毁守方主营	消灭对方盟主军队	消灭一定数量的敌军
189	银两	名城仓库银两满仓后，会有什么样的影响？	占领联盟获得更多银两收益	仓库会爆炸	没影响
190	银两	名城仓库银两会被哪一方获得？	进攻联盟	防守联盟	都可以
191	银两	名城战进攻方联盟进攻失败也可以获得到银两么？	可以，根据摧毁程度而定	不可以	有概率获得
192	银两	联盟银两可以赠送给其它联盟么	可由盟主赠予	不可以	只有国王联盟可以赠送
193	银两	联盟银两如何发给联盟成员	由盟主发放工资或单独赠予	由系统发放	玩家自己领取
194	银两	谁可以支配联盟银两？	盟主	副盟主	国王
195	银两	个人银两可以在哪里消费	市集-银两商店	贡献商店	游商
196	历史知识	传说中鬼谷子的徒弟，不包括？	吴起	张仪	庞涓
197	历史知识	历史上的“稷下学宫”始建于哪个国家？	齐国	秦国	鲁国
198	历史知识	长平之战大败赵国的将军是？	白起	赵奢	李牧
199	历史知识	“卧薪尝胆”与谁有关？	勾践	商鞅	西门豹
200	历史知识	“窃符救赵”与谁有关？	信陵君	赵奢	白起
201	历史知识	下列哪位，不是秦国将领？	乐毅	白起	王翦
