君主等级	合璧类型	合璧品质，物品品质.txt 的 level	展示奖励	数值奖励	物品奖励(废弃)	物品掉落奖励
49	1	2	12612049	126120490	126120491	126120491
50	1	2	12612050	126120500	126120501	126120501
51	1	2	12612051	126120510	126120511	126120511
52	1	2	12612052	126120520	126120521	126120521
53	1	2	12612053	126120530	126120531	126120531
54	1	2	12612054	126120540	126120541	126120541
55	1	2	12612055	126120550	126120551	126120551
56	1	2	12612056	126120560	126120561	126120561
57	1	2	12612057	126120570	126120571	126120571
58	1	2	12612058	126120580	126120581	126120581
59	1	2	12612059	126120590	126120591	126120591
60	1	2	12612060	126120600	126120601	126120601
61	1	2	12612061	126120610	126120611	126120611
62	1	2	12612062	126120620	126120621	126120621
63	1	2	12612063	126120630	126120631	126120631
64	1	2	12612064	126120640	126120641	126120641
65	1	2	12612065	126120650	126120651	126120651
66	1	2	12612066	126120660	126120661	126120661
67	1	2	12612067	126120670	126120671	126120671
68	1	2	12612068	126120680	126120681	126120681
69	1	2	12612069	126120690	126120691	126120691
70	1	2	12612070	126120700	126120701	126120701
71	1	2	12612071	126120710	126120711	126120711
72	1	2	12612072	126120720	126120721	126120721
73	1	2	12612073	126120730	126120731	126120731
74	1	2	12612074	126120740	126120741	126120741
75	1	2	12612075	126120750	126120751	126120751
76	1	2	12612076	126120760	126120761	126120761
77	1	2	12612077	126120770	126120771	126120771
78	1	2	12612078	126120780	126120781	126120781
79	1	2	12612079	126120790	126120791	126120791
80	1	2	12612080	126120800	126120801	126120801
81	1	2	12612081	126120810	126120811	126120811
82	1	2	12612082	126120820	126120821	126120821
83	1	2	12612083	126120830	126120831	126120831
84	1	2	12612084	126120840	126120841	126120841
85	1	2	12612085	126120850	126120851	126120851
86	1	2	12612086	126120860	126120861	126120861
87	1	2	12612087	126120870	126120871	126120871
88	1	2	12612088	126120880	126120881	126120881
89	1	2	12612089	126120890	126120891	126120891
90	1	2	12612090	126120900	126120901	126120901
91	1	2	12612091	126120910	126120911	126120911
92	1	2	12612092	126120920	126120921	126120921
93	1	2	12612093	126120930	126120931	126120931
94	1	2	12612094	126120940	126120941	126120941
95	1	2	12612095	126120950	126120951	126120951
96	1	2	12612096	126120960	126120961	126120961
97	1	2	12612097	126120970	126120971	126120971
98	1	2	12612098	126120980	126120981	126120981
99	1	2	12612099	126120990	126120991	126120991
100	1	2	12612100	126121000	126121001	126121001
						
1	1	3	12613001	126130010	126130011	126130011
2	1	3	12613002	126130020	126130021	126130021
3	1	3	12613003	126130030	126130031	126130031
4	1	3	12613004	126130040	126130041	126130041
5	1	3	12613005	126130050	126130051	126130051
6	1	3	12613006	126130060	126130061	126130061
7	1	3	12613007	126130070	126130071	126130071
8	1	3	12613008	126130080	126130081	126130081
9	1	3	12613009	126130090	126130091	126130091
10	1	3	12613010	126130100	126130101	126130101
11	1	3	12613011	126130110	126130111	126130111
12	1	3	12613012	126130120	126130121	126130121
13	1	3	12613013	126130130	126130131	126130131
14	1	3	12613014	126130140	126130141	126130141
15	1	3	12613015	126130150	126130151	126130151
16	1	3	12613016	126130160	126130161	126130161
17	1	3	12613017	126130170	126130171	126130171
18	1	3	12613018	126130180	126130181	126130181
19	1	3	12613019	126130190	126130191	126130191
20	1	3	12613020	126130200	126130201	126130201
21	1	3	12613021	126130210	126130211	126130211
22	1	3	12613022	126130220	126130221	126130221
23	1	3	12613023	126130230	126130231	126130231
24	1	3	12613024	126130240	126130241	126130241
25	1	3	12613025	126130250	126130251	126130251
26	1	3	12613026	126130260	126130261	126130261
27	1	3	12613027	126130270	126130271	126130271
28	1	3	12613028	126130280	126130281	126130281
29	1	3	12613029	126130290	126130291	126130291
30	1	3	12613030	126130300	126130301	126130301
31	1	3	12613031	126130310	126130311	126130311
32	1	3	12613032	126130320	126130321	126130321
33	1	3	12613033	126130330	126130331	126130331
34	1	3	12613034	126130340	126130341	126130341
35	1	3	12613035	126130350	126130351	126130351
36	1	3	12613036	126130360	126130361	126130361
37	1	3	12613037	126130370	126130371	126130371
38	1	3	12613038	126130380	126130381	126130381
39	1	3	12613039	126130390	126130391	126130391
40	1	3	12613040	126130400	126130401	126130401
41	1	3	12613041	126130410	126130411	126130411
42	1	3	12613042	126130420	126130421	126130421
43	1	3	12613043	126130430	126130431	126130431
44	1	3	12613044	126130440	126130441	126130441
45	1	3	12613045	126130450	126130451	126130451
46	1	3	12613046	126130460	126130461	126130461
47	1	3	12613047	126130470	126130471	126130471
48	1	3	12613048	126130480	126130481	126130481
49	1	3	12613049	126130490	126130491	126130491
50	1	3	12613050	126130500	126130501	126130501
51	1	3	12613051	126130510	126130511	126130511
52	1	3	12613052	126130520	126130521	126130521
53	1	3	12613053	126130530	126130531	126130531
54	1	3	12613054	126130540	126130541	126130541
55	1	3	12613055	126130550	126130551	126130551
56	1	3	12613056	126130560	126130561	126130561
57	1	3	12613057	126130570	126130571	126130571
58	1	3	12613058	126130580	126130581	126130581
59	1	3	12613059	126130590	126130591	126130591
60	1	3	12613060	126130600	126130601	126130601
61	1	3	12613061	126130610	126130611	126130611
62	1	3	12613062	126130620	126130621	126130621
63	1	3	12613063	126130630	126130631	126130631
64	1	3	12613064	126130640	126130641	126130641
65	1	3	12613065	126130650	126130651	126130651
66	1	3	12613066	126130660	126130661	126130661
67	1	3	12613067	126130670	126130671	126130671
68	1	3	12613068	126130680	126130681	126130681
69	1	3	12613069	126130690	126130691	126130691
70	1	3	12613070	126130700	126130701	126130701
71	1	3	12613071	126130710	126130711	126130711
72	1	3	12613072	126130720	126130721	126130721
73	1	3	12613073	126130730	126130731	126130731
74	1	3	12613074	126130740	126130741	126130741
75	1	3	12613075	126130750	126130751	126130751
76	1	3	12613076	126130760	126130761	126130761
77	1	3	12613077	126130770	126130771	126130771
78	1	3	12613078	126130780	126130781	126130781
79	1	3	12613079	126130790	126130791	126130791
80	1	3	12613080	126130800	126130801	126130801
81	1	3	12613081	126130810	126130811	126130811
82	1	3	12613082	126130820	126130821	126130821
83	1	3	12613083	126130830	126130831	126130831
84	1	3	12613084	126130840	126130841	126130841
85	1	3	12613085	126130850	126130851	126130851
86	1	3	12613086	126130860	126130861	126130861
87	1	3	12613087	126130870	126130871	126130871
88	1	3	12613088	126130880	126130881	126130881
89	1	3	12613089	126130890	126130891	126130891
90	1	3	12613090	126130900	126130901	126130901
91	1	3	12613091	126130910	126130911	126130911
92	1	3	12613092	126130920	126130921	126130921
93	1	3	12613093	126130930	126130931	126130931
94	1	3	12613094	126130940	126130941	126130941
95	1	3	12613095	126130950	126130951	126130951
96	1	3	12613096	126130960	126130961	126130961
97	1	3	12613097	126130970	126130971	126130971
98	1	3	12613098	126130980	126130981	126130981
99	1	3	12613099	126130990	126130991	126130991
100	1	3	12613100	126131000	126131001	126131001
						
1	1	5	12615001	126150010	126150011	126150011
2	1	5	12615002	126150020	126150021	126150021
3	1	5	12615003	126150030	126150031	126150031
4	1	5	12615004	126150040	126150041	126150041
5	1	5	12615005	126150050	126150051	126150051
6	1	5	12615006	126150060	126150061	126150061
7	1	5	12615007	126150070	126150071	126150071
8	1	5	12615008	126150080	126150081	126150081
9	1	5	12615009	126150090	126150091	126150091
10	1	5	12615010	126150100	126150101	126150101
11	1	5	12615011	126150110	126150111	126150111
12	1	5	12615012	126150120	126150121	126150121
13	1	5	12615013	126150130	126150131	126150131
14	1	5	12615014	126150140	126150141	126150141
15	1	5	12615015	126150150	126150151	126150151
16	1	5	12615016	126150160	126150161	126150161
17	1	5	12615017	126150170	126150171	126150171
18	1	5	12615018	126150180	126150181	126150181
19	1	5	12615019	126150190	126150191	126150191
20	1	5	12615020	126150200	126150201	126150201
21	1	5	12615021	126150210	126150211	126150211
22	1	5	12615022	126150220	126150221	126150221
23	1	5	12615023	126150230	126150231	126150231
24	1	5	12615024	126150240	126150241	126150241
25	1	5	12615025	126150250	126150251	126150251
26	1	5	12615026	126150260	126150261	126150261
27	1	5	12615027	126150270	126150271	126150271
28	1	5	12615028	126150280	126150281	126150281
29	1	5	12615029	126150290	126150291	126150291
30	1	5	12615030	126150300	126150301	126150301
31	1	5	12615031	126150310	126150311	126150311
32	1	5	12615032	126150320	126150321	126150321
33	1	5	12615033	126150330	126150331	126150331
34	1	5	12615034	126150340	126150341	126150341
35	1	5	12615035	126150350	126150351	126150351
36	1	5	12615036	126150360	126150361	126150361
37	1	5	12615037	126150370	126150371	126150371
38	1	5	12615038	126150380	126150381	126150381
39	1	5	12615039	126150390	126150391	126150391
40	1	5	12615040	126150400	126150401	126150401
41	1	5	12615041	126150410	126150411	126150411
42	1	5	12615042	126150420	126150421	126150421
43	1	5	12615043	126150430	126150431	126150431
44	1	5	12615044	126150440	126150441	126150441
45	1	5	12615045	126150450	126150451	126150451
46	1	5	12615046	126150460	126150461	126150461
47	1	5	12615047	126150470	126150471	126150471
48	1	5	12615048	126150480	126150481	126150481
49	1	5	12615049	126150490	126150491	126150491
50	1	5	12615050	126150500	126150501	126150501
51	1	5	12615051	126150510	126150511	126150511
52	1	5	12615052	126150520	126150521	126150521
53	1	5	12615053	126150530	126150531	126150531
54	1	5	12615054	126150540	126150541	126150541
55	1	5	12615055	126150550	126150551	126150551
56	1	5	12615056	126150560	126150561	126150561
57	1	5	12615057	126150570	126150571	126150571
58	1	5	12615058	126150580	126150581	126150581
59	1	5	12615059	126150590	126150591	126150591
60	1	5	12615060	126150600	126150601	126150601
61	1	5	12615061	126150610	126150611	126150611
62	1	5	12615062	126150620	126150621	126150621
63	1	5	12615063	126150630	126150631	126150631
64	1	5	12615064	126150640	126150641	126150641
65	1	5	12615065	126150650	126150651	126150651
66	1	5	12615066	126150660	126150661	126150661
67	1	5	12615067	126150670	126150671	126150671
68	1	5	12615068	126150680	126150681	126150681
69	1	5	12615069	126150690	126150691	126150691
70	1	5	12615070	126150700	126150701	126150701
71	1	5	12615071	126150710	126150711	126150711
72	1	5	12615072	126150720	126150721	126150721
73	1	5	12615073	126150730	126150731	126150731
74	1	5	12615074	126150740	126150741	126150741
75	1	5	12615075	126150750	126150751	126150751
76	1	5	12615076	126150760	126150761	126150761
77	1	5	12615077	126150770	126150771	126150771
78	1	5	12615078	126150780	126150781	126150781
79	1	5	12615079	126150790	126150791	126150791
80	1	5	12615080	126150800	126150801	126150801
81	1	5	12615081	126150810	126150811	126150811
82	1	5	12615082	126150820	126150821	126150821
83	1	5	12615083	126150830	126150831	126150831
84	1	5	12615084	126150840	126150841	126150841
85	1	5	12615085	126150850	126150851	126150851
86	1	5	12615086	126150860	126150861	126150861
87	1	5	12615087	126150870	126150871	126150871
88	1	5	12615088	126150880	126150881	126150881
89	1	5	12615089	126150890	126150891	126150891
90	1	5	12615090	126150900	126150901	126150901
91	1	5	12615091	126150910	126150911	126150911
92	1	5	12615092	126150920	126150921	126150921
93	1	5	12615093	126150930	126150931	126150931
94	1	5	12615094	126150940	126150941	126150941
95	1	5	12615095	126150950	126150951	126150951
96	1	5	12615096	126150960	126150961	126150961
97	1	5	12615097	126150970	126150971	126150971
98	1	5	12615098	126150980	126150981	126150981
99	1	5	12615099	126150990	126150991	126150991
100	1	5	12615100	126151000	126151001	126151001
						
1	1	8	12618001	126180010	126180011	126180011
2	1	8	12618002	126180020	126180021	126180021
3	1	8	12618003	126180030	126180031	126180031
4	1	8	12618004	126180040	126180041	126180041
5	1	8	12618005	126180050	126180051	126180051
6	1	8	12618006	126180060	126180061	126180061
7	1	8	12618007	126180070	126180071	126180071
8	1	8	12618008	126180080	126180081	126180081
9	1	8	12618009	126180090	126180091	126180091
10	1	8	12618010	126180100	126180101	126180101
11	1	8	12618011	126180110	126180111	126180111
12	1	8	12618012	126180120	126180121	126180121
13	1	8	12618013	126180130	126180131	126180131
14	1	8	12618014	126180140	126180141	126180141
15	1	8	12618015	126180150	126180151	126180151
16	1	8	12618016	126180160	126180161	126180161
17	1	8	12618017	126180170	126180171	126180171
18	1	8	12618018	126180180	126180181	126180181
19	1	8	12618019	126180190	126180191	126180191
20	1	8	12618020	126180200	126180201	126180201
21	1	8	12618021	126180210	126180211	126180211
22	1	8	12618022	126180220	126180221	126180221
23	1	8	12618023	126180230	126180231	126180231
24	1	8	12618024	126180240	126180241	126180241
25	1	8	12618025	126180250	126180251	126180251
26	1	8	12618026	126180260	126180261	126180261
27	1	8	12618027	126180270	126180271	126180271
28	1	8	12618028	126180280	126180281	126180281
29	1	8	12618029	126180290	126180291	126180291
30	1	8	12618030	126180300	126180301	126180301
31	1	8	12618031	126180310	126180311	126180311
32	1	8	12618032	126180320	126180321	126180321
33	1	8	12618033	126180330	126180331	126180331
34	1	8	12618034	126180340	126180341	126180341
35	1	8	12618035	126180350	126180351	126180351
36	1	8	12618036	126180360	126180361	126180361
37	1	8	12618037	126180370	126180371	126180371
38	1	8	12618038	126180380	126180381	126180381
39	1	8	12618039	126180390	126180391	126180391
40	1	8	12618040	126180400	126180401	126180401
41	1	8	12618041	126180410	126180411	126180411
42	1	8	12618042	126180420	126180421	126180421
43	1	8	12618043	126180430	126180431	126180431
44	1	8	12618044	126180440	126180441	126180441
45	1	8	12618045	126180450	126180451	126180451
46	1	8	12618046	126180460	126180461	126180461
47	1	8	12618047	126180470	126180471	126180471
48	1	8	12618048	126180480	126180481	126180481
49	1	8	12618049	126180490	126180491	126180491
50	1	8	12618050	126180500	126180501	126180501
51	1	8	12618051	126180510	126180511	126180511
52	1	8	12618052	126180520	126180521	126180521
53	1	8	12618053	126180530	126180531	126180531
54	1	8	12618054	126180540	126180541	126180541
55	1	8	12618055	126180550	126180551	126180551
56	1	8	12618056	126180560	126180561	126180561
57	1	8	12618057	126180570	126180571	126180571
58	1	8	12618058	126180580	126180581	126180581
59	1	8	12618059	126180590	126180591	126180591
60	1	8	12618060	126180600	126180601	126180601
61	1	8	12618061	126180610	126180611	126180611
62	1	8	12618062	126180620	126180621	126180621
63	1	8	12618063	126180630	126180631	126180631
64	1	8	12618064	126180640	126180641	126180641
65	1	8	12618065	126180650	126180651	126180651
66	1	8	12618066	126180660	126180661	126180661
67	1	8	12618067	126180670	126180671	126180671
68	1	8	12618068	126180680	126180681	126180681
69	1	8	12618069	126180690	126180691	126180691
70	1	8	12618070	126180700	126180701	126180701
71	1	8	12618071	126180710	126180711	126180711
72	1	8	12618072	126180720	126180721	126180721
73	1	8	12618073	126180730	126180731	126180731
74	1	8	12618074	126180740	126180741	126180741
75	1	8	12618075	126180750	126180751	126180751
76	1	8	12618076	126180760	126180761	126180761
77	1	8	12618077	126180770	126180771	126180771
78	1	8	12618078	126180780	126180781	126180781
79	1	8	12618079	126180790	126180791	126180791
80	1	8	12618080	126180800	126180801	126180801
81	1	8	12618081	126180810	126180811	126180811
82	1	8	12618082	126180820	126180821	126180821
83	1	8	12618083	126180830	126180831	126180831
84	1	8	12618084	126180840	126180841	126180841
85	1	8	12618085	126180850	126180851	126180851
86	1	8	12618086	126180860	126180861	126180861
87	1	8	12618087	126180870	126180871	126180871
88	1	8	12618088	126180880	126180881	126180881
89	1	8	12618089	126180890	126180891	126180891
90	1	8	12618090	126180900	126180901	126180901
91	1	8	12618091	126180910	126180911	126180911
92	1	8	12618092	126180920	126180921	126180921
93	1	8	12618093	126180930	126180931	126180931
94	1	8	12618094	126180940	126180941	126180941
95	1	8	12618095	126180950	126180951	126180951
96	1	8	12618096	126180960	126180961	126180961
97	1	8	12618097	126180970	126180971	126180971
98	1	8	12618098	126180980	126180981	126180981
99	1	8	12618099	126180990	126180991	126180991
100	1	8	12618100	126181000	126181001	126181001
						
1	2	3	12623001	126230010	126230011	126230011
2	2	3	12623002	126230020	126230021	126230021
3	2	3	12623003	126230030	126230031	126230031
4	2	3	12623004	126230040	126230041	126230041
5	2	3	12623005	126230050	126230051	126230051
6	2	3	12623006	126230060	126230061	126230061
7	2	3	12623007	126230070	126230071	126230071
8	2	3	12623008	126230080	126230081	126230081
9	2	3	12623009	126230090	126230091	126230091
10	2	3	12623010	126230100	126230101	126230101
11	2	3	12623011	126230110	126230111	126230111
12	2	3	12623012	126230120	126230121	126230121
13	2	3	12623013	126230130	126230131	126230131
14	2	3	12623014	126230140	126230141	126230141
15	2	3	12623015	126230150	126230151	126230151
16	2	3	12623016	126230160	126230161	126230161
17	2	3	12623017	126230170	126230171	126230171
18	2	3	12623018	126230180	126230181	126230181
19	2	3	12623019	126230190	126230191	126230191
20	2	3	12623020	126230200	126230201	126230201
21	2	3	12623021	126230210	126230211	126230211
22	2	3	12623022	126230220	126230221	126230221
23	2	3	12623023	126230230	126230231	126230231
24	2	3	12623024	126230240	126230241	126230241
25	2	3	12623025	126230250	126230251	126230251
26	2	3	12623026	126230260	126230261	126230261
27	2	3	12623027	126230270	126230271	126230271
28	2	3	12623028	126230280	126230281	126230281
29	2	3	12623029	126230290	126230291	126230291
30	2	3	12623030	126230300	126230301	126230301
31	2	3	12623031	126230310	126230311	126230311
32	2	3	12623032	126230320	126230321	126230321
33	2	3	12623033	126230330	126230331	126230331
34	2	3	12623034	126230340	126230341	126230341
35	2	3	12623035	126230350	126230351	126230351
36	2	3	12623036	126230360	126230361	126230361
37	2	3	12623037	126230370	126230371	126230371
38	2	3	12623038	126230380	126230381	126230381
39	2	3	12623039	126230390	126230391	126230391
40	2	3	12623040	126230400	126230401	126230401
41	2	3	12623041	126230410	126230411	126230411
42	2	3	12623042	126230420	126230421	126230421
43	2	3	12623043	126230430	126230431	126230431
44	2	3	12623044	126230440	126230441	126230441
45	2	3	12623045	126230450	126230451	126230451
46	2	3	12623046	126230460	126230461	126230461
47	2	3	12623047	126230470	126230471	126230471
48	2	3	12623048	126230480	126230481	126230481
49	2	3	12623049	126230490	126230491	126230491
50	2	3	12623050	126230500	126230501	126230501
51	2	3	12623051	126230510	126230511	126230511
52	2	3	12623052	126230520	126230521	126230521
53	2	3	12623053	126230530	126230531	126230531
54	2	3	12623054	126230540	126230541	126230541
55	2	3	12623055	126230550	126230551	126230551
56	2	3	12623056	126230560	126230561	126230561
57	2	3	12623057	126230570	126230571	126230571
58	2	3	12623058	126230580	126230581	126230581
59	2	3	12623059	126230590	126230591	126230591
60	2	3	12623060	126230600	126230601	126230601
61	2	3	12623061	126230610	126230611	126230611
62	2	3	12623062	126230620	126230621	126230621
63	2	3	12623063	126230630	126230631	126230631
64	2	3	12623064	126230640	126230641	126230641
65	2	3	12623065	126230650	126230651	126230651
66	2	3	12623066	126230660	126230661	126230661
67	2	3	12623067	126230670	126230671	126230671
68	2	3	12623068	126230680	126230681	126230681
69	2	3	12623069	126230690	126230691	126230691
70	2	3	12623070	126230700	126230701	126230701
71	2	3	12623071	126230710	126230711	126230711
72	2	3	12623072	126230720	126230721	126230721
73	2	3	12623073	126230730	126230731	126230731
74	2	3	12623074	126230740	126230741	126230741
75	2	3	12623075	126230750	126230751	126230751
76	2	3	12623076	126230760	126230761	126230761
77	2	3	12623077	126230770	126230771	126230771
78	2	3	12623078	126230780	126230781	126230781
79	2	3	12623079	126230790	126230791	126230791
80	2	3	12623080	126230800	126230801	126230801
81	2	3	12623081	126230810	126230811	126230811
82	2	3	12623082	126230820	126230821	126230821
83	2	3	12623083	126230830	126230831	126230831
84	2	3	12623084	126230840	126230841	126230841
85	2	3	12623085	126230850	126230851	126230851
86	2	3	12623086	126230860	126230861	126230861
87	2	3	12623087	126230870	126230871	126230871
88	2	3	12623088	126230880	126230881	126230881
89	2	3	12623089	126230890	126230891	126230891
90	2	3	12623090	126230900	126230901	126230901
91	2	3	12623091	126230910	126230911	126230911
92	2	3	12623092	126230920	126230921	126230921
93	2	3	12623093	126230930	126230931	126230931
94	2	3	12623094	126230940	126230941	126230941
95	2	3	12623095	126230950	126230951	126230951
96	2	3	12623096	126230960	126230961	126230961
97	2	3	12623097	126230970	126230971	126230971
98	2	3	12623098	126230980	126230981	126230981
99	2	3	12623099	126230990	126230991	126230991
100	2	3	12623100	126231000	126231001	126231001
						
1	3	3	12633001	126330010	126330011	126330011
2	3	3	12633002	126330020	126330021	126330021
3	3	3	12633003	126330030	126330031	126330031
4	3	3	12633004	126330040	126330041	126330041
5	3	3	12633005	126330050	126330051	126330051
6	3	3	12633006	126330060	126330061	126330061
7	3	3	12633007	126330070	126330071	126330071
8	3	3	12633008	126330080	126330081	126330081
9	3	3	12633009	126330090	126330091	126330091
10	3	3	12633010	126330100	126330101	126330101
11	3	3	12633011	126330110	126330111	126330111
12	3	3	12633012	126330120	126330121	126330121
13	3	3	12633013	126330130	126330131	126330131
14	3	3	12633014	126330140	126330141	126330141
15	3	3	12633015	126330150	126330151	126330151
16	3	3	12633016	126330160	126330161	126330161
17	3	3	12633017	126330170	126330171	126330171
18	3	3	12633018	126330180	126330181	126330181
19	3	3	12633019	126330190	126330191	126330191
20	3	3	12633020	126330200	126330201	126330201
21	3	3	12633021	126330210	126330211	126330211
22	3	3	12633022	126330220	126330221	126330221
23	3	3	12633023	126330230	126330231	126330231
24	3	3	12633024	126330240	126330241	126330241
25	3	3	12633025	126330250	126330251	126330251
26	3	3	12633026	126330260	126330261	126330261
27	3	3	12633027	126330270	126330271	126330271
28	3	3	12633028	126330280	126330281	126330281
29	3	3	12633029	126330290	126330291	126330291
30	3	3	12633030	126330300	126330301	126330301
31	3	3	12633031	126330310	126330311	126330311
32	3	3	12633032	126330320	126330321	126330321
33	3	3	12633033	126330330	126330331	126330331
34	3	3	12633034	126330340	126330341	126330341
35	3	3	12633035	126330350	126330351	126330351
36	3	3	12633036	126330360	126330361	126330361
37	3	3	12633037	126330370	126330371	126330371
38	3	3	12633038	126330380	126330381	126330381
39	3	3	12633039	126330390	126330391	126330391
40	3	3	12633040	126330400	126330401	126330401
41	3	3	12633041	126330410	126330411	126330411
42	3	3	12633042	126330420	126330421	126330421
43	3	3	12633043	126330430	126330431	126330431
44	3	3	12633044	126330440	126330441	126330441
45	3	3	12633045	126330450	126330451	126330451
46	3	3	12633046	126330460	126330461	126330461
47	3	3	12633047	126330470	126330471	126330471
48	3	3	12633048	126330480	126330481	126330481
49	3	3	12633049	126330490	126330491	126330491
50	3	3	12633050	126330500	126330501	126330501
51	3	3	12633051	126330510	126330511	126330511
52	3	3	12633052	126330520	126330521	126330521
53	3	3	12633053	126330530	126330531	126330531
54	3	3	12633054	126330540	126330541	126330541
55	3	3	12633055	126330550	126330551	126330551
56	3	3	12633056	126330560	126330561	126330561
57	3	3	12633057	126330570	126330571	126330571
58	3	3	12633058	126330580	126330581	126330581
59	3	3	12633059	126330590	126330591	126330591
60	3	3	12633060	126330600	126330601	126330601
61	3	3	12633061	126330610	126330611	126330611
62	3	3	12633062	126330620	126330621	126330621
63	3	3	12633063	126330630	126330631	126330631
64	3	3	12633064	126330640	126330641	126330641
65	3	3	12633065	126330650	126330651	126330651
66	3	3	12633066	126330660	126330661	126330661
67	3	3	12633067	126330670	126330671	126330671
68	3	3	12633068	126330680	126330681	126330681
69	3	3	12633069	126330690	126330691	126330691
70	3	3	12633070	126330700	126330701	126330701
71	3	3	12633071	126330710	126330711	126330711
72	3	3	12633072	126330720	126330721	126330721
73	3	3	12633073	126330730	126330731	126330731
74	3	3	12633074	126330740	126330741	126330741
75	3	3	12633075	126330750	126330751	126330751
76	3	3	12633076	126330760	126330761	126330761
77	3	3	12633077	126330770	126330771	126330771
78	3	3	12633078	126330780	126330781	126330781
79	3	3	12633079	126330790	126330791	126330791
80	3	3	12633080	126330800	126330801	126330801
81	3	3	12633081	126330810	126330811	126330811
82	3	3	12633082	126330820	126330821	126330821
83	3	3	12633083	126330830	126330831	126330831
84	3	3	12633084	126330840	126330841	126330841
85	3	3	12633085	126330850	126330851	126330851
86	3	3	12633086	126330860	126330861	126330861
87	3	3	12633087	126330870	126330871	126330871
88	3	3	12633088	126330880	126330881	126330881
89	3	3	12633089	126330890	126330891	126330891
90	3	3	12633090	126330900	126330901	126330901
91	3	3	12633091	126330910	126330911	126330911
92	3	3	12633092	126330920	126330921	126330921
93	3	3	12633093	126330930	126330931	126330931
94	3	3	12633094	126330940	126330941	126330941
95	3	3	12633095	126330950	126330951	126330951
96	3	3	12633096	126330960	126330961	126330961
97	3	3	12633097	126330970	126330971	126330971
98	3	3	12633098	126330980	126330981	126330981
99	3	3	12633099	126330990	126330991	126330991
100	3	3	12633100	126331000	126331001	126331001
